# cutoff=8 energy=1 Q=D^4*Z=0.00047637138927289740097
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-4.7693202304268532814e-07	-3.3516912066979672967e-08	-6.161058937769240372e-07	-3.0044166800248543087e-07	1.0930379168196094712e-06	3.3395858006946505751e-07
-8	-8	-7	-1.1897273113772927737e-08	1.1132898370724179117e-08	2.3432993723580356759e-08	-2.0004709048130767226e-08	-1.3183680696922773897e-08	1.0139212202750384283e-08
-8	-8	-6	8.354725592999897884e-11	2.4256083511293717692e-10	1.4405300540511758479e-11	3.2704484031230472025e-10	-1.3060340862734765407e-10	-7.5947423390032252956e-10
-8	-8	-5	-4.6079242381770974565e-12	2.8408243411659591443e-11	1.0375863744342713801e-11	-2.4045094664684889697e-11	-9.2287032098649861514e-12	-6.9810379951595227932e-12
-8	-8	-4	1.2455983573471255568e-12	-2.6920367031942097566e-13	3.098077315189792762e-13	1.1081306766596916839e-12	-3.1108121777322096661e-12	-1.6778540126805413155e-12
-8	-8	-3	-5.2075011859567562868e-13	-7.9735655793986092856e-14	-3.0522113678619617947e-13	4.5817811187479836774e-13	2.2025900143516581551e-12	-1.0091798828821659654e-12
-8	-8	-2	2.6147591095194356342e-14	-3.2552345859422141075e-13	-8.3952775346704276658e-14	2.5081682860969395299e-14	2.3122073700603970651e-13	1.2017671029330079482e-12
-8	-8	-1	9.6619523401062551464e-14	3.68881011843844753e-14	-4.8568681735497487112e-14	-4.1388750823120552438e-14	-3.8440673332452046433e-13	3.6005197109888591867e-14
-8	-8	0	-1.0157137923924194956e-13	-5.9687693907562062719e-15	1.0157137923924194956e-13	5.9687693907562062719e-15	7.4368421306943758568e-15	-1.5054827204494536426e-13
-8	-8	1	-1.0392549427844479752e-13	3.3524196433994213163e-14	5.930716507334739179e-14	-4.2585936100836786802e-14	-3.5694663364077924583e-13	-7.2493917334740576492e-14
-8	-8	2	2.9544289855013060704e-15	3.2780938478717665917e-13	-8.3927854318220793679e-14	-4.2529724177695420572e-14	-3.2389370133087798041e-13	1.1411186424379250554e-12
-8	-8	3	5.6656572045880411898e-13	-2.9260399680224358742e-15	2.1563162926081287881e-13	5.1497216337447633233e-13	2.0858595992523118595e-12	1.3654563290838771372e-12
-8	-8	4	9.8240781444700484225e-13	7.0731441601270977836e-13	6.4301724676035838789e-13	-1.1516919535239348404e-12	3.2508501224147262583e-12	-8.8875507502244992205e-13
-8	-8	5	-3.3179246541735671659e-12	2.9381391357851640226e-11	-5.9419916105163481191e-12	-3.2347164913169114473e-11	-1.481586602350386381e-11	-4.745237688507952657e-12
-8	-8	6	1.3875592732226750064e-10	-9.1944539533318338718e-11	1.0977241539291476291e-10	-4.3073575249045170317e-10	3.3137112362024300084e-10	-6.9690705603169340641e-10
-8	-8	7	3.8975622257086748065e-09	1.0130962255112504161e-08	-1.813479421124355224e-08	-2.565939500314372823e-08	-1.627112226918271943e-08	-1.7746780283464257025e-08
-8	-8	8	-3.0227991510005183639e-07	-1.7331615552805753945e-07	-8.8823687868331055333e-07	2.0166344616982475954e-07	-1.1905167937833624427e-06	2.8347290641767216776e-08
-8	-7	-8	2.1280905297930035143e-08	-8.3259823849410437384e-10	1.70902964149978281e-08	-1.2775767950621968053e-08	-3.6234914661053138039e-08	1.2011395195288325697e-08
-8	-7	-7	2.8170148408146552648e-10	-2.0115820670299820723e-09	-1.9335053640506818341e-09	8.2929876586219322358e-09	1.6115608108147210552e-09	-5.9940367248733821232e-09
-8	-7	-6	6.9797098024779502409e-10	5.1045900793596232329e-10	-1.2327176920903227415e-09	-1.2124393807016451305e-09	5.0754266710831636179e-10	7.3390060023730292236e-10
-8	-7	-5	-8.5913364738819157261e-11	3.3323318587433728025e-11	1.6933335824197642231e-10	-3.9932566730405068617e-11	-9.9605317956656334451e-11	2.5882836826731297695e-12
-8	-7	-4	6.1128855092733009607e-12	-2.1205779741100932876e-12	-1.4301300133121668534e-12	9.2433947607416739044e-12	-9.7230434952503100794e-12	-1.1934784883077741546e-11
-8	-7	-3	-3.2362220590080518909e-12	3.7013885825824837941e-12	-8.4573363349967898015e-13	-2.6408750248694855457e-14	1.0603303968854055458e-11	-9.8087491363063348459e-12
-8	-7	-2	-1.0951480106182839601e-12	-2.2992779518779987744e-12	4.2258688725535453353e-14	4.7581406423180509274e-13	4.2326866319337617978e-12	7.5317625827006759603e-12
-8	-7	-1	6.5185567130882863328e-13	-1.2093650134729312847e-13	-3.381679398100451256e-13	-4.1084922359279475558e-15	-2.8476697918003128841e-12	9.9625145642984065038e-13
-8	-7	0	-2.6419270693135368422e-13	1.4474614113580001527e-13	3.0193452220726133897e-13	-1.6542416129805716392e-13	-6.5242934835718518045e-13	-1.1580515445412028812e-12
-8	-7	1	-4.3954009131722518178e-13	5.5510698967051407382e-13	1.8342521229438073676e-13	-3.6613787587854914258e-13	-2.2323442444771365747e-12	1.8778907862142687439e-12
-8	-7	2	1.4503926526905288957e-12	2.1385092996776046826e-12	-4.1516939553533964117e-13	-3.3172563835894835383e-13	4.3484777263884274697e-12	7.3929974644540989366e-12
-8	-7	3	4.8389191264709654726e-12	-9.3154924789183688367e-13	4.0347235502764444547e-13	-7.7019392127072115164e-13	1.3845219832320412861e-11	-4.2812504773432476093e-12
-8	-7	4	5.1113623872217812618e-12	-3.5076394835055390594e-12	-9.659247101892602576e-12	-4.9131354580753357896e-12	-6.6809576538684919845e-12	-1.5613266018642915751e-11
