# cutoff=8 energy=1 Q=D^4*Z=0.00047658156965546484476
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-4.4228020903779644078e-07	-3.1163608261931380897e-08	-5.6932905270215720507e-07	-2.7773170010718239642e-07	1.0116092617399535929e-06	3.0889530836911376408e-07
-8	-8	-7	-1.2930576479378211088e-08	1.3713325296303693379e-08	2.1295066152238764507e-08	-1.7978619136414251864e-08	-9.5594167689834884407e-09	4.8746215315549236285e-09
-8	-8	-6	1.4171952791758172882e-10	3.4902194180290777581e-10	-6.4125476839774296848e-11	2.0929228769085208771e-10	-1.0345873477040991792e-10	-7.444189726583464847e-10
-8	-8	-5	-4.283536554379023652e-12	2.7462025904234254676e-11	1.3128116873516606888e-11	-2.5933433164944065368e-11	-1.41513285106201335e-11	-2.4457483828643058003e-12
-8	-8	-4	1.6400675156898278346e-12	1.6342964355353921519e-13	3.3068170581994987593e-13	1.6321959190914253804e-12	-3.9414984430195549163e-12	-3.5912511252899291406e-12
-8	-8	-3	-8.0386409378086428783e-13	1.2950033537394331842e-13	-4.277069275070851226e-13	3.8831942664904066915e-13	3.2841893901011982932e-12	-1.3808526987279572329e-12
-8	-8	-2	-3.6072900544050547918e-15	-4.5313932607219428667e-13	-8.1995241444097257651e-14	2.6751293851278467596e-14	3.4241012599400924346e-13	1.7055521288836634151e-12
-8	-8	-1	1.2090096279782813152e-13	2.9391259179762185659e-14	-5.6152990201617837481e-14	-3.8914732908124716542e-14	-5.1798378076968235232e-13	7.6187789826900259682e-14
-8	-8	0	-9.3789131299657103224e-14	-5.1475194151209408371e-15	9.3789131299657103224e-14	5.1475194151209408371e-15	9.461942644809844679e-15	-1.8914978249349770855e-13
-8	-8	1	-1.2619238828066082148e-13	2.4333561453855172579e-14	6.6637730620409023293e-14	-4.0069488933939598595e-14	-4.7643726128201438552e-13	-1.2588741984067540812e-13
-8	-8	2	-3.7137744512708422019e-14	4.5058466364673773979e-13	-8.1639069609096320393e-14	-4.6393670183113334558e-14	-4.7510725648721899489e-13	1.6167639738544975705e-12
-8	-8	3	7.9896603067459532225e-13	2.3726245199800270878e-13	3.7659857431167492744e-13	4.4243538032985066859e-13	3.1348389466300538645e-12	1.812527552874275673e-12
