# cutoff=8 energy=1 Q=D^4*Z=0.00048800580965677994904
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-5.6089153173820259086e-08	1.0531126132089371016e-07	1.9266295712477786502e-08	-1.4983057728090070342e-07	3.6822857461342472584e-08	4.4519315960006986643e-08
-8	-8	-7	-6.1938064791406997284e-09	-3.1774482442075592795e-08	1.7088481317515112837e-08	2.4868643730756887762e-08	-1.2451056958142186173e-08	7.8923870986499516817e-09
-8	-8	-6	-1.2514098957008631549e-08	-4.6142896376056990873e-09	-5.7347089455376910712e-09	-2.356296216455546311e-09	2.4331743870061761288e-08	9.2941144720816605311e-09
-8	-8	-5	-1.8760906402232021137e-09	1.6356169917153134921e-09	-3.0662869226339054012e-10	3.9805957226176193001e-10	3.4923509319785478325e-09	-3.2538825023633206753e-09
-8	-8	-4	1.1952656561536946286e-10	3.4432245777523694938e-10	-1.2604463688268468945e-10	-4.0951752893958661839e-10	1.3036142534630470951e-11	1.3039014232869933803e-10
-8	-8	-3	-1.7256333837248498516e-10	-3.9224203932261790184e-11	2.5624112915656001988e-10	2.0790228537455257851e-11	-2.2314077542420009259e-10	4.9157267719484094839e-11
-8	-8	-2	-2.58931962111271237e-10	1.0461481042576383705e-09	3.0236990355817575249e-10	-1.208195571717624349e-09	-1.7375176578761816534e-10	6.481898698399433971e-10
-8	-8	-1	1.7306017399749077828e-09	1.3190256528503942901e-09	-1.813487988821573116e-09	-1.3888957578913743065e-09	6.6308999077332152769e-10	5.5896084032784013195e-10
-8	-8	0	7.5607984889416921822e-10	-1.3961186014255088891e-10	-7.5607984889416921822e-10	1.3961186014255088891e-10	2.7141764931230837799e-11	-3.2824150760697429573e-10
-8	-8	1	-1.329726148067186962e-09	7.022858756340238994e-10	1.4009425994333477018e-09	-7.4841205155267977482e-10	5.6973161092928550496e-10	-3.690094073492469516e-10
-8	-8	2	-7.5373091566968501944e-11	-8.5861295449053710994e-10	9.7412555540858878482e-11	9.8938042726489690805e-10	8.81578558955614803e-11	5.2306989109743908904e-10
-8	-8	3	1.755279383890045071e-10	-2.1942538433939995013e-11	-2.4219264126268142577e-10	-2.1766549446058623794e-12	-1.7777254099647169695e-10	-6.4317849009455614327e-11
-8	-8	4	1.4553527743178045033e-10	-3.167005260686383703e-10	-1.7215459885630409055e-10	3.9377576070796573142e-10	-5.3238642849047248135e-11	1.5415046927865467053e-10
-8	-8	5	1.6568567296190108631e-09	1.8120816235649608681e-09	2.9035240849575304983e-10	4.7868797070436453936e-10	3.115534620983622178e-09	3.6652313508309204866e-09
-8	-8	6	-1.2091872691059698732e-08	3.3562114121364530553e-09	-6.2479070296098863108e-09	1.7174331299239188412e-09	-2.4453039627559447826e-08	6.7648593894138289195e-09
-8	-8	7	3.7671521242894593178e-09	-2.2032947514228718489e-08	-1.7132931487607939375e-08	1.9460512942496109425e-08	-1.5275176415221118647e-08	-2.9399252248372678567e-09
-8	-8	8	-6.3389374259692406498e-09	-3.4220122588453174806e-08	-1.1543657857042446951e-08	1.0829633322404097822e-07	-1.7882595283011689255e-08	7.4076210635587810034e-08
-8	-7	-8	7.1862216521371089326e-09	-2.9875102946629213427e-09	-1.5750272315359381968e-08	-4.4999905107302979574e-08	6.5952666238023482217e-09	4.2362427263553030537e-08
-8	-7	-7	9.7827640165702754555e-09	9.1810457777348565427e-09	-6.5127845731607586691e-09	1.0057884603096526977e-10	-4.6675171600624130437e-09	-1.0593202592013658229e-08
-8	-7	-6	2.4236719758404436011e-09	-6.026666492233868154e-10	1.062727749938766731e-09	-6.481403306988251555e-10	-4.4714116760491529644e-09	1.5597192514464783664e-09
-8	-7	-5	3.504749457756770105e-11	-1.1948503997897138736e-10	-4.6749322336529801457e-11	2.3970814071733948409e-10	9.3730599470334052065e-12	-1.4441533303792107863e-10
-8	-7	-4	-2.0580758746117751032e-09	-1.7489026280851047578e-09	-7.9888156576693175294e-10	-8.7820447994525494146e-10	5.5141944893156808258e-09	5.034663096074405353e-09
-8	-7	-3	-5.68725063617315802e-10	2.6646348422869723953e-10	5.6678699648632798049e-10	-2.5002598505307032214e-10	1.9409717784474349168e-10	-1.2717532615269518596e-10
-8	-7	-2	-5.9259498745929057035e-11	-2.8237186665698717502e-10	6.0187570977114563179e-11	3.5341114178834611488e-10	2.6381496563815231166e-11	-1.0745152963126268908e-10
-8	-7	-1	-2.2972615966216957896e-12	4.2662768472116982239e-12	-9.8586726400895393382e-12	-8.7098600279444986518e-12	8.7388801253600348147e-11	2.6838805417917904772e-11
-8	-7	0	4.7761827135903189445e-11	-2.414411450758512381e-11	-5.4584945298175073652e-11	2.7593273722954428134e-11	-4.9664313625911183591e-13	-4.7814379090609017252e-11
-8	-7	1	4.6065425551597605442e-12	8.1466529869186611962e-12	-3.9831082184159619719e-12	-1.9455681778569199494e-11	8.9705829123663497425e-12	-7.1016548554635110119e-11
-8	-7	2	1.6666684886832516518e-10	1.6078666573754763346e-10	-2.2453055176849859803e-10	-1.9855314381908798188e-10	-1.1918953571644436773e-10	-5.1789340416617422126e-11
-8	-7	3	4.9410284897569827542e-10	-3.3145822574242790803e-10	-4.8997921631334776187e-10	3.4194194405746614518e-10	1.7432275920405069236e-10	-8.6024065845720112815e-11
-8	-7	4	4.1588567037487654042e-10	2.5426370856438645277e-09	2.7540956363963516251e-10	1.3234578922829202707e-09	1.3137380771191145764e-09	7.4013254827828393222e-09
-8	-7	5	-1.0576519421283171519e-10	-2.3573374729311008123e-11	1.9170481144161468083e-10	5.6484452648505018082e-11	9.9162425277729814032e-11	4.1360834141009417487e-11
-8	-7	6	1.4946702635953005065e-09	-1.6022907223527181329e-09	1.1904736094342951889e-09	-6.2704944729178094898e-10	3.3817795624670781545e-09	-2.8679453183107020199e-09
-8	-7	7	2.7384465021804968055e-09	1.0316315813774275364e-08	3.265922074302699222e-09	-4.1442448683338089885e-09	6.3955752196518386055e-09	7.6458303474082189353e-09
-8	-7	8	1.1762198857242323008e-08	-1.042045719670496217e-09	2.2973660634060950538e-08	3.2027473795059840817e-08	3.1864151912045655969e-08	2.6981993851006862636e-08
-8	-6	-8	-5.6433888583296594838e-10	-6.4121597617563865906e-09	7.2394331348719992777e-09	2.7247149556675826902e-08	-4.8652359653210335099e-09	-1.4023202405750482759e-08
-8	-6	-7	-2.1588920856830033002e-09	-6.6500188562829537422e-10	2.442809764382358456e-10	1.6900065619627861336e-10	2.2579215466906588941e-09	6.1514444969267022459e-10
-8	-6	-6	3.0596061338351640474e-10	-1.0050612242501521607e-10	-4.8777774502859256258e-10	4.0220855528412782836e-10	7.9830260517237386413e-11	-2.6820039205077418971e-10
-8	-6	-5	9.7231900266054361921e-10	3.5999034473978016803e-09	2.5404986881822298875e-10	-7.0980003774584028145e-11	-1.8605702468387373772e-09	-5.6746695113069824854e-09
-8	-6	-4	5.0210631423892369153e-10	1.3360443032859537306e-10	2.2892054391912595715e-10	7.034561264829240225e-12	-1.3475934443565362412e-09	-2.7776070255443459192e-10
-8	-6	-3	4.6308693742221926994e-11	-6.1084281948211178931e-11	-1.5308417782356335536e-10	1.9818707838730229574e-10	1.8267850566786820426e-10	-2.3348273824604143042e-10
-8	-6	-2	-5.4999928210017152025e-11	-5.2982991985095048034e-11	8.9234275834501100446e-11	7.9547255557840754468e-11	-4.770311466343469324e-11	-2.6709798733142068034e-11
-8	-6	-1	-4.7964915181979484646e-11	1.6725686035145667602e-11	9.2546157147532926861e-11	-3.8329343412812472608e-11	-1.71557621429361684e-10	9.6170572195709520685e-11
-8	-6	0	1.7988404073605261507e-10	-3.1791792271378087305e-10	-2.3984538764807017066e-10	4.238905636183744974e-10	-4.6255652627836354469e-11	-5.7546638646958625791e-11
-8	-6	1	-1.9215391254835022233e-11	-4.1439057487342091197e-11	2.2546299225124074793e-11	7.5639041625760200093e-11	-1.8445334687935735566e-11	1.2232178985582444513e-10
