# cutoff=8 energy=1 Q=D^4*Z=0.00048614968755073928019
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	2.8717511948522303014e-06	3.5238236613413490933e-07	-1.4101415101511717415e-06	-2.5855571368279354375e-07	-1.4616096847010585599e-06	-9.3826652451341365585e-08
-8	-8	-7	-5.08666325793725906e-07	1.6972148089201188801e-07	-8.8277651301191994838e-08	1.8665594768802611612e-07	6.8222168810847761609e-07	-4.0728848980575773413e-07
-8	-8	-6	1.4564089878309365033e-08	9.4666517978209754972e-08	-1.6023928721504161964e-08	-1.7749182917995876761e-07	1.9464517909263975626e-09	1.1043374826899870557e-07
-8	-8	-5	4.1265524449298766084e-09	-3.151123197486327426e-10	6.1679434350259910504e-10	2.730258412046338325e-09	-7.5893548614919614724e-09	-3.8642337476763288491e-09
-8	-8	-4	1.5500253894382513693e-10	-2.4465129571345031678e-10	-1.8327148133644028156e-10	1.7985131481133989749e-10	5.6537884785230315099e-11	1.2959996180422078688e-10
-8	-8	-3	2.8473651309149761301e-12	-1.7969542739882601417e-12	1.69677966691902737e-11	-1.5978144851937544149e-11	-5.2840431466947331802e-11	4.7400264335802141006e-11
-8	-8	-2	9.4131304224314472249e-12	7.9416603049840500385e-12	-2.6745837696869460804e-12	-2.5201440648539275447e-12	-2.6954186610978006193e-11	-2.1686064960520489975e-11
-8	-8	-1	2.3686973189012212796e-11	3.1169339852841765323e-11	-2.5764341978536326349e-11	-3.2708823122526537059e-11	1.6618950316192892272e-11	1.2315866157478148043e-11
-8	-8	0	-4.8798122662952743659e-13	1.2768156400527970173e-12	4.8798122662952743659e-13	-1.2768156400527970173e-12	-6.1263638645080109944e-13	5.7207246246204773041e-12
-8	-8	1	-2.500717655353314013e-11	2.7041855958568771773e-11	2.6796264596954304217e-11	-2.8804920634217447612e-11	1.431270434736931269e-11	-1.4104517405189422866e-11
-8	-8	2	4.8814236366211255412e-12	-8.3328772765191151493e-12	7.48889384688352617e-13	4.7107576923142467927e-12	2.2521252085237911017e-11	-1.4488478336819473426e-11
-8	-8	3	-1.3663573281099376172e-11	5.9832651616911779548e-12	-5.3747408299845659846e-12	-2.1872799990470900607e-11	-5.076883762955717693e-11	-4.2372092876745924919e-11
-8	-8	4	1.1784384531317943989e-10	3.1213901378068963681e-10	-1.3740273490241036282e-10	-2.2399829083524679678e-10	-3.9117779178461865248e-11	1.7628144589088562836e-10
-8	-8	5	-4.8443882193308584361e-09	-7.8453628484995849089e-10	-6.52980824931743235e-10	1.7397725417392903646e-09	-8.7957904708201625083e-09	1.528378011022931122e-09
-8	-8	6	3.9266418601747687168e-08	-9.41555532711025754e-08	-6.9518715307905979452e-08	1.633082082258324394e-07	-4.0336395608211062996e-08	9.2203539939639818663e-08
-8	-8	7	3.8178644119222061444e-07	2.5073850846570371203e-07	-4.5622780413225866695e-07	3.2121817276729945956e-07	-8.5075843360043503718e-08	6.5366477855200354905e-07
-8	-8	8	1.6019908203550751762e-06	6.2151824522520309401e-07	-1.0729439351667953504e-06	-1.7372200696877391633e-07	5.2904688518827993165e-07	4.4779623825642920415e-07
-8	-7	-8	7.7242642886014591894e-07	5.5619760695891135059e-08	5.4008959095344258211e-07	-3.5840629710402025701e-07	-1.2450048209444081253e-06	2.5798574927012656997e-07
