# cutoff=8 energy=1 Q=D^4*Z=0.00047642686194426721747
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-8.3303725725658031138e-07	-5.8527802544528718536e-08	-1.0751697660447096912e-06	-5.245069521618863505e-07	1.9082070233012900026e-06	5.8303475470641503595e-07
-8	-8	-7	-1.6214271218814086609e-08	1.3175357548380561854e-08	3.7365674607604910665e-08	-3.2226480010570548653e-08	-2.417303244433237224e-08	2.1772711385359988221e-08
-8	-8	-6	6.5129877390940381149e-11	2.1901482391372195479e-10	9.8638378136950531682e-11	5.5590473727851647042e-10	-2.1835767403718789239e-10	-1.0332260815896513715e-09
-8	-8	-5	-8.7575175775634390207e-12	4.2515152885809964486e-11	1.5024168035198301552e-11	-3.1542505154213330366e-11	-1.0026640732215781019e-11	-1.7556236370554619761e-11
-8	-8	-4	1.2226371331270805022e-12	-6.7063732283496049557e-13	3.2141975402985977517e-13	9.8173835516215477891e-13	-3.0881137743138807567e-12	-6.2220206465438866765e-13
-8	-8	-3	-4.1290970407697808952e-13	-3.2209153975225647245e-13	-2.5904930654871609875e-13	6.8807495323727487151e-13	1.7918906950018511687e-12	-9.7595576929338233018e-13
-8	-8	-2	3.1075800931700192902e-14	-2.7488677879314232723e-13	-8.0144598865540070874e-14	2.234375549194289819e-14	1.9627519173535951189e-13	1.0101720932047976278e-12
-8	-8	-1	8.4675578447875399901e-14	3.4777967893321226845e-14	-4.3672164363893186392e-14	-3.8238266224709508586e-14	-3.2802731267185775856e-13	2.7682386651106288643e-14
-8	-8	0	-9.4049939765559309905e-14	-5.5309643985063007943e-15	9.4049939765559309905e-14	5.5309643985063007943e-15	6.4476087285809615984e-15	-1.300161620166163209e-13
-8	-8	1	-9.1513380627730199402e-14	3.1862559270956116115e-14	5.335155119857088649e-14	-3.9246821393084442545e-14	-3.052946354332745033e-13	-5.9074096977026611436e-14
-8	-8	2	1.2970793859219298662e-14	2.7659774943241290399e-13	-8.1565030639744773421e-14	-3.7032454589630626178e-14	-2.7437694712210187379e-13	9.5826117937112918698e-13
-8	-8	3	5.1963201228869950824e-13	-2.4269993654996754684e-13	1.046895551761893991e-13	7.5901068313086735261e-13	1.6648575132397036519e-12	1.3768286575490660814e-12
-8	-8	4	8.1939453980934478522e-13	1.141832488380693518e-12	7.0857395964766379417e-13	-1.0067524321363889695e-12	3.0559369989140171588e-12	2.7016011248860894573e-13
-8	-8	5	-4.6754198949716621817e-12	4.375123995711001566e-11	-8.4803471404052003538e-12	-4.2254422673810317918e-11	-2.1049227256602981349e-11	2.3949076532795132378e-12
-8	-8	6	1.2672831871507397102e-10	-8.9198326786024553958e-11	2.4901664421450042914e-10	-6.4721596964681745516e-10	5.0099328390609923468e-10	-9.8188572857712259266e-10
