# cutoff=7 energy=1 Q=D^4*Z=0.0004879493436489017069
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	2.4858250071100663848e-08	-1.4850162876742251666e-08	4.3093905736613545088e-09	1.9106860118764761309e-08	-2.9167640644762016703e-08	-4.2566972420225088163e-09
-7	-7	-6	-4.1581869889189346222e-09	-3.1395839510254973777e-08	7.7122334172011840287e-10	3.0404152791040761668e-08	3.9514575883986194223e-09	1.1569678390832451167e-09
-7	-7	-5	-5.487722762117945541e-09	-8.1807384488137704161e-10	5.0473359626020230302e-09	4.203137629737062045e-10	6.1654151932229182526e-10	5.568641146707392133e-10
-7	-7	-4	-6.0284119156954397129e-10	8.5104139860308893985e-10	6.2454139052218504283e-10	-8.9674953829336638674e-10	-3.7975348167121862274e-11	7.9989244457985532066e-11
-7	-7	-3	-1.8674734803622118767e-11	-4.2928505863931093997e-10	-4.2239710905900758001e-12	2.7378810963398364241e-10	5.3430313753161786516e-11	3.628262143457636943e-10
-7	-7	-2	-5.2990034704870730277e-11	-1.9427563604364194539e-12	7.8486681059599327963e-11	1.8789023793308566882e-11	-8.9238262241550101596e-11	-5.8961936015052517815e-11
-7	-7	-1	-2.7945649450308026492e-11	3.1896798914075717004e-11	2.4455254257384035397e-11	-2.9311813604852513035e-11	2.4432766350467931204e-11	-1.8094897164562398707e-11
-7	-7	0	-7.74367497129326161e-13	1.3140738729862595848e-11	7.74367497129326161e-13	-1.3140738729862595848e-11	5.2289414984790892911e-12	1.548221761044685015e-11
-7	-7	1	2.3230769014268404928e-11	-4.5851722954373933695e-12	-1.7761737156646097112e-11	7.3694557591940757072e-12	3.8283223003356151481e-11	1.948998424629677798e-11
-7	-7	2	4.3549865897172002931e-11	5.8171593658384495156e-12	-1.8677357598916975133e-11	-2.7495766741994125394e-11	8.7053779043892597294e-11	-7.587512581654486396e-11
-7	-7	3	-1.2863898983505639219e-10	-2.9605881336054224712e-10	7.6173208153651083998e-11	2.2108980626221662931e-10	-1.2242015725661234701e-10	-1.7492768322942642432e-10
-7	-7	4	-8.4949538603909216738e-11	4.2391901008927140482e-10	-4.8435993810927431172e-12	-5.1664825941902832476e-10	-1.5713799147375342369e-10	-1.6227618632707459698e-10
-7	-7	5	-4.3496483286517639198e-10	-2.0054006022141849738e-09	-3.6349050267234159992e-10	2.2590458112129566797e-09	-1.1178374697525251783e-09	3.5510329259828030551e-10
-7	-7	6	1.2265566254317424861e-08	-1.1890463619170744304e-08	-1.1746485557516712509e-08	1.0047305230863639184e-08	6.0559414626749850205e-10	-2.1503514530249574901e-09
-7	-7	7	6.5697559535912743379e-09	1.548269908507961268e-08	-7.7458590427516818955e-09	-6.3161307572988237794e-09	-1.1761030891604075576e-09	9.1665683277807897275e-09
-7	-6	-7	-2.3988834305166142348e-08	1.0132597046633221289e-08	-2.9963598151189310812e-09	5.6176000115192354421e-09	2.655714271812522625e-08	-1.4947682770792567608e-08
-7	-6	-6	-4.8855865079456632869e-09	4.9422016763899610803e-09	1.5810685916687709656e-08	6.8164537024751861027e-09	-1.0110834990751100696e-08	-1.2582355658263474581e-08
-7	-6	-5	-3.212230140820331127e-09	1.2280546267233145248e-09	8.8287922517247360606e-09	9.5924948537499597439e-10	-6.0974285049212192814e-09	-2.8703758598626354213e-09
-7	-6	-4	4.3275139393293431091e-10	5.6719535599965671793e-10	-6.7599371359452921628e-10	-1.1061733883850670851e-09	2.5667563100915875447e-10	6.666682095782015005e-10
-7	-6	-3	1.9715897445670839771e-10	-8.0411438907147638885e-11	-3.1159070018181576913e-10	-6.2830145749267195109e-11	1.6314379329797863612e-10	3.1328698228187884217e-10
-7	-6	-2	1.5884163964862148966e-10	-3.7081986985444573992e-11	-7.6132346049646963681e-11	3.7133823617580298013e-11	-3.2754870062123432278e-10	1.8385483596315108471e-11
-7	-6	-1	-7.9108034844086392192e-12	3.0872497741439431791e-11	2.2334095167931198792e-12	-2.3000526570272322701e-11	4.1975167290101748797e-11	-7.8104324768442086335e-11
-7	-6	0	1.2443668731925835946e-12	3.5698883810182019425e-12	-1.4517613520580140928e-12	-4.1648697778545688657e-12	1.0404459582303962029e-11	9.6846545427256567023e-12
