# cutoff=8 energy=1 Q=D^4*Z=0.00047629792119461617688
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-4.2232014572493058929e-07	-2.9701449293350763264e-08	-5.4609548164805481485e-07	-2.6616139495574197301e-07	9.6841562737298540414e-07	2.9586284424909269327e-07
-8	-8	-7	-1.2362903895758405158e-08	1.308092726537177586e-08	2.0391313664463979581e-08	-1.7186067513372935505e-08	-9.1753254499492290941e-09	4.6915888548584688752e-09
-8	-8	-6	1.3492773670156173809e-10	3.3385871114613924951e-10	-6.1277755914387676714e-11	2.0084808653717398816e-10	-9.819997438289874419e-11	-7.1294239691108431689e-10
-8	-8	-5	-2.7594795598213408013e-12	2.6877944450926519248e-11	1.0856051163470041972e-11	-2.5805333420604574899e-11	-1.2954514565837921874e-11	-1.7161776485151149965e-12
-8	-8	-4	1.6548631642381056755e-12	1.6675571598113557375e-13	3.6798481739685511873e-13	1.6150963833297150106e-12	-4.0456959632699214876e-12	-3.5637041986217012698e-12
-8	-8	-3	-8.2032194872535839498e-13	1.5524842364530168265e-13	-4.4100193063632825742e-13	3.8082390533322964862e-13	3.3635303449644977397e-12	-1.4295262106094168161e-12
-8	-8	-2	-8.4522659897443257565e-15	-4.69560374164324716e-13	-8.1908671674498838155e-14	2.6986900193188687735e-14	3.6144375065697266827e-13	1.7702938958845441636e-12
-8	-8	-1	1.2729926990245805888e-13	2.9002051904659778532e-14	-5.9193499166870453982e-14	-3.8726744778310517281e-14	-5.4484616588470094019e-13	7.7797542989205884749e-14
-8	-8	0	-9.5437034903323801246e-14	-5.2752105027532585589e-15	9.5437034903323801246e-14	5.2752105027532585589e-15	9.876304608966099105e-15	-2.0276474362082827864e-13
-8	-8	1	-1.3257925578159282361e-13	2.3905796312675292715e-14	6.9898028605818769593e-14	-4.0023644137156478018e-14	-5.0144981740619253309e-13	-1.2894278259584945718e-13
-8	-8	2	-4.2794136804005229651e-14	4.6652612513179173952e-13	-8.1257244681061412095e-14	-4.6913308553449819427e-14	-4.9620552594026656698e-13	1.6784512663133677561e-12
-8	-8	3	8.13183121065390169e-13	2.5977667693761068586e-13	3.9183597625953199853e-13	4.3639235544316091035e-13	3.2133842595331255108e-12	1.8564507530153910579e-12
-8	-8	4	1.4499537748686007183e-12	2.7211743029108672196e-13	7.6753370260807671958e-13	-1.6172631077857788391e-12	4.4349749549533550778e-12	-2.6902913549893840323e-12
-8	-8	5	-2.5119706483891806862e-12	2.831371853849562032e-11	-7.3919731948718112813e-12	-3.5482390661898558722e-11	-1.5846310149217587148e-11	-1.146987539744469789e-11
-8	-8	6	1.9493885110797262539e-10	-1.05479071337280123e-10	1.1698945990886430629e-11	-3.549250192422795305e-10	2.7551706279847875643e-10	-6.1387212077274623914e-10
-8	-8	7	3.0089516735940185228e-09	1.1301963020428410419e-08	-1.5075907937977272323e-08	-2.106286740966457859e-08	-1.3790807159295145782e-08	-1.1155319301984191723e-08
-8	-8	8	-2.6768095221935388349e-07	-1.5348302909793656785e-07	-7.8716145030900278873e-07	1.7857799478882106202e-07	-1.0548424025283566193e-06	2.5094965690884490861e-08
-8	-7	-8	2.3994971466182365066e-08	-1.7763189050889551126e-09	2.1162003041410933366e-08	-1.2691572144573647729e-08	-4.2511724127416931348e-08	1.2881444531590896876e-08
