# cutoff=8 energy=1 Q=D^4*Z=0.00047664839979622252971
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-4.0416759380035958135e-07	-2.8491355126098341616e-08	-5.19682170825478383e-07	-2.5356913108095568785e-07	9.2384976462583796435e-07	2.8206048620705401623e-07
-8	-8	-7	-1.1812494507796328444e-08	1.2534442513878104164e-08	1.9444919125100983062e-08	-1.6423711450527331144e-08	-8.7227709912053176726e-09	4.4448787847419741648e-09
-8	-8	-6	1.2952292854580374635e-10	3.1878298938919855621e-10	-5.8610365991241110218e-11	1.9092084771639791836e-10	-9.4550083406083501921e-11	-6.7960511614079533389e-10
-8	-8	-5	-4.1542758981982152386e-12	2.4862594427441904533e-11	1.2378678111518479965e-11	-2.352875314753065674e-11	-1.3159043541312422594e-11	-2.1341460478579991338e-12
-8	-8	-4	1.5685109306814022674e-12	2.3015477158385167193e-13	3.2259360754859662278e-13	1.5413977157291973623e-12	-3.7822090764599973764e-12	-3.5431049746260979675e-12
-8	-8	-3	-8.025794976437858331e-13	1.5012082609200355816e-13	-4.1700217611953810216e-13	3.5866581371750245691e-13	3.2522177967021972953e-12	-1.3567643728253493062e-12
-8	-8	-2	-2.3842210957791899805e-15	-4.4946691183146982908e-13	-8.1823457010606532571e-14	2.7742982573485630576e-14	3.3683071242554288705e-13	1.6868957170319367435e-12
-8	-8	-1	1.1934008875347602168e-13	2.9294480987270210054e-14	-5.5435699324122441564e-14	-3.8796925774705428176e-14	-5.1123511543482859045e-13	7.6019558299481770219e-14
-8	-8	0	-9.2995417118907572488e-14	-5.1157140857044438239e-15	9.2995417118907572488e-14	5.1157140857044438239e-15	9.3140152822807687438e-15	-1.858952421032878998e-13
-8	-8	1	-1.246342958002896297e-13	2.4291283087650157701e-14	6.5869574036831425426e-14	-3.994894835282986923e-14	-4.7011777410766573517e-13	-1.2526132212143771748e-13
-8	-8	2	-3.6244115711060113223e-14	4.47389051500669696e-13	-8.090610894886450192e-14	-4.7516056004291446694e-14	-4.6860089863969841008e-13	1.5994919819855130225e-12
-8	-8	3	7.9442530039897852386e-13	2.5425687097278024285e-13	3.6951277899022329308e-13	4.0936514782613025176e-13	3.1038348783712049798e-12	1.7696587167970946523e-12
-8	-8	4	1.4185008036070619417e-12	2.1857342637442132849e-13	6.7658509467257441189e-13	-1.5790390828323245973e-12	4.1901717965592723032e-12	-2.7209313129158066386e-12
-8	-8	5	-1.3269821983619318944e-12	2.6748717671041823051e-11	-9.1513956389753544411e-12	-3.3137411340559602372e-11	-1.6765404539739657167e-11	-1.0221909871228442068e-11
-8	-8	6	1.865154412771228931e-10	-9.9914287885502397145e-11	1.1046419520462429894e-11	-3.3803101634888651956e-10	2.6341581439678042635e-10	-5.8392707231251848667e-10
-8	-8	7	2.8514550417740317456e-09	1.0817950075208101973e-08	-1.4348198696260527526e-08	-2.0103622939113698278e-08	-1.3139135605127424222e-08	-1.0612197558749253392e-08
-8	-8	8	-2.5611838354550160972e-07	-1.4668849388948582631e-07	-7.4957296605722286629e-07	1.7034990401055515143e-07	-1.0056913496027245289e-06	2.3661410121069311884e-08
-8	-7	-8	2.2889691605432772827e-08	-1.6969248841075874226e-09	2.0221609554935493365e-08	-1.211253297323843644e-08	-4.0583599966001327867e-08	1.2295391235691219721e-08
-8	-7	-7	3.8978297048668589734e-10	-1.1303533612955757763e-09	-2.5076281896989707317e-09	9.3619960628417433827e-09	2.0621619377141866718e-09	-8.070163649932512506e-09
-8	-7	-6	5.2446197487482025083e-10	4.294900996244807987e-10	-1.3442816149531092945e-09	-1.3726488028774555431e-09	8.6904591761220061251e-10	1.0287701371910571377e-09
-8	-7	-5	-7.4999936429320025834e-11	2.2406895543258736129e-11	1.8314773006323442007e-10	-4.3571412557595961485e-11	-1.3640692380161614159e-10	2.5148944711420368919e-11
-8	-7	-4	8.750946792329724783e-12	-6.7776501215433836494e-13	-1.532041674030404332e-12	1.0057955434583548447e-11	-1.482082065510624148e-11	-1.6245891986212533254e-11
-8	-7	-3	-4.6095525059218685136e-12	5.1989606259357551868e-12	-9.2624538576385712748e-13	-1.4992461103180380757e-13	1.4453379249240648122e-11	-1.351407091008780493e-11
-8	-7	-2	-1.55968068994896763e-12	-3.0358661873710207001e-12	1.8151237898064264899e-13	6.5327196869017190823e-13	5.6034294333636209079e-12	9.8570128590684810709e-12
-8	-7	-1	8.3563262741933541748e-13	-2.0638021003995581762e-13	-4.5283740209170099611e-13	4.1015636057321802972e-14	-3.5151992047127760641e-12	1.3639322279183938697e-12
-8	-7	0	-2.2029975586746626757e-13	1.238075067647284629e-13	2.5177114956281859151e-13	-1.414942934454039576e-13	-7.7922782675955337494e-13	-1.3916872915040054684e-12
-8	-7	1	-6.0419044390549796655e-13	6.6735544806417834812e-13	2.8106760379451487106e-13	-4.4312145681398876246e-13	-2.8660503246823792816e-12	2.2369933868155052963e-12
-8	-7	2	1.8485340713932573907e-12	2.9131497790394749606e-12	-4.9977997499983743425e-13	-5.4976079873813852961e-13	5.6449063730735976845e-12	9.7284363205744152916e-12
-8	-7	3	6.8361340477730659992e-12	-1.3499451129354727516e-12	3.2205573753350561722e-13	-9.0547199584411315572e-13	1.8981154181639688448e-11	-5.7126216247975250038e-12
-8	-7	4	5.3405738951925308506e-12	-6.6080710283901382669e-12	-1.0450663217150863038e-11	-5.2315515358399498254e-12	-7.6075128396289474038e-12	-2.2371357244500188526e-11
-8	-7	5	7.4139119166807876218e-11	-4.3755176858854417908e-11	-1.7839826543411157087e-10	1.3546729991208770065e-10	-1.3113498094086358175e-10	1.1964593690275571225e-10
-8	-7	6	2.3507004143561564451e-11	-6.9856052393456797922e-10	2.6424116505960004714e-10	2.273697351585577124e-09	3.3962403142761548288e-10	1.7212328782704158679e-09
-8	-7	7	-8.1241340132229002103e-10	-4.5757778166365596555e-10	9.7843551921882179962e-09	4.5072187772296480689e-09	8.855882733534172376e-09	3.984272741042612916e-09
-8	-7	8	2.0146521692673154827e-08	-1.9206074059258230262e-08	2.0487262638216956365e-08	-4.1246663010598773186e-09	3.8072876501112989578e-08	-2.281515707268562426e-08
-8	-6	-8	-2.3226379525655643347e-10	3.1331867663178669184e-10	-4.6605616428925603861e-10	5.4647775989068995179e-10	5.8180591847349846243e-10	-7.2317699654980407813e-10
-8	-6	-7	-9.0130837117866818529e-12	2.0322945947035333671e-10	-5.1718304876962716235e-10	-4.1785400568313518858e-10	4.5360042318743665301e-10	1.2589833690514062289e-10
-8	-6	-6	7.8135334730097948383e-11	2.8591198317577861269e-11	1.0462160281372046181e-10	-7.9818488676409156647e-11	-2.088020491205177134e-10	4.169689091963867711e-11
-8	-6	-5	-2.1501536746333428458e-11	-1.4752837055140454428e-11	-4.6425203786187331308e-12	2.8861507199358865831e-11	3.9973483248475963028e-11	-1.1029269351005912558e-11
