# cutoff=5 energy=1 Q=D^4*Z=0.0004827406634682919191
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	-3.6454884201131110865e-06	-1.4967765192694627177e-05	-8.352640016122275109e-07	-3.7643475533457513575e-07	4.4807524217253384916e-06	1.5344199948029203795e-05
-5	-5	-4	-1.3631395804766998997e-06	-4.3973650048345411475e-07	9.5200333130890334815e-07	2.3839789503726881899e-07	5.1392031145974561e-07	2.5167325680773160646e-07
-5	-5	-3	-7.1409553007830854648e-08	3.3172508519633713328e-08	1.782122983212082115e-08	-3.5488217750527994979e-08	8.9313871959516722496e-08	3.8595153848238096437e-09
-5	-5	-2	2.6016611399172785478e-08	-1.1140722076625872099e-08	1.0436679375954813956e-09	4.3213267568769052006e-09	-6.7650698341920669253e-08	1.7048488299372418074e-08
-5	-5	-1	-1.3667975954569428564e-09	1.5415224516831236009e-08	1.8697778082630374435e-09	-7.8390950869839098508e-09	-2.5149010640304737627e-09	-3.7880647149236627484e-08
-5	-5	0	-8.3824572729085283969e-09	4.0837971848084254594e-09	8.3824572729085283969e-09	-4.0837971848084254594e-09	3.982157963143312218e-09	5.6141283020449081459e-09
-5	-5	1	1.4600386373066134816e-08	5.0062353343230216081e-09	-8.0708442921142621684e-09	-1.3725023147910155478e-09	3.2647710404759368199e-08	1.8168665097660031335e-08
-5	-5	2	2.1177471484930709532e-08	-1.9029536719255138641e-08	-3.6109091414810277904e-09	-3.2634425170883499999e-09	4.3916405858624203733e-08	-5.573244809085871912e-08
-5	-5	3	5.8450062207523783975e-08	-3.6136335223887137532e-08	-3.3632037013012869441e-08	-6.0991179525649225682e-09	4.136337532418485535e-08	-7.0392421960753437912e-08
-5	-5	4	-4.2622847159927960664e-07	1.2947954898192402297e-06	3.7038886126703324539e-07	-9.8533556715185974e-07	-6.9799512915307978034e-08	3.868249033342254004e-07
-5	-5	5	-9.2770556176979753908e-06	-1.1588969509371425387e-05	-2.1400389334091363273e-06	-3.6152938397330143968e-06	-1.1417094551107111295e-05	-1.5204263349104441054e-05
-5	-4	-5	2.8226170961861700661e-07	4.9747200326812423649e-07	1.02008737213267492e-06	7.4170977491191378151e-07	-1.0983316073247570062e-06	-1.0908398231976552829e-06
-5	-4	-4	5.5751792187618752462e-08	6.69513078993220947e-08	-2.0330327853185884989e-07	4.1383558923504881595e-08	1.3361353829733541759e-07	-1.2507269379765748674e-07
-5	-4	-3	-1.4677264980648326726e-07	-3.7290332339778430863e-08	4.4316187362552059396e-08	-4.0445121648827652559e-08	1.8553283319406935741e-07	1.1607738276473424382e-07
-5	-4	-2	1.3553500101031686725e-07	-1.4668518457440533335e-07	-2.6659885021087154787e-08	6.9275560574415945514e-08	-2.8551773248361786516e-07	2.2816184028718144236e-07
-5	-4	-1	3.8521999281340824249e-08	1.0494442470030937676e-07	-2.41878570027048826e-08	-8.5053287867067112306e-08	-9.5858568395884597464e-08	-1.8450897203327844783e-07
-5	-4	0	-1.8202661383508816645e-08	3.2769196308036471771e-08	2.2753326729386023288e-08	-4.0961495385045594677e-08	5.6375438232237985584e-08	2.628857921917312302e-08
-5	-4	1	1.0963825915903858056e-07	-3.9715597903069560332e-08	-8.589433706342343781e-08	3.8298565553454942186e-08	2.0461394754149911186e-07	-4.5383727301528039533e-08
-5	-4	2	2.6852155584606216251e-08	-2.0063034386618602057e-07	-3.8343639624903582626e-08	6.4744918867562797871e-08	-9.5568902882916180065e-09	-3.7208602193033944246e-07
-5	-4	3	-1.1681209312978790108e-07	-8.9149822667204296072e-08	-1.7325531170358987159e-08	6.5981739964129952642e-08	-2.1778753011012514251e-07	-6.0607384493167223264e-08
-5	-4	4	-7.9671493515732236746e-08	-1.4614299781138039361e-08	7.0482609854843803012e-08	2.6960682313155454644e-07	-2.9106757039821489611e-08	2.513389484051319625e-07
-5	-4	5	7.6597161626493698506e-07	9.4111466174348389208e-08	1.1933588132083627685e-06	6.180361107705640484e-07	1.7206586668316271998e-06	5.885403547907996094e-07
-5	-3	-5	-3.7142789886556847295e-08	-2.1563582054538750287e-08	-9.5820362607429173957e-08	3.2140089084901884762e-08	9.4635007451014351669e-08	2.2795286035976188508e-09
-5	-3	-4	5.0936608847294265738e-08	1.25692352644730554e-07	-5.8568294871547145987e-08	-2.0460407091875153073e-07	-1.9744539905457475992e-08	-3.6623876168495473432e-09
-5	-3	-3	-5.0568106008879117452e-07	4.0992814262113249151e-09	3.534624701596174328e-07	-2.7555894452928677449e-09	4.8933929665503445414e-07	-4.0765462650593408606e-09
-5	-3	-2	2.846527430721083867e-07	-7.1598990777880002403e-07	-1.5028571542649281342e-07	4.6995124782893393759e-07	-4.8620328454053179956e-07	1.0850478977035991272e-06
-5	-3	-1	3.2860883174527604406e-07	3.220668558472016108e-07	-3.5621168402089784355e-07	-3.9337663399900585968e-07	-5.7440910666368668964e-07	-4.3020437723899058083e-07
-5	-3	0	1.3757421453660690992e-08	9.4075128989350550969e-08	-2.2929035756101152205e-08	-1.5679188164891758936e-07	2.2036951228753797054e-07	-2.5308254506667102971e-08
-5	-3	1	2.5235266350726874061e-07	-4.1546398303652505166e-07	-2.6840365402577422134e-07	4.9928936135695999052e-07	4.5655235545902114491e-07	-5.7945183111174533965e-07
