# cutoff=5 energy=1 Q=D^4*Z=4.9922497142362708346e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	-6.1329114125857351053e-09	-5.9364644812684600586e-10	5.1954108039044113966e-09	-3.2814826802345579927e-10	9.3750060868132391554e-10	9.2179471615030185683e-10
-5	-5	-4	-4.0575611166657981349e-10	4.5735688176416473509e-09	-2.0835587292969851095e-09	-2.1097011712801429632e-10	3.1116435512044561538e-09	-5.4532483756420413182e-09
-5	-5	-3	-3.6130589225418024398e-10	-1.7174744959628896018e-10	2.2621164015294184693e-10	7.316428192475206395e-11	2.2515708683539731981e-10	1.6430527945256146787e-10
-5	-5	-2	2.9714229006771740515e-09	-3.6614971614994761903e-09	-2.6613561467656692242e-09	2.5773503597203525153e-09	-7.7516688477876144802e-10	2.7103670044478096012e-09
-5	-5	-1	-6.5770439820103873225e-11	-6.7275424039593511357e-11	1.4357447439872049976e-11	1.6450015327510790774e-11	2.5706496190115915178e-10	2.5412704356041363523e-10
-5	-5	0	-3.0182554993093779527e-11	-3.2573250917655255433e-11	3.0182554993093779527e-11	3.2573250917655255433e-11	7.2295952325389835179e-10	-4.5487946316331687674e-10
-5	-5	1	-2.2095588552101819776e-09	-4.3207740100677544021e-09	1.7135390749294218213e-09	3.2052503147312950592e-09	-2.4800989014038014015e-09	-5.5776184766822975421e-09
-5	-5	2	6.8974898414687291174e-09	-4.7987247975462138244e-09	-4.0174219751905687829e-08	1.258594676637997416e-08	-8.3191824776092394297e-08	1.9468054922084400838e-08
-5	-5	3	-7.3965668052919856192e-09	-2.6003894553036395819e-08	3.2412427909182975423e-09	1.996675239678633785e-09	-6.9255400239561465191e-09	-4.0012032188929605182e-08
-5	-5	4	-9.5793949945515823253e-07	1.907063061299672122e-07	1.0684050164932444333e-06	-2.1585326786413574323e-07	1.3808189629760767152e-07	-3.1433702167710690261e-08
-5	-5	5	-8.4788637506556340414e-08	1.3537879245981834434e-06	2.2892315844689351287e-08	-8.6689961778230715823e-06	-6.1896321661866992436e-08	-7.3152082532248881389e-06
-5	-4	-5	5.6648141372952619204e-09	4.6229187218760545028e-10	-3.3163407686607015962e-09	-6.7387392998882841095e-10	-3.0117415223667009743e-09	7.6807271803457291406e-11
-5	-4	-4	-6.0579767432345696444e-11	9.7311854260786364533e-10	-2.8445355158592779569e-11	-7.4581279753373349516e-10	1.0417006444902490012e-10	-4.705853807260960615e-10
-5	-4	-3	-9.9562434458513701474e-10	1.5268469310265613625e-10	-5.713812508406334966e-10	-1.4552844963279462733e-09	2.421215575429406698e-09	1.6859048399328349936e-09
