# cutoff=6 energy=1 Q=D^4*Z=9.6781886692964002993e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	2.5219224068884527696e-11	-3.266508484397978916e-12	-2.0824745718848006613e-11	5.9596787416182507386e-12	-4.3944783500365186592e-12	-2.6931702572202714187e-12
-6	-6	-5	-1.850033428287263396e-11	-1.7911875362943400916e-10	3.2474154625889731664e-11	1.5318538932121642079e-10	-1.6768584411620521768e-11	3.1120037169861106041e-11
-6	-6	-4	-1.2997946636202295106e-10	2.6174849068176257103e-12	2.6233747539914215438e-11	-1.4109610751113138045e-11	1.5561857823316308082e-10	1.7238188766443267896e-11
-6	-6	-3	-1.7248730578085390229e-11	3.9238602272564864425e-11	2.0102285638941858474e-11	-3.1243989371288563455e-11	-5.7071101217129340661e-12	-1.5989225802552608402e-11
-6	-6	-2	1.4689650758895559422e-12	1.0099678967958387393e-12	-1.3910232704206808087e-12	-9.3581839745824970322e-13	-2.3382541640662529971e-13	-2.224484980127669063e-13
-6	-6	-1	1.2756889688883015794e-13	6.3046684607251023985e-13	-2.6654536033761498629e-13	-4.7710519595408809863e-13	8.3385878069270891959e-13	-9.2016990071053325126e-13
-6	-6	0	1.1216647708906186615e-13	2.5041845593230375127e-13	-1.1216647708906186615e-13	-2.5041845593230375127e-13	2.4588524353775300389e-12	4.9471080238179952367e-12
-6	-6	1	-1.4558686661156668105e-12	8.0190687376841043908e-13	3.8927076475450141099e-12	-2.0662189790449643577e-12	1.4621033888576082585e-11	-7.5858726316593235119e-12
-6	-6	2	-2.0194239272290011189e-13	-6.4461516454346061194e-12	4.5171922758813477771e-12	1.1784513524707799108e-11	1.294574964947534297e-11	1.6015085637819576541e-11
-6	-6	3	2.437958966346780064e-11	-5.2431882466594625564e-11	-2.3686006391242978275e-10	8.2078764603333751284e-11	-4.2496094849792395777e-10	5.9293764273478251439e-11
-6	-6	4	8.1399307021367049738e-09	2.4826146788898469119e-08	-7.2777643644568200714e-09	-1.9748472350801809401e-08	1.2932495065198283875e-09	7.6165116571449912313e-09
-6	-6	5	1.6495816441673518063e-07	-1.8302945336852956908e-08	-1.0720534818819111127e-07	1.1961481055356681708e-08	6.9303379474252893816e-08	-7.6097571377955302406e-09
-6	-6	6	-7.9662045122866422502e-10	1.99575153085276317e-08	-2.6669851246734529862e-10	7.634558563140587182e-09	-1.0633189636960095753e-09	2.7592073871668218882e-08
-6	-5	-6	-1.7539399414774967605e-10	6.9173801092670474348e-11	6.8260194537415173562e-11	-2.5455849972300361582e-11	1.1851049869990370455e-10	-4.7960592782420164413e-11
-6	-5	-5	3.9134442790836348382e-11	1.9633356957499076411e-10	-2.0584318426929098743e-10	-2.9556701196256206467e-10	1.5888185292028737196e-10	5.996672847257314257e-11
-6	-5	-4	4.418839509071786284e-11	-1.1676063500656068358e-11	-1.7497984342813363368e-11	1.1535504206502165359e-11	-4.441011220756009328e-11	3.0947149928563966454e-12
-6	-5	-3	1.9441220612737220883e-12	5.3910258517452657983e-12	-1.3344226309823679818e-13	-1.0724040616053938248e-11	-3.6658403507170499338e-12	7.0913493232660324195e-12
-6	-5	-2	-3.3572360861452757671e-12	-4.9355411837785157058e-12	9.1230267727347496446e-12	1.3005248986449506436e-11	-1.2735858673401049233e-11	-1.7706498914788219781e-11
-6	-5	-1	-1.1543936820314777893e-11	4.560350908471429935e-11	2.7912405266619982159e-11	-9.3979213978842225718e-11	-7.0298405411211253131e-11	1.9627501538592534541e-10
-6	-5	0	-2.1636469653626086766e-10	-1.3382202364508160327e-10	2.5963763584351304119e-10	1.6058642837409792909e-10	1.4510060683575467174e-10	1.4712293670567697656e-10
-6	-5	1	-1.252984124633735872e-10	1.5861649845615032415e-10	3.5012282577607609938e-10	-3.9212823415542844781e-10	9.9882365410013887031e-10	-1.0089421800402402941e-09
-6	-5	2	3.6089001371120462538e-11	1.1577102516348809445e-10	1.8604896223525600985e-10	1.6064483804548091199e-10	5.7338940970150141225e-10	7.4892517060416652453e-10
-6	-5	3	-5.9098172718325605448e-10	5.1949407092989810893e-10	2.0467732712126149764e-10	-1.9847482988936784723e-10	-8.4083457583107631403e-10	7.081967587108499092e-10
-6	-5	4	-7.9602627877700691264e-10	-1.3038898599274795549e-09	-1.286667601832211182e-09	-3.3317288854880852907e-09	-2.802373920455774243e-09	-6.1204958967513263592e-09
-6	-5	5	-4.834513285664156478e-07	2.3706262555833682803e-07	2.726838302743512722e-07	-1.3306706820560109296e-07	-3.0745776400534754751e-07	1.5140808246440310597e-07
-6	-5	6	-1.8636301641978459641e-07	-5.7359157732438105386e-07	-2.684946969542897702e-08	-8.0822069515893998882e-08	-2.087375744993087329e-07	-6.4094330192095936641e-07
-6	-4	-6	3.0019613716902805811e-11	4.1276199020787741866e-11	2.5267667749840512293e-11	-3.4668700559174398514e-11	-4.6864725550129811852e-11	-1.8163731981338140703e-11
-6	-4	-5	1.5591019928411326267e-11	1.7137581742632993722e-11	8.6218935838075559966e-12	4.136214057170806231e-12	-2.5606738781139636318e-11	-2.3874069336896240036e-11
-6	-4	-4	-3.1045371202215383254e-12	2.2280664282081422283e-12	4.2818689942167441676e-12	-2.0377492539603730013e-12	3.749366861155635729e-13	-1.3043503883518403411e-12
-6	-4	-3	2.9557638320319215639e-13	-3.4508686410610261864e-11	-3.1804853493510144207e-11	6.0600725294136521871e-11	4.1815318558273807391e-11	-1.1783594237628183409e-11
-6	-4	-2	-2.4556240443784964735e-10	3.018592440867888319e-11	8.8298171995514367076e-11	-4.8915624253689299812e-11	5.6009086932252028545e-10	7.273475281341962173e-12
-6	-4	-1	-4.4360074935820736969e-11	2.9326496852311853423e-10	4.5814275879320818506e-11	-2.0719270422337913663e-10	8.2903346097641147788e-11	-9.3081899424519465885e-10
-6	-4	0	9.9317159443810817509e-12	4.5060815940781341801e-11	-1.4897573916571623434e-11	-6.7591223911172012702e-11	-1.0125890089697970568e-09	-1.987304760538234131e-10
-6	-4	1	2.1939466651370702273e-09	-5.8116309205895751355e-09	-3.2982501568544998774e-09	8.4765921599739273634e-09	-2.9320636595577033976e-11	-9.6341688364173970538e-10
-6	-4	2	1.917909496906342331e-09	1.1091462258387335101e-09	9.6215792614988105231e-09	5.2503766329033910254e-09	2.4996887013716648866e-08	1.3828191943322982167e-08
-6	-4	3	7.3838045077616977665e-09	-1.432842237963371314e-08	-2.5181541441326680745e-08	4.1725307997308662312e-08	-1.8807779572912178794e-08	2.6976899237144123469e-08
-6	-4	4	4.2529732114602232554e-09	3.0894831363564533397e-09	-4.8824306897810581499e-09	-3.845995203406777552e-09	1.4970291274092761128e-09	7.8822950112790204396e-10
-6	-4	5	-5.201136837972122554e-09	5.457175594638071559e-09	1.6534218340289998411e-08	-1.5832301668564490715e-08	6.9860104666654506718e-09	-6.1172306212859067011e-09
-6	-4	6	9.2173058586542085483e-08	1.3859494419445416099e-07	1.454525287566829411e-07	1.9116987863997843466e-07	1.8914141109099737955e-07	2.6604152995443980174e-07
-6	-3	-6	1.478721632054362541e-11	-1.3521677009785562076e-11	-1.5393473061186261887e-11	1.946233260310240775e-11	-7.0904797899504952747e-12	3.7905107082343590085e-12
-6	-3	-5	4.8963383701227694195e-12	5.6814517016065733306e-12	-1.9291655444957618877e-12	-8.6420338789941598261e-13	-4.7181067174498662515e-12	-6.2992200091882381245e-12
-6	-3	-4	-1.7060456332111340881e-11	1.4402317517055546717e-11	8.3742675806162928508e-12	-2.6693050908141939332e-11	1.9309983812704789259e-11	-1.5836880944768645667e-12
-6	-3	-3	9.2346271581375203933e-11	1.3186319178588476859e-10	6.2880310024650865856e-11	4.5693566638056269696e-11	-2.4757285318740124787e-10	-3.0941995020982582627e-10
