# cutoff=6 energy=1 Q=D^4*Z=5.4287559524339261459e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-4.1603871009746963887e-13	1.0847989355842772671e-13	1.0369271497941921987e-13	8.4472966165142512842e-15	3.1234599511805039376e-13	-1.1692719017494198588e-13
-6	-6	-5	3.9788304674499598017e-11	-3.2152617520571495445e-10	1.3329740938287441939e-10	-9.0735202697743375042e-11	-2.0770285686884883898e-10	4.9471365348414994886e-10
-6	-6	-4	4.9742921656284136831e-10	4.8814226764107208707e-10	1.4952519480240532684e-09	4.4665270850611370464e-10	-2.9890217468803419034e-09	-1.4021924642207787134e-09
-6	-6	-3	-2.6209740309125563638e-10	1.2123777996017173189e-09	4.0498198926438243151e-11	-7.4437049017281415589e-10	4.4319840832963477353e-10	-9.3601461885780632608e-10
-6	-6	-2	2.8314808454997640883e-09	2.7485952474364423112e-09	-4.4969718377611553937e-09	-1.9650866131631186849e-09	4.9964729767841726754e-09	-2.3505259028199700516e-09
-6	-6	-1	2.5283870962141630799e-10	-3.013450893916988685e-10	-1.4004285508897487039e-10	7.1699053434466701518e-11	-6.7677512719464883239e-10	1.3778762157433927951e-09
-6	-6	0	2.241378473052102514e-10	3.8466897346290869796e-10	-2.241378473052102514e-10	-3.8466897346290869796e-10	7.7444060598459238216e-11	3.0349458568415731782e-11
-6	-6	1	-5.3644566020032735077e-09	3.0601244105497326292e-09	3.8977411833119237511e-09	-3.2869758473912258694e-09	-8.8002925121480968851e-09	-1.3611086210489590276e-09
-6	-6	2	-1.685233088456231389e-08	-2.891681458283026555e-08	1.4674485506092169154e-08	2.9794598340265477126e-08	-6.5335361354104333818e-09	2.6333512723056330728e-09
-6	-6	3	-2.3509077839008997201e-07	5.1807771392448833311e-08	3.0184567889954196064e-07	-8.9413751921212114876e-08	1.3350980101890400372e-07	-7.5211961057526576366e-08
-6	-6	4	-5.8806873188776334725e-08	-4.859210573411331184e-07	2.2179894127502202e-08	2.130644835400473884e-07	-5.4940468591911200741e-08	-4.0928486070162854206e-07
-6	-6	5	1.801131168217997042e-06	-2.0362607178569044322e-07	-2.3255631113663459148e-06	2.6519863591601921877e-07	-6.2931833177801845682e-07	7.3887076956394538604e-08
-6	-6	6	-2.7148959834776328177e-09	-6.211267533202665235e-08	2.9345779439370516746e-09	5.5688772620416558118e-08	2.1968196045941896038e-10	-6.4239027116100983678e-09
-6	-5	-6	-2.6155750315826641733e-10	-4.5935572155653142899e-11	1.7183601818592431349e-10	2.5304921407042764995e-10	1.1836082133666281414e-10	-1.6493877290303655462e-10
-6	-5	-5	-2.7738614923387966166e-10	1.2723859188608333402e-09	9.0390718709752272781e-10	2.3128800767504041348e-10	-5.7104380801686709245e-10	-1.7581511103080403596e-09
-6	-5	-4	-2.7817643442365850215e-10	4.6016514837512365771e-10	-1.0937428652855477854e-08	-3.7634840864510148095e-09	1.4089050467704834864e-08	4.0141073855010838266e-09
-6	-5	-3	5.4204920742288809368e-10	-3.1176002554564792763e-09	-1.7922776754033461101e-09	-1.6066927355796021922e-10	1.9030310441598005939e-09	6.5029826335095595728e-09
