# cutoff=6 energy=1 Q=D^4*Z=5.6032122199222823428e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-8.8014768488736568708e-16	1.0642916541189469985e-16	1.3884886254579746359e-15	-4.0590422797469120906e-16	-5.0834094057060894885e-16	2.9947506256279652154e-16
-6	-6	-5	1.6224109806382105865e-13	-5.0704721933998874816e-13	-4.5721643691890614515e-14	2.8193018157568595273e-13	-1.3982334524631655568e-13	2.7014044531716334441e-13
-6	-6	-4	-3.6167764763497550425e-12	-2.6007458965419785741e-12	3.7612962651659311206e-13	-9.5967603205232211587e-13	4.860970274749742517e-12	5.3406328928914510349e-12
-6	-6	-3	4.0690160717386886901e-11	3.9405055148287600163e-10	-6.9358959640430378738e-11	-3.0037971389509233143e-10	5.7337597846086990135e-11	-1.8734167517556731456e-10
-6	-6	-2	1.550814925264625275e-09	1.3444630354960946484e-09	-1.9474979636157985256e-09	-9.6155524672671879818e-10	1.1900491150535191312e-09	-1.1487233663081273438e-09
-6	-6	-1	1.3373811148616069359e-10	-2.0779181751438324227e-10	-1.5783347117276655159e-11	-2.1185406179931836715e-11	-7.0772858621330428227e-10	1.373863342165890377e-09
-6	-6	0	-1.3368369166757876495e-10	-1.500614265314643247e-10	1.3368369166757876495e-10	1.500614265314643247e-10	-6.2246217220725758768e-12	1.2877205117817993819e-10
-6	-6	1	-7.1738364560695736283e-09	4.2854182951926257851e-09	5.0029746992204753214e-09	-3.9349163205067387426e-09	-1.3025170541094589841e-08	2.1030118481153243228e-09
-6	-6	2	1.6682035596431911203e-09	2.4029132882060548405e-09	-1.1168409757002294223e-08	-1.854545641271875378e-08	-2.8500618592077309515e-08	-4.8427629373538094752e-08
-6	-6	3	-1.7230548309473001927e-08	1.0255104069799423606e-09	3.9657681169752222946e-08	-1.8412831167200816294e-08	4.4854265720558435421e-08	-3.4774641520441745799e-08
-6	-6	4	3.3899634402144930685e-09	1.1744609026856762538e-08	-7.3560592672513749692e-09	-3.1120542019189224498e-08	-5.9491437405553232647e-09	-2.9063899488498696249e-08
-6	-6	5	1.0404515439572282195e-09	-9.5842769599090939545e-11	-6.5729516840048734877e-10	7.5951931085317298658e-11	4.5978765066808906555e-10	-2.3869006216528369711e-11
-6	-6	6	-3.869478742543401141e-13	2.0366986997179952794e-11	1.0786650452596900962e-12	4.6946669738287773795e-12	6.9171717100534993164e-13	2.5061653971008731789e-11
-6	-5	-6	-1.4680772418168631717e-13	1.1196723499821655665e-13	3.1416163482854188852e-13	5.1188929106613855069e-14	-1.1499363817543189802e-13	-1.5462467592039476395e-13
-6	-5	-5	-3.0777593512336369228e-12	-1.8006449835313636217e-11	2.5579506806581055511e-11	3.0809784959427101217e-11	-2.1886195585100692819e-11	-9.2020451570507413109e-12
-6	-5	-4	-7.0979883083042846353e-11	3.8257252237314882453e-10	-1.0750201654899112076e-08	-3.6550526625616600372e-09	1.354422189324845421e-08	3.9949570446423519131e-09
-6	-5	-3	1.9415342875502308649e-11	-8.9925117899446451892e-10	-2.0422838874897982799e-09	-2.6991375922742843573e-09	3.3649757933986590663e-09	6.2970650117794027598e-09
-6	-5	-2	-9.4797104949235957728e-09	-1.896889233463729205e-09	6.1066024751747310977e-09	-6.5603795445809370498e-09	1.3172625296833962469e-08	2.2091616561843531894e-08
-6	-5	-1	-8.3782752045796648467e-10	2.6264991542275738198e-09	1.1583112964459547073e-09	-2.9631672303669907563e-09	-7.6459135948197514568e-10	-9.4315877353048789622e-10
-6	-5	0	-1.3175048516804609914e-09	-1.056938169690871012e-09	1.581005822016553107e-09	1.2683258036290452558e-09	-1.9147854168224258262e-09	-1.507805474416988207e-09
-6	-5	1	-8.0658299384793084658e-08	7.5333660726962138179e-08	8.3717758655868428507e-08	-7.3307811842499864839e-08	-6.5361003029416405119e-08	8.5462905149273544583e-08
-6	-5	2	-2.1202477956644551465e-07	-2.6855688920159766133e-07	3.6813866757177201008e-07	3.8291761689217866324e-07	2.8427233023009350773e-07	1.516233746256535947e-07
-6	-5	3	1.2503198329997433142e-06	-1.0232556838215489842e-06	-3.6157806554389638028e-06	3.2024004143737169205e-06	-3.5256614263987860939e-06	3.2908226563130963345e-06
-6	-5	4	-1.6960386684510901731e-06	-2.7133736230131754556e-06	2.3287295082303312708e-06	4.1933797080751157609e-06	3.6685388261127882892e-07	1.1716642005741310943e-06
-6	-5	5	-4.7168186280037326752e-08	3.1585948649874652441e-08	1.4898890803958369791e-07	-8.2504003712966974269e-08	9.2387084503538897864e-08	-4.4600865333117395311e-08
-6	-5	6	3.3717115070691495125e-10	1.0642354153412287367e-09	-2.2973919032347415876e-10	-6.1114228943861721677e-10	1.4572182543735311351e-10	5.5495017414238088372e-10
-6	-4	-6	-4.8424442343757627935e-12	4.4152854341769315929e-12	1.5132567752788797354e-12	2.0804046032747101311e-13	3.8336063841898431045e-12	-4.553979074395245568e-12
-6	-4	-5	-2.5432807826640724649e-10	-7.8245929851280741578e-10	-8.2345773002668338659e-10	-5.8933442088305003871e-09	9.6395987794103530166e-10	5.6536265252797692086e-09
-6	-4	-4	-6.3986472853522275958e-10	2.4591467676290344297e-11	8.1966262640828174453e-09	-7.1328114150682805515e-09	-7.2368291712799837713e-09	7.0959242135538449914e-09
-6	-4	-3	1.2070030324920264791e-09	2.3117800349894334956e-09	-8.5570963611999661707e-10	-2.2630188186016449957e-09	-1.2730598834907239287e-09	-1.60620164517667325e-09
-6	-4	-2	2.1623185295825843775e-08	5.1572387513863541717e-09	-1.3915344986728173265e-08	-3.7323635904214693976e-09	-3.7038865914021188103e-08	-8.0069890733161245471e-09
-6	-4	-1	-1.0888642452439456338e-10	4.5634946093805611322e-10	9.3112152200410563188e-11	-3.5481038573215720231e-10	2.808699383447251275e-10	-1.3188552226997077667e-09
-6	-4	0	-8.7477646293695881706e-11	-3.0717614646809903115e-10	1.312164694405438161e-10	4.6076421970214854673e-10	-6.5734034328754744488e-10	6.4761337735267825548e-11
-6	-4	1	2.4883024292454755708e-10	5.2052278611947126803e-10	2.6478903187389327804e-09	-8.9820177955178503927e-09	1.2084542732503016774e-08	-3.2804934465354574583e-08
-6	-4	2	-1.1522826055974514786e-07	-1.0083478304069341786e-07	-3.536631050784549367e-07	-7.7076603516760122063e-08	-1.053010991836145264e-06	-4.5665755615560047125e-07
-6	-4	3	-2.123115078294680547e-06	2.7954236419358706624e-06	2.3751628513251053933e-06	-3.1037012018835490085e-06	-1.0793463548225536911e-06	1.4525790146936759095e-06
-6	-4	4	-1.094329034802468258e-05	-9.3602053675434278171e-06	2.5139894901682533737e-05	2.0873036210650592188e-05	8.7249593796455081725e-06	6.8327281593354496157e-06
-6	-4	5	8.7187032725733930934e-06	-9.3942001183919810039e-06	-2.1122477490390734683e-05	2.1772574277628466572e-05	-6.4355380652245162035e-06	6.1450192800323948672e-06
-6	-4	6	-6.7264751864473776347e-08	-7.5162387660267101718e-08	8.9644220155254385339e-08	9.8991930781713222125e-08	-7.5019384276375172491e-09	-9.1677671391249530831e-09
-6	-3	-6	-3.2433524248524919012e-10	3.7974899032172456355e-10	1.7601927934498173031e-10	-9.0263607682286190944e-11	2.3632560281275833789e-10	-3.3461718648058143577e-10
-6	-3	-5	-1.2698214101170610905e-09	-1.1149037504067971916e-09	-9.3646277792348155289e-09	-1.0434050233064896033e-08	7.1425623596813625432e-09	7.5983146403270936705e-09
-6	-3	-4	2.0123641961129694881e-09	-1.0027685517099531337e-09	-9.0367648214561682265e-10	5.217703052661136836e-10	-2.3407889325602415893e-09	1.112825098615344593e-09
-6	-3	-3	6.7550101087122153888e-11	1.5135276755387944084e-10	-6.8295921831763881621e-11	-1.0550077495467625298e-10	-6.680428034248043908e-11	-1.9720476015308262869e-10
-6	-3	-2	4.5311387056864150999e-10	-4.1386883773833766218e-11	-3.5182983471178975337e-10	1.8111117265134231898e-11	-8.3159685963823987406e-10	9.6993975423799944344e-11
-6	-3	-1	2.6144304701757965466e-11	-6.7266752364881119835e-11	-1.9735605074181289647e-11	1.3745468011045437202e-10	-9.7659012988003936778e-11	-8.7635261420763970463e-12
-6	-3	0	3.9729369374672340206e-10	-2.5016909829219851088e-10	-7.9458738749344680411e-10	5.0033819658439702177e-10	-1.5544576191198413361e-09	4.4738769461190878949e-10
-6	-3	1	-1.625429048151514527e-10	-1.4066833931773497402e-08	1.7249284220746495241e-10	3.0643838205507763263e-08	-4.5777890226851383311e-10	7.5305110258823086837e-09
-6	-3	2	6.0263872099518299747e-08	3.9789855830993550605e-09	-1.375249171471034433e-07	-1.1466755097169391977e-08	-2.5495759422100282257e-08	-5.2631758964560227847e-09
-6	-3	3	6.9500189656033824677e-08	-2.8355260143456583964e-07	-2.8974568499202743618e-07	1.218073553925123375e-06	-1.5074530567995976036e-07	6.5096835105599169574e-07
-6	-3	4	-8.6156362661269094528e-06	-3.2611757061841271463e-06	8.9163910007266749109e-06	3.7830895685349751014e-06	-6.2361611486453592666e-06	-2.0544463828749592875e-06
-6	-3	5	6.9046600632709597111e-06	-1.3533842853048286213e-05	-1.394350900758196897e-05	2.9736068400495497681e-05	-8.0513328624029950737e-08	1.6010296166393557883e-06
-6	-3	6	2.9524204532590259233e-06	1.7554180874512087608e-06	-5.4782886340289742278e-06	-3.21738536040906624e-06	2.1327613624453888878e-07	1.4672540724667558782e-07
-6	-2	-6	-7.7488863933371660426e-10	5.7630670350970493372e-10	-1.8442996355006918643e-09	4.2750762232151007018e-09	1.3896551845006139958e-09	-2.0013321112480718688e-09
-6	-2	-5	2.8766123603844857738e-09	2.1806626588468114351e-09	2.1659446889535679636e-08	1.6739718853301953853e-09	-1.2115713588275654948e-08	-3.2863839447482517935e-09
-6	-2	-4	2.1673394008802583095e-10	8.5437828521327012842e-09	-5.8086311202355064421e-10	-9.4024654961129193916e-09	-3.4669354120263424318e-11	-8.1144415301425930578e-09
-6	-2	-3	-1.6972811386896859566e-10	-1.9279615401334375983e-11	2.0387373461033450391e-10	-2.6076476429095112246e-11	2.0354040466438084677e-10	5.5943548422065497772e-11
-6	-2	-2	2.0584215800217789738e-11	-2.240183770887103959e-11	1.812657822755516394e-10	-5.0397539495735244027e-11	-2.4301842967620499892e-10	1.1760305262234837572e-10
-6	-2	-1	9.4817479933010966706e-11	1.8068119174995713652e-10	-1.3108906056406648938e-10	-2.5624488657591972096e-10	-3.0672675846993287318e-10	-5.7159737734790342888e-10
-6	-2	0	2.0490703281683936765e-09	-8.7029826185944503148e-10	-6.1472109845051814431e-09	2.6108947855783348876e-09	-8.3802096036185762755e-09	3.4099798007581273515e-09
