# cutoff=5 energy=1 Q=D^4*Z=9.000203090482137207e-18
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	-2.9224521701744362537e-05	1.1140276864400568466e-05	5.7142512570854856293e-05	0.00044730348683018035863	-2.7917990869110497143e-05	-0.00045844376369458093726
-5	-5	-4	6.5690824297212409587e-06	0.0013293941525294248728	0.00017362261452560180447	0.00060023616548169017679	-0.00022523962119415380382	-0.0024120378975138936223
-5	-5	-3	0.0015960574374651740129	0.00041920098203067086406	-0.0019018383086608567356	-0.00068035473345157734381	0.00050963478532613790736	0.00043525625236817748432
-5	-5	-2	-0.00067948041211029553462	0.00010050560181610465539	0.00078860826945703176982	-0.00087836547396885297258	-0.00027281964336684053378	0.0019446496803818707523
-5	-5	-1	0.00022788664473797408893	0.00091349356285216421272	-0.00027648361497039887968	-0.00070573382360603715766	0.00024298485116212406218	-0.0010387986962306352753
-5	-5	0	-0.0013174787848211722083	0.001783486998184207091	0.0013174787848211722083	-0.001783486998184207091	0.0015162468513127299024	0.00071055111724916038014
-5	-5	1	-0.00031581472431599578099	-0.00065384961189626398474	0.00027082025154253692089	0.00010571975002701836587	-0.0002249723638672944631	-0.0027406493093462282705
-5	-5	2	0.00076012253111310738949	-0.00072514287537422668188	-0.00031170759347716469907	0.00015158860437192232633	0.0011210373440898567261	-0.0014338856775057608889
-5	-5	3	0.0015404392436517728038	0.001663450920651390972	-8.1513102650254321458e-05	-0.0003420718849314489181	0.0024315435683358640334	0.0022022983928665701078
-5	-5	4	0.00013651566999926898621	-0.00050485417860411847552	-0.001732998142459593301	-0.00023995637184419382759	-0.0019956030905754055561	-0.00093101318806039035179
-5	-5	5	0.0012164255537590346491	-0.0011848800819010615881	-0.0010688587948831228692	-0.000647077808103786495	0.00014756675887591175276	-0.0018319578900048481915
-5	-4	-5	0.00088255872709496472391	0.00085762741938189728571	-0.00029124988809086526818	-0.0010464059698811255337	-0.000649558816622272466	-2.0502643476996819459e-05
-5	-4	-4	3.3927432459510458373e-05	0.00060465834052365668647	-0.00033517652942376439463	-0.00070813663540789768217	0.00029276723884937635046	-4.7686290246673094595e-05
-5	-4	-3	0.00069961289284511767299	-0.0006472240674479020359	-0.0017626062473382764911	0.00051449072460840055993	0.0011841201750425057581	0.00039271914626863607027
-5	-4	-2	-0.00031624883394570159649	0.00014289203966760065227	-2.7989688688173657336e-05	0.00091659282853245058285	0.00084660146224060125845	-0.0021904157562339029997
-5	-4	-1	0.0010041817683791125475	-0.0010018881052004922384	-0.001788485286218154894	0.00061676562123334137486	0.0021330323029770566212	0.0025423780410690956927
-5	-4	0	0.00029765697628319890723	0.00056984796836074592691	-0.00037207122035399863404	-0.00071230996045093238154	0.0052698707613973326189	-0.0019019118212779816558
-5	-4	1	-0.0022558141915369959822	0.0022952029028691619053	0.0021804147388486665865	-0.0024977964978528670488	-0.0025574120022903144324	0.0014848285229343419819
-5	-4	2	0.00095502103604849580224	-0.00055244727441409514392	0.00032510628752740908199	-0.0010275825668150512498	0.0030377651651760577238	-0.0034362833196653406846
-5	-4	3	-0.0010843806704887778026	-0.00098031793571063795961	0.00063831502420070424225	0.00061819052442667245945	-0.00095621441854702412307	-0.00080960919361550013132
-5	-4	4	0.00095758427131869031882	0.0013582055641764053788	0.000183462195881903213	-0.00074419134527929024347	0.0013804425350302661386	0.00095356560994121642577
-5	-4	5	-0.00048018254996149328838	0.001424158396369872492	0.0012251030990598483876	-0.0010287145656360701176	0.00049989992928638541086	0.00060118674386101626783
-5	-3	-5	0.00096044139081676558906	-0.00049806149792358403797	-0.0012826499449459297358	0.00055235630004376267115	-0.00019085142384920773134	0.00016664771789732648406
-5	-3	-4	0.0015043520546438966454	0.0029751076976068141673	-0.0025024367360839084792	-0.0040013995215241902545	-3.6125162419392956679e-06	-0.00071783498086537501828
-5	-3	-3	0.0031161906368164238312	0.001532408487170365324	-0.00086657327051791171318	-0.0031778616156177578664	-0.0043270777908427943831	0.00062384747033381569587
-5	-3	-2	-0.00044410366188279656353	-0.0011377562401116978526	0.0014165213815954091469	0.0014948259128758662351	-0.0010145229176861220947	0.00060215173096544549573
-5	-3	-1	-0.001705714756005544076	0.0033861971220478731884	0.0026143881099810082833	-0.0051990780673017173569	0.00068540945008469607216	-0.0013337514083342140881
-5	-3	0	0.001187079998996607615	0.0026606614703635032837	-0.0019784666649943459527	-0.0044344357839391718504	0.0020462311238642881019	-0.0011489027820880037736
-5	-3	1	0.0023558874990400320397	0.0021436261109056523218	-0.0036227306890880888943	-0.0039400553095033765197	0.00091124542793589427461	-0.0011020353739818679502
-5	-3	2	-0.0010824686736337540884	-0.0011360730302761086908	0.0021024136810416835762	0.0016888114279716367767	0.00044744883747814068534	-0.00030696543373281650778
-5	-3	3	0.0014083153917766851396	0.002018447312913899689	-0.0012423892744013219705	-0.0038100204745554295746	0.0011048030452264865232	-0.00044594161969893034592
-5	-3	4	-0.00023822814139607843614	0.0018324292245416554537	-0.0023569265287197685606	-0.0033226081894737577623	-0.0020654800732849243165	-0.00020141961142824897743
-5	-3	5	0.00088225935398593684656	-0.001032255065080110723	-0.0031907936680032281812	0.00253655017530292912	-0.0010322168468159999971	0.00048967504010164690075
