# cutoff=7 energy=1 Q=D^4*Z=3.7711166676515225248e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	7.5044927021055447452e-18	-1.7323552350474812852e-18	-6.1426385432239874439e-18	9.5375185972526556852e-19	-1.3618541588815569161e-18	7.7860337532221562036e-19
-7	-7	-6	3.3061555396402728007e-16	1.7465382700188479506e-15	-8.1725227385926621079e-16	1.8320932558562585307e-16	5.6774283987777883468e-16	-2.2513721948718859688e-15
-7	-7	-5	-2.2682233146478992322e-15	3.2121999146773223915e-15	-6.1823877228207144383e-15	-3.9595736632792781171e-15	1.1830855452456059218e-14	1.0463232480427378974e-15
-7	-7	-4	5.938846546631489629e-14	-8.9464758519365616762e-14	-4.5304177085455464446e-14	1.125658661523042199e-13	-2.4647504666504002571e-14	-4.042693835764254287e-14
-7	-7	-3	2.9004647926524237012e-13	3.5826007725261118244e-14	1.3004306041155563698e-14	3.5555908832188005281e-14	-7.0711849904826192342e-13	-1.6655780530071461946e-13
-7	-7	-2	4.2054363377791804316e-13	-6.0792698366127348054e-13	-3.2502027261442405794e-13	2.1162547817398093432e-13	-3.3433176407222902398e-13	1.3870552692055239244e-12
-7	-7	-1	-6.3262049597217978742e-13	-2.6827944025483998187e-13	5.9160403207253360653e-13	3.6655685718768713388e-13	2.8711524729752316525e-13	-6.8794191852992986212e-13
-7	-7	0	1.7231735440028848686e-12	-1.7185951365160312886e-12	-1.7231735440028848686e-12	1.7185951365160312886e-12	2.3783181398846482543e-12	-1.437794386836168761e-12
-7	-7	1	5.1968138148131953626e-12	9.8948526873992983597e-12	-7.324645804451170649e-12	-1.1995717912606433375e-11	-1.4894823927465830236e-11	-1.4706056576449949957e-11
-7	-7	2	-3.3500904094281185763e-11	1.455996821763986282e-11	2.026957658020905701e-11	-8.4825919080282365675e-12	-4.630964629925244094e-11	2.1270817083640691884e-11
-7	-7	3	-6.9636245153243856923e-11	-1.602563511979955456e-10	5.6352264496189996216e-11	1.222456452191752077e-10	-3.0995954866459019086e-11	-8.8691647283914100234e-11
-7	-7	4	-3.4798761461352555774e-11	1.5589704732470663531e-11	9.3123773009762706333e-11	-3.4990874690812709517e-11	1.0206877020971776671e-10	-3.3952047427098574822e-11
-7	-7	5	1.8485599805874548053e-11	7.9855505086509953336e-11	-7.5179929671769870757e-12	-2.8491624842351331582e-11	1.5354649574176584076e-11	7.1909432341822082734e-11
-7	-7	6	9.2307312379268076826e-11	-1.2575421128684739844e-11	-8.4056718317690124101e-11	1.1357786553037945444e-11	9.6256930718409367686e-12	-1.4205736715879261945e-12
-7	-7	7	2.9681820652448704586e-14	-2.9613016514229575061e-13	-3.4628851655970802926e-14	3.8983845898843574233e-13	-4.9470310035220999184e-15	9.370829384613996647e-14
-7	-6	-7	9.4443046157137006128e-16	-5.6282905531135993748e-16	-1.5603087304815066331e-15	-4.0049509144023893096e-16	3.9297702169849273888e-16	9.0611056226013613584e-16
-7	-6	-6	-5.0216032149812042085e-16	-1.3321615544920990577e-15	4.0576020104941837456e-14	2.9736840808970196219e-14	-3.9990166396527361923e-14	-2.8182652328729416549e-14
-7	-6	-5	-3.223235113680364431e-13	4.0458515135734260927e-14	1.2028677806971864669e-11	1.319610664832124713e-12	-1.3983160452450986462e-11	-1.640174718988577756e-12
-7	-6	-4	-9.7685973593590626244e-13	-8.4695269892074425905e-12	8.5624969839337786027e-12	7.4096213762732553598e-11	-1.1134240938012831541e-11	-9.6322648412985805459e-11
-7	-6	-3	-1.4672341698760793609e-11	2.6752448949173630989e-12	6.6065249347452888209e-11	-1.9015104576587745563e-11	-9.7895034731130579481e-11	3.178797106503497467e-11
-7	-6	-2	6.7841690850657537877e-11	7.539517716343436535e-11	-1.7021122900303531799e-10	-2.9514186836329192877e-10	2.731877690318045391e-10	6.2154248501785553344e-10
-7	-6	-1	-4.6738559629634392175e-11	5.6652927552953113556e-12	9.1145904907056381752e-11	-4.7989126136972115489e-12	-2.1970551203489753883e-10	-1.086357360488390858e-11
-7	-6	0	1.1807689533735352682e-11	-4.5311314285356617885e-11	-1.3775637789357911462e-11	5.2863199999582724097e-11	-6.6960337359356701861e-11	1.0307545432152704975e-10
-7	-6	1	-1.902222081855846121e-09	-1.0990974926769914285e-09	2.0948169394930706607e-09	1.2463333345054734257e-09	-7.466529360324986757e-10	-2.1568244170610022049e-10
-7	-6	2	-4.8008259157755183815e-10	-1.1130293104459008692e-09	1.1530195482165121553e-08	-1.1744849540149547273e-08	3.2910297375973930692e-08	-3.9130151207009292485e-08
-7	-6	3	1.4575282864799850818e-08	7.5485053333999217008e-09	-8.2716004126223257251e-09	-3.4842191933119551752e-09	1.7465792525954999356e-08	1.0644740724642574445e-08
-7	-6	4	6.2787175640289295578e-08	-5.1895081862367947875e-08	-1.6805041975095761041e-07	1.3639972810765968402e-07	-1.4219807225593016821e-07	1.1378319890234559906e-07
-7	-6	5	-2.6442307597358777482e-08	-4.0387232840427576649e-08	5.1556565218704343735e-08	7.767996207614822148e-08	2.4848647626142924008e-08	3.6673828514779250526e-08
