# cutoff=6 energy=1 Q=D^4*Z=3.7748400445526080528e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.5045840944506383944e-11	2.9973647163902550156e-12	1.1424392071055073008e-11	-4.237464430237437563e-12	3.6214488734513121479e-12	1.2400997138471833552e-12
-6	-6	-5	1.1603270212153577139e-11	9.1955217647745824876e-12	-7.6294924374136309447e-12	2.4477900800095903466e-11	-4.7685333296879362406e-12	-4.0408107077844583145e-11
-6	-6	-4	-4.6841706412785982235e-10	-4.2646572758844744453e-10	-1.1540854849009287235e-09	-2.8862293831337361124e-10	2.4337538235431825085e-09	1.072632998852731687e-09
-6	-6	-3	6.14996252152255882e-11	-7.9965648021014662234e-10	2.0402746536774667311e-11	6.0518692065407206546e-10	-1.638047435040004981e-10	3.8893911911214916546e-10
-6	-6	-2	-3.9888203507886637664e-09	-3.0317159743961514422e-09	4.5452114024033764696e-09	2.5477085208636407776e-09	-1.6691731548441395571e-09	1.4520223605975315801e-09
-6	-6	-1	7.4818136519391420728e-12	1.3173289472536641194e-10	-9.1748890371713511113e-11	1.0735230845402056561e-10	5.0560246031864619485e-10	-1.4345112190763220463e-09
-6	-6	0	-1.7672464468844045549e-10	-1.5910660796274197613e-11	1.7672464468844045549e-10	1.5910660796274197613e-11	1.2736423634822443934e-09	1.0172644156751042652e-09
-6	-6	1	1.2678200977196884399e-08	-6.062757212022931854e-09	-5.1211238048884551966e-09	7.9280608045353039819e-10	4.5342463033850568598e-08	-3.1619706789416416386e-08
-6	-6	2	1.4494076029380063403e-07	3.9194372471455896331e-07	-1.6715364583368693577e-07	-4.1093392730403076899e-07	-6.6638656619658825798e-08	-5.6970607768415397177e-08
-6	-6	3	-1.5431366747486749964e-06	5.1014759901840811478e-07	1.3786879044474114711e-06	-4.1757529500626342819e-07	-3.2889754060252752701e-07	1.8514460802428955847e-07
-6	-6	4	-6.1055034778842934417e-08	-2.6151033293977405895e-07	6.315891510482506465e-08	2.7739554794473462668e-07	3.1558204889732168565e-09	2.3827822507440841676e-08
-6	-6	5	2.3567130672862110495e-06	-2.9383677053779172552e-07	-2.3394843042690435292e-06	2.9917506744970647632e-07	2.0674515620601501544e-08	6.4059562942977036126e-09
-6	-6	6	-1.7206188057409470245e-08	-5.8088176473940051431e-07	1.8484476797701200623e-08	5.767584185129650219e-07	1.2782887402917287239e-09	-4.1233462264354187904e-09
-6	-5	-6	3.8625060785283608987e-11	9.1699220632640149389e-12	-7.4295138670218205054e-12	-4.0640653501734294525e-11	-3.2433799229432088398e-11	2.4697289188181228883e-11
-6	-5	-5	2.9944699330778175657e-10	-1.0943345986781272299e-09	-1.1739209737155536511e-09	-2.914572105184352674e-10	8.1458458174621562598e-10	1.6046587289321878398e-09
-6	-5	-4	-1.0707295884187787998e-10	-8.0198954114654507615e-10	7.5606095099554084523e-09	3.5130937350634887027e-09	-9.2901524491814441654e-09	-3.1883828571095435227e-09
