# cutoff=6 energy=1 Q=D^4*Z=0.00047889191245891274146
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	1.9368416690706409501e-06	-2.9890878368376385298e-07	1.754794945240037805e-06	-1.738438403144273188e-07	-3.6916366143106785433e-06	4.7275262399819119826e-07
-6	-6	-5	-9.3670368626113204583e-08	6.0023927452848319891e-08	9.2984723896438443004e-08	-5.6529023523174307294e-08	8.2277367560971863054e-10	-4.1938847156088119733e-09
-6	-6	-4	-1.1065266747880478704e-09	1.2359901867018183203e-09	2.3140198387714630291e-09	-3.2047018811916343294e-09	-1.8112397459751227381e-09	2.9530675417347241171e-09
-6	-6	-3	8.6529847513090963471e-11	-2.5886464785699041731e-10	4.491297113884804234e-11	-2.6428960046233962804e-10	-2.6288563730387802455e-10	1.0463084966386601941e-09
-6	-6	-2	1.3001655899863546513e-12	1.1686658205232651231e-11	6.4416915605446117182e-11	2.5246063970717199594e-10	-1.9715124358629741025e-10	-7.9244189373721384459e-10
-6	-6	-1	2.2905009927384902986e-11	-1.8378951441859801204e-13	-5.5374477628854597821e-11	-2.3795535478152598588e-11	1.9481680620881816255e-10	1.4387594995542716577e-10
-6	-6	0	-1.1459622468583015586e-10	-2.0231980347361386125e-11	1.1459622468583015586e-10	2.0231980347361386125e-11	1.2148809554259465866e-10	6.9647064930993431956e-11
-6	-6	1	-1.0728108893342066412e-10	4.8816537475368064346e-12	1.9211355745783821454e-10	-2.555731096510115509e-11	5.0899481114650535418e-10	-1.2405394330538609516e-10
-6	-6	2	-2.1120974711802947372e-11	-1.8924441553369789397e-11	3.3481403279724505565e-10	-2.1540672659540064295e-10	9.4107917425632633775e-10	-7.0299350444631132288e-10
-6	-6	3	3.0864725178843444972e-12	-1.3891539049976824255e-10	3.1393562628112084569e-10	-4.1839743566544180319e-10	6.3404419759801030282e-10	-1.1146256523304200398e-09
-6	-6	4	5.6552867129875822388e-10	-1.8937767220469071446e-09	-7.1309596755610727342e-10	1.4052313506826402428e-09	-2.2135094438602349677e-10	-7.328180570464003527e-10
-6	-6	5	-4.5244804540402336403e-09	-9.0307504501323313237e-10	3.0416022202100260029e-09	-4.2149889595264226997e-08	-1.7794538805962489581e-09	-5.1663557568332955133e-08
-6	-6	6	-7.855793159815590119e-07	-1.3513237855572859239e-06	1.2627228731808097835e-07	3.6619674236299297572e-07	-6.5930702866347800708e-07	-9.851270431942928952e-07
-6	-5	-6	-1.4292478770207317054e-07	7.9455732849736306685e-08	1.5785687153519749364e-07	-6.6227363977788173896e-08	1.1377394756075250346e-08	-2.4266262868246160669e-08
-6	-5	-5	1.9980968333652396685e-09	-1.624087613396656119e-09	3.529206270213223449e-08	-4.1861057132876693902e-08	-3.7689778902170521265e-08	4.3809962268952681742e-08
-6	-5	-4	-6.9251797366843523372e-10	1.8040363946071465694e-09	7.4213793183505734642e-10	-1.6842907384684442524e-09	1.111045457088312451e-10	-6.0069116882516453861e-10
-6	-5	-3	-6.5798911847516031791e-12	-2.1879902030036740304e-09	-1.9167975629723191339e-10	3.8054031407763413052e-10	3.3262604286488970444e-10	3.7417465492112915214e-09
-6	-5	-2	3.251244005944984975e-10	6.5105703827512428608e-10	4.3286031041816076652e-10	5.2056262976016615746e-10	-2.0575239778288974864e-09	-3.2545776892257883036e-09
-6	-5	-1	2.5055197474485370335e-11	1.1537271140502250441e-10	-3.1031868593304024485e-10	-2.1027865687385313748e-10	1.4012622448182890475e-09	3.5915701593913063511e-10
-6	-5	0	5.0757872917220080862e-10	4.3309436968830312283e-10	-6.090944750066410117e-10	-5.1971324362596370604e-10	-4.4082421965935706116e-10	1.1149527852133998129e-10
-6	-5	1	3.1659360155647117167e-10	1.2355330854122939216e-10	-1.0177603734097545001e-09	1.149485075207055544e-10	-3.1892402577099458842e-09	1.3160623888509040604e-09
-6	-5	2	-3.5992568971168717787e-10	8.8531440039948870984e-10	-1.2068288836445755976e-09	8.1868151714644335822e-10	-4.0968492782465008378e-09	4.7026469940645745768e-09
-6	-5	3	-3.386264260597350963e-10	2.3140458814210145426e-09	-6.4903289711793397564e-10	5.54202482897222733e-10	-1.7589743473160267153e-09	5.551762567670733778e-09
-6	-5	4	4.4235499187361508938e-10	1.6075669302893788344e-09	-3.1638506721870956025e-10	-1.0836713214919747663e-10	2.6805115378703573546e-10	2.2758914802475714995e-09
-6	-5	5	5.1867332919286349921e-10	1.3326008037486139733e-09	-5.1340253533740420794e-09	-8.8582575559934339272e-09	-4.5116173583426059217e-09	-7.2591365914950972419e-09
-6	-5	6	-8.8079707137001624658e-08	-8.0882811700075536394e-08	7.1393839677805103805e-08	5.5386511854447408348e-08	-2.8584840738830704821e-08	-3.472738515470269059e-08
