# cutoff=5 energy=1 Q=D^4*Z=0.00047838013917715410585
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	3.9081239943132830905e-06	2.3374444434899402631e-08	6.7225230657430873219e-06	1.2501530027124776261e-06	-1.0630647060056370412e-05	-1.2735274471473770618e-06
-5	-5	-4	-1.1991928587689913792e-06	2.1492309599612217967e-07	1.4734118938906282451e-06	-3.093265903648737318e-07	-3.4277379390204618828e-07	1.1800436796093943355e-07
-5	-5	-3	-5.1467181063005793062e-08	3.6212600094742864855e-08	1.0362876531251373456e-07	-7.8084411817938154572e-08	-8.6935973749179902495e-08	6.978635287199214291e-08
-5	-5	-2	1.2700891665547114051e-09	1.2591607177695227032e-09	7.0877210515699895558e-09	-1.5911037705801861136e-08	-2.0894525545311751678e-08	3.6629692470080844842e-08
-5	-5	-1	3.5443957550567917329e-10	-3.9637682335302646075e-09	-1.9469667084628735443e-11	6.7309114217214550762e-09	-1.6748495421052522894e-09	-1.3835715940955954825e-08
-5	-5	0	1.2896428277031857884e-10	-4.7225867198937393378e-09	-1.2896428277031857884e-10	4.7225867198937393378e-09	5.5899258606927307932e-09	6.6274723716961223456e-09
-5	-5	1	-3.3553551735663901135e-09	-3.0195652520793392048e-09	7.8942301505029894954e-09	5.7908024732342976414e-09	2.2694374884682997323e-08	1.3856186105774790942e-08
-5	-5	2	5.601332477938339401e-10	-2.1546814132354782153e-09	1.7295319706534774507e-08	4.367501973858045186e-09	4.4638632385821524271e-08	5.5320514015564182542e-09
-5	-5	3	3.1764692556630786317e-08	-3.4425540970722611529e-09	-2.1213430699877907559e-08	-4.2747816828266792623e-09	1.7585436427921470111e-08	-1.2862226299831568462e-08
-5	-5	4	-1.9132079631746503452e-07	3.5743798981432499566e-08	3.2862120281743164038e-07	-1.2083512143439563105e-07	1.7162550812495823748e-07	-1.063641530662038945e-07
-5	-5	5	2.5707370579301445292e-06	-3.2696262086743320268e-06	-3.1769518856212749349e-07	9.7888454740754242961e-08	2.253041869368016771e-06	-3.1717377539335777971e-06
-5	-4	-5	-1.579321025510216856e-06	4.7894236448355048804e-07	7.4100608898534107912e-07	-2.5403525624561849821e-07	9.8651615432194403504e-07	-2.757141594870556683e-07
-5	-4	-4	9.6091616145233203322e-08	-3.1349857910516647428e-08	1.4100044376366841216e-07	-1.3200397385227944618e-07	-2.6111496394520993286e-07	1.7119129624042524885e-07
-5	-4	-3	-4.9727717480051998166e-08	6.4209458379633863695e-08	4.2662146085931335676e-08	-5.3105906194464116002e-08	2.5996667685511560404e-08	-3.6207889040104280411e-08
-5	-4	-2	2.2086575399845454364e-08	-7.5544114952397924569e-08	-1.1806138375458037028e-08	1.5686162913546117782e-08	-3.1604161748697561854e-08	1.5748796155390256262e-07
-5	-4	-1	-3.5693533182175227542e-09	-9.1048196867013940333e-09	1.1708633842659967248e-08	2.7801652312199421546e-08	-2.8987768779552254396e-08	-6.5682510815290720981e-08
-5	-4	0	-1.8137482158045317014e-08	-1.6687706521713389523e-08	2.2671852697556644613e-08	2.0859633152141736904e-08	-1.3251341187961056444e-08	-3.5963467976780702173e-08
-5	-4	1	1.2499540047425720516e-09	1.1910796055404503897e-08	-3.2890564660692388924e-08	-2.5110483735648819082e-08	-1.2531248861905670371e-07	-4.0887954665572761804e-08
-5	-4	2	-6.9842427712133167946e-08	2.2585233443975434367e-08	-1.9291220694508357543e-08	-1.572241194632262124e-08	-2.1318851066934964157e-07	2.5018259717293350054e-08
-5	-4	3	-6.9121517060000171123e-08	5.0028839138378094222e-08	7.062000047029499946e-09	-1.8711784206730728708e-08	-1.0578652837062763185e-07	5.8432352954989185426e-08
-5	-4	4	-4.3480192958970069681e-08	4.7673943865579268621e-08	6.7859946273488836147e-08	-7.8001788927422923082e-08	1.35097050747762507e-08	-1.8409359095448842269e-08
-5	-4	5	4.7608707944327062079e-07	-1.1988091455520877053e-06	-1.7875376766292156368e-07	5.1038535937098566656e-07	3.3308406531293340161e-07	-7.9050085805529921436e-07
-5	-3	-5	1.0980780332010280316e-07	-8.3361080286333333759e-08	-6.4150874778360210353e-08	5.0280970590942040706e-08	-7.1317278453086676944e-08	5.3192497931768111982e-08
-5	-3	-4	5.7884123890870839863e-08	-6.4140717703559394005e-08	-5.5736717860326253071e-08	5.1290910178940637057e-08	-3.0552616468343858371e-08	4.1707714495243772985e-08
-5	-3	-3	-8.0284965473199309618e-08	2.5114706244678214477e-07	9.8188987067153022657e-08	-2.8140627327242687543e-07	3.561928872151249999e-08	-1.3717216413887676094e-07
-5	-3	-2	-4.4620189233069766968e-08	-3.9260013415477882482e-07	3.8577445239594454116e-08	4.046342811314689456e-07	5.368430522328272963e-08	3.745489136897435907e-07
-5	-3	-1	7.0763677659265453409e-08	1.0637324387200115287e-07	-8.5663607125625278626e-08	-1.3410575890172405697e-07	-9.6827566919451404698e-08	-1.29548942654833567e-07
-5	-3	0	4.8251265091536006609e-08	6.2567546299843551157e-08	-8.041877515256000881e-08	-1.0427924383307257203e-07	-1.6842583145954528266e-07	-1.730383296865237438e-07
-5	-3	1	2.1602232154402551873e-07	-1.9997996197703538418e-08	-2.5579002028076019686e-07	1.997526680901861874e-08	3.1274154687784708248e-07	-4.0064180561461829252e-08
-5	-3	2	4.6411246676150775599e-07	-2.1200957862614801815e-07	-3.8462911611902834527e-07	2.067186277936193506e-07	5.8333749272522689853e-07	-2.1994600487494103271e-07
-5	-3	3	2.6517567137906795913e-07	-2.8016982527740265552e-07	-2.2804533076218757022e-07	2.7354445243796632898e-07	2.1391412153625897539e-07	-1.934052563577047459e-07
-5	-3	4	4.250902666530416125e-08	-1.2511455122890277078e-07	-4.5429561588819737213e-08	1.589119157135516951e-07	1.9064112140015396998e-08	-3.7209252250964678915e-08
-5	-3	5	5.9097675403149103014e-09	-1.3997002688917769725e-07	2.1200683466628791901e-09	1.5642023962179366542e-07	7.1818085483126371537e-09	-4.6117883116101484769e-08
-5	-2	-5	-1.8183521944697581907e-08	1.7804845698386175656e-08	3.1798108261393208744e-08	-3.0786930911724288405e-08	5.4642786401403003943e-09	-5.490073333696460459e-09
-5	-2	-4	3.9277281327118792384e-08	-9.7034389525102990002e-08	-6.7007638113944761971e-08	1.6802011143701460277e-07	-1.5592782601926109494e-08	3.7282931187871429499e-08
-5	-2	-3	2.4888461585640613567e-08	3.6973620265019452191e-07	-3.3686973947133756273e-08	-5.9131563771209544297e-07	-1.9022786677978517327e-08	-2.2201657927559389904e-07
-5	-2	-2	-3.4032522152679340697e-07	-6.1602650699934781061e-07	5.6410212444645624762e-07	1.0365853471960221139e-06	2.8671092937052724333e-07	5.0348092030234762442e-07
-5	-2	-1	4.4634071962868561405e-07	3.0983889441454833883e-07	-9.0418567395104973057e-07	-6.0971335685778615889e-07	-4.2333225024132871498e-07	-3.297677583571691646e-07
-5	-2	0	3.2507533689791989955e-07	1.1130323292594108936e-07	-8.1268834224479974889e-07	-2.7825808231485271679e-07	-2.0356324746845115168e-07	-1.1652711323272651898e-07
-5	-2	1	-8.9371605550594592966e-07	1.5651554687904705143e-07	1.6056227452969368811e-06	-3.1030406434646193045e-07	-1.257334786935855992e-06	1.6196960570231142273e-07
-5	-2	2	-1.0982411036527816607e-06	7.1035351898420025297e-07	1.6243582595369032213e-06	-1.1108902690602756981e-06	-1.1212444995950511423e-06	6.6499352840022488134e-07
