# cutoff=3 energy=1 mode=trajectory selection=heterochiral spread=broad objective=4.39098016662229247007e-06
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-3.57280902183553498606e-05	-5.08687334532029116299e-05	2.02753415109789893471e-05	1.74478001564689701489e-05	1.54527487073763605135e-05	3.34209332967339448691e-05
-3	-3	-2	-4.3253928033052600451e-06	1.63429172950057077329e-06	-7.2907464799370489051e-06	2.57453737241896676171e-06	1.74242089248634608842e-05	-6.31324365287930609075e-06
-3	-3	-1	1.84633540222485131282e-08	-1.71111387268463602282e-07	-2.43862543922809118106e-08	1.65216595726504979311e-07	1.77687011100971927386e-08	1.76843746258758325175e-08
-3	-3	0	6.32261918725093527592e-10	-2.23501979688756537905e-09	-6.32261918725093527592e-10	2.23501979688756537905e-09	1.20984833383408322844e-05	8.45567692652752506816e-06
-3	-3	1	-1.56277327860126950396e-07	7.47838060746557245883e-08	1.37238621924162633066e-07	-7.70343409486824754453e-08	-5.71161178078929255206e-08	-6.75160462208024512643e-09
-3	-3	2	-1.96643545061748636694e-07	4.99711418019746557461e-06	1.84721152132183725587e-07	7.55672077920894279783e-06	-1.78835893943473037941e-08	1.88307524391096129822e-05
-3	-3	3	-1.9648497226921788581e-05	2.64817445706778277069e-05	1.54128529457045723217e-05	-3.71744277151441387995e-05	-4.23564428121721456516e-06	-1.06926831444663093985e-05
-3	-2	-3	7.24519300007626569995e-06	1.32247364588025574666e-06	-1.86051869496278184492e-05	-3.59730961292283136973e-06	5.15826496634227880348e-06	1.07573276273496537825e-06
-3	-2	-2	1.76408912878725287169e-08	3.05349079049401845513e-08	6.20924705235724211848e-08	-3.71556700634948066844e-08	-8.85538074553812059883e-08	-8.64669179391544036398e-09
-3	-2	-1	1.08261774191186415051e-05	2.37217934817714132332e-05	-1.72826794729041007361e-05	-3.78670722839363388976e-05	2.08682668845227314541e-06	4.56876412255844571876e-06
-3	-2	0	2.75894756020126950239e-08	-1.96686001996422978966e-08	-4.13842134030190441902e-08	2.95029002994634468449e-08	1.05549076774136004164e-06	4.90747579802884084186e-08
-3	-2	1	1.30781907153317183062e-05	-2.25758522036650746722e-05	-2.08757011437508221789e-05	3.60248401681881398237e-05	-2.51683014150649113339e-06	4.32212372538105308982e-06
