# cutoff=3 energy=1 mode=trajectory selection=heterochiral objective=4.3904525569489606478e-06
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-3.5157274798467634102e-05	-5.00560264649005054005e-05	1.99514185243485048888e-05	1.71690483769302399634e-05	1.52058562741191309072e-05	3.28869780879702654371e-05
-3	-3	-2	-4.38622437583594490822e-06	1.65466111572845584169e-06	-7.32469254164337095373e-06	2.58737231492490591718e-06	1.75663753762189737929e-05	-6.36305014598004253242e-06
-3	-3	-1	1.95427660047803792161e-08	-1.79576954856807799255e-07	-2.86471201985445131391e-08	1.97538631887438024608e-07	2.73130625812923951515e-08	-5.38850310918907157619e-08
-3	-3	0	6.20715626788961351134e-10	-2.46312358506332875641e-09	-6.20715626788961351134e-10	2.46312358506332875641e-09	1.21893582258746954576e-05	8.51899687374661472605e-06
-3	-3	1	-1.63767869418068002712e-07	7.85642442306418963223e-08	1.65512922036880651091e-07	-9.20050372885977810873e-08	5.23515785643794017376e-09	-4.0322379173867654295e-08
-3	-3	2	-1.9233573534443398443e-07	5.05593355296064368113e-06	1.82874993895304933865e-07	7.59685929359068741506e-06	-1.41911121736934782402e-08	1.89791892698269966443e-05
-3	-3	3	-1.93345779226103428139e-05	2.60586453006036797969e-05	1.51666078676617169967e-05	-3.65804768738203040998e-05	-4.16797005494862666419e-06	-1.05218315732166259969e-05
-3	-2	-3	7.28636402826795864031e-06	1.33115821481715247991e-06	-1.87462539782102989171e-05	-3.62298716752289759084e-06	5.21113862387223979069e-06	1.08416656353144591398e-06
-3	-2	-2	5.41745927781100709131e-08	-1.66146467018461663028e-08	-7.66529634781687893777e-09	5.21978611130639172019e-08	-7.3596592819348214197e-08	-2.7275891060294628043e-08
-3	-2	-1	1.09141582131255052704e-05	2.39135981035610556129e-05	-1.74218372972316142618e-05	-3.81700876443362757998e-05	2.10119995508671101822e-06	4.59938097798938899603e-06
-3	-2	0	2.86771618272229751205e-08	-1.94159475949119423626e-08	-4.30157427408344610265e-08	2.91239213923679135439e-08	9.88878148263476483703e-07	4.59556681672450322622e-08
-3	-2	1	1.31843127274677004919e-05	-2.27587350699173268816e-05	-2.10433938924542013598e-05	3.63130334125346030901e-05	-2.53384960250530505543e-06	4.34986161531721621812e-06
-3	-2	2	-6.97233978067179302656e-08	-2.42834157109762449722e-09	4.43292355856118104106e-08	-3.2598697860934715662e-08	-6.02558611244650386658e-08	-3.62412102175812649044e-08
-3	-2	3	7.52279422793780493508e-06	-6.76361596953430789339e-07	-1.89685744988472866212e-05	1.67839120354025016628e-06	-5.12292210462705196534e-06	4.4256587207340269014e-07
-3	-1	-3	-1.93658979055045763341e-07	6.15087857460302498343e-08	7.93349018730330870172e-08	1.01362847715002732159e-08	1.672140117640347211e-07	-6.48875473365303486267e-08
-3	-1	-2	-9.28671524449432121322e-07	8.76248594302388961424e-06	-6.55435530444923255336e-07	6.34986104855266201923e-06	1.72072505189660980965e-06	-1.6318659438812165431e-05
-3	-1	-1	4.1143543329269529249e-06	2.74709059288337287803e-06	-1.24728394909644691222e-05	-8.23218566094799229131e-06	1.2977649218360756816e-07	-9.08611770212856126903e-09
-3	-1	0	1.56306261465203210714e-08	5.58669183086393943635e-10	-4.68918784395609599056e-08	-1.67600754925917945276e-09	-6.63254357703325377439e-05	3.74041259391350594684e-05
-3	-1	1	-2.04206855337489160726e-07	-4.94173972264492785778e-06	5.61394310279213125473e-07	1.50197117881898661867e-05	-5.12262557332544559671e-08	1.94492620255081448737e-07
-3	-1	2	8.00250161703018600477e-06	3.74477059634026941971e-06	5.79712403339227809451e-06	2.71362067672033522762e-06	1.49023144422414172074e-05	6.97396623287057195514e-06
-3	-1	3	-1.50472054326607549634e-07	1.35394565063141342517e-07	4.49002640806599066804e-08	-9.95155930493318293285e-08	-1.35505299633054234172e-07	1.0222270071336405284e-07
-3	0	-3	-1.40632862258819674471e-09	1.22736589475871729483e-09	8.82830409736621275567e-06	-1.19642608338723105968e-05	1.40632862258819674471e-09	-1.22736589475871729483e-09
-3	0	-2	-1.66216534901874587502e-07	-3.45515480576434297599e-07	7.34757240465809477168e-09	3.30603720450461574719e-08	2.49324802352811894487e-07	5.18273220864651472869e-07
-3	0	-1	-1.19342858383553736844e-08	-1.10393879690381499606e-08	8.98801133675889574052e-05	1.70170726742812723948e-06	3.58028575150661210532e-08	3.31181639071144515361e-08
-3	0	0	0	0	-1.02274921820986828645e-06	9.08098110819627472606e-07	-1.86452075190558022902e-07	2.49237466622782238373e-07
-3	0	1	-3.41321132685393307749e-09	-1.4321295847872475418e-08	-5.06047248664884055116e-05	-7.43216321708839683206e-05	-1.02396339805618000597e-08	-4.2963887543617421291e-08
-3	0	2	-3.86491817035426824204e-07	4.56550448053406438912e-08	-3.8560783899434796682e-08	2.40245437694069353732e-08	-5.79737725553140236305e-07	6.84825672080109592193e-08
-3	0	3	7.47129724060647491475e-11	-2.66039669504495260923e-09	5.18772922459240174445e-06	-1.39444692137803774736e-05	7.47129724060647491475e-11	-2.66039669504495260923e-09
-3	1	-3	5.77299610958376918872e-10	2.01121152362871866257e-07	3.75545844285311543721e-08	9.02009029678497067909e-08	1.19408951985520076306e-08	-1.71054184706921968405e-07
-3	1	-2	-7.53866330313009737747e-06	-4.60380010513764087693e-06	5.42849128330365752793e-06	3.34933789447570925119e-06	1.40222405963469739831e-05	8.58036910494431445868e-06
-3	1	-1	4.21043470778262389183e-06	-2.56863662831686375044e-06	1.28444594982100377518e-05	-7.75496241031184882476e-06	2.13155374862160914659e-07	-4.90525253612568587386e-08
-3	1	0	2.15359671541034407187e-09	-1.90621105154151718434e-08	6.4607901462310326292e-09	-5.7186331546245528765e-08	-4.99646045976432374563e-06	-7.59731580925894066803e-05
-3	1	1	-4.54319253381699196087e-06	-2.01414176283391113063e-06	-1.37132644009033615807e-05	-6.01824502759833666313e-06	8.36867994523821510994e-08	-2.41802609033974864563e-08
-3	1	2	-6.85279888540009425065e-06	5.53548194899364920098e-06	4.9666396695089056799e-06	-4.02048292199745421413e-06	-1.27625181628545925219e-05	1.0313464384489200485e-05
-3	1	3	2.72106393479448942056e-08	1.97563378736425957311e-07	-2.75211863602050871084e-08	6.8866717020824566038e-08	3.63843681346799210359e-08	1.74607806396151124023e-07
-3	2	-3	3.50815463271854048255e-06	6.70733525941071974494e-06	8.86985165639062571189e-06	1.68176152106143466877e-05	2.40507980487520999204e-06	4.5044082143321783292e-06
-3	2	-2	-2.50262610035622027305e-08	5.47858351608764072144e-08	6.65159173588747934656e-09	5.37806403353066755997e-08	4.4190983241230814048e-08	-2.83981124060079418394e-08
-3	2	-1	-1.18206043167687645029e-05	2.35070763782773773168e-05	-1.88631986838705970532e-05	3.75263060301713372133e-05	-2.26458441743490440951e-06	4.5313829255105390881e-06
-3	2	0	3.94298565970641311789e-08	1.28590120514126649117e-08	5.91447848955962000771e-08	1.92885180771189981947e-08	-5.64292709611145454078e-07	-7.91734184259775469103e-07
-3	2	1	2.60042168295105710727e-05	-3.92475027626935534973e-06	4.14958955921700608518e-05	-6.26056818411851645945e-06	-4.9791406958084194969e-06	7.46885539428967610874e-07
-3	2	2	-4.02950811912192434553e-08	2.3887291056816343842e-08	-1.20934437353265334286e-08	2.92447490981065894477e-08	-4.83491780515023582241e-08	6.58618748711800158876e-09
-3	2	3	5.1234218915589907565e-06	5.3605671231359727533e-06	1.33206288354565588944e-05	1.37383137021580167239e-05	-3.75699733207871418487e-06	-3.79830867830270506265e-06
-3	3	-3	2.01579789535769718953e-05	-4.06002407921994909077e-05	1.76273946984608613378e-05	-4.44392154533543686499e-05	-2.53058425511611225151e-06	-3.8389746611548785892e-06
-3	3	-2	-4.46290970075768463825e-06	2.50162756047738007081e-06	6.26818117793118332573e-06	-4.24971382835021670171e-06	1.6096636318033301946e-05	-1.01270120832413947353e-05
-3	3	-1	1.17660835681976015163e-08	1.82753049129526466205e-07	1.89778075840342407204e-08	1.87062406504357273117e-07	2.16351720475099159577e-08	1.29280721244923446371e-08
-3	3	0	1.4660290844429717269e-09	2.11264706787923269279e-09	1.4660290844429717269e-09	2.11264706787923269279e-09	1.38055845122287956106e-05	5.5432243277353393461e-06
-3	3	1	1.31784799289361831037e-07	-1.19146478218684558034e-07	1.53651778886608437925e-07	-1.26634345162340906993e-07	-6.56009387917399133077e-08	2.24636008309689740859e-08
-3	3	2	1.07412029306292802631e-06	4.62426461788555071491e-06	-1.81766705316624588628e-06	-7.52749869941658602195e-06	4.33768101934376055124e-06	1.82276449759532067994e-05
-3	3	3	5.21628758768690118492e-05	6.67069953790521039762e-06	1.42171434370754457802e-05	7.56915359932353886308e-06	3.79457324397935592927e-05	-8.98454061418328147824e-07
-2	-3	-3	-1.70557155021897622065e-05	8.49742184853184331081e-06	4.64252659167713383116e-06	-2.32918582013819754612e-06	6.72795040978270735747e-06	-3.3357620788830316101e-06
-2	-3	-2	-3.48523326744084134179e-08	-8.676330282882293441e-08	2.74673833300783336587e-08	-2.54470704862349937688e-08	-6.34874232070908376141e-09	1.24933908558175451533e-07
-2	-3	-1	1.44550130834176090652e-05	7.71663229826605474707e-06	-7.76247575819814827121e-06	-4.14073299542364644654e-06	-5.62259889224077416379e-06	-3.01106561026117100158e-06
-2	-3	0	4.44897313393503251369e-07	-3.03802380925190118169e-07	-2.96598208929002185226e-07	2.02534920616793385643e-07	-5.83530613932289074838e-08	-6.83010983595266106925e-08
-2	-3	1	2.03922179334242710893e-06	1.62428018297333860188e-05	-1.09111915181897406412e-06	-8.72943131047166784515e-06	8.05086131227932660768e-07	6.29730972805177019631e-06
-2	-3	2	2.66917949116660731373e-08	3.04418096959602842513e-08	1.94407213607701875663e-08	2.59473259995503631766e-09	5.58528769528212783861e-08	3.43339085958928519627e-08
-2	-3	3	1.38344832280967785924e-05	-1.29663432160326657348e-05	-3.54624993720003976505e-06	3.59838744362660534033e-06	5.67673888153114652788e-06	-5.04584136706183918872e-06
-2	-2	-3	-7.56822381053768928178e-09	4.09383855482124944812e-08	-6.37355796861883692287e-08	-1.17882829432054909098e-07	4.75358689978173458705e-08	5.12962959225615876863e-08
-2	-2	-2	-6.60059389976295015238e-09	5.15358411807723815908e-09	6.79700896245222469762e-09	-6.72881646384791711531e-09	-1.96415062689269969897e-10	1.57523234577068267854e-09
-2	-2	-1	1.40968621540389840713e-05	-1.97832845916144974967e-06	1.68987993933755711403e-06	7.96813373077754718803e-07	-3.15734841867530734768e-05	2.36303017216739006173e-06
-2	-2	0	-0.000153338858790778848193	0.000356006418613224020001	0.000153338858790778848193	-0.000356006418613224020001	-8.44509761809338038522e-07	-8.70418781606825315567e-07
-2	-2	1	7.99832099205084660171e-06	1.137354632599192031e-05	1.97827401639293175685e-06	8.93941323795232757718e-07	1.99531900168875567171e-05	2.45349752995743061355e-05
-2	-2	2	1.11005773505094515682e-09	7.83219539917989145508e-09	2.47202453639927355984e-09	-9.23919174359173745439e-09	3.58208227145021809628e-09	-1.40699634441184972162e-09
-2	-2	3	-4.08452473105337883059e-08	5.25545018889832130195e-08	-3.4277276042993577685e-08	-2.7684634448208008681e-08	-5.00816822356849283071e-08	1.6579911627183469559e-08
-2	-1	-3	-6.14928138549858991554e-07	-4.18865205687124974535e-05	5.54343648266154187383e-08	5.08821134120870404756e-06	3.9147397075770082832e-07	2.62282765987387661609e-05
-2	-1	-2	-1.90214744853769008596e-06	-3.39166907404719795809e-08	2.82527676262348509232e-05	1.42365866405463506694e-05	-1.22242363645797389756e-05	-7.08437662953270168753e-06
-2	-1	-1	-0.00477235907788047149236	0.00349704020748213377512	0.00571310259179571601484	-0.00418480817625625691608	0.00383161556396522436779	-0.00280927223870801020048
-2	-1	0	4.38179660692169031734e-06	2.15372503941491784624e-05	-8.76359321384338063468e-06	-4.30745007882983569247e-05	3.84883401016066925505e-06	-7.16737966273217813796e-06
-2	-1	1	-0.0056156401927056082829	-0.00187741276027537560243	0.00672281388869017289267	0.00224585682107038405939	-0.00450846649672104280576	-0.00150896869948036692864
-2	-1	2	2.18884784400249157726e-06	-1.03069410143857632265e-06	-2.2550200034923679706e-05	2.21708242164658428635e-05	-9.08625217345934912277e-06	1.00547180067943457444e-05
-2	-1	3	1.21627159225829471132e-05	4.00748853914783235855e-05	-1.44531674698145699924e-06	-4.78681669683730568431e-06	7.62670503272814574242e-06	2.51209846953731126995e-05
-2	0	-3	-1.19688013643662666247e-07	7.13668257552057813935e-08	-5.50756917786368000597e-07	-8.33348540966657960031e-07	7.97920090957751108311e-08	-4.75778838368038498507e-08
-2	0	-2	0.000385140049276652164656	-3.84863678619035807387e-05	-7.43173538928902890033e-07	-1.43884111348700715762e-08	-0.000385140049276652164656	3.84863678619035807387e-05
-2	0	-1	5.05615990592990972744e-06	5.57940702097175426059e-06	-7.8819669797721293291e-05	0.000199840273675656177185	-1.01123198118598194549e-05	-1.11588140419435085212e-05
-2	0	0	0	0	-2.8767417872290220261e-06	1.1398496379320659887e-06	4.37374297153641015506e-06	1.53374637410859143201e-06
-2	0	1	3.06149803368953754324e-06	-9.01787998141048719998e-06	-0.000209002827853275611808	5.20701164580755925426e-05	6.12299606737907508647e-06	-1.80357599628209744e-05
-2	0	2	-9.11426253392893457586e-05	0.000376594223732476399494	3.91436277084106147348e-07	1.18813336676703197563e-06	-9.11426253392893457586e-05	0.000376594223732476399494
-2	0	3	-1.15394217141750977487e-07	9.56962817991456474099e-08	7.35385868858060749494e-07	6.39662874980526393291e-07	-7.69294780945006604811e-08	6.37975211994304360183e-08
-2	1	-3	-3.80104349019640545587e-05	-1.75202470855732354784e-05	-4.5442913080428133562e-06	-2.07953604162804479152e-06	2.3825526165295096893e-05	1.09869860431728085806e-05
-2	1	-2	2.27629137965328589606e-06	-6.11305416435925328188e-07	2.48406357186666860732e-05	-1.95447544971869613991e-05	1.01440264796800545994e-05	-9.16107183215755293615e-06
-2	1	-1	0.00108249697546508789371	0.00582051316301435833767	0.00129728619519509699026	0.00696721065009032417686	-0.00086770775573507890558	-0.00467381567593839336583
-2	1	0	-2.05966088140711214133e-05	-6.82256623889621108937e-06	-4.11932176281422428267e-05	-1.36451324777924221787e-05	-6.25501005014884324437e-06	-6.13077202391518487259e-06
-2	1	1	-0.00411688045155365455602	0.00425515076612075198587	-0.00492875498070778628179	0.00509158568424136499103	-0.00330500592239952369761	0.00341871584800013941438
-2	1	2	1.40228515117459522703e-06	1.54463644551065939661e-06	9.92229151423888635752e-06	3.00407987181839249678e-05	-3.55886060594484837524e-06	-1.34757629135813020285e-05
-2	1	3	4.14363068636535409966e-05	6.39068842336028430256e-06	5.03341101429694126032e-06	7.77223493699509598699e-07	2.59464009043367144246e-05	4.00138445100701931588e-06
-2	2	-3	7.3284478529059475272e-08	4.20419667973465199392e-08	-7.09971816583840375659e-09	-2.30641779427372154964e-08	-5.35894644632653607707e-08	-4.34040964933891547513e-08
-2	2	-2	-7.80813283002955184853e-09	-2.49172950526099306561e-09	-6.88826482684288379345e-09	-5.8315152888764712293e-09	9.19868003186668778858e-10	-3.33978578361547857728e-09
-2	2	-1	8.66946219168870250754e-06	1.088843690902447392e-05	-2.01141739062546490721e-06	-7.74725168962346739967e-07	-2.13617591646283416058e-05	-2.33263241559736358142e-05
-2	2	0	0.000373917569738531558373	-0.000103204042160862904986	0.000373917569738531558373	-0.000103204042160862904986	6.81917579846870224451e-07	-1.90707139463400724889e-06
-2	2	1	-1.99550864692262938527e-06	1.38587105761688452284e-05	1.20725793458518874764e-06	-1.64464122521505640956e-06	-6.40553316301563626582e-06	3.10067036027678125934e-05
-2	2	2	-3.75595465959596788737e-09	7.13246550996448327984e-09	-3.72638299463001484243e-09	7.93688943962591983817e-09	-2.95716649659533809802e-11	-8.0442392966144007385e-10
-2	2	3	6.56063632912059718983e-09	-4.3663961030491026073e-08	-7.38628392562602007481e-09	-1.24300086290456268721e-07	9.29794683649771120441e-09	5.37574168399768350496e-08
-2	3	-3	1.44377368101888885307e-05	-1.22540166209978281599e-05	3.68197028519730887005e-06	-3.43185345073081836948e-06	-5.94318758826194958576e-06	4.73749096326773218421e-06
-2	3	-2	-1.62341745825628054307e-08	-3.68501223611790987031e-08	-7.83677599873778097839e-09	1.62713508609732960373e-08	4.47901058445611824672e-09	6.12571486526390559939e-08
-2	3	-1	-1.57890014970318964794e-05	-4.28518245804904634793e-06	-8.48049423668622650056e-06	-2.30355474170618735227e-06	6.13652028400511261004e-06	1.65970069097953127432e-06
-2	3	0	3.60953188886612186258e-07	-4.0769790490944762689e-07	2.40635459257741439859e-07	-2.71798603272965049301e-07	7.32427268011786348265e-08	2.38051737398436435499e-08
-2	3	1	-5.70318540006990760147e-06	-1.53825205203993654499e-05	-3.06000723440446470514e-06	-8.25911529702711199122e-06	-2.2263490969264210875e-06	-5.98769514971739492623e-06
-2	3	2	6.56662426906205627568e-08	-6.32215291228414236817e-08	-3.92154837571032566248e-08	-2.35613031328087233949e-08	1.24489468326275345124e-07	-2.78795744236283567874e-08
-2	3	3	-1.07711676177490118047e-05	1.56773532137491384165e-05	-2.92976295132391202503e-06	4.21204777389692747137e-06	-4.25101546050876208794e-06	6.23952103526916621799e-06
-1	-3	-3	-7.50652031223009690355e-08	-6.08323723350641030492e-08	-1.36928135067482923325e-08	-1.8137301399912556098e-07	3.87145478808486109327e-08	2.01650471444146937486e-07
-1	-3	-2	-4.71987333219831216552e-06	-1.83859443233457312854e-06	-2.44564093134831903324e-05	-9.54118533855392924952e-06	3.90445506363239390403e-05	1.52310752239981819209e-05
-1	-3	-1	2.81102832738030922894e-07	1.9228864780756873478e-08	3.67346818396451043931e-06	-3.29023583633445121361e-06	-1.13015073846315619761e-05	9.85147864422259736622e-06
-1	-3	0	-1.91793301976217881647e-08	5.63445884223646414808e-09	6.3931100658739302154e-09	-1.87815294741215375098e-09	2.17235369319885338968e-05	8.720138934326026269e-05
-1	-3	1	-2.1835003939375419981e-07	1.47907471757876287611e-07	-4.80514035985550108453e-06	-1.18891615998115428602e-06	-1.46337711189602575593e-05	-3.4188410081855852205e-06
-1	-3	2	-3.33279322564430447842e-06	3.84190793331492461544e-06	-1.71628051883584346968e-05	1.9943517772614556522e-05	-2.74106043953598032257e-05	3.18362306255793009024e-05
-1	-3	3	3.6173237524106660571e-08	-7.4830400429772087398e-08	-7.05138961664591119084e-08	-1.63056581285680619593e-07	-5.8456150325090218434e-08	-1.88000048095604639902e-07
-1	-2	-3	-3.93755305748737393945e-06	-4.98546843217534831722e-06	1.01705692102796889972e-05	1.29029797932738862304e-05	-5.46786178769066830065e-06	-6.94016371812414194589e-06
-1	-2	-2	3.10422900187332299177e-05	-5.9611141593587063756e-06	-1.420470685391027148e-05	2.56195644437087397582e-06	-1.3164381554563464435e-06	4.18600635308479582558e-07
-1	-2	-1	0.00134794596303527123606	-0.00453958924251874045702	-0.00167840841857048918978	0.0056576908625308626466	0.00200887087410570692667	-0.00677579248254298483617
-1	-2	0	8.53420931371668195693e-06	-1.71415201005241081772e-05	-4.26710465685834097846e-06	8.57076005026205408862e-06	-0.0001495330443544588871	-0.000141888129015847356618
-1	-2	1	-0.00448816226435670879991	0.00153614005116688655782	0.00559247544280491119123	-0.00191211433479680109095	0.00669678862125311358255	-0.00228808861842671584091
-1	-2	2	4.69034423447377004865e-06	-3.12668159524927280219e-05	-2.04364752824763880928e-06	1.37114289991591062199e-05	3.01524588989246373864e-07	-1.92197897708725694402e-06
-1	-2	3	-5.19017968328412447008e-06	-3.731867799145126795e-06	1.33283744373184196601e-05	9.63144593748753173102e-06	7.15552306378423715402e-06	5.17700802527664470865e-06
-1	-1	-3	-1.40746760477699683412e-05	-4.92037844245536901936e-06	2.26856660023073351429e-07	-5.33710723159061638581e-08	4.61593979591563136327e-06	1.65791650492375823338e-06
