# cutoff=3 energy=1 mode=trajectory selection=heterochiral objective=4.38986521606921034514e-06
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-3.31674279362245382472e-05	-4.72266260332282933375e-05	1.88202489357989892222e-05	1.62000795391815874673e-05	1.4347179000425547331e-05	3.10265464940467024821e-05
-3	-3	-2	-2.3666235647324931916e-06	7.07040635772880385104e-07	-7.09590183107603272535e-06	2.64787098396663143018e-06	1.41937880937127895107e-05	-5.03236742960926804056e-06
-3	-3	-1	2.44695351726851503296e-08	-2.05932198348188507738e-07	-3.91395983928395303314e-08	2.69199556567673731448e-07	4.40101896604631400054e-08	-1.89802074658455697599e-07
-3	-3	0	6.67573676879897845017e-10	-2.91951124856120159574e-09	-6.67573676879897845017e-10	2.91951124856120159574e-09	1.22793318788731623486e-05	8.58166458650177173327e-06
-3	-3	1	-1.8742737854510365537e-07	9.22109128092732667174e-08	2.29009442926194050534e-07	-1.26414937245801437756e-07	1.24746193143271185492e-07	-1.0261207330958449988e-07
-3	-3	2	-1.91192670519242410778e-08	2.91973179077715367006e-06	5.22446505425634040116e-08	7.36868156787428708995e-06	4.96880752359589230718e-08	1.54326200379771592342e-05
-3	-3	3	-1.82434579186535824095e-05	2.45854935964714140472e-05	1.43104168035207222871e-05	-3.4513247953437133325e-05	-3.9330411151328592754e-06	-9.92775435696571758378e-06
-3	-2	-3	7.15787648448790404045e-06	1.33311559777868387833e-06	-1.50531416510109499401e-05	-3.04242285465324152841e-06	2.87755128285272614717e-06	6.9516630532347699944e-07
-3	-2	-2	1.28060315196632320546e-07	-1.1352181520666206932e-07	-1.37935990075208388165e-07	2.18130673515724388842e-07	-5.4154482719740072802e-08	-4.7847950705731231923e-08
-3	-2	-1	1.1011949988677634867e-05	2.41277744405562372956e-05	-1.75763341434559930323e-05	-3.8505853335247229325e-05	2.11681832087908061664e-06	4.62838334882575015141e-06
