# cutoff=4 energy=1 mode=trajectory selection=heterochiral objective=4.39106631701859648139e-06
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	1.15055813936564481592e-05	9.46636511295876440799e-06	-6.16816290886334616522e-06	-3.07570271211762125531e-06	-5.33741848479310199399e-06	-6.39066240084114230564e-06
-4	-4	-3	-2.4113193381009283724e-06	1.16443356611200573115e-06	1.73977580045189053208e-06	-1.00374853212204801798e-06	8.95391383532050312593e-07	-2.14246711986610434224e-07
-4	-4	-2	4.30129871809504772743e-10	-2.51222938154174745816e-08	1.03219054632212328189e-09	2.36122978870439169906e-08	-2.92464083626325621266e-09	3.0199918567471131142e-09
-4	-4	-1	3.84622432804431045948e-10	1.39481253041622292712e-10	-3.95953176937011881816e-10	-1.2345912890854816584e-10	4.5322976530323130213e-11	-6.40884965322965204147e-11
-4	-4	0	2.2134624983468877104e-09	-2.08816282207146798311e-09	-2.2134624983468877104e-09	2.08816282207146798311e-09	-6.06812092161179462689e-12	2.06325780100802194149e-12
-4	-4	1	1.52952245513351618906e-10	2.85367432472664840978e-10	-1.35971502451069289029e-10	-3.37728826677758823666e-10	6.79229722491292161103e-11	-2.09445576820376085849e-10
-4	-4	2	6.24046376691899398102e-09	-1.47668400827314014599e-08	-1.23016843608876682398e-08	7.25981032772158766323e-09	-1.21224411879373452088e-08	-1.50140595100196242846e-08
-4	-4	3	-1.35911033589120100008e-06	-1.26695523330746113097e-06	1.56648224868734345089e-06	1.22215253163338751235e-06	2.76495883728189740296e-07	-5.97369355654313547207e-08
-4	-4	4	-7.40351837934106649813e-06	1.78747850732807587116e-06	8.62308756221466108022e-06	-4.60000865369224609268e-06	1.21956918287359564089e-06	-2.81253014636417000976e-06
-4	-3	-4	2.80364510652481491423e-06	4.62359837029446210338e-07	-6.48467815460572733255e-07	8.36926846991495168608e-08	-2.31729424492938626426e-06	-5.25129350553808261957e-07
-4	-3	-3	-9.64862389839914590845e-09	-4.17557626409528503657e-10	9.41672500748617362453e-10	-3.62301380441999106269e-09	1.19231593637835808355e-08	4.17975730629936212518e-09
-4	-3	-2	8.72228175049673016053e-09	9.41153402170632821229e-09	1.62900564931322159327e-08	1.99149065130208501615e-08	-4.18796482406917858744e-08	-4.86954278129439349755e-08
-4	-3	-1	-2.24981686720794480415e-09	5.25681558855648985293e-10	-3.53677621642169812322e-09	8.06050473718983610827e-10	1.96095961180968723455e-08	-4.52087765657954625667e-09
-4	-3	0	2.64115920717085726848e-08	-1.02683954101200320245e-07	-3.52154560956114258348e-08	1.3691193880160041817e-07	3.8355647955781080478e-10	-6.06623071193898157116e-11
-4	-3	1	-1.77130291002429906268e-09	-1.61111842786277245546e-09	-2.67334816596634224341e-09	-2.37120089875322924883e-09	-1.5105256137996222981e-08	-1.35580764077107767412e-08
-4	-3	2	-1.53626973156845862911e-08	3.32025566271504993162e-09	-1.89782955584512947387e-08	1.16151493510187843381e-08	-5.91928379690461213076e-08	2.40632353519582771975e-08
-4	-3	3	-2.20092187529644546718e-08	2.99228480813154678591e-08	3.18710106662331735816e-08	-1.54879464078613646363e-08	2.52538566228056983418e-09	2.44091843672259258425e-08
-4	-3	4	-8.58704841742248636518e-07	6.45895575265273112368e-07	4.87178400321892496429e-07	-8.56273614429911530445e-07	-4.93321041500829184787e-07	3.69036444283934666146e-09
-4	-2	-4	3.68325275260115972462e-09	1.95453357107246267215e-09	2.73642006438261204361e-08	-1.4634153965044088471e-08	-1.73653530745142166339e-08	5.36254341144958156336e-09
-4	-2	-3	-5.59158783687191478746e-09	-2.86462721915497590713e-08	1.81934765963704233655e-08	1.1027132029041414444e-07	-4.67353394841773057237e-09	-3.53191839382097530707e-08
-4	-2	-2	-2.0400452317540911109e-07	-6.48712186719695895629e-08	2.13596925026589286742e-07	6.79147497065476086399e-08	1.94412121324228961908e-07	6.1827687637391570486e-08
-4	-2	-1	-1.15877676684878064642e-08	1.38756412827304501881e-08	3.08572917264084118734e-09	-6.90508918521219268692e-09	4.01796123286695443092e-08	-4.16923867604974120698e-08
-4	-2	0	3.88653972236947986465e-06	1.2144360180617203376e-05	-7.7730794447389597293e-06	-2.42887203612344067521e-05	4.5383206005131461294e-10	-3.82366825648918191412e-10
-4	-2	1	-1.87019088530884070697e-08	-4.73578034945101725239e-09	6.73862836840849405936e-09	3.89020450744331055945e-09	-6.13303786755366368515e-08	-1.1162712382917449545e-08
-4	-2	2	1.28275910543316943559e-07	-1.71301032305573134498e-07	-1.34143475081632338451e-07	1.79253099032264370622e-07	1.22408346005001575136e-07	-1.63348965578881924845e-07
-4	-2	3	1.27346371401485060717e-08	2.88360811630101013113e-08	-4.66523636537687613316e-08	-1.01621447999384939337e-07	-1.41220595823144994588e-08	-2.92995237822431533977e-08
-4	-2	4	7.72617994795480366439e-09	1.54800004029042125437e-09	-1.87638954020435280775e-08	5.89002597311823621259e-10	-1.65576775306696058117e-09	1.84250133894633316839e-09
-4	-1	-4	-5.35485567452724567345e-11	2.55209007258865958169e-10	4.5544467984562915657e-11	-2.27155741933628971122e-10	4.21624397491317068176e-11	-1.98420071775458708926e-10
-4	-1	-3	4.50657353379358442519e-08	5.02126477884808594116e-08	-4.70889902751191955223e-08	-5.26329825841994241931e-08	-4.43913170255413938285e-08	-4.94058695232413356119e-08
-4	-1	-2	-5.81343402548396746807e-08	1.71549743668973391847e-08	7.94355373760185704333e-09	-4.26110384474237797346e-10	1.12296903640878424148e-07	-3.40968935415575622366e-08
-4	-1	-1	2.59951376934968371067e-07	-1.15032174230034889584e-06	-6.35501254422875258709e-07	2.80712234836518592025e-06	-4.04304253316998278497e-07	1.79416462083620945133e-06
-4	-1	0	3.30468641587206213481e-08	3.11759400488242113531e-08	-1.32187456634882485393e-07	-1.24703760195296845412e-07	-5.45881514503481321755e-08	2.43215524558335603605e-08
-4	-1	1	1.0876408090671962753e-06	-4.52207439871003951514e-07	-2.65498473736187534433e-06	1.10471216337414351371e-06	1.69557849890690996862e-06	-7.04117596109872186464e-07
-4	-1	2	7.06437170705604398037e-09	-5.901749210005561767e-08	1.4397903453866920831e-09	3.69497433540886657469e-10	1.48486385868054336921e-08	-1.17850235483340801265e-07
-4	-1	3	-5.73197101868262719546e-08	-3.58459853849309670392e-08	6.03130640521391653871e-08	3.74536309026855863259e-08	-5.63219255650553074771e-08	-3.53101035456794294828e-08
-4	-1	4	2.99779788350396529659e-10	-1.37525846219398602229e-10	-1.42743331801808559752e-10	-5.11704311888303810494e-12	2.64093955399944363871e-10	-1.38805106999119372055e-10
-4	0	-4	-6.04573371882004463494e-10	-2.98537804262466542414e-09	1.31241593983599182893e-11	-2.30172415699822786597e-12	6.04573371882004463494e-10	2.98537804262466542414e-09
-4	0	-3	-9.98357294887748824753e-11	4.70678525609446530691e-10	-1.29062104754219657434e-07	-3.67753989238130010605e-08	1.33114305985033159401e-10	-6.27571367479262040922e-10
-4	0	-2	1.00224355783560224053e-05	-1.0661105869658656515e-05	-4.22131958111728034794e-10	3.42701386263131557198e-10	-2.00448711567120448106e-05	2.13222117393173130301e-05
-4	0	-1	1.23901369474444819955e-09	-1.01448736389715328661e-08	1.62558393092338603625e-08	4.80496666230464890572e-08	-4.95605477897779279822e-09	4.05794945558861314642e-08
-4	0	0	0	0	-2.62871153479518018204e-09	2.49574762377514306171e-09	2.16451914288892806381e-09	-1.73080455934103928846e-09
-4	0	1	-1.17424769231503468284e-08	2.02272033423981663701e-09	-3.01380844586878841587e-08	4.61090882454271622643e-08	-4.69699076926013873138e-08	8.09088133695926654803e-09
-4	0	2	6.7527921122113467221e-06	1.29944077203872318017e-05	8.78208204624400343146e-11	4.90345434717368204491e-10	1.35055842244226934442e-05	2.59888154407744636034e-05
-4	0	3	-1.22759016745935687483e-11	4.71521140094793091525e-10	1.3429974612396661691e-07	-2.65756558934910042242e-10	-1.63678688994581045892e-11	6.28694853459723984169e-10
-4	0	4	-1.39422224656591797982e-09	2.70736773108063903946e-09	1.26227805104437691008e-11	9.41454351229785450409e-12	-1.39422224656591797982e-09	2.70736773108063903946e-09
-4	1	-4	-1.92701312294650392614e-10	-2.78253296762922416211e-10	-4.77816900451065870726e-11	-1.28282551013983618577e-10	1.80755889783373724843e-10	2.46182659009426485717e-10
-4	1	-3	6.48199801315565923134e-08	-1.89568939620229021754e-08	6.7984206905678320215e-08	-2.00418101325861638981e-08	-6.37652378735160163461e-08	1.85952552385018138316e-08
-4	1	-2	1.3461368341823592309e-08	-5.78977346095893772615e-08	-1.38813190297473052322e-09	-4.94636660760393605604e-10	-2.76168026351345511203e-08	1.15548150888798551982e-07
