# cutoff=5 energy=1 mode=static selection=heterochiral objective=0.000440315581807805968111
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	-1.00958375030257823682e-07	8.25309393356677783622e-07	-4.54714948442869458239e-07	7.96638823049966404638e-07	5.55673323473127228981e-07	-1.62194821640664429414e-06
-5	-5	-4	3.58511754695406646857e-07	-4.56321078037654206478e-07	-5.55426715509958554567e-07	7.04434708606951510905e-07	2.46143701018189911108e-07	-3.10142038211621683474e-07
-5	-5	-3	-2.87950121470934937889e-09	-3.29587433533529080608e-08	7.19005433793686793299e-09	2.29083095139639569808e-08	-7.18425520537919717656e-09	1.67507230656482562115e-08
-5	-5	-2	2.34849572456138635171e-08	1.55519709762261785343e-09	4.42115801772455857883e-08	2.71121120645658986767e-09	-1.69241343557148626572e-07	-1.06660207601980187858e-08
-5	-5	-1	9.59109096751248209939e-12	-2.90585669425664187422e-12	-8.06952041409030800879e-12	-1.76318959401956884194e-12	-7.60785276711087368419e-12	2.33452314413810533789e-11
-5	-5	0	4.93307045958632362819e-11	-5.04402256423577382492e-11	-4.93307045958632362819e-11	5.04402256423577382492e-11	1.70833152276587538374e-10	3.14737327508444921503e-10
-5	-5	1	-9.33277392565228469157e-12	9.84121774641743417605e-12	3.49544239660827561937e-12	-1.04537406168235314902e-11	-2.91866576452200457649e-11	-3.06261435203049343677e-12
-5	-5	2	8.98997015470102393701e-09	-2.18883818059190958142e-08	1.74860468749392384682e-08	-4.07923188658498381538e-08	6.61900425741006601489e-08	-1.56701751679422351464e-07
-5	-5	3	-3.3136760309220286707e-08	-2.00496218420019247468e-08	1.91879651062683614026e-08	1.63646707050573629532e-08	-2.32479920049198733015e-08	-6.1415852282409343925e-09
-5	-5	4	5.72664772852702290808e-07	-1.21199396577078444304e-07	-8.80892751714253090172e-07	1.84602613875687093573e-07	-3.85284973576938552144e-07	7.92540216232608314386e-08
-5	-5	5	7.18661367983533828806e-07	5.50565880580748734259e-07	1.06664800125171409156e-06	-1.19385973013241946432e-07	1.78530936923524781448e-06	4.31179907567506787827e-07
-5	-4	-5	8.34615512221328614478e-07	-3.09746295472499261798e-07	-3.60892486470929793983e-07	1.31832921708082451113e-07	-5.45901523044584800468e-07	2.04279958106033311495e-07
-5	-4	-4	5.54850489184749206475e-10	1.21728518377874082124e-10	-3.80215843522413739503e-10	1.15118815507495901249e-10	-3.13347267958522742741e-10	-2.67279463479838516829e-10
-5	-4	-3	-1.96614531541635944243e-10	-1.33531301682318150159e-10	-2.35458805311244782683e-10	-1.58310156651182227393e-10	6.4163595965105299373e-10	4.33632378338773211507e-10
-5	-4	-2	7.17692790135908146968e-14	-4.75960856550988238063e-13	3.36634917320611971703e-13	9.13949074680028352992e-13	-8.52693032175201018014e-13	-6.37996007982585959365e-13
-5	-4	-1	-1.31900071655884070886e-12	-5.69605347305352217792e-11	1.77364743286409266712e-12	7.4479284307941116177e-11	-4.99586148662167225176e-13	-1.31144635790883477343e-11
-5	-4	0	5.5860270831819620186e-13	-1.59198056345012777244e-12	-6.98253385397745227082e-13	1.9899757043126599175e-12	-4.80361312010398980017e-13	-6.22647266293466028471e-15
-5	-4	1	-4.62229234891697443417e-11	3.45316279670740745126e-11	6.04243185984880446603e-11	-4.5016014196624498623e-11	1.05826569481034520857e-11	-7.40591695112762677564e-12
-5	-4	2	2.13973214419134178879e-13	-4.94562553729794664523e-13	-9.01480699050636684584e-13	2.72578284546925940994e-13	-1.26802836205343804819e-12	-6.91249815230634880294e-13
-5	-4	3	-2.2417305533844430719e-10	-7.3543484538964850595e-11	-2.70864334926835885012e-10	-8.92670619878656896002e-11	-7.34774205466521752315e-10	-2.41595223548762332817e-10
-5	-4	4	-4.44673849456548141102e-10	-3.44278409725492435414e-10	1.95423449388124985181e-10	2.79752587705932650278e-10	-3.60418862432560204122e-10	-1.50595424450932855215e-10
-5	-4	5	2.67202261900688732241e-07	8.44974942858610096591e-07	-1.22817088722244277024e-07	-3.67282330069802951727e-07	1.68948590922893331798e-07	5.51149078802767798737e-07
-5	-3	-5	-5.35849679849198880835e-09	1.95679994174686583209e-08	3.6399755998273242075e-10	1.67151845454687604102e-08	5.14009826250234932488e-09	-2.95971101447499158905e-08
-5	-3	-4	-1.29972865368234049623e-09	-2.73494353765462296788e-09	9.59718050492813394595e-10	2.02268414591943073779e-09	9.04872279233315470947e-10	1.90166631262870555311e-09
-5	-3	-3	-2.15234637176460737348e-13	5.9710599659378290498e-14	1.44477842887747912546e-12	9.0132762242196459512e-13	-1.08605403358337786289e-12	-1.00084528852092831164e-12
-5	-3	-2	7.39584106706896685419e-11	-1.32663809969570041059e-10	-2.29414062044743354414e-10	4.1042430510764903936e-10	1.5922506639039087319e-10	-2.83976932737548404693e-10
-5	-3	-1	-1.76686668474127937936e-12	5.33720723227840143626e-12	7.69340533060541219948e-12	-1.33298730969399893133e-11	-1.42458825681098405094e-11	1.33035831294279607588e-11
-5	-3	0	4.57242840288744722104e-13	1.11313302720821988915e-12	-7.62071400481241102533e-13	-1.85522171201369981525e-12	7.01109467549002414499e-10	-7.6246217730082147722e-11
-5	-3	1	-3.84673343571797353801e-12	-1.28161125034235396361e-12	1.23845324264886425017e-11	6.05691343594004667185e-12	1.79199301008760614307e-11	1.17626840561083701975e-11
-5	-3	2	-1.00456430682542656007e-10	-1.14171525905957907668e-10	3.11817069488608243481e-10	3.53410353039607076072e-10	2.16584527526555699355e-10	2.44686714794515780314e-10
-5	-3	3	-1.36703399109752527265e-13	-1.15617864529771515886e-13	6.88035108938724092331e-13	-9.62321677828055228643e-13	4.60196110422469829736e-13	-1.15501811871100778878e-12
-5	-3	4	6.93668003442316904081e-10	-2.9506513246055456373e-09	-5.11637514360282706312e-10	2.17943260860371957566e-09	4.83356868532684048669e-10	-2.05373969930414205469e-09
-5	-3	5	-9.52726404765346446884e-09	-1.48942897611997787734e-08	-6.67395529360701441505e-09	-1.9903094803565472752e-08	-1.35316372238176732833e-08	-2.68361466433390627554e-08
-5	-2	-5	3.91897344345054027402e-09	-4.35149868367470606178e-08	-1.4866877122117346047e-08	1.68663480424029378947e-07	2.02777740539639872381e-09	-2.39504053328646942699e-08
-5	-2	-4	1.11194900137259732684e-13	-8.59197186639925837865e-13	5.28992596631414315802e-15	1.34589102196795655962e-12	-1.41638588154731739011e-13	4.01050972315929017522e-13
-5	-2	-3	3.10563488490365845806e-11	-1.85733320457803412197e-11	3.38109521075258556953e-10	-1.96665433032931997006e-10	-2.77166928798566646625e-10	1.6206584209825523337e-10
-5	-2	-2	3.93992109386215735377e-13	1.77252684080051639149e-12	2.94826184120758471185e-12	-6.95741097153349859812e-12	-3.93324211467312374737e-12	2.52609386953220772035e-12
-5	-2	-1	1.4002249687655137532e-09	6.41776310522616984424e-10	-3.49179559200327415378e-09	-1.59229297247606268093e-09	-1.75336598210203711977e-11	-2.42956076609596507338e-11
-5	-2	0	-1.29095627748636280489e-12	-6.73011097551301540034e-13	3.22739069371590691124e-12	1.6825277438782537996e-12	-7.73426125565775063902e-11	6.74465174919015074341e-11
-5	-2	1	-2.95779394735850603682e-10	-1.50636098920814271102e-09	7.30175527954954027549e-10	3.75657963019080293311e-09	-1.85459177693449342329e-11	-1.864568565910807664e-11
-5	-2	2	2.32269804858375963102e-12	9.91918931130533861629e-13	-1.02594128374759142467e-11	9.68898472400482102508e-13	-4.45266771601651577502e-12	3.44869580022681675658e-12
-5	-2	3	2.55192602910483893662e-11	-2.62141399265257188612e-11	2.69972198911023472971e-10	-2.83113703963021237522e-10	2.22513566425762959949e-10	-2.32432702519557016654e-10
-5	-2	4	-1.011507219305099188e-12	-2.55055348034879445937e-13	1.51431679855582012219e-12	7.31573174247962866337e-13	-5.07225624853463873417e-13	4.69674020803821446804e-14
-5	-2	5	4.32958785988408788121e-08	6.36413829500353977635e-09	-1.67867105295630553169e-07	-2.48312180002951405024e-08	-2.38509635194113444409e-08	-3.56834890511451650731e-09
-5	-1	-5	-5.13114817133192549104e-12	-2.59572082480173458341e-12	-1.80613355459373707977e-11	-1.31732874117862711904e-11	8.74341528051939981213e-12	5.23037830715898930617e-12
-5	-1	-4	3.28321552231950569594e-10	1.20576530444634917084e-12	-1.63469392102347900506e-10	-5.66040737251308129633e-13	-3.69534592264351236865e-10	-1.36569644624510943114e-12
-5	-1	-3	-7.38637250003785763765e-12	2.24222428530207262896e-12	-2.50096084602386748253e-11	-6.25649075906973386719e-12	2.0647156986809320466e-11	-1.6515435558135433618e-12
-5	-1	-2	-6.68783676841160164184e-11	-1.15171998391081847413e-10	-2.84190811130878700172e-10	-3.85035832653988037163e-10	3.09291324775729397595e-10	4.80447912304698611264e-10
-5	-1	-1	-3.14469548556069801524e-12	9.15190320771563262018e-12	2.13471758060746794378e-11	1.24656617261201162505e-11	-5.6236983782711881499e-12	-5.82251777646982874293e-11
-5	-1	0	1.46495694992566956865e-12	3.79746076949105012483e-12	-7.32478474962834844909e-12	-1.89873038474552498164e-11	-5.69082390540224255035e-09	1.60401405165033187799e-08
-5	-1	1	-6.87384423744572651463e-13	9.86753985559483851821e-12	-2.61888553675790732348e-11	-2.0947214299303823733e-12	-2.96257774863019350785e-11	4.72429778480438098139e-11
-5	-1	2	-1.27620592270994889676e-10	4.5343594401923300717e-11	-4.55376819585639829236e-10	1.23060393896050920897e-10	-5.46739890470307125884e-10	1.74889182952833699316e-10
-5	-1	3	3.80061815864826030164e-12	4.42131767302169806227e-12	3.01834748967102756716e-11	-1.60729492627030745234e-11	1.63955218966505254573e-11	2.01121303413513832671e-12
-5	-1	4	2.56298247906061705107e-10	2.06553355724169902677e-10	-1.27596693230190200359e-10	-1.02816447021978845685e-10	2.88473636575029536057e-10	2.32487582899717660462e-10
-5	-1	5	4.52399903310647335181e-12	4.08141871686356014583e-12	1.86599070247613427452e-11	4.16979452417550725364e-12	8.25598043805874190085e-12	4.91537762169866224279e-12
-5	0	-5	7.40231056192011265656e-11	-2.19628980352037762316e-11	1.45783929427590208304e-10	8.81267175737896729527e-11	-7.40231056192011265656e-11	2.19628980352037762316e-11
-5	0	-4	-2.14571942435588231331e-12	1.45932944555866563393e-12	1.19630505167870378009e-13	-1.98816272244284721025e-13	2.68214928044485279067e-12	-1.8241618069483320929e-12
-5	0	-3	-1.51444058022248061475e-12	7.24450548653016467524e-13	-2.89991836456805942273e-11	-3.41223698726024114853e-10	2.52406763370413442523e-12	-1.20741758108836084652e-12
-5	0	-2	6.60693536610002156088e-12	2.34196243167428775397e-12	-1.20693955948611153753e-10	-1.16848808711864319018e-10	-1.65173384152500534983e-11	-5.85490607918571918297e-12
-5	0	-1	-1.5899026419888075023e-12	-8.85456553210174313971e-12	8.30312032493457566498e-09	-6.95702751864961279134e-09	7.94951320994403650178e-12	4.42728276605087173141e-11
-5	0	0	0	0	8.32239413402120106579e-12	-8.64646320821603214397e-12	-1.35974343960691850877e-11	-5.86396011318789815062e-11
-5	0	1	6.93834867817805765864e-12	-7.3553514566157883026e-12	-1.0484788276646947214e-08	-2.75056243799343868489e-09	3.4691743390890289101e-11	-3.6776757283078941513e-11
-5	0	2	4.77085700734937576063e-12	-6.12866431178566726521e-12	1.48617730658631002701e-10	-7.8722954344964520247e-11	1.19271425183734402094e-11	-1.53216607794641661435e-11
-5	0	3	-1.39456260172012557093e-14	-1.33333250972894209123e-12	-1.2073918542646581453e-10	-3.17347647432426798773e-10	-2.32427100286687595154e-14	-2.22222084954823688603e-12
-5	0	4	-2.34702836431667220693e-12	-2.72089727356384420417e-13	-2.90757244305383259513e-13	2.53000556311997247865e-13	-2.93378545539584046061e-12	-3.40112159195480538143e-13
-5	0	5	-8.30190694626346398793e-12	-6.51309971667341879424e-11	-1.3029340400116402128e-10	1.63873258379659621362e-10	-8.30190694626346398793e-12	-6.51309971667341879424e-11
-5	1	-5	-8.86942621601562134164e-12	-1.30255164856320613963e-12	1.55698545253242129245e-11	1.02646485515637205871e-11	1.19833971210804636034e-11	3.35548135887595062057e-12
-5	1	-4	-1.43440259309990353553e-10	2.96277119234547147777e-10	-7.14603480377801547403e-11	1.47492414811568260549e-10	1.61435237128042929105e-10	-3.33473295340291901896e-10
-5	1	-3	4.65639160046902940912e-12	-6.81987557868192175225e-13	-1.14768578934512086973e-11	3.29549316067354959821e-11	-1.15862719652654521836e-11	1.21216231320254840375e-11
-5	1	-2	1.38761588040866812823e-10	-4.02156426257885022266e-11	-4.58766022904396527293e-10	5.40022835617297466473e-11	-5.76286981554365295703e-10	1.27540248345336138584e-10
