# cutoff=2 energy=1 Q=D^4*Z=2.6771646665092569496e-05
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0	0	0	0	0	0
-2	-2	-1	0	0	0	0	0	0
-2	-2	0	0	0	0	0	0	0
-2	-2	1	0	0	0	0	0	0
-2	-2	2	0	0	0	0	0	0
-2	-1	-2	0	0	0	0	0	0
-2	-1	-1	0	0	0	0	0	0
-2	-1	0	0	0	0	0	0	0
-2	-1	1	0	0	0	0	0	0
-2	-1	2	0	0	0	0	0	0
-2	0	-2	0	0	0	0	0	0
-2	0	-1	0	0	0	0	0	0
-2	0	0	0	0	0	0	0	0
-2	0	1	0	0	0	0	0	0
-2	0	2	0	0	0	0	0	0
-2	1	-2	0	0	0	0	0	0
-2	1	-1	0	0	0	0	0	0
-2	1	0	0	0	0	0	0	0
-2	1	1	0	0	0	0	0	0
-2	1	2	0	0	0	0	0	0
-2	2	-2	0	0	0	0	0	0
-2	2	-1	0	0	0	0	0	0
-2	2	0	0	0	0	0	0	0
-2	2	1	0	0	0	0	0	0
-2	2	2	0	0	0	0	0	0
-1	-2	-2	0	0	0	0	0	0
-1	-2	-1	0	0	0	0	0	0
-1	-2	0	0	0	0	0	0	0
-1	-2	1	0	0	0	0	0	0
-1	-2	2	0	0	0	0	0	0
-1	-1	-2	0	0	0	0	0	0
-1	-1	-1	-0.0037569832949331202245	0.097405357413066148697	-0.02124225154424349421	-0.076118411548544248624	0.024999234839176615736	-0.021286945864521893135
-1	-1	0	0.019873756474380513404	0.018768041682201065667	-0.019873756474380513404	-0.018768041682201065667	0.11850948075053718833	0.1009577946205223592
-1	-1	1	0.063264839067888073432	-0.034941635854849426024	-0.061461452134983746154	0.035174262892532309754	0.0018033869329043344335	0.00023262703768288099291
-1	-1	2	0	0	0	0	0	0
-1	0	-2	0	0	0	0	0	0
-1	0	-1	0.01131410954134145358	-0.053015951773517672185	-0.013368386351828352374	0.052675845773747183298	-0.01131410954134145358	0.053015951773517672185
-1	0	0	0	-0	0.16495816067771248981	-0.10837888736193136696	0.15984037220404806456	0.13373523010364021801
-1	0	1	0.079969212832852382133	-0.032925578167047497846	-0.073327807803163558287	0.096476712245385995437	0.079969212832852382133	-0.032925578167047497846
