# cutoff=2 energy=1 Q=D^4*Z=7.0259834336502724516e-05
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0	0	0	0	0	0
-2	-2	-1	0	0	0	0	0	0
-2	-2	0	0	0	0	0	0	0
-2	-2	1	0	0	0	0	0	0
-2	-2	2	0	0	0	0	0	0
-2	-1	-2	0	0	0	0	0	0
-2	-1	-1	0	0	0	0	0	0
-2	-1	0	-0.0038122258434849635479	-0.0067295647658686631384	0.0076244516869699270958	0.013459129531737326277	0.016774522853428106006	0.010930764970033351319
-2	-1	1	0	0	0	0	0	0
-2	-1	2	0	0	0	0	0	0
-2	0	-2	0	0	0	0	0	0
-2	0	-1	0	0	0	0	0	0
-2	0	0	0	0	0	0	0	0
-2	0	1	0	0	0	0	0	0
-2	0	2	0	0	0	0	0	0
-2	1	-2	0	0	0	0	0	0
-2	1	-1	0	0	0	0	0	0
-2	1	0	0	0	0	0	0	0
-2	1	1	0	0	0	0	0	0
-2	1	2	0	0	0	0	0	0
-2	2	-2	0	0	0	0	0	0
-2	2	-1	0	0	0	0	0	0
-2	2	0	0	0	0	0	0	0
-2	2	1	0	0	0	0	0	0
-2	2	2	0	0	0	0	0	0
-1	-2	-2	0	0	0	0	0	0
-1	-2	-1	0	0	0	0	0	0
-1	-2	0	0	0	0	0	0	0
-1	-2	1	0	0	0	0	0	0
-1	-2	2	0	0	0	0	0	0
-1	-1	-2	0	0	0	0	0	0
-1	-1	-1	0.0029472368873606504501	0.0091971858583331234094	-0.0094782489144054730967	0.00047222959848141677665	0.0065310120270448230803	-0.0096694154568145399692
-1	-1	0	0.011054343445370503826	0.014344588428785850706	-0.011054343445370503826	-0.014344588428785850706	-0.021941403830098397953	0.17041889379818070394
-1	-1	1	-0.0041222164383472497187	0.018804940273942815504	0.034095400678932699656	-0.08938527235297015483	0.029973184240585450805	-0.070580332079027335856
-1	-1	2	0	0	0	0	0	0
-1	0	-2	0	0	0	0	0	0
-1	0	-1	0.00060019918650820822809	0.029057587769312588633	-0.028417378049692486319	-0.0046594765817500180191	-0.00060019918650820822809	-0.029057587769312588633
-1	0	0	0	-0	0.17954519414459288451	0.1804640493193365447	0.31555583374719398115	0.062947015420067559122
