# cutoff=4 energy=1 Q=D^4*Z=3.224752903832155465e-09
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	0	0	0	0	0	0
-4	-4	-3	0	0	0	0	0	0
-4	-4	-2	0	0	0	0	0	0
-4	-4	-1	0	0	0	0	0	0
-4	-4	0	0	0	0	0	0	0
-4	-4	1	0	0	0	0	0	0
-4	-4	2	0	0	0	0	0	0
-4	-4	3	0	0	0	0	0	0
-4	-4	4	0	0	0	0	0	0
-4	-3	-4	0	0	0	0	0	0
-4	-3	-3	0	0	0	0	0	0
-4	-3	-2	0	0	0	0	0	0
-4	-3	-1	0	0	0	0	0	0
-4	-3	0	0	0	0	0	0	0
-4	-3	1	0	0	0	0	0	0
-4	-3	2	0	0	0	0	0	0
-4	-3	3	0	0	0	0	0	0
-4	-3	4	0	0	0	0	0	0
-4	-2	-4	0	0	0	0	0	0
-4	-2	-3	0	0	0	0	0	0
-4	-2	-2	0	0	0	0	0	0
-4	-2	-1	0	0	0	0	0	0
-4	-2	0	0	0	0	0	0	0
-4	-2	1	0	0	0	0	0	0
-4	-2	2	0	0	0	0	0	0
-4	-2	3	0	0	0	0	0	0
-4	-2	4	0	0	0	0	0	0
-4	-1	-4	0	0	0	0	0	0
-4	-1	-3	0	0	0	0	0	0
-4	-1	-2	0	0	0	0	0	0
-4	-1	-1	0	0	0	0	0	0
-4	-1	0	0	0	0	0	0	0
-4	-1	1	0	0	0	0	0	0
-4	-1	2	0	0	0	0	0	0
-4	-1	3	0	0	0	0	0	0
-4	-1	4	0	0	0	0	0	0
-4	0	-4	0	0	0	0	0	0
-4	0	-3	0	0	0	0	0	0
-4	0	-2	0	0	0	0	0	0
-4	0	-1	0	0	0	0	0	0
-4	0	0	0	0	0	0	0	0
-4	0	1	0	0	0	0	0	0
-4	0	2	0	0	0	0	0	0
-4	0	3	0	0	0	0	0	0
-4	0	4	0	0	0	0	0	0
-4	1	-4	0	0	0	0	0	0
-4	1	-3	0	0	0	0	0	0
-4	1	-2	0	0	0	0	0	0
-4	1	-1	0	0	0	0	0	0
-4	1	0	0	0	0	0	0	0
-4	1	1	0	0	0	0	0	0
-4	1	2	0	0	0	0	0	0
-4	1	3	0	0	0	0	0	0
-4	1	4	0	0	0	0	0	0
-4	2	-4	0	0	0	0	0	0
-4	2	-3	0	0	0	0	0	0
-4	2	-2	0	0	0	0	0	0
-4	2	-1	0	0	0	0	0	0
-4	2	0	0	0	0	0	0	0
-4	2	1	0	0	0	0	0	0
-4	2	2	0	0	0	0	0	0
-4	2	3	0	0	0	0	0	0
-4	2	4	0	0	0	0	0	0
-4	3	-4	0	0	0	0	0	0
-4	3	-3	0	0	0	0	0	0
-4	3	-2	0	0	0	0	0	0
-4	3	-1	0	0	0	0	0	0
-4	3	0	0	0	0	0	0	0
-4	3	1	0	0	0	0	0	0
-4	3	2	0	0	0	0	0	0
-4	3	3	0	0	0	0	0	0
-4	3	4	0	0	0	0	0	0
-4	4	-4	0	0	0	0	0	0
-4	4	-3	0	0	0	0	0	0
-4	4	-2	0	0	0	0	0	0
-4	4	-1	0	0	0	0	0	0
-4	4	0	0	0	0	0	0	0
-4	4	1	0	0	0	0	0	0
-4	4	2	0	0	0	0	0	0
-4	4	3	0	0	0	0	0	0
-4	4	4	0	0	0	0	0	0
-3	-4	-4	0	0	0	0	0	0
-3	-4	-3	0	0	0	0	0	0
-3	-4	-2	0	0	0	0	0	0
-3	-4	-1	0	0	0	0	0	0
-3	-4	0	0	0	0	0	0	0
-3	-4	1	0	0	0	0	0	0
-3	-4	2	0	0	0	0	0	0
-3	-4	3	0	0	0	0	0	0
-3	-4	4	0	0	0	0	0	0
-3	-3	-4	0	0	0	0	0	0
-3	-3	-3	0.0010109463044071136453	-0.0018403542942417637582	-0.0048248214349626656824	0.0053518466847473451439	0.0038138751305555520371	-0.0035114923905055816025
-3	-3	-2	-0.0031607285471415328369	0.00017771388903791034467	0.00018727391619542815295	-0.0040056595391932880643	0.0044601819464191571479	0.0057419184752330668098
-3	-3	-1	7.6439541050983479979e-05	-0.0041268791841100778417	-3.3953867026116678687e-05	0.0049192522177473399503	-0.00012745702207460040387	-0.0023771191009117880605
-3	-3	0	0.0048627536888213324789	0.0062650183734921250506	-0.0048627536888213324789	-0.0062650183734921250506	-0.003491782134307664081	0.0027739043285680180587
-3	-3	1	-0.0028773675155402836726	8.0106141563401634656e-05	0.0026636249129339461747	0.0030752780419025854339	-0.00064122780781901357779	0.009466152550397961829
-3	-3	2	0.0025266862553495559457	0.0027753480087000146313	0.00045531359314039015259	-0.0013751764241026870859	0.0044729997727349195269	0.0021002573768959917518
-3	-3	3	0.0026255562590684275448	-0.0028031348498016497167	-0.0039015078541668208462	0.0027780555839840162871	-0.0012759515950983930845	-2.5079265817633619338e-05
-3	-3	4	0	0	0	0	0	0
-3	-2	-4	0	0	0	0	0	0
-3	-2	-3	-0.0010822156958473693952	-0.0024454066598346849495	-0.0023268785819214894001	-0.0046398728540568987336	0.0026334680837950289953	0.005538655229205951061
-3	-2	-2	-0.008719044153416743298	-0.0066583561620418537166	0.0019635173089379764563	-0.00093458538104433143412	0.011115048921187137623	0.010922119624107112443
-3	-2	-1	0.00075532700019192695971	0.0037024443509423420745	-0.001885653044351903165	-0.0025708584978393011176	0.0015053250881280257761	-0.0059656160571484248556
-3	-2	0	-0.0055063328632678947352	-0.0046290031891427071628	0.0082594992949018408018	0.0069435047837140603105	0.0076300550530406076669	-0.0039432910116996705563
-3	-2	1	0.0031975870062231478638	0.0030261530351762583498	-0.0051917587562123751477	-0.010565191535676763182	-0.00079075649375530724598	-0.012051923965824752616
-3	-2	2	0.0033726515985204800867	-0.0016464817328268493198	-0.0001619505887277875283	-0.0051343284013528906612	0.0048970268090529327915	-0.0076040510005931640988
-3	-2	3	-8.1939022763999662201e-06	-0.0036061747048699165259	0.0042836087573941998216	0.0059527859127237780015	0.0028475452693197331189	0.00036234923694593578229
-3	-2	4	0	0	0	0	0	0
-3	-1	-4	0	0	0	0	0	0
-3	-1	-3	0.0038745320235224383135	-0.0031173614137660955216	-0.0030480407851949538854	-0.0026060850907995598835	-0.0028585184284574535404	0.0039860564440326153382
-3	-1	-2	-0.0072746817252145297775	-0.0069793525145331733114	-0.0014357868263804932085	0.016938728270430927769	0.011629916001012039969	0.0019996646365842965162
-3	-1	-1	0.0019493979479334284325	-4.048042556454152464e-05	-0.0098632888930951841816	-0.0094913350566658595542	0.0040150950492948986673	0.0096127763333594840739
