# exact-gradient local quartic closure adversary; cutoff=2; objective=closure-ratio; selection=doubling-family; objective_value=0.111111; constant_ratio=0.333333; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0	-0	0	-0	0	-0
-2	-2	-1	0	-0	0	-0	0	-0
-2	-2	0	7.3907245063795266813e-12	2.4105320364574993804e-12	-7.3907245063795266813e-12	-2.4105320364574993804e-12	6.7162027999273242657e-11	1.8704555373940488604e-10
-2	-2	1	0	0	0	0	0	0
-2	-2	2	0	0	0	0	0	0
-2	-1	-2	0	-0	0	-0	0	-0
-2	-1	-1	0	-0	0	-0	0	-0
-2	-1	0	0	-0	0	-0	0	-0
-2	-1	1	0	0	0	0	0	0
-2	-1	2	0	0	0	0	0	0
-2	0	-2	3.0308949881943667023e-12	1.5862957096343139155e-12	8.2707921204074362046e-11	-9.8917010175573607442e-11	-3.0308949881943667023e-12	-1.5862957096343139155e-12
-2	0	-1	0	-0	0	-0	0	-0
-2	0	0	0	-0	8.3355911337449998665e-10	1.548848896807472172e-10	3.0539542335873825479e-10	2.3715602046116729381e-10
-2	0	1	0	0	0	0	0	0
-2	0	2	2.2064500579218079365e-12	-2.1728884288111094069e-12	-5.7621100447538540689e-11	4.7072400212393105646e-11	2.2064500579218079365e-12	-2.1728884288111094069e-12
-2	1	-2	0	-0	0	-0	0	-0
-2	1	-1	0	-0	0	-0	0	-0
-2	1	0	0	0	0	0	0	0
-2	1	1	0	0	0	0	0	0
-2	1	2	0	0	0	0	0	0
-2	2	-2	0	-0	0	-0	0	-0
-2	2	-1	0	-0	0	-0	0	-0
-2	2	0	-5.2720871822041061802e-12	-1.2535316572176340611e-12	-5.2720871822041061802e-12	-1.2535316572176340611e-12	-7.4337222404845014497e-11	-9.5840555385292346908e-11
-2	2	1	0	0	0	0	0	0
-2	2	2	0	0	0	0	0	0
-1	-2	-2	0	-0	0	-0	0	-0
-1	-2	-1	0	-0	0	-0	0	-0
-1	-2	0	0	-0	0	-0	0	-0
-1	-2	1	0	0	0	0	0	0
-1	-2	2	0	0	0	0	0	0
-1	-1	-2	0	-0	0	-0	0	-0
