# exact-gradient local quartic closure adversary; cutoff=2; objective=signed-closure-ratio; selection=doubling-family; objective_value=0.0729937; constant_ratio=0.0729937; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0	-0	0	-0	0	-0
-2	-2	-1	0	-0	0	-0	0	-0
-2	-2	0	-2.4581065820177190828e-15	1.2336206616429570536e-15	2.4581065820177190828e-15	-1.2336206616429570536e-15	-9.6675650019441334526e-12	5.9755312925838577203e-11
-2	-2	1	0	0	0	0	0	0
-2	-2	2	0	0	0	0	0	0
-2	-1	-2	0	-0	0	-0	0	-0
-2	-1	-1	0	-0	0	-0	0	-0
-2	-1	0	0	-0	0	-0	0	-0
-2	-1	1	0	0	0	0	0	0
-2	-1	2	0	0	0	0	0	0
-2	0	-2	1.4633095772704787845e-16	1.1639708261653093802e-15	1.8454189729464614558e-15	-4.3396992737188417945e-15	-1.4633095772704787845e-16	-1.1639708261653093802e-15
-2	0	-1	0	-0	0	-0	0	-0
-2	0	0	0	-0	9.8929903408708121581e-11	2.6305742126143555553e-11	4.8213129062559041434e-15	3.1412939729632407042e-15
-2	0	1	0	0	0	0	0	0
-2	0	2	7.209919222993142354e-16	-7.6257880432672533811e-16	-3.5201697287618390427e-16	4.7284209815728894929e-15	7.209919222993142354e-16	-7.6257880432672533811e-16
-2	1	-2	0	-0	0	-0	0	-0
-2	1	-1	0	-0	0	-0	0	-0
-2	1	0	0	0	0	0	0	0
-2	1	1	0	0	0	0	0	0
-2	1	2	0	0	0	0	0	0
-2	2	-2	0	-0	0	-0	0	-0
-2	2	-1	0	-0	0	-0	0	-0
-2	2	0	-1.9598663942727127379e-15	1.7151726068973427555e-15	-1.9598663942727127379e-15	1.7151726068973427555e-15	-2.2967915392434284122e-11	1.6059231903659973619e-11
-2	2	1	0	0	0	0	0	0
-2	2	2	0	0	0	0	0	0
-1	-2	-2	0	-0	0	-0	0	-0
-1	-2	-1	0	-0	0	-0	0	-0
-1	-2	0	0	-0	0	-0	0	-0
-1	-2	1	0	0	0	0	0	0
-1	-2	2	0	0	0	0	0	0
-1	-1	-2	0	-0	0	-0	0	-0
