# exact-gradient local quartic closure adversary; cutoff=6; objective=signed-closure-ratio; selection=doubling-remainder; objective_value=0.0740187; constant_ratio=0.0740187; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	9.7340633783358006544e-13	3.0878978360611271631e-12	-9.787984310418484935e-13	-2.9836937720938470681e-12	5.3920932082685116816e-15	-1.0420406396728005718e-13
-6	-6	-5	-1.0423561741499526165e-15	5.1947696220183075985e-16	1.1827321762137674161e-15	4.0047399242936662547e-16	-1.6845120247657781874e-16	-1.1039411455574368624e-15
-6	-6	-4	2.6544524414112192334e-15	5.7799576363489227457e-15	-2.8793296730684518368e-15	-5.0634693582272184614e-15	3.3731584748584865854e-16	-1.0747324171825558349e-15
-6	-6	-3	4.2604145311861405197e-14	1.7432549077998877417e-14	-4.7845249992281642299e-14	-1.0921546195247445983e-14	1.0482209360840469473e-14	-1.3022005765502864447e-14
-6	-6	-2	1.9681555207528492815e-14	5.4042332048594966863e-14	-2.441431616095998632e-14	-3.4735190160275893325e-14	1.4198282860294485247e-14	-5.7921425664957233237e-14
-6	-6	-1	3.9949996383998166557e-15	2.7424888853600498458e-15	-3.4246186759879195649e-15	-3.222420380278576309e-15	-3.4222857744713813617e-15	2.8795889695111579902e-15
-6	-6	0	5.4461379175301026236e-17	-8.035022683921739028e-17	-5.4461379175301026236e-17	8.035022683921739028e-17	3.4492153605315854474e-17	1.7696130370449725269e-16
-6	-6	1	-3.9933721268457595449e-16	-3.5813067621164591813e-16	4.6335764730441942084e-16	4.1410862400408567754e-16	3.8412260771906065018e-16	3.3586768675463875367e-16
-6	-6	2	-1.1153981684763597241e-18	2.3318692426785417635e-19	1.6717253624424701737e-18	-2.5006618992043197093e-19	1.6689815818983311563e-18	-5.063779695773341984e-20
-6	-6	3	-2.0982278672340231911e-18	1.4934999407989805209e-17	5.9977193956944527918e-18	-2.4310877389443264205e-17	7.7989830569208599719e-18	-1.8751755962906924153e-17
-6	-6	4	2.0613462113759836566e-12	-2.1358274937988761204e-12	-1.9831336025122786964e-12	1.9265311530270413282e-12	1.1731891329555731416e-13	-3.1394451115775228925e-13
-6	-6	5	7.7723962332632084988e-12	-4.2294008116729080395e-12	-6.9519896672165632068e-12	4.0483341268382727332e-12	9.8448787925597487552e-13	-2.1728002180156244841e-13
-6	-6	6	-1.8519395021448676124e-13	-9.1232466015266923618e-14	2.0568612391431985678e-13	1.1989513525706825922e-13	2.0492173699833120784e-14	2.8662669241801329289e-14
-6	-5	-6	4.0700889445393476753e-12	-3.7782021304978407055e-13	-6.7124006167257849447e-12	-4.9137906649051328319e-13	1.5235782360654731793e-12	7.8730276845854512305e-13
-6	-5	-5	8.5110141673984079923e-15	-2.5419270977273702232e-14	-8.4445384803325806312e-15	1.5299244019110473102e-14	-1.7686785205455097878e-15	1.5203881153617969576e-14
-6	-5	-4	1.3107483371020273974e-14	-1.3120117187349834021e-14	-1.3876390067171621108e-14	1.28970628527828623e-14	-2.3157374725658829985e-15	3.5588472150461723681e-15
-6	-5	-3	4.0245717916237052163e-19	1.2594533867922157489e-18	-3.7471791815621272871e-19	-1.3158680441008223676e-18	-1.8038449473105323429e-19	-3.2579336674972772835e-19
-6	-5	-2	-6.155299934930725243e-21	-9.9035143303607684734e-22	4.6494257196075899325e-21	8.9764140254803843111e-22	6.8423355057732005214e-21	7.2695079273813465233e-22
-6	-5	-1	-2.0017889654938545168e-12	3.2464996419842165229e-12	2.9405102040463773946e-12	-5.1361259939617026572e-12	-2.6918172272687602761e-12	6.2016321179032141486e-12
-6	-5	0	-3.909145916510040793e-20	-4.2967215355573108173e-20	4.6909750998120487108e-20	5.1560658426687732215e-20	2.7818356798042679045e-20	5.2883187564558950378e-20
-6	-5	1	-1.0352109724190303981e-20	-3.7815008342133577858e-21	1.3214323756571556059e-20	5.4607165388685843253e-21	3.9589604377159571577e-21	4.6145776890627734071e-21
-6	-5	2	2.9808224059933848984e-23	-2.1724076266460053892e-23	-5.5010790788675810657e-23	4.51567069854977782e-23	-4.8102304791887985568e-23	4.7719538664364275007e-23
-6	-5	3	-2.5425400384261933682e-21	-2.167052881082979144e-21	1.5916177308822844041e-21	5.0676737545974657503e-21	-2.432383858715246063e-21	4.1120171621631520481e-21
-6	-5	4	9.0123689778483115317e-13	2.1807135415793903569e-13	-6.6918060365397475877e-13	1.9849257689334906478e-14	5.1537959210977833178e-13	3.519186033485771961e-13
-6	-5	5	-8.4377133136992635513e-13	-8.4273131394199772382e-12	2.7931355441065473613e-13	7.8340861109724558736e-12	-7.3321204323325691023e-13	-2.2786896563315167315e-12
-6	-5	6	-1.2576816411827819091e-16	1.8689059414669727012e-17	-7.1590031239527097425e-17	2.5825096232690855332e-18	-1.8542652348455076799e-16	2.0841150767393962581e-17
-6	-4	-6	1.251095069252739789e-12	-3.6177745299891174779e-13	-2.065689316538761709e-12	1.2380268370011625506e-12	1.2603114177310139241e-13	-4.6357377166853005358e-13
