# exact-gradient local quartic closure adversary; cutoff=1; constant_ratio=0.333333; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-1	-1	-1	-4.5689398973867591951e-12	-3.2559876084324144404e-12	3.9182955698066372447e-11	-1.7258431355530918501e-11	-3.4614015800679608405e-11	2.0514418963963330922e-11
-1	-1	0	2.6842412102767842583e-12	1.1368476135353199167e-12	-2.6842412102767842583e-12	-1.1368476135353199167e-12	-9.9827725153177888572e-12	2.0322080980265429434e-12
-1	-1	1	3.4178972871546962765e-13	1.0719889328883860454e-12	-1.2050350847945938004e-11	3.3393257046111926528e-12	-1.1708561119230468326e-11	4.4113146374995782943e-12
-1	0	-1	2.406388349008586539e-12	-2.2220312073235920461e-12	4.6789017655317962681e-12	-1.4656099575778925327e-11	-2.406388349008586539e-12	2.2220312073235920461e-12
-1	0	0	0	-0	0.29212321664490009665	-0.28518536610177169788	-1.4809596322734163484e-10	-9.5433985241486856099e-11
-1	0	1	-3.7384958917758875514e-13	1.5643572429864751712e-12	-2.4048302839021061605e-12	-6.8557402772571700906e-12	-3.7384958917758875514e-13	1.5643572429864751712e-12
-1	1	-1	4.5051085714886889424e-12	-3.8550276627838782956e-12	5.0173162225390844775e-12	2.5460383539091034074e-11	5.1220765105039563612e-13	2.9315411201874910754e-11
-1	1	0	1.7264943792299579701e-11	-6.9165326875139628635e-12	1.7264943792299579701e-11	-6.9165326875139628635e-12	-1.5679877992667142506e-11	1.2483202481893194299e-12
-1	1	1	4.4813638749574656462e-12	-3.9767592507157740875e-11	7.4575557476322798625e-12	-6.3139986011708101344e-11	-2.9761918726748138124e-12	2.3372393504550357238e-11
0	-1	-1	2.7382234788636229181e-12	-3.3926595189271080631e-12	7.4385997691897921988e-12	7.7761442189344259711e-12	-7.4385997691897921988e-12	-7.7761442189344259711e-12
0	-1	0	-2.7796460780327433598e-10	8.8285278995542073109e-11	0	-0	0.1735538495101550116	0.36952094394207851691
0	-1	1	-3.066919893661367033e-12	-6.5057759333521248808e-12	1.4406236020824323951e-11	-4.6330976390522540665e-12	1.4406236020824323951e-11	-4.6330976390522540665e-12
0	0	-1	-0.36144890527277723224	-0.18979292780266576735	-2.7660159403262915633e-10	-7.9812111663522040451e-11	0	-0
0	0	1	-0.36144890527277723224	0.18979292780266576735	-2.7660159403262915633e-10	7.9812111663522040451e-11	0	0
0	1	-1	-3.066919893661367033e-12	6.5057759333521248808e-12	1.4406236020824323951e-11	4.6330976390522540665e-12	1.4406236020824323951e-11	4.6330976390522540665e-12
0	1	0	-2.7796460780327433598e-10	-8.8285278995542073109e-11	0	0	0.1735538495101550116	-0.36952094394207851691
0	1	1	2.7382234788636229181e-12	3.3926595189271080631e-12	7.4385997691897921988e-12	-7.7761442189344259711e-12	-7.4385997691897921988e-12	7.7761442189344259711e-12
1	-1	-1	4.4813638749574656462e-12	3.9767592507157740875e-11	7.4575557476322798625e-12	6.3139986011708101344e-11	-2.9761918726748138124e-12	-2.3372393504550357238e-11
1	-1	0	1.7264943792299579701e-11	6.9165326875139628635e-12	1.7264943792299579701e-11	6.9165326875139628635e-12	-1.5679877992667142506e-11	-1.2483202481893194299e-12
1	-1	1	4.5051085714886889424e-12	3.8550276627838782956e-12	5.0173162225390844775e-12	-2.5460383539091034074e-11	5.1220765105039563612e-13	-2.9315411201874910754e-11
1	0	-1	-3.7384958917758875514e-13	-1.5643572429864751712e-12	-2.4048302839021061605e-12	6.8557402772571700906e-12	-3.7384958917758875514e-13	-1.5643572429864751712e-12
1	0	0	0	0	0.29212321664490009665	0.28518536610177169788	-1.4809596322734163484e-10	9.5433985241486856099e-11
1	0	1	2.406388349008586539e-12	2.2220312073235920461e-12	4.6789017655317962681e-12	1.4656099575778925327e-11	-2.406388349008586539e-12	-2.2220312073235920461e-12
1	1	-1	3.4178972871546962765e-13	-1.0719889328883860454e-12	-1.2050350847945938004e-11	-3.3393257046111926528e-12	-1.1708561119230468326e-11	-4.4113146374995782943e-12
1	1	0	2.6842412102767842583e-12	-1.1368476135353199167e-12	-2.6842412102767842583e-12	1.1368476135353199167e-12	-9.9827725153177888572e-12	-2.0322080980265429434e-12
1	1	1	-4.5689398973867591951e-12	3.2559876084324144404e-12	3.9182955698066372447e-11	1.7258431355530918501e-11	-3.4614015800679608405e-11	-2.0514418963963330922e-11
