# exact-gradient local quartic closure adversary; cutoff=5; constant_ratio=0.278585; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	1.100558732535177342e-06	1.3912613287892636378e-05	8.2326739471817516822e-06	8.4080542166662396478e-06	-9.3332326797169281771e-06	-2.2320667504558876025e-05
-5	-5	-4	8.4200734030923520488e-07	3.3985106914137185009e-06	4.2824128285890995744e-07	3.2824347549856284801e-06	-1.5878107789601815058e-06	-8.3511818079991841497e-06
-5	-5	-3	-2.8375246864206010839e-08	4.4653426955717802436e-08	2.8881421098519269846e-08	-4.208544423074828394e-08	-8.4362372385542881837e-10	-4.2799712082825322043e-09
-5	-5	-2	3.3377237720980014222e-10	5.4770361887759746551e-10	-3.9949466784471525916e-10	-9.8713793243893526048e-10	1.6430572658728779236e-10	1.0985857839033445908e-09
-5	-5	-1	-1.8402226293168385744e-09	-7.706046008767040446e-10	2.1084397354952119072e-09	7.8354356578244733047e-10	-1.3410855308918660434e-09	-6.4694824528716713711e-11
-5	-5	0	1.016253375650612419e-09	8.7358776709364670842e-11	-1.016253375650612419e-09	-8.7358776709364670842e-11	2.7026103313288413129e-09	-1.3378376432185198896e-09
-5	-5	1	3.8117832307307416509e-09	-2.1206179608684867809e-09	-3.6728164819820171587e-09	1.9218926983151603754e-09	6.9483374374362194387e-10	-9.9362631276663057969e-10
-5	-5	2	-2.396196354972264069e-11	1.809666746878422216e-10	-3.2058562660966430358e-11	-2.7756930654516000431e-10	-1.4005131552672267439e-10	-2.4150657964329448263e-10
-5	-5	3	-8.7329718760255518235e-08	-9.1332693841615191577e-08	1.0543995467213991538e-07	9.0575809689798722747e-08	3.0183726519807330775e-08	-1.2614735863607773859e-09
-5	-5	4	2.6679926836806235261e-06	2.833398816907089059e-06	2.9791997680350678004e-06	2.6198878695207398039e-06	7.0589905646446138404e-06	6.8166083580347860786e-06
-5	-5	5	4.9854170928880491505e-06	-1.0419416638892841479e-05	-2.8953380814857987118e-07	1.4001410538869074656e-05	4.6958832847394692264e-06	3.5819938999762331765e-06
-5	-4	-5	-1.113556507577064603e-06	-1.9163035831432675773e-07	1.1983405523509062282e-06	-3.1617290004416174636e-07	1.5488406569633958866e-07	4.4456867834965613893e-07
-5	-4	-4	-1.5687669357209424427e-10	8.0135125452910772417e-10	-6.4555268579958592604e-09	1.7318422965137458724e-10	6.6516227249609767943e-09	-1.1748732978127592166e-09
-5	-4	-3	5.3717547136844646182e-11	1.5556226044712496721e-11	-1.155493512495880476e-10	9.1890342962962609746e-14	6.4536556438042986493e-11	-2.604956386513811458e-11
-5	-4	-2	3.0088827243174701299e-12	2.7146257833896015926e-11	5.6829639266165373559e-11	-3.1423767589333987579e-11	-1.2118148534312443092e-10	-5.0181094060720670803e-12
-5	-4	-1	7.3195126211208127473e-10	-8.7039729958165886528e-10	-8.5389833760364811472e-10	1.3210195892786491725e-09	-2.4416296014581422494e-10	-9.3209185920630246696e-10
-5	-4	0	-3.352438774518916696e-10	5.5605921947483866324e-09	4.1905484681486459993e-10	-6.9507402434354834973e-09	-5.5685039012339036446e-11	-5.628925313086922772e-10
-5	-4	1	2.0665789354215710728e-10	-1.8795873241105278224e-11	-4.6874482533263834186e-10	1.6590374707633578289e-10	-8.4168983361976767592e-10	5.6963562209981674046e-10
-5	-4	2	-2.5209747322005187506e-11	1.5195549316101218662e-11	6.9769037956794594612e-11	6.5623838777782637701e-13	7.6513707608576205918e-11	3.9301350065808705872e-11
-5	-4	3	-2.0687096056697406198e-10	-2.4468870767370719588e-10	1.6916315639240566798e-10	2.9020158748551878706e-10	-1.1923405908841587071e-10	-2.0879062808820260895e-11
-5	-4	4	-3.2594591452217099936e-10	-1.0385133574131004164e-09	-2.5046436969012439974e-10	1.1851208643946598854e-09	-6.5789676284283811016e-10	-1.130208323717157514e-10
-5	-4	5	1.5439761765552528983e-06	-6.7326276181013787774e-07	-8.3587203612707347784e-07	-6.8882668908751122352e-07	8.7527854765359403133e-07	-1.2243241130801468777e-06
-5	-3	-5	-7.069959695977292935e-07	7.9165496119879627167e-07	-8.4842424849467467974e-09	4.700644636745787515e-08	7.1208651508869729658e-07	-8.1985882901927097691e-07
-5	-3	-4	1.8746772014575307754e-10	-1.7720987470942516404e-10	9.3854682399181058346e-11	2.2831342226651296864e-11	-3.0472566198157716976e-10	2.043888367167930026e-10
-5	-3	-3	2.0286324496277999599e-09	5.1556538512953041069e-10	-7.7692122745497178198e-10	-1.1403344480182746571e-10	-2.6041328552580280133e-09	-7.4524219708072326186e-10
-5	-3	-2	2.4155219907640718213e-10	-2.2787702258159293017e-10	-1.0987971952649994951e-09	6.409253360579011173e-10	1.0443152952064812357e-09	-3.9169544763286933761e-10
-5	-3	-1	-7.6566434764149838536e-09	2.424127125078305773e-09	1.493071640055115582e-08	-5.2148147898599547484e-09	-6.5089318195785481917e-09	3.5238087441883349666e-09
-5	-3	0	1.5535214595536205828e-09	-2.5217776309546445346e-09	-2.5892024325893672933e-09	4.2029627182577407532e-09	-1.3348366865770381722e-09	2.6537309821921513751e-09
-5	-3	1	9.0483020955288271087e-09	9.3722154149044962819e-10	-1.9292645756887699543e-08	-2.0494426103821145868e-09	-1.2636426793018964738e-08	-1.4622201236940956194e-09
-5	-3	2	-1.5543032561033249572e-09	-5.9189696629281341877e-10	5.2511609919232283791e-09	1.2589465197727704743e-09	3.9909833476265297621e-09	4.0867736392712226794e-10
-5	-3	3	5.382236611156177651e-10	3.5051604167810475647e-10	-2.4862531107440346614e-09	1.6611536155220295969e-11	-1.5892136755513382829e-09	6.0080493895206154598e-10
-5	-3	4	5.3362464861806367593e-10	-1.0135356569799237228e-10	5.4543536803063391726e-11	-2.2917179970557098105e-11	7.0793846337487715325e-10	-1.4387984210040829862e-10
-5	-3	5	-4.0364671246532361325e-07	-1.0013715476211606794e-06	-2.8296666204684665936e-08	-4.6912542334110581868e-08	-4.2062471218813439229e-07	-1.0295190730216269703e-06
-5	-2	-5	-4.348691220299808676e-10	8.0009447471099250782e-11	-5.4771091906757029882e-10	9.9243325405947116728e-11	6.5395348965700897679e-10	-1.1970677763347808713e-10
-5	-2	-4	2.6746137591207389893e-10	2.6040857033556233059e-10	2.4254120474536021071e-11	-1.0086241361948015697e-11	-3.4645378012736039228e-10	-3.204675922384789482e-10
-5	-2	-3	9.1377385294253044727e-10	-1.4991901314429930351e-09	1.0378696939492945485e-09	-4.765370740239183869e-10	-2.2148695508704137089e-09	2.8163416017542671786e-09
