# exact-gradient local quartic closure adversary; cutoff=8; constant_ratio=0.284312; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-1.0816396011006145487e-08	1.3282436390300762601e-08	-9.1255471315774045006e-09	-5.9726597449777934391e-09	1.9941943142583549987e-08	-7.3097766453229691616e-09
-8	-8	-7	6.0452633926226715405e-09	1.2808989603798691631e-09	-2.134202850341562325e-09	-2.387639630783397988e-10	-4.4697834768926956555e-09	-1.1910114254874621306e-09
-8	-8	-6	-1.5745983999992466741e-09	1.0530512192327507468e-09	1.6050470141808897691e-09	-1.0876409553829347797e-09	-4.0598152242190857963e-11	4.6119648200245487107e-11
-8	-8	-5	1.2671460260374543058e-10	-7.6108057656395570855e-11	2.0145396342898783366e-11	1.5475138072127249487e-10	-2.3497599831463073714e-10	-1.2582931690380308876e-10
-8	-8	-4	2.0257940744163771491e-12	5.3202979949138145581e-13	-4.73235455507952929e-14	2.0472917347082149929e-12	-3.956941057731163725e-12	-5.1586430683991933013e-12
-8	-8	-3	-2.4775152841748464581e-12	1.3449363517099458597e-11	5.9955842801144575549e-12	-1.5512750911913276343e-11	-9.3815173225056306685e-12	5.5023663861701820019e-12
-8	-8	-2	-1.4988827938003045851e-10	1.1478157519777347028e-10	1.5894421901123500787e-10	-1.6458690812441941133e-10	-3.6223758524818255623e-11	1.9922133170658373834e-10
-8	-8	-1	1.2563982091938019412e-11	-3.5584309530273897187e-11	-1.7122016766467266795e-11	3.7858644822608460387e-11	3.6464277396233979062e-11	-1.8194682338676492677e-11
-8	-8	0	-3.4954616772623419329e-10	-3.2633465596038332045e-10	3.4954616772623419329e-10	3.2633465596038332045e-10	-2.1232416993831061475e-10	-2.9135377197697259751e-10
-8	-8	1	-3.2365703869510939481e-10	-6.7392345425824852844e-11	2.8960045082603083309e-10	5.317718532565604515e-11	-2.7245270295262839038e-10	-1.1372128080135046155e-10
-8	-8	2	1.5767096901636672915e-09	-8.6403506933468757641e-10	-1.2466506849084136141e-09	6.4996726632515864111e-10	1.3202360210210145028e-09	-8.5627121203811584458e-10
-8	-8	3	-9.0513457322025479109e-13	-6.7778069169698902709e-14	-4.4225994299458562943e-13	-5.4641392890654192885e-13	-3.5930520432395743201e-12	-1.6378453282033088842e-12
-8	-8	4	-9.954806647631175812e-13	1.9659594089725376541e-13	1.2409202981689118177e-12	-5.6422505169651480159e-13	4.9087926681158847298e-13	-7.3525822159852207236e-13
-8	-8	5	2.8999230501673233002e-11	-6.3105204197988178552e-12	-3.606380480727047998e-11	2.808499784125100957e-12	-1.1303318888955594842e-11	-5.6032330170779473603e-12
-8	-8	6	8.0586643553432643687e-11	-2.4764684915792942869e-11	-1.324424472989429256e-10	6.4126303338187191411e-11	-6.9141071660680358657e-11	5.2482157896525658261e-11
-8	-8	7	4.84119322524109663e-12	-9.7991223997377176325e-13	-5.0511609380508519952e-12	2.9388324294860869214e-12	-2.3996310035400592973e-13	2.2387659308712171505e-12
-8	-8	8	5.2865949687224383204e-12	-4.134388187967708719e-13	-1.6203397969306403404e-11	-1.1921776433450250626e-11	-1.0916803000583965892e-11	-1.23352152522470217e-11
-8	-7	-8	-8.2074504127287195248e-11	4.0398249647565420356e-09	1.6660937766877304628e-09	-1.2946489583345642643e-09	-1.3757575504744768563e-09	-2.9070071262137979941e-09
-8	-7	-7	-1.1022662987094818384e-09	-5.4015895917033396134e-09	-2.0721110350421625867e-09	2.5809920333321601403e-09	3.3318439478529989143e-09	3.5922532143287990043e-09
-8	-7	-6	1.0084756542414684275e-11	5.1387222371557642424e-12	-1.5607388968079471776e-11	-6.5300028037195967977e-12	4.762278406206471103e-12	7.6670695479851080935e-13
-8	-7	-5	6.8944473628982748463e-11	3.6007862388597393394e-11	-1.8621649115517205318e-10	6.4789890794411908632e-11	1.5039192981086848725e-10	-1.4831842693393247825e-10
-8	-7	-4	6.14345930430115032e-12	-1.7095169587654273943e-12	-3.0704984633054536048e-12	3.3842048974142124634e-12	-6.9135462978177574374e-12	-2.5033246529440171233e-12
-8	-7	-3	-1.1904993404863367304e-11	-2.4731970663501833317e-11	2.8610777770060664768e-11	3.6210535214885938031e-11	-3.5011832383839238315e-11	-1.8539327065395629994e-11
-8	-7	-2	-7.7457140103406672401e-12	4.2112359495745708949e-13	1.1302456468985987669e-11	-7.0616015783684884921e-13	-8.5757416000882919215e-12	7.8706617259914261429e-13
-8	-7	-1	3.3372800799060181447e-13	7.8568472163956052734e-13	-6.049070064201328189e-13	1.0023771415086618228e-14	1.5645249810161154185e-12	-6.3556441730220905463e-12
-8	-7	0	-1.0820820460481732009e-11	-8.3836744610854489679e-12	1.2366651954836264461e-11	9.5813422412405128754e-12	4.219475248408581923e-11	5.0625452044040868589e-11
-8	-7	1	-4.7703318998319767336e-12	-6.1751362829008769625e-13	7.2211514633059798871e-12	-4.7636216218067871638e-12	1.2385405044486048572e-11	-3.8285460378968210101e-11
-8	-7	2	1.7268516280078754749e-12	2.1023273804726544871e-12	-2.085985762177807959e-12	-2.0275686152833262639e-12	-3.9354365559082656295e-13	1.3128193683989762268e-12
-8	-7	3	-1.8208783082342714725e-11	-9.3408839694146365396e-12	1.9148780429445099947e-11	9.1947120541742155788e-12	-3.876267217542003903e-12	-3.454695792032527082e-12
-8	-7	4	-3.4001628821780693548e-12	1.8728179715735668135e-12	7.7907633882000627355e-12	-4.1742224776706258887e-12	6.8335101649939718854e-12	-3.5592533927764620822e-12
-8	-7	5	-1.4579038360677704863e-11	-1.594124631285296585e-11	-1.9777252788974308442e-11	4.2482711380157494161e-11	-5.1014615281648357015e-11	3.3969801831655745174e-11
-8	-7	6	4.3713338554678746784e-11	5.4726416314032069422e-11	2.3731583990044000861e-11	-4.9779686043592186869e-11	8.5971299394622998332e-11	1.4892254701185206806e-11
-8	-7	7	-2.1638538172184701385e-09	-2.1402551893106335579e-09	-1.1878231100126950901e-09	1.5631202917880368432e-09	-3.6607989011195183123e-09	-8.8288563885268700133e-10
-8	-7	8	6.7034757496921607911e-10	-2.7772569126514282642e-09	-2.7932814478899029362e-09	-3.1029124340423570617e-09	-1.7737736919344489901e-09	-5.4923052924384907449e-09
-8	-6	-8	-1.2475763055590309176e-10	-1.8117132437862315369e-10	-2.0355501182271279196e-11	-4.0949533052149524183e-11	1.4002425644260656085e-10	2.1188347416773529521e-10
-8	-6	-7	-1.3520097261398179017e-11	-1.8592107115400905423e-12	7.2036458888184305314e-12	3.5521442603021900437e-11	9.2769861083249793443e-12	-2.8322138560830095513e-11
-8	-6	-6	5.6561690729955434579e-12	-2.1979266423514249793e-12	1.4464783642153657709e-12	1.8082536646801621238e-12	-8.9880371282094233108e-12	1.122315191788404246e-12
-8	-6	-5	8.9123525391476544547e-12	-1.7374636411517819471e-11	-1.1365066807557688269e-11	1.6452909000172681471e-11	-6.2168389356702168961e-13	8.0559274582212937111e-12
-8	-6	-4	8.6707675772413997874e-13	-5.2762029326787506924e-13	-6.9974217689752177908e-13	9.5348906469485153198e-13	-6.845402501019971374e-13	-3.7499301050652710901e-13
-8	-6	-3	5.5056401901944467999e-12	-3.0573362238287960795e-11	-2.5538329828533285014e-13	1.9676329146430178416e-11	-1.4170940577281191793e-11	4.2176307675907545084e-11
-8	-6	-2	-3.0306021432569303361e-12	-2.8408075512612336308e-12	3.8269100960041250793e-12	5.7047441003195337803e-12	6.416782850153471162e-13	-5.7510020959136652021e-12
-8	-6	-1	4.4512182278216442101e-12	2.3198774940015876835e-12	-6.2300935507975909242e-12	-8.9720964047606433881e-13	1.7708154822123902488e-12	-1.3175762109156315435e-11
-8	-6	0	-1.3143528719054816968e-11	8.9022864411131846816e-12	1.7524704958739755958e-11	-1.186971525481757796e-11	-8.3506304472297795898e-12	2.8560560280515989075e-12
-8	-6	1	-5.7369755858916049893e-12	1.6056281908116124722e-11	9.2263470800623135302e-12	-1.8541910627217491952e-11	9.4622777932410396512e-12	1.71987915016240493e-11
-8	-6	2	5.0350483376871208229e-12	1.3281470043962139694e-12	-8.9817825817443347252e-12	-6.7454042876687934803e-13	-6.8051543944845224997e-12	3.2889667312842183385e-12
-8	-6	3	3.991416031801996345e-12	1.5370430052808664303e-12	-5.0981240267286249102e-12	-2.519853061628152606e-12	4.4752803134807385036e-13	-9.4092477584066139799e-13
-8	-6	4	-2.6816761836085980361e-12	-1.8811805792870180113e-12	6.2814097410011185213e-12	1.5568649210464392782e-12	4.0587622442844821137e-12	-1.4270637770043767015e-12
