# cutoff=4 energy=1 Q=D^4*Z=0.00016232817509482193709
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-4	-4	-4	-8.4098644936171769584e-09	2.0846556435778244986e-10	-6.5794990023214310706e-09	3.084839843146601647e-09	1.498936349593861051e-08	-3.2933054075043842002e-09
-4	-4	-3	3.078051006609720104e-07	-2.1881689700279318725e-07	1.4601300134983771199e-07	-1.0690072687880282129e-07	-6.0509080268107962985e-07	4.3429016517546136236e-07
-4	-4	-2	-8.716794999820270927e-08	-6.1357836959380326799e-07	-1.7181917589000097426e-08	-1.1648716302833175501e-07	2.0869973517440562001e-07	1.4601310652442702577e-06
-4	-4	-1	-6.9321333106132694353e-07	-2.483024904642218591e-07	5.1479799062163170153e-07	1.8400691035480389599e-07	7.136613617587805445e-07	2.5718232043767185242e-07
-4	-4	0	-2.0959569484098867365e-07	1.9557873435604822988e-07	2.0959569484098867365e-07	-1.9557873435604822988e-07	5.1557667638806997214e-08	-3.0950486468361023602e-08
-4	-4	1	-2.6875680597479308046e-07	-7.1296025254885523491e-07	2.1596556766534997246e-07	5.0813902745256161736e-07	-2.1116495323777248492e-07	-8.1928490038517468194e-07
-4	-4	2	4.897672070507975227e-07	-8.6447246717394844633e-08	2.9117009736477088786e-07	1.1199225468651531623e-07	1.561874608831136927e-06	5.1090015938240943192e-08
-4	-4	3	2.2617046612076499713e-07	3.4537654410060808184e-07	-8.6074770892888875428e-07	1.8683440247723773149e-07	-8.4610299041083181737e-07	7.0961459543712771581e-07
-4	-4	4	-7.7656049506042273369e-07	-8.2303757776254251116e-07	-4.122294206606485285e-07	1.3354806591928103213e-06	-1.1887899157210712093e-06	5.1244308143026781015e-07
-4	-3	-4	-2.5199038829465915113e-07	6.0190797749498470803e-08	8.3869393852378870298e-07	-1.4369828003199069135e-07	-3.7703006559818234963e-07	4.7582912274494554325e-08
-4	-3	-3	-2.9695242791148022814e-07	7.4848667201165946023e-07	1.8709671855675765167e-10	1.6344694742607857033e-08	3.957494738300835806e-07	-1.0143269240914869862e-06
-4	-3	-2	8.6256095372230314231e-07	1.0232056291547982239e-06	-4.6042933079842162623e-07	-5.4954591977967467734e-07	-1.0344779112469738717e-06	-1.2220923786400843788e-06
-4	-3	-1	1.3022134295445146105e-06	-2.907698238391686125e-07	-1.3340412461528129691e-06	2.9705545586311002125e-07	-1.2067299797196197466e-06	2.7191292776734454508e-07
-4	-3	0	3.8783415392913967871e-08	-9.640295987357808952e-08	-5.1711220523885288289e-08	1.2853727983143747034e-07	8.5096610239232384761e-08	-5.012192319526656326e-07
-4	-3	1	1.007893610797982143e-06	1.0344037023690451416e-06	-1.0727547208946950576e-06	-1.1620645395928939119e-06	8.1331028050784286998e-07	6.5142119069749851308e-07
-4	-3	2	-1.6377138789479526388e-06	6.4603982563263713631e-07	1.5113297089971157711e-06	-1.6892034323542693801e-07	-1.0084331944002316208e-06	1.038699136412133773e-06
-4	-3	3	-1.1614857346621264389e-06	1.2766989634735760555e-06	4.2926072260357031247e-07	-1.1139798972005042099e-06	-1.1193869236125985022e-06	5.8828538743093063664e-07
-4	-3	4	-6.3143012795348292315e-06	-1.2160138105008178418e-05	3.5230464495338092901e-06	1.6288363338612361171e-05	-3.6720164423844719463e-06	5.6134398951089938381e-08
-4	-2	-4	-1.7190568515852507457e-07	5.3601190099894714521e-07	-9.8637721791768485061e-07	5.9630308922264165192e-07	6.650942941173674734e-07	-8.3416344561026802411e-07
-4	-2	-3	-7.8723628717347529039e-08	-1.0667032809580195977e-06	-3.1887046796623017234e-07	-7.8438271707884971059e-07	3.17545150267283434e-07	1.9451928526632593412e-06
-4	-2	-2	-7.6956307774547963446e-07	-2.8348213971976399523e-07	2.8684849007675016434e-07	1.213861354662112347e-07	1.2522776654142091046e-06	4.4557814397331675576e-07
-4	-2	-1	9.694496050256714894e-07	-9.7308402543511597259e-07	-1.3082236346634004374e-06	1.2962357157547750048e-06	-1.2613511507758850828e-06	1.2998646702309136691e-06
-4	-2	0	-4.2281048332024316339e-07	-1.3376517915714063638e-06	8.4562096664048632678e-07	2.6753035831428127275e-06	-4.8328534844131188924e-07	-1.1397963109475465724e-06
-4	-2	1	1.2364987515530360269e-06	1.7996761710734980673e-07	-1.5977681266347582034e-06	-2.7118933608337923187e-07	1.7504587529426272774e-06	1.7749179626264078966e-07
-4	-2	2	2.6961837819357391582e-07	-9.471885134667316239e-07	3.0154358262861244547e-06	-2.558229729662625803e-07	3.5546725826732724981e-06	-2.1501999998997263046e-06
-4	-2	3	-7.6404104566535426328e-07	1.8567227798343851453e-05	7.7804095979998978894e-06	-2.7764378925522368799e-05	4.1682183377794592929e-06	6.2467177807768879935e-06
-4	-2	4	-6.6605675621371203225e-05	-5.1087451432478726962e-05	5.9250326643465365216e-05	-1.3410828100530613907e-06	-3.6980512299638510453e-05	-5.1757992837505255963e-05
-4	-1	-4	2.4358432162320403336e-07	5.4578864087425352448e-07	-2.7659668116173242399e-07	-4.4749088480759416288e-06	-1.7443515133277095383e-07	5.7293857114473177685e-07
-4	-1	-3	1.2904957780905104525e-06	5.9716874463686585167e-07	1.6337471865926693613e-06	2.4774677880694440343e-06	-2.2652434329849035826e-06	-1.6220475888723024097e-06
-4	-1	-2	-2.2959526513273778072e-06	4.2670389235335505296e-07	1.5537542323050473211e-06	-5.8546677344823785273e-08	3.8150281865022315304e-06	-8.2413444603429825961e-07
-4	-1	-1	-1.6943837279251572074e-07	6.3926877662003403321e-07	-1.386380712659248806e-06	6.0866250771480517285e-06	2.064134203829311689e-06	-8.6437001836281878613e-06
-4	-1	0	2.4503893656163999972e-06	2.1066884723651649985e-06	-9.801557462465599989e-06	-8.426753889460659994e-06	-1.5566512739067581054e-06	-1.1816603291880085283e-06
-4	-1	1	-7.2613814435616740816e-07	4.4666121969652284775e-07	-5.9934787846211457719e-06	1.6680283090786843266e-06	-8.8980313620458170986e-06	3.4546731878647757176e-06
-4	-1	2	2.726241385579342935e-06	-5.7158993920759442345e-06	-8.1780653027218908361e-06	8.0944768638756937836e-06	1.3634501197977400283e-06	-7.3845603522140407303e-06
-4	-1	3	2.0592876359434678801e-05	5.6820436788538878823e-05	-3.6406668660417179975e-05	-2.2975402363666811936e-05	1.532161225910717728e-05	6.8102114930162899989e-05
-4	-1	4	-0.00011458185971624634662	3.1166231217740042437e-05	0.0003513511923670644614	9.6171285183566429977e-05	-2.6744061624480241433e-05	5.5209052513631639767e-05
-4	0	-4	3.2908539352102479678e-06	3.9348511076710694745e-06	-6.8193356494456019205e-07	-1.5490868353458006879e-06	-3.2908539352102479678e-06	-3.9348511076710694745e-06
-4	0	-3	9.8529565651502189961e-07	-1.0763378482625186092e-07	-8.4742628616040557995e-06	6.6021305531962330162e-07	-1.3137275420200289171e-06	1.4351171310166913907e-07
-4	0	-2	2.0788332223538570419e-07	-9.8149970218772433718e-07	-2.7749724038668010627e-07	1.3229816308826679828e-06	-4.1576664447077140838e-07	1.9629994043754486744e-06
-4	0	-1	-1.1423868720789031139e-07	-1.7586687780810537725e-07	-5.6890239294506655295e-06	-1.7241708111873482306e-05	4.5695474883156124557e-07	7.0346751123242150901e-07
-4	0	0	0	-0	-2.8850238251737591083e-07	-1.6929706565718208741e-07	-2.2992272505923889086e-06	-3.6284466378680039404e-07
-4	0	1	3.670781271330828229e-09	-6.703065892401595025e-08	1.3303329041778268232e-05	-1.6926142937705613846e-05	1.4683125085323312916e-08	-2.68122635696063801e-07
-4	0	2	2.7513462707540924149e-06	-7.3776862920198344801e-06	3.4860080081717054294e-06	3.5489950190046430768e-06	5.5026925415081848298e-06	-1.475537258403966896e-05
-4	0	3	2.6542796489542547976e-05	-7.0297978536261637695e-06	-9.6624097477651129089e-05	-0.00010949607995638130191	3.5390395319390061709e-05	-9.3730638048348844613e-06
-4	0	4	-0.00022666773297740165074	6.0009098543722689135e-05	3.2167112932560010534e-05	-0.00014745051555618867551	-0.00022666773297740165074	6.0009098543722689135e-05
-4	1	-4	-2.6990287785484406081e-06	5.0144299780881626129e-09	-1.7200107227825703739e-05	-5.3074515734732432277e-06	-1.6009980284079846913e-06	-1.3318773233463991159e-06
-4	1	-3	3.2380733680232077748e-06	-3.3097006049507897363e-06	-5.4940021739957918212e-06	2.1765142415858648743e-06	-6.1487652153628740245e-06	5.1384388871296739006e-06
-4	1	-2	6.0659552287279100819e-07	-2.307289100717714919e-06	2.1612778119727932406e-06	2.9155739966165936015e-06	-1.3255213975918526374e-07	6.0723651997437264269e-06
-4	1	-1	5.1606090972845902049e-07	5.5577819123460167658e-07	-3.9039944240043888095e-06	-3.4715689421838693894e-06	-5.968238062918225315e-06	-5.6946817071222756722e-06
-4	1	0	-2.9017441735960127603e-06	1.2591491057510802921e-06	-1.1606976694384051041e-05	5.0365964230043211685e-06	1.2828563769921146268e-06	-6.1428235353079481547e-07
-4	1	1	4.9675384657452802176e-08	8.2269458373323080708e-07	8.2172180238999863958e-07	-6.5630259765633801295e-06	-6.2302026376018743087e-07	9.8538043114963033578e-06
-4	1	2	1.6911643544876089974e-06	4.4320796024732116898e-06	3.9137023924406914437e-06	1.1221056806807777452e-05	1.4254775127548720612e-06	3.2536308015425342303e-06
-4	1	3	4.4166580027986473641e-05	2.346289536439878309e-05	-7.2226891568727136635e-06	2.5337505802556622363e-05	6.1296336422939545676e-05	2.2838025218346169999e-05
-4	1	4	7.0001330449304336313e-05	1.7421654849829033927e-05	0.00024957085380572936175	-0.00024769418742499036724	7.6086169978719924865e-06	7.9345201706076612185e-05
-4	2	-4	1.2682870046165817837e-05	-4.3315374980964628884e-06	3.998063471796256756e-06	-3.2672461144004323074e-06	-1.0683838310267689036e-05	2.6979144408962471582e-06
-4	2	-3	4.3553858769229601944e-07	2.7138338811806904898e-06	-2.7532242579128833699e-06	1.289627702883198433e-05	-2.4162009555316499902e-06	4.9790728443137355667e-06
-4	2	-2	-9.8467981390379602326e-07	-1.5474256453978064411e-07	9.3892673060876967378e-07	1.1420235938440788822e-06	2.9082863584163620379e-06	1.4515087229236403822e-06
-4	2	-1	1.75225087410341386e-06	-9.8392955039429630419e-08	3.4120000039583354233e-06	-5.4636860867521212314e-07	-1.850034884969847257e-07	-6.9916539719270567166e-07
-4	2	0	-8.3405597339675356327e-07	1.1508940263177495843e-06	-1.6681119467935071265e-06	2.3017880526354991686e-06	-3.967360484614973799e-07	3.1171545439157979926e-07
-4	2	1	5.1724513888910416857e-07	8.9331979808377866877e-07	6.4906098471715387744e-07	1.1761166113283873291e-06	7.7085858612210913116e-07	1.2210459696783400168e-06
-4	2	2	-1.5857068422867289198e-07	-3.3371700915171691778e-08	1.6677001377556386267e-06	1.833486212004465411e-06	-1.9848415062129843577e-06	-1.9002296138348087681e-06
-4	2	3	-1.3116142985714495216e-05	-8.1105354538090848795e-07	-2.5474107188753641634e-05	3.332805897475649435e-06	-5.054525217835659358e-07	-3.3032753254916441328e-06
-4	2	4	-2.9257651984292751252e-05	6.0099137377530197546e-05	-4.2003244818552133537e-05	-1.661763107867850157e-05	-8.2560295750166844836e-06	6.8407952916869446637e-05
-4	3	-4	-9.7001302609697643848e-06	1.1783928900323858142e-05	-1.7078765343251178332e-05	1.9538815645875728645e-05	-3.1089437464686193644e-06	2.8701828340829379188e-06
-4	3	-3	-2.0969444982891652359e-06	-6.124221598126475098e-06	-7.7965828686878751705e-07	-5.7245832708739839303e-07	2.0162677108500988288e-06	7.5931704704145686514e-06
