# cutoff=3 energy=1 Q=D^4*Z=0.00013705489856078695407
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-3.702032317247775882e-06	-4.4363986267589757063e-06	6.1323683007570133898e-07	1.0857537812831618393e-06	3.088795487172074543e-06	3.3506448454758136553e-06
-3	-3	-2	9.0959656713360437133e-06	-2.6820250390015358748e-06	4.9853292903235137446e-06	-1.6121791912909562453e-06	-2.1121942442489337457e-05	6.4413063454387386038e-06
-3	-3	-1	3.6079457508545740281e-06	-2.2505229907923535556e-05	-4.565321867236417546e-07	4.3098622230173488145e-06	-9.4542406923927961322e-06	5.4586103054718555989e-05
-3	-3	0	7.4963464818406787857e-07	-3.238601215168226106e-07	-7.4963464818406787857e-07	3.238601215168226106e-07	1.6594889284969434941e-05	1.163868943835867871e-05
-3	-3	1	-5.6258088856744359362e-06	3.3457161843466794143e-06	-5.5835366983317158049e-06	3.1624860589840585641e-06	-3.3628036752018458612e-05	1.9524606729992213935e-05
-3	-3	2	-8.2189064715267160676e-06	-6.4015903536528327386e-05	-4.9348075543295420226e-07	3.0486437166351600375e-05	-1.3068580840439504717e-05	-5.0294199555265090517e-05
-3	-3	3	-5.9766509790387831408e-05	3.5009865534423966803e-06	3.2998173877884548315e-05	4.0085904717819947636e-05	-2.6768335912503286482e-05	4.3586891271262345163e-05
-3	-2	-3	-3.1749006231141018142e-06	-3.8293970263274921967e-07	1.3208577662031068019e-05	2.3808584340138681889e-06	-5.630817818239943673e-06	-1.2042992533764961867e-06
-3	-2	-2	-1.8015408949430837044e-05	2.2614745145027848164e-05	1.1857087676266903602e-05	-1.4603118137267421891e-05	1.5166025747879353659e-05	-1.9318999580274350355e-05
-3	-2	-1	2.7046797435771148196e-05	6.0058440267050342172e-05	-1.9922359756772423914e-05	-4.5010234091071184542e-05	-4.1295672793768596761e-05	-9.0154852619008670985e-05
-3	-2	0	8.5755122670910596646e-07	6.9583746966609616788e-07	-1.2863268400636590026e-06	-1.0437562044991442518e-06	-3.4151091576913843314e-05	-1.5414996252086890085e-06
