# cutoff=6 energy=1 Q=D^4*Z=0.0001687495958044393069
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	7.4364731307447787224e-07	-1.3312169076992407676e-07	-7.6448941371355188385e-08	1.2265257077817629739e-07	-6.6719837170312264415e-07	1.0469119991747781027e-08
-6	-6	-5	8.5236080942322733133e-07	-1.8619153722659266088e-06	2.3371532189563132871e-07	-7.4907394342160946466e-07	-1.3032913575826305191e-06	3.1331871788250433305e-06
-6	-6	-4	-1.0976130990664519167e-06	-1.8829070459013974722e-06	1.3187515155685433536e-07	3.6587784233165379002e-07	1.4486069212643964646e-06	2.2755438053546154703e-06
-6	-6	-3	-1.0394704320211954092e-05	2.3420171754644179208e-06	7.1922723964318828008e-07	4.9073084753134817793e-08	1.9350954161137530989e-05	-4.7821805204351057816e-06
-6	-6	-2	-3.7433570377551535122e-06	1.4154843885455613346e-05	3.0264240777170810832e-06	-1.4241848493639659164e-05	2.1507988801142172871e-06	2.6101382455213464874e-07
-6	-6	-1	5.2973185051294492727e-06	5.7289469635521101629e-06	1.9186124242891341715e-06	2.5288280656609666908e-07	-4.3295585576511499818e-05	-3.5890978620709239192e-05
-6	-6	0	2.358031166001596545e-05	-1.0268991508400016779e-05	-2.358031166001596545e-05	1.0268991508400016779e-05	-4.8219215872643945661e-06	-6.7793187838618457456e-07
-6	-6	1	3.9548751024202158261e-07	4.909076863015691039e-06	-9.714065622341648097e-07	4.4252432037602549688e-06	-3.4555143119528596802e-06	5.6005920400655677741e-05
-6	-6	2	-1.1412817567033330013e-05	-6.3771055567945310254e-06	1.2614412226602548714e-05	7.4908153851464593412e-06	3.6047839787076548343e-06	3.3411294850557845237e-06
-6	-6	3	8.1451722800617145986e-06	-5.4689331235150776011e-06	-4.4445825332261339566e-08	2.9151434728741007169e-07	1.6201452909458908874e-05	-1.0354837552455334635e-05
-6	-6	4	7.3169311659034176655e-07	8.4225190176639051558e-07	-5.6676839952420831071e-07	6.8158469049056380207e-07	2.4738707559920018376e-07	2.2857548883854313706e-06
-6	-6	5	-2.0782192300013259737e-06	-9.4220036855578269775e-07	-1.4031865078112716813e-07	5.7612249318768438635e-08	-2.6622454569389438972e-06	-1.0615057430844171004e-06
