# cutoff=6 energy=1 Q=D^4*Z=0.00014368544776993330482
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.2265236613816291521e-07	-9.4058641164465340124e-09	-6.5124716749286640135e-08	-4.6349836895940777323e-08	1.8777708288744955534e-07	5.5755701012387314644e-08
-6	-6	-5	4.07901160259059937e-08	-1.2353877361080562506e-07	-2.971653413785180408e-09	1.6967769963464384865e-08	-4.538215513454497198e-08	1.278852043768094975e-07
-6	-6	-4	6.3245108254907937663e-08	5.0124799133262501755e-08	-3.1761397295558951573e-08	-2.8318368471777099631e-08	-4.7225566439023479136e-08	-3.2709645992228108149e-08
-6	-6	-3	-2.8449200470673738993e-07	8.1285936351905022904e-08	1.3199643466209571648e-07	-3.7416146407846346785e-08	3.049911400892833469e-07	-8.7739579888117365474e-08
-6	-6	-2	-6.0081561487005531022e-09	-1.23642392196857692e-07	1.7737367800571232789e-09	4.6075977725897095624e-08	1.2703258105930290297e-08	2.3269924341288178251e-07
-6	-6	-1	3.492976095423229492e-07	2.8269809920592741728e-07	-1.9103626351076242092e-07	-1.5440068178235916424e-07	-9.4956807618936311675e-07	-7.6978450454140951826e-07
-6	-6	0	-4.5404705479334274474e-08	2.3758509556135588564e-08	4.5404705479334274474e-08	-2.3758509556135588564e-08	-1.1547192357191370971e-07	-3.6020554838123992542e-08
-6	-6	1	-1.7926530511565953532e-08	4.5613328813480096379e-07	3.1835519993542143565e-09	-2.4975049089122678577e-07	-8.8457871073270433399e-08	1.2382967834614450682e-06
-6	-6	2	1.2128532329194435531e-07	9.1191779557441083811e-08	-3.7471031955165390139e-08	-3.6111423529385775786e-08	2.5144287401033690212e-07	1.6524106808416593069e-07
-6	-6	3	2.2997478689946752682e-07	-1.6517753787684478779e-07	-9.8171180763186509616e-08	8.3766852910336514476e-08	2.6360721227256203441e-07	-1.6282136993301654663e-07
-6	-6	4	9.1521297270499175757e-09	-7.9803054889558409071e-08	-1.7634965487412494179e-08	3.3396931830529045349e-08	-1.2724253640543865733e-08	-6.9609184588544052201e-08
-6	-6	5	-1.0400658183914040175e-07	-2.7976252772269610074e-08	2.630210222320672979e-08	-1.5827753574829872074e-08	-9.3245375539120412968e-08	-5.2564807616519378577e-08
-6	-6	6	8.4340307487883435149e-08	1.4809396887157963671e-07	-3.2607340060171822246e-08	-3.6806113102516144607e-08	5.1732967427711619521e-08	1.1128785576906348549e-07
-6	-5	-6	-8.0360096473560666194e-09	-6.3324967026360860425e-09	8.2578581371778910351e-08	-6.9919539361189329704e-08	-6.0779474829126356467e-08	6.4598779503627182824e-08
-6	-5	-5	5.3645637868160102444e-08	2.6628156415824262413e-07	-4.9125750563737549288e-08	-1.950832076389115626e-07	-1.5249014878054576954e-08	-1.2445466935097956518e-07
-6	-5	-4	-9.876743707316626651e-09	3.0724663413234414082e-08	-2.3252550612637380364e-07	-6.4048202203247273304e-08	3.0547199821894217799e-07	3.3973257634207483742e-08
-6	-5	-3	6.6718477209381066759e-07	-7.1509091174711726053e-07	-1.3776247639331704175e-07	1.3541144619846357552e-07	-1.1047654168654261685e-06	1.2044960798301286413e-06
-6	-5	-2	-1.3994603329041849594e-07	-5.3640026679765079176e-07	4.4723313515349073973e-07	1.1039060697839099583e-06	-6.9824473801247141445e-07	-1.1505643740668224146e-06
-6	-5	-1	-1.6331570611599027478e-06	-2.5623659861646551438e-07	3.1638890782661717203e-07	1.0941755509440639584e-07	8.2169978278263307325e-06	9.9033181622676117327e-07
-6	-5	0	-1.145192463949635253e-06	1.7685321969772346101e-06	1.3742309567395622189e-06	-2.1222386363726815321e-06	7.141291627830886107e-07	-3.5520583344145010749e-07
-6	-5	1	-7.7714356247067247852e-07	-1.2680843830508198338e-06	1.2494049814087112051e-07	5.1873984596102116716e-08	-4.0381588841196799038e-06	-7.3491363753244085317e-06
-6	-5	2	4.7263998169726154729e-07	-3.0930840335551277635e-08	-1.2913471017828673412e-06	3.4630908917387925382e-08	-1.8104478093653834993e-06	-6.215248713184031859e-09
-6	-5	3	-3.7959364515854197598e-07	8.554788277183070884e-07	8.1926065354060962499e-08	-1.2514156440602611991e-07	-6.2264384806031573847e-07	1.5023883814265707671e-06
-6	-5	4	-1.7486486477618073974e-08	-9.0237038989371789733e-09	1.592796573719561561e-07	2.2532228736010337163e-07	1.7286984199851811063e-07	2.6811730335172344856e-07
-6	-5	5	2.1888619985984426694e-07	-4.7992817610517071867e-08	-1.8737472077461847145e-07	1.0192176910132348424e-08	7.5288719057194622411e-08	-4.7399204222488137816e-08
-6	-5	6	1.5651773072838524291e-08	1.8488405929613157118e-08	5.0436041381587494667e-08	-1.1225516256506968198e-07	5.7681807557494773156e-08	-7.5057562874611581172e-08
-6	-4	-6	2.0828164548780714239e-08	-3.945791990785794546e-08	7.9929118992658499552e-09	-5.5410012078647705683e-08	-2.6156772481624615312e-08	7.6397927960289742632e-08
-6	-4	-5	-3.2080194441183808455e-07	-3.2002579021120281052e-07	-7.1652957443916828036e-08	-5.4897849162662494411e-08	4.4228469924933919565e-07	4.2794922758357337344e-07
-6	-4	-4	2.8110650231895938561e-07	-1.1157709156986376208e-07	4.4806243828291250461e-07	-1.4381309615808665213e-07	-8.6972219176135158302e-07	3.1117873351288228201e-07
-6	-4	-3	-4.2459457382811619768e-07	2.1997931260675321803e-06	-1.819371260768237479e-07	1.553415135610388648e-06	1.0917719824253306906e-06	-6.4708064329489153267e-06
-6	-4	-2	2.0567745940961093368e-06	1.6547219977082115277e-06	-5.7061956809970315721e-06	-4.082819971050874309e-06	5.2420675797057355574e-06	3.2014739489771140349e-06
-6	-4	-1	3.006557734127465683e-06	-1.1857446090097561971e-06	2.1380391019706734672e-06	-1.4374319948951090632e-06	-2.6591502812647488813e-05	1.2864195633638973859e-05
-6	-4	0	1.1322278120391461292e-07	-1.0623731102536695307e-05	-1.6983417180587190615e-07	1.5935596653805042961e-05	-9.5141597370768939238e-07	2.2697738869631651775e-06
-6	-4	1	2.2591898753969599977e-06	1.0364431039130021115e-06	3.2032628539771780023e-06	1.978035610086085394e-06	2.6368190668290471148e-05	1.4130801063822353398e-05
-6	-4	2	-1.7944886234543616595e-06	1.3994943564372951246e-06	5.9088604740920748747e-06	-4.3511209695263537733e-06	6.4342550778210654062e-06	-4.5037588697408215374e-06
-6	-4	3	-4.5327316370818764478e-07	-1.9429111357506150939e-06	-2.5113602550605834311e-09	-1.8851387396392739597e-06	-9.0989480775645608512e-07	-6.3993405910202621339e-06
-6	-4	4	-2.3231049038006444879e-07	-1.3825285831454256317e-07	-6.1143510087431835432e-07	-2.0809089386274234717e-08	-9.5990083644441508044e-07	-2.2818837685808809602e-07
-6	-4	5	-2.5107213748815033567e-07	2.3951668097237565579e-07	-1.2394456170060944354e-07	1.9296530736538266653e-08	-4.0044221434626801058e-07	3.0285724175608140556e-07
