# cutoff=6 energy=1 Q=D^4*Z=0.00014482558950698051293
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	1.3404462071472550575e-07	1.8432310118069734471e-08	8.0811218600893396425e-08	5.0691633136579953679e-08	-2.148558393156188757e-07	-6.9123943254649691459e-08
-6	-6	-5	1.0679445768067923662e-07	-3.9229498163199070132e-07	6.240919911515061575e-08	2.275688446853255839e-08	-2.0304438815499583873e-07	4.434457165961497702e-07
-6	-6	-4	3.7198242888150412373e-08	2.6803717878744013326e-08	-4.5568689700379945196e-08	-5.2108428473644925613e-08	1.2555670218344302543e-08	3.795706589235137174e-08
-6	-6	-3	-3.2413515279907005654e-07	9.2618331090044577499e-08	1.6907876814794106095e-07	-4.6840451444811102993e-08	3.1011276930225804412e-07	-9.1555759290466949013e-08
-6	-6	-2	-1.273822981663564282e-08	-9.5632929863850641478e-08	4.8837146621448271738e-09	2.4421759104447375821e-08	2.356354546347244942e-08	2.1363351227820979366e-07
-6	-6	-1	3.6756543999699623999e-07	3.028542484568554187e-07	-1.9089424046722923578e-07	-1.5944651167443697231e-07	-1.0600271971786020782e-06	-8.6044642069451057242e-07
-6	-6	0	4.827344455009991032e-08	-1.8086184412301300516e-08	-4.827344455009991032e-08	1.8086184412301300516e-08	-1.3885185146867076145e-07	-3.8682579718708638112e-08
-6	-6	1	-1.4626916614376381611e-08	4.7071871387051557162e-07	-1.5433972349656139499e-09	-2.4012419163796374033e-07	-9.7021883096051967159e-08	1.3835671333953109878e-06
-6	-6	2	1.0003422594994771822e-07	7.7291587345189099198e-08	-1.9707482337791697371e-08	-2.3423707525624791024e-08	2.4098023083646808241e-07	1.616036394586929146e-07
-6	-6	3	2.6424443709632251283e-07	-1.8851100287725920583e-07	-1.2715944260767953764e-07	1.0710945266940538186e-07	2.7416998897728589743e-07	-1.6280310041570764794e-07
-6	-6	4	1.9117716787753023834e-08	-4.0712363341014856528e-08	-1.1274060111388493505e-08	4.8420162209212662752e-08	1.1765485014546793839e-08	1.1561698302296714298e-08
