# cutoff=5 energy=1 Q=D^4*Z=0.00013467371669541753428
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	3.5126415431230041645e-08	2.4747224526400217293e-08	-9.8119697909272935341e-08	-4.5953455192188100468e-08	6.2993282478042900313e-08	2.1206230665787886483e-08
-5	-5	-4	7.479224829390097074e-07	-9.3305492337348729128e-07	1.5842257399165615346e-06	-1.8145441913991941909e-06	-2.9151852785694642908e-06	3.434498893465852038e-06
-5	-5	-3	-2.01413357821306135e-06	-5.2846489406444076872e-06	3.6346198047250285992e-06	6.6204523739180552825e-06	-2.7008103775199451329e-06	-2.2263390554560790431e-06
-5	-5	-2	-7.9534150035937136125e-06	-1.1227936024280719765e-06	-5.7850014481859718526e-06	6.9679610574655726216e-07	3.4346041129449217898e-05	1.0649937417037865741e-06
-5	-5	-1	-9.0843605922923415522e-06	1.5953933447301673894e-05	7.9223233642133726725e-06	-1.5730607802768774653e-05	5.8101861403948503276e-06	-1.1166282226644976875e-06
-5	-5	0	2.0463280884109765016e-07	1.7837628930580316485e-06	-2.0463280884109765016e-07	-1.7837628930580316485e-06	-3.842268733789799541e-05	-5.5772733554714130975e-05
-5	-5	1	1.5697978386442858933e-05	-3.4593436597869390739e-06	-1.7148526324657013386e-05	3.339701474640739371e-06	-7.2527396910707756547e-06	-5.9821092573099989059e-07
-5	-5	2	-1.6302456664416503156e-06	5.5892168348871218189e-06	-1.3003237882707243985e-06	6.9365948745670780127e-06	-7.326423636780936891e-06	3.1314529273635497038e-05
-5	-5	3	-3.2303080011885028681e-06	-3.3142387483997753259e-06	6.1255449138581898787e-06	4.5382501547121950952e-06	4.8253948544494786334e-06	2.040019010520699192e-06
-5	-5	4	4.3770606410579302141e-07	-7.465769233630409822e-07	2.0166366017246180411e-06	-6.4914545531499386112e-07	3.0679283322880133914e-06	-1.7446529733475435277e-06
-5	-5	5	-2.5319228846662677877e-08	9.3423349768086989326e-09	-5.3895499462824021004e-08	-3.6990250012817239006e-08	-7.9214728309486705499e-08	-2.7647915036008538419e-08
-5	-4	-5	-1.8159036625070805065e-06	6.7283689476952905301e-07	1.7192888111678480091e-06	-1.1530891915063987411e-06	4.4047261357280208856e-07	2.4963445843558988695e-07
-5	-4	-4	-1.6400831406792682395e-07	7.310415762119540201e-07	4.2948906413946970138e-07	3.5848161205669962272e-06	-2.2447867155456118467e-07	-4.4986180908319385935e-06
-5	-4	-3	1.4506525370909250335e-05	1.0625000676533684371e-05	-1.9388786092951784375e-05	-1.1462028997824171272e-05	1.6741725057536296679e-06	-2.4256291304572450242e-06
-5	-4	-2	3.6467036617700830138e-05	-1.9045449304186597047e-05	-3.516590000520072372e-06	-4.2457582637069762362e-07	-8.4134411543211921284e-05	4.846277491320788596e-05
-5	-4	-1	-2.5206266507299437286e-06	-4.5103278856639925944e-05	6.1506609306195874276e-06	5.6218663266584297379e-05	-1.1999510468828629797e-05	6.4174121686244147417e-07
-5	-4	0	-2.8197171144474569196e-06	-2.6805477013139016519e-06	3.5246463930593208319e-06	3.3506846266423773825e-06	0.000211634218599205076	8.7206586008902351403e-05
