# cutoff=5 energy=1 Q=D^4*Z=5.5366991206389361181e-12
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	-2.177253465738561064e-10	1.3745944126842242548e-11	1.2512491782105646924e-10	3.2654150436559370039e-11	9.2600428752799624237e-11	-4.6400094563401612587e-11
-5	-5	-4	-5.5953160366788840661e-12	-6.7951118373863236165e-12	6.572359838734924497e-12	6.789552996285040991e-12	-1.2213047525700497308e-12	6.9485513766027186656e-15
-5	-5	-3	-2.0673745521771573316e-11	1.4064331610986322722e-10	7.4050026355039910881e-11	-8.9480316075778816296e-11	-8.8960468055447229275e-11	-8.5271666723474018203e-11
-5	-5	-2	-3.1988248960170712047e-10	1.5714509570010099769e-10	2.7309504778316727196e-10	-1.8310244850013222725e-10	1.1696860454634956959e-10	6.4893382000078086824e-11
-5	-5	-1	1.8852619344442270123e-10	1.2948694748755525738e-10	-3.3605572705959293092e-10	-1.6903190544010748517e-10	7.3764766807585112263e-10	1.9772478976276119068e-10
-5	-5	0	5.106871149043511717e-11	-8.991607655460140857e-11	-5.106871149043511717e-11	8.991607655460140857e-11	8.743526282231718063e-10	5.1981754742397016324e-10
-5	-5	1	1.2410612591774766538e-10	3.411611576322522993e-10	-1.1624791017699899069e-10	-4.495835710183252946e-10	3.9291078703743302351e-11	-5.4211206693036502822e-10
-5	-5	2	-3.4627589170157228498e-11	-4.4110830441113459359e-11	-1.7180251998004167843e-12	-3.8467754035328386191e-11	-9.0864035924894120376e-11	-2.0644646119110461064e-10
-5	-5	3	1.6467550674117243785e-10	6.7354229032503309801e-11	-8.0346916053637883029e-11	-4.992526608075892587e-11	1.4054765114589092039e-10	2.9048271586240625883e-11
-5	-5	4	5.7213258472801229567e-12	1.4070465972696054427e-11	8.874507139324494143e-12	-1.7705943242028694938e-11	1.824479123325577198e-11	-4.5443465866658014459e-12
-5	-5	5	-6.6982614917948641405e-12	-3.3617631218196299701e-10	1.7049083648251338142e-11	-5.9145880584208505708e-11	1.0350822156456472386e-11	-3.9532219276617150272e-10
-5	-4	-5	7.1113256618335186812e-12	2.0666909661817680848e-12	-7.4786540229040783607e-12	1.3636637384013010888e-11	-1.1284024435102558715e-12	-1.2976000873392176714e-11
-5	-4	-4	6.5157217335972149944e-11	-1.5411100290284754868e-10	3.4657540251708399292e-11	2.6532173910641306041e-11	-1.1610406192167358026e-10	1.6610657971791812335e-10
-5	-4	-3	-3.9262461989574814135e-10	-3.7063148138830702604e-10	4.026947776639115666e-11	3.6268812509251160844e-10	6.0068172947105862444e-10	1.3413496885716291604e-10
-5	-4	-2	-2.1132578100801684347e-11	1.37540302407839156e-10	6.4157843681831062363e-10	-1.1096770267434500719e-10	-1.230325428384616912e-09	-1.2191535067090783685e-10
-5	-4	-1	-6.3618088748457912302e-10	-1.2684049801784416136e-09	1.5455559387896243441e-09	4.082592657349334595e-10	-3.0013193177356017613e-09	4.7089878379524746435e-09
-5	-4	0	1.6580197441696134732e-09	-4.2568350439120747988e-09	-2.0725246802120166864e-09	5.3210438048900932917e-09	9.102409497859502298e-09	-1.916720383005323367e-09
-5	-4	1	2.5281251139027125433e-09	-3.0944045359313775801e-10	-2.7369121900441460581e-09	-1.5109131738566109203e-10	1.6929768093369786909e-09	-2.1515675375083331065e-09
-5	-4	2	3.4810580682506046737e-10	8.8497154231628565814e-10	-7.3470048524749962106e-10	-1.638201227128142328e-09	-5.991364534323479703e-10	-1.0639735984655703555e-09
-5	-4	3	-8.5503239287998340659e-11	-3.2783072601793675185e-10	-1.6276086734648737776e-10	5.2494465802340842228e-10	-3.5951988860864709729e-10	1.5354166733465001108e-10
-5	-4	4	-2.0161019492317726638e-11	-2.5639337455773043971e-11	-8.7409134167894880781e-11	-3.0254580524370553535e-11	-1.126104085332920415e-10	-6.2303752344086857691e-11
-5	-4	5	-2.791300073023239955e-12	3.0100761080099527767e-12	1.8560580468688939823e-11	-1.0235403747795676285e-11	1.2057164301927910369e-11	-5.1782468902265883323e-12
-5	-3	-5	-1.1716862928086162691e-10	1.0590988503696698988e-10	-7.0307191653935130794e-11	-2.1258909770813323282e-11	1.593529442732226847e-10	-9.3154539174479002373e-11
-5	-3	-4	3.9369066976192625145e-10	-4.2828591906363537102e-10	1.62384083155009211e-11	6.8034854831010685507e-11	-5.0429214343903352937e-10	4.8433125770628621903e-10
-5	-3	-3	-1.2548299085576605829e-09	-2.9752020322664424833e-10	5.6212124550690746956e-09	7.3561999941536246308e-09	-3.5298292741396405286e-09	-6.860332988775883855e-09
-5	-3	-2	-1.022719662072134848e-08	-1.6158066877045491565e-09	3.3855567804015095075e-08	-1.6257792704884406383e-08	-2.5215360154219268931e-08	2.8426205776587984844e-08
-5	-3	-1	3.9011229666211445275e-08	-3.1610883735927632312e-08	-1.2782365989245511632e-07	9.003863134615523529e-08	1.8841483134630812919e-07	-1.1206147535882753769e-07
-5	-3	0	-1.2246470375067795636e-08	-1.0743255098574986746e-07	2.0410783958446324406e-08	1.7905425164291645018e-07	-1.8868675749389794277e-07	-1.9747989034652569528e-07
-5	-3	1	1.7586697501777075644e-09	2.2451534628568692849e-08	-4.6921937424794703905e-09	-2.8978626587448024928e-08	-5.2832324765498719017e-09	2.5321793380499379534e-08
-5	-3	2	-3.2136180484240671934e-09	8.9351519375247365271e-09	4.0531920598617737929e-09	-5.0834206520343380638e-08	-1.9542570312675070874e-09	-5.3913429936703232121e-08
-5	-3	3	-7.6761157020862856111e-11	-4.2743171548921718618e-10	-2.0818193157718865892e-09	-5.415245415238520255e-09	-2.2097545774733249929e-09	-6.1276316077205485195e-09
-5	-3	4	4.3388964449296160941e-10	-6.8465491673426261613e-10	-6.2014776803822244211e-10	1.2489595528679013665e-10	7.7251229587535180178e-11	-7.6214667945273564829e-10
-5	-3	5	-1.4208656152724217527e-11	7.323420942261603123e-11	-1.0745082889698395555e-10	-1.148050810078061676e-10	-7.8679153490914596347e-11	4.3511608179323364867e-12
-5	-2	-5	1.3411553096295942077e-11	1.9610411196912227396e-10	-7.8590706232382864749e-11	-3.8706600165936779273e-10	1.8024729396657204146e-11	-4.1277711305375154281e-11
-5	-2	-4	2.0963780800851854176e-09	-4.1178498890870852483e-10	5.3860954522398014458e-10	5.5117298030197563015e-10	-2.8897773727184719994e-09	2.3914474598489785389e-10
-5	-2	-3	-7.639531782475123385e-10	1.6091744111027424916e-08	5.4430301202976449039e-09	1.0072906807366935392e-08	-2.3554314497859095786e-09	-3.353484472329033289e-08
-5	-2	-2	-2.597979922559219578e-07	2.1874753013968492808e-07	3.3230344277323469524e-07	-2.4727736909262221879e-07	3.1719153786657014632e-07	-2.9959145625659008817e-07
-5	-2	-1	-4.1800656281121085667e-07	3.3659303997978401157e-07	1.7647068988654404569e-07	-1.164659810247717909e-06	1.7370914342829662978e-06	6.4635442059651597192e-07
-5	-2	0	7.7181165892536653405e-08	-7.6155094779204262281e-09	-1.9295291473134164013e-07	1.903877369480106557e-08	-4.6300495742612283238e-07	-6.0760885427431177674e-07
