# cutoff=6 energy=1 Q=D^4*Z=0.00013390073033408739808
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	1.4450294258412486073e-07	3.1357553879677195097e-08	-1.1569348410716100799e-07	-9.471582871626549682e-08	-2.8809458476963859362e-08	6.3358274836588295106e-08
-6	-6	-5	7.1145072934973554186e-07	-1.6864640461992099609e-06	-5.2126209196819371645e-07	1.0798545788569750047e-06	-2.2822636485785013226e-07	7.279313608106819898e-07
-6	-6	-4	-1.8941110775110621338e-08	-5.5664547754485669855e-07	3.213071295059086104e-07	7.7815230850783534538e-07	-4.535490280961970051e-07	-3.3226024644446797024e-07
-6	-6	-3	-8.2117760846430614302e-07	6.0636872002378983193e-07	1.6501665324966050725e-06	-9.5183547539502607256e-07	-1.657977848064597859e-06	6.909335107424723754e-07
-6	-6	-2	-2.528412793342296854e-07	-2.1666844584760110177e-06	4.1360384027298464125e-07	2.2048034264604242236e-06	-4.822876828162649205e-07	-1.1435690395323965738e-07
-6	-6	-1	1.2854918267963026732e-06	3.2994591108358897327e-08	-1.8543799020178593996e-06	-4.8150538510403620269e-07	3.4133284513293403579e-06	2.6910647639740638851e-06
-6	-6	0	1.3585163522760174051e-07	1.3671009173602499389e-06	-1.3585163522760174051e-07	-1.3671009173602499389e-06	1.1439967167587605986e-06	7.1595782833426283441e-07
-6	-6	1	2.6525475509157735078e-07	1.2933708871204929068e-06	-2.7547605995925218685e-07	-1.9986410372466190539e-06	-6.1327829206049003201e-08	-4.2316209007567556121e-06
-6	-6	2	1.8662097900661151161e-06	-2.8139521994660467434e-07	-1.9394826981529287744e-06	-1.9901404162631095882e-07	-2.1981872426044076318e-07	-1.4412277847187468995e-06
-6	-6	3	-1.1681228873058153139e-06	-1.2026136201236335603e-06	8.4545881015894072924e-07	1.9754685545308597307e-06	-6.4532815429374927521e-07	1.5457098688144517054e-06
-6	-6	4	7.6745653902946050389e-07	-8.8640042316167386235e-07	-1.2033011886243711232e-06	3.4901619061295722629e-07	-6.5376697439236603489e-07	-8.0607634882307500703e-07
-6	-6	5	-4.017407997695107807e-07	1.9419958061742220036e-06	5.4339586561274500134e-08	-1.8986969110138716928e-06	-4.1688145584988357904e-07	5.1958674192420604562e-08
-6	-6	6	-1.7488304062843934436e-07	-2.3232366884147672518e-07	-9.1635847226648310045e-08	4.9597950410456671926e-07	-2.6651888785508766764e-07	2.6365583526308996761e-07
-6	-5	-6	8.3921039978955493263e-08	1.0507978540991569162e-07	-6.1657778286628974559e-07	2.8385647020669875856e-07	4.2989377907628594816e-07	-3.4162684391549799042e-07
-6	-5	-5	5.4760689881249315573e-07	1.3908922700494379366e-06	-5.8985783727190689794e-07	-4.811880477990818751e-07	-6.7270441303084883639e-08	-1.1878826762602438182e-06
-6	-5	-4	-7.1073800793800679407e-08	1.5400268976323652319e-07	8.2775889663548108282e-07	3.9585553860303908441e-07	-9.2808791960365027486e-07	-7.2582345789865364029e-07
-6	-5	-3	5.6689076478523054614e-07	2.3749394688957690912e-07	-3.73930043979258785e-08	-2.940609991653223007e-07	-1.0714598555739179636e-06	1.5113771496383351788e-08
-6	-5	-2	-1.1030315471219681367e-06	-1.512685200544130822e-06	2.094749077233155216e-06	2.4979383980622035569e-06	-1.9277780517169834182e-06	-1.7067903935231168498e-06
-6	-5	-1	1.6824061884689646395e-06	-6.9009102655573209317e-07	-6.7316465145448321493e-07	7.1859699991611929251e-07	-6.728613873541371021e-06	5.4756115975379567295e-07
-6	-5	0	6.9060538909280118506e-08	4.6268938751512565024e-07	-8.287264669113613956e-08	-5.5522726501815075911e-07	-1.477091190609602653e-06	5.8785173658254834931e-07
-6	-5	1	7.5569849572169003469e-07	1.8222026544874528404e-06	-1.091862269117659927e-07	-1.0387137788737499628e-06	3.9882598397713100064e-06	5.7396470325559674404e-06
-6	-5	2	2.5978382441684369055e-06	-1.0223085359874865542e-06	-3.8080642062873796226e-06	2.0808300956413789121e-06	-1.7266457832131377047e-06	2.1351496311409876178e-06
-6	-5	3	1.5966505379550640944e-06	6.7539586620203348983e-08	-1.629062012755755456e-06	1.3439409137005011764e-08	4.7819772131720253482e-07	1.5747818846874839968e-07
-6	-5	4	-5.464978765187033905e-07	-6.8934966314506440817e-07	4.5414960463771328496e-07	1.1577392861835507097e-06	-2.5205980898091353249e-07	4.1314961301184172188e-07
-6	-5	5	9.2449744666815075883e-07	-9.5337117018848037067e-07	-1.238894003017642704e-06	4.230364237539458821e-07	-1.2949706701586192575e-07	-7.2100898047223053094e-07
-6	-5	6	-1.6988986224901995428e-07	8.0702109218186954128e-07	1.0891931712918517559e-06	-1.0083262596042034364e-06	7.3777111382752311388e-07	-3.3250790821633410643e-08
-6	-4	-6	7.0130758530269066379e-07	-8.0694721513493289627e-07	-1.2773225702403771085e-07	-3.1193033563366689519e-07	-6.1615274728666552322e-07	1.0149007722240440891e-06
-6	-4	-5	-1.5642721877328673152e-06	-1.9901303827767106869e-06	1.3907226971354386008e-06	1.5582311384954031504e-06	7.6454846757108993993e-07	1.1415715485357302616e-06
-6	-4	-4	1.9955135533672935275e-06	1.918368120285650269e-07	-1.9507274073351372832e-06	-4.4011885197034661168e-07	-1.0425429227158030081e-06	1.5236363392749908456e-07
