# cutoff=6 energy=1 Q=D^4*Z=1.1782583579733433443e-05
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	2.1624996067791502362e-10	5.8753909093737420081e-10	-1.4106987658674424686e-10	2.1158764826097887183e-10	-7.5180084091170776758e-11	-7.9912673919835317604e-10
-6	-6	-5	-4.7483870822775832918e-09	-2.0678888363675048544e-08	1.3302693561236557919e-08	1.2851496788757955326e-08	-1.0265167774750770214e-08	9.3928698899005102078e-09
-6	-6	-4	-1.3134371985649848865e-08	-1.030367788794146861e-07	1.2085278882883560132e-08	9.8145054038368111348e-08	1.573639654149434547e-09	7.3375872615698555091e-09
-6	-6	-3	2.1298115709278106433e-08	3.4989733825094850072e-07	-2.7259500600731818801e-07	-2.2962085226099333154e-07	5.025937805960802227e-07	-2.4055297197991028543e-07
-6	-6	-2	1.2491527723542628834e-06	1.5303459564331088935e-07	-1.0816993718318393991e-06	-4.9079006645527172954e-07	-5.0236020156727066469e-07	1.0132664124358827588e-06
-6	-6	-1	4.2231838607706904711e-07	-3.895304495253874409e-07	-5.042564169406602231e-07	2.616132337527311277e-07	4.9162818518154726769e-07	7.6750329463593777331e-07
-6	-6	0	-9.617321954513053397e-07	-1.2380019319133517739e-06	9.617321954513053397e-07	1.2380019319133517739e-06	-1.9062426738912132958e-06	-6.5720042899219300627e-07
-6	-6	1	-6.9398531760813507531e-08	-1.0821055752026668026e-06	1.1742888647948548811e-08	1.1143802911701342441e-06	-3.4593385867718975893e-07	1.936482958048047808e-07
-6	-6	2	7.1158785239328499241e-07	4.2265052875632265268e-07	-6.4432973276604937835e-07	-1.1181813172797319004e-07	2.0177435888170702749e-07	9.3249719108504840116e-07
-6	-6	3	2.7319167626832915004e-07	-8.3628764636352366141e-09	6.3480435633271741909e-08	-4.1742821267732712899e-08	6.7334422380320183685e-07	-1.0021139546273589903e-07
-6	-6	4	1.5011213012874354481e-08	-7.722922247379409367e-08	-2.7352437381486277932e-08	8.9861443841466450584e-08	-1.8511836552917886831e-08	1.8948332051508532062e-08
-6	-6	5	2.96440876203420583e-09	-9.8572063443313550405e-09	-2.1519585360277159413e-09	5.2820998319110556936e-09	9.7494027120778782517e-10	-5.4901278149043595471e-09
-6	-6	6	-2.4894036225608592581e-10	-6.9508705907390690189e-13	2.210029097151279658e-10	-4.3918674434242701974e-10	-2.7937452540957969705e-11	-4.3988183140150092038e-10
-6	-5	-6	-1.3478834872744706821e-10	1.259288956011353471e-08	1.3438673137745601759e-08	-1.1431188993683242895e-09	-1.1064105932727221952e-08	-1.1640290477306597975e-08
-6	-5	-5	2.1929609643068791571e-07	2.3420415809113790099e-07	-9.36742094858940174e-08	-1.0718490786211182453e-07	-1.694811062309314841e-07	-1.7386008184725365137e-07
-6	-5	-4	6.0656767824793438423e-07	3.8765519345527734847e-09	-6.8316830570760810931e-08	6.7818757261398032227e-08	-8.2445547915845050643e-07	-9.0588274478576703819e-08
-6	-5	-3	-1.2650639894644519791e-06	6.9341674840326622572e-07	8.9586223999689276781e-07	-1.825217996573812694e-06	1.0370242456007495922e-06	1.6551964974831551602e-06
