# cutoff=3 energy=1 Q=D^4*Z=0.00035819328779694288405
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-3	-3	-3	-4.3571210026769910007e-06	-6.1599303204549938782e-06	2.4962613755198701757e-06	2.0948195684353093773e-06	1.8608596271571210368e-06	4.0651107520196845009e-06
-3	-3	-2	-2.8968259332905730191e-05	1.3008920624264606671e-05	-1.1048389780592474718e-05	2.290013081222031485e-06	6.0024973670247306517e-05	-2.2948400558229957658e-05
-3	-3	-1	5.4359512324782880497e-08	-3.5340061964978994034e-07	-2.4830936036838368059e-08	1.0498641530095837105e-07	-8.8585728863833543932e-08	7.4524261304649466816e-07
-3	-3	0	-4.7451366449910410756e-09	2.5908576176609385043e-10	4.7451366449910410756e-09	-2.5908576176609385043e-10	1.279082270948619575e-05	8.9369028096187985027e-06
-3	-3	1	-3.1414048616503933584e-07	1.667031789898619633e-07	7.6134502107060180012e-08	-5.4923383538139984174e-08	-7.1401795217393744101e-07	3.3533938635516592414e-07
-3	-3	2	-1.9074814091890062509e-06	3.046670685342442133e-05	1.5371244752844842967e-06	1.1698551678283358298e-05	-5.5553540085678250789e-07	6.3247887797561661819e-05
-3	-3	3	-2.3583108920473085427e-06	3.2089748498647742988e-06	1.8533061649613887726e-06	-4.4951127458510702507e-06	-5.0500472708591966416e-07	-1.2861378959862961637e-06
-3	-2	-3	1.0407687689287256849e-05	1.7045900027625457517e-06	-6.4474248871697643491e-05	-1.0773295466189719403e-05	3.2575144891844499831e-05	5.4776069746972673249e-06
-3	-2	-2	7.8424509631098374919e-07	-9.5107658918904714443e-07	-1.4243401334900922711e-06	1.8438784467236043571e-06	2.4797248902361664734e-07	-4.1726356294003353458e-07
-3	-2	-1	1.1740708116577631888e-05	2.5640528881761185764e-05	-1.8772050297550622059e-05	-4.1049678022518581815e-05	2.3219762453683501457e-06	5.177769399753609725e-06
-3	-2	0	2.784896609357277773e-08	-2.6198150222923694998e-08	-4.1773449140359163286e-08	3.9297225334385539188e-08	1.6812952556488826587e-06	8.8119211780023026862e-08
-3	-2	1	1.4163371326662335038e-05	-2.4387942185103877503e-05	-2.2656505160705032873e-05	3.9039736265928802646e-05	-2.8228963414230576669e-06	4.9156459765459651601e-06
-3	-2	2	-7.2044161451748523955e-07	-1.0428122353334908603e-06	1.2456634597821774338e-06	1.936987055165401811e-06	1.6500103800594965388e-07	3.7276870216516525588e-07
-3	-2	3	1.0316604618511460579e-05	-4.2731773379469200164e-07	-6.5661012563544002957e-05	4.8628549232405892489e-06	-3.3457403757184541392e-05	2.8145855483657011839e-06
-3	-1	-3	-1.0843942289933498641e-07	1.6724658779808315747e-08	-6.4919130710882836285e-07	3.1441657344337742608e-07	3.2483652526894443187e-07	-1.2153018326093411672e-07
-3	-1	-2	-5.7604306958830221124e-07	5.3477507956807681993e-06	-1.3590412491390820189e-06	1.2873046323120944276e-05	1.5435852289519942204e-06	-1.4458149355081624437e-05
-3	-1	-1	-1.5632179123201743546e-05	-1.0209142971060278604e-05	3.122845254548948531e-05	2.0454591023713223708e-05	1.566808482411574194e-05	1.0172837889467610409e-05
-3	-1	0	3.698376316838696301e-08	2.112801002612347105e-08	-1.1095128950516088241e-07	-6.3384030078370409842e-08	-6.9272608746903820533e-05	3.9082505259666350131e-05
-3	-1	1	6.2522928124959591988e-07	1.8644125995203395793e-05	-1.2994079597531638772e-06	-3.7152136717676235219e-05	5.7627988399562377657e-07	1.8780241267933948772e-05
-3	-1	2	4.9012139700884686081e-06	2.2759894124119371346e-06	1.1736922493592013753e-05	5.4874267647567437521e-06	1.3220282201928709365e-05	6.1576975009962777897e-06
