# exact-gradient local quartic closure adversary; cutoff=2; objective=lqc3-ratio; selection=doubling-remainder; backend=direct; objective_value=0.0378636; constant_ratio=0.145573; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-2	-2	-2	0.0001305942695710963922	0.00023990983714711856334	-6.6343515916844346034e-05	-0.00012510443682507227598	-6.4250753654252046169e-05	-0.00011480540032204627381
-2	-2	-1	1.1060461993398846542e-05	-4.2971011723037700768e-06	-1.6052219148012777304e-05	-3.4945292059806787782e-06	9.9835143092278581366e-06	1.558326075656889771e-05
-2	-2	0	2.5756177205372824296e-05	2.6447852456555068294e-05	-2.5756177205372824296e-05	-2.6447852456555068294e-05	6.8938295868766101613e-05	4.6926337576894273563e-06
-2	-2	1	3.8658506134724871862e-05	9.0945260728549557179e-06	-4.4236936453468163495e-05	-6.8030044975345875115e-06	-1.1156860637486586656e-05	4.5830431506407372599e-06
-2	-2	2	0.00020583604798908049552	-1.641794967085351777e-05	-0.00010563677429040771276	5.242616153612785183e-06	0.00010019927369867278276	-1.1175333517240733434e-05
-2	-1	-2	1.5598751892604173383e-05	-1.1470636022357824342e-05	-2.2698973165779395482e-06	3.7899966476741035906e-07	-1.4463803234315205515e-05	1.1281136189974119401e-05
-2	-1	-1	-2.2256180305400505196e-07	-3.1482084753512668117e-06	0.00019643536870913555535	1.442724661728422077e-05	-0.00019599024510302752683	-8.1308296665816879938e-06
-2	-1	0	2.3352682233574808705e-06	-1.9457479679178508943e-05	-4.670536446714961741e-06	3.8914959358357017886e-05	-3.0528083084515406033e-05	-7.5307159064191860737e-05
-2	-1	1	0.00050186069648656679403	-0.00027907564595636347908	-0.00050192930659765017977	0.00027770916271976475286	0.00050179208637548340828	-0.00028044212919296225952
-2	-1	2	6.3428564551606219965e-06	1.5559104179697808452e-05	1.2094921209612403322e-05	-9.1354188236780888504e-06	1.2390317059966822811e-05	1.0991394767858763179e-05
-2	0	-2	1.0638531441881395272e-06	-1.9484778301984033904e-05	5.162727006397748689e-05	1.4157629004080576925e-05	-1.0638531441881395272e-06	1.9484778301984033904e-05
-2	0	-1	2.3376880855219065027e-05	-2.9222530507725028828e-05	-0.00011787903968584909022	4.3868428429149017322e-05	-4.6753761710438130055e-05	5.8445061015450057657e-05
-2	0	0	0	-0	-0.00012079960578190133296	3.7235338458738024333e-06	3.4698689145968900061e-05	7.7397381464374253039e-05
-2	0	1	1.9898922935134098072e-05	-2.331533625707789983e-05	-2.2570284142778017546e-05	0.00016861887857607605798	3.9797845870268196145e-05	-4.6630672514155799659e-05
-2	0	2	-3.0680609796058906243e-06	3.4306362779598516515e-05	-9.8237527940138849228e-07	-1.0710402741942552505e-05	-3.0680609796058906243e-06	3.4306362779598516515e-05
-2	1	-2	4.4494643790286424024e-06	-3.6016566509788023123e-06	-8.3582884133277681702e-06	-7.974806744113179034e-06	-8.6286085856925264875e-06	-3.8574672107778709884e-07
-2	1	-1	-2.4486366267568177436e-05	0.00057370874542430499478	-2.8470217094689132594e-05	0.00057239777339862919856	2.0502515440447222279e-05	-0.00057501971744998089942
-2	1	0	1.7881056273965881709e-05	-7.6479058796490541534e-06	3.5762112547931763419e-05	-1.5295811759298108307e-05	7.9378378127066277401e-05	-3.3503981703875798996e-06
-2	1	1	-3.3272801221449281765e-06	5.1418592886317186257e-07	9.3651248277156173535e-05	0.00017146212613323793422	-0.00010030580852144603836	-0.00017043375427551159663
-2	1	2	1.7612011975647670219e-05	2.7902188550291426381e-05	3.4204345757099610556e-06	3.8779532565249986694e-07	1.5901794687792688844e-05	2.7708290887465176924e-05
-2	2	-2	-5.0742914879300291236e-05	-0.00018133638474089901118	-3.0189908526038304739e-05	-8.5599579065231262958e-05	2.0553006353261986497e-05	9.5736805675667734669e-05
-2	2	-1	1.0011744945592157438e-05	-9.4894461683700417131e-07	1.0655784283929447092e-05	2.0644546706789799032e-06	1.2880786766745803665e-06	6.0267985750319687843e-06
-2	2	0	4.248007457538880746e-06	-3.8006250704637846018e-06	4.248007457538880746e-06	-3.8006250704637846018e-06	-7.0489651768863105302e-05	-2.8973760682476120391e-05
-2	2	1	1.0857202103356653072e-05	8.6889526358786693862e-07	1.0317019205591418482e-05	3.9537274422369906728e-06	1.0803657955304708723e-06	-6.169664357298246833e-06
-2	2	2	-0.00025748295137929745786	2.3378233280482837232e-05	-0.00012041006498962282176	6.8814804815535113812e-06	-0.00013707288638967462255	1.6496752798929325851e-05
-1	-2	-2	-2.5350463213969639343e-05	-2.7586945144095183165e-05	2.1615480043700179142e-06	8.8973366603528425092e-06	1.0513683602614801334e-05	4.8961359116947490732e-06
-1	-2	-1	-1.2022290239141737335e-05	-2.7506125375655757867e-06	1.0245843804815780279e-05	1.424161964535542196e-05	-8.4693973704898249178e-06	-2.5732626753145266862e-05
-1	-2	0	0.009768794850435424254	0.002830606392628773945	-0.004884397425217712127	-0.0014153031963143869725	-0.012212452862544669746	-0.003636106429076426793
-1	-2	1	-2.9323459232706495825e-05	2.9346941396569828711e-05	8.7833901989918771309e-06	2.3789790425725477742e-05	-1.1756678834722739869e-05	7.6926522248020790971e-05
-1	-2	2	-1.6309740697005095774e-06	-2.3166034093190775326e-07	6.2293348999228247359e-05	-1.5626947604492692529e-05	6.1477861964378001359e-05	-1.5742777774958647663e-05
-1	-1	-2	1.5281729771337687732e-05	-6.2439303004855326897e-06	4.4506288069868662853e-05	1.5247900805209550453e-05	-2.9894008920603176987e-05	-4.5019852523620088817e-06
-1	-1	-1	8.8147446203386124091e-05	-0.00022585070637647753451	-1.4690771318235395064e-05	0.00026074557556252005988	-7.3456674885150717168e-05	-3.489486918604250504e-05
-1	-1	0	0.0007839459362356181963	-5.0152277210715676126e-05	-0.0007839459362356181963	5.0152277210715676126e-05	-0.0020749297268411646088	0.00063614583152773378303
-1	-1	1	-2.2296397761930205993e-05	0.00050797658408576460733	-0.0001543517705025423297	-0.00054700133551397215823	-0.00017664816826447253908	-3.9024751428207557675e-05
-1	-1	2	3.8381582056107078915e-05	-2.2727590843672762499e-05	-8.0619470176292561537e-05	0.00010047689247530232478	-2.1118944060092741311e-05	3.8874650815814781142e-05
-1	0	-2	0.0076020060154156987933	-0.0067593840994750057152	-0.0094660318591231890073	0.0085339961597833361578	-0.0038010030077078493967	0.0033796920497375028576
-1	0	-1	-0.00064361322932106855566	-6.2214789645924668403e-05	0.00049770891363037873464	3.3743850814772054713e-05	0.00064361322932106855566	6.2214789645924668403e-05
-1	0	0	0	-0	0.11952817712318562771	-0.4050354547336953992	0.111402894129087493	-0.40745569580609763971
-1	0	1	-0.00051590673455191810113	-0.00011421247941847613341	-0.0012923529624262054382	-0.00039752306300559720831	-0.00051590673455191810113	-0.00011421247941847613341
-1	0	2	-0.0028269864153317252574	-0.0097624148160055847917	-0.0036225600560963137214	-0.012213215603700523088	-0.0014134932076658626287	-0.0048812074080027923959
