# exact-gradient local quartic closure adversary; cutoff=5; objective=lqc3-ratio; selection=doubling-remainder; backend=direct; objective_value=0.170496; constant_ratio=0.0293684; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	0.00014172792091512567193	0.00013225202940447364111	3.6560427452454958208e-05	-0.00059074122393932952408	-0.00017828834836758063014	0.00045848919453485585587
-5	-5	-4	0.00055317599204080707478	0.00023714636134092935524	-0.0010262582945217409245	-0.0003908440451874661283	0.00059135287810116714952	0.00019212210480817098666
-5	-5	-3	0.00039497970304367503508	0.00011233638046713466158	-0.00070373398289144553988	-0.00021401459017414135627	0.00051459046641295089555	0.00016946368284501115331
-5	-5	-2	0.00048259292148015883695	2.8705262543440964102e-05	-0.00061916190467036728157	2.2386335326570610415e-05	0.00034142245797552119285	-0.00012772899467502894138
-5	-5	-1	0.00073155867601926226167	0.00035058087835423994887	-0.0006795213531259115293	-0.00037218270819686690831	-0.00026018661446675360764	0.00010800914921313472942
-5	-5	0	0.0010224804431703754873	0.00021597506036771389791	-0.0010224804431703754873	-0.00021597506036771389791	-0.0001998483578719323665	0.00061133099921909764447
-5	-5	1	0.00093624000301816164265	-0.00019052494842124393227	-0.00086557762488776140552	0.00029517529739162906913	0.00035331189065200134828	0.00052325174485192576558
-5	-5	2	0.00028600184317799658184	-0.00026755148362331716144	-0.00013293132210895642893	0.00017944745205127169167	0.00038267630267260034161	-0.00022026007893011375575
-5	-5	3	-1.3996317862518611947e-05	-0.00014460796250427676688	3.8559723549145411069e-05	-0.00015288523744547887146	4.0939009477711335821e-05	-0.00049582199991625940626
-5	-5	4	-0.00022604098618517930652	6.3215843183412871883e-05	0.00019310403360484908707	-0.00030720105778400468802	-4.1171190725412787868e-05	-0.00030498151825073975324
-5	-5	5	9.336532833139081413e-06	-0.00011527963592765884458	-0.00035374985191339301024	-0.0001155769250135290911	-0.00034441331908025392882	-0.00023085656094118793568
-5	-4	-5	-5.24778398687397599e-05	-0.00039772369939969739105	0.00074526241733350847077	0.0010713003420360508143	-0.0005437320939980670384	-0.00045931657422914321702
