# completed local quartic closure restart checkpoint; cutoff=5; restart=11; seed=32003661578684131; objective=projective-cross-power-ratio; selection=double-triple-remainder; optimized_objective=9.45303678975184109e-10; refined_objective=0; accepted_steps=8; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-5	-5	-5	0.0013386891288357991286	0.0014562193121682308512	-0.0002741215110524434736	-0.0015743960181324877408	-0.0010645676177833554923	0.00011817670596425669982
-5	-5	-4	9.8336508805515693093e-05	-5.9763582698499698176e-05	-0.0001026959963357498433	2.5425231025814935795e-06	5.4493594127926902961e-06	7.1526324494897755004e-05
-5	-5	-3	-2.0748057118591020745e-05	-0.00010692090496020716648	-9.6306185142470740381e-05	0.00012387767017116979975	0.00019509040376843627871	-2.826127535160440459e-05
-5	-5	-2	-0.00016894451118158618306	0.00030645531558965631537	0.00015068202964047040814	-0.00032646340769556852959	4.5656203852789450839e-05	5.0020230264780501668e-05
-5	-5	-1	5.0086902760487330756e-05	0.00024008407027137479276	-0.00016902598268254967408	-0.00030202075026983596232	0.00059469539961031164885	0.00030968339999230582067
-5	-5	0	-9.7169165220837774985e-05	0.0003043062771436037036	9.7169165220837774985e-05	-0.0003043062771436037036	0.00016216597947988484391	-0.00012233758244412890168
-5	-5	1	0.00033947867226658478505	3.6524993826965551874e-05	-0.00023889342370505794164	-4.0416178635245044858e-05	0.00050292624280763424411	-1.9455924041397468308e-05
-5	-5	2	-0.00023144775909682803396	0.00014731349197101017176	-3.2426763684715310108e-05	-0.00016240765587679137339	-0.00065968630695385831273	-3.7735409764453037957e-05
-5	-5	3	0.00034914134294366388784	-0.00027248755434730484405	-0.00025376680393721090653	0.00016546904900383653568	0.00015895756501075496885	-0.0001783641755724471264
-5	-5	4	0.00010645015628948237209	-0.00015414819065611820082	-0.00020658174150121319307	-0.00010001106704580090619	-0.00012516448151466351944	-0.00031769907212739889732
-5	-5	5	-0.0031472322284902052962	-0.00021949341850789665315	0.0018637668918635914329	-0.00040902066337430195275	-0.0012834653366266136464	-0.00062851408188219866011
-5	-4	-5	3.0562562714112356691e-05	9.593183611788503836e-05	0.00021599896751854679366	-9.0458655429523297906e-05	-0.00020336173672894978484	-2.3564911774266408844e-05
-5	-4	-4	-0.00017937454748391160704	-0.00011110989188233542403	0.00020225307852921817903	0.00022683124010069253954	2.1965105825671326381e-05	-8.7943875247773259504e-05
