# completed local quartic closure restart checkpoint; cutoff=6; restart=0; seed=1127675556562534488; objective=projective-cross-power-ratio; selection=double-triple-remainder; optimized_objective=1.24705891862648393e-06; refined_objective=0; accepted_steps=2; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.9667093391084111047e-10	-4.1188204344006432546e-10	1.4084016303784519208e-10	-6.5600864668996569395e-11	5.5830770872995918392e-11	4.7748290810906090777e-10
-6	-6	-5	1.3806701289909897963e-10	-4.648146123460621974e-11	-1.1862027755596822455e-10	1.4074695291362336806e-10	-2.3336082411756906092e-11	-1.1311859001482058832e-10
-6	-6	-4	4.6740470526636232074e-11	-9.6416898295140296258e-10	6.0956259747125480475e-10	4.65340482410180538e-10	-9.8445460199683660693e-10	7.4824275081183366271e-10
-6	-6	-3	1.7857854853063701636e-10	5.9585874973066716214e-10	-1.6444909116785447244e-10	-6.0658533189008686651e-10	-2.8258914725565084617e-11	2.1453164318839366718e-11
-6	-6	-2	-1.4994863353468681284e-09	-4.6504558714189516129e-10	1.5541780339212606706e-09	7.5547968347299525405e-12	-1.6407509572317801418e-10	1.3724723709214956715e-09
-6	-6	-1	1.1877052640386095466e-08	2.8403957936149293851e-08	-1.1299359214680678576e-08	-2.888534033363420052e-08	-3.4661605542325054761e-09	2.8882943849094367021e-09
-6	-6	0	-3.4265438020185923508e-08	-2.1243269286426255845e-09	3.4265438020185923508e-08	2.1243269286426255845e-09	3.4177117467421569311e-09	-4.302077341748971906e-09
-6	-6	1	3.6379753967338443322e-09	-8.8769945821687593109e-09	-3.4547920160733712764e-09	8.7844494125849744196e-09	1.0991002839628389553e-09	-5.5527101750270490151e-10
-6	-6	2	1.514868602807550602e-09	-2.1527475378324209093e-10	-2.7919519061082091954e-09	-7.5493914123673735408e-10	-3.8312499099019764006e-09	-2.9106416850599384901e-09
-6	-6	3	4.1252340186422386018e-10	2.7652507825945992296e-10	-2.2832400834935686875e-10	-5.1669786416435193877e-10	3.6839878702973393115e-10	-4.8034557180978403161e-10
-6	-6	4	7.0231219899734398653e-10	-1.0808848101259343368e-09	-8.5873259484524016435e-10	1.8694768559449940765e-09	-2.3463059377184416333e-10	1.1828880687285898164e-09
-6	-6	5	5.0981837399936735731e-11	-3.552289719068986235e-10	-1.6549947907906320264e-10	3.1491646181493025088e-10	-1.3742117001495174737e-10	-4.8375012110362076871e-11
-6	-6	6	-1.0562278474266365065e-10	2.9074448603887349559e-10	2.9974941191430328269e-10	2.5777183048091434431e-10	1.9412662717163964496e-10	5.4851631651978783991e-10
-6	-5	-6	9.2436916280100102184e-11	7.5689890715079170471e-11	-2.5209370905105857717e-11	-1.7721307911818252674e-11	-7.1429107192511890112e-11	-6.0922134121897301859e-11
-6	-5	-5	2.5741120149479536897e-09	3.9622808843949462337e-10	-1.3860236619365186381e-09	-9.5333066319734640497e-10	-1.7029107560010256654e-09	4.7785695706995291896e-10
-6	-5	-4	2.7917076663364518407e-10	-2.8164939048982305315e-11	-4.7942767827453781659e-10	1.9084268204074453313e-10	1.8052844789270454634e-10	-1.9630594397745718583e-10
-6	-5	-3	1.8054876325488270728e-08	3.8820399141313856011e-09	-3.0586400807081964112e-10	-5.7325982615756127395e-09	-3.559997930419184314e-08	1.7902506076965837773e-09
-6	-5	-2	-6.4935411051005373471e-08	1.4718301908242114105e-07	4.7944847166599963363e-08	-1.4246574074748027475e-07	7.494411523651622193e-08	-8.5384705378562696576e-08
-6	-5	-1	-9.5588831887265456067e-08	-1.3675966793469344389e-07	9.3982186436360815546e-08	1.5033766609113527781e-07	1.036220591417886322e-07	6.8869677152484287516e-08
-6	-5	0	-7.7690813294358342298e-10	-3.1846869506680406896e-08	9.3228975953230014894e-10	3.8216243408016489599e-08	-1.9978671055773685893e-08	2.0446891728151948595e-08
-6	-5	1	2.4365295012029629616e-08	-9.4966602941771032859e-09	-2.563228748297404036e-08	1.3996226711995562671e-08	1.8030332657307589126e-08	1.3001171794915188679e-08
-6	-5	2	-2.5946188912120616494e-08	6.395078491532847463e-09	3.4090670932094647455e-08	3.9101405052747844144e-09	7.3881105938747666726e-09	2.896058673778550053e-08
-6	-5	3	2.0133994689705830048e-08	2.5723611121113480104e-08	-3.1574428845971276966e-08	-4.1018717612449843332e-08	-1.2356058697207130986e-08	-1.6917307111856117527e-08
-6	-5	4	9.7876259716190417278e-11	-1.1276684442651940022e-10	-7.1136721353092391985e-10	-1.0367156910744956938e-10	-7.423946273393693256e-10	-2.9873972802409105882e-10
-6	-5	5	1.2701912583560318478e-09	2.8905244871416194975e-09	-2.9591515214470612961e-09	1.0533592246327977044e-09	-1.4349220114198229547e-09	4.5219886092027412255e-09
-6	-5	6	-7.8791509023006599349e-11	2.0124355370558122753e-11	6.7710441783404618929e-11	-4.8738426553613954506e-11	-2.2366140870169419062e-11	-2.0491000090786840413e-11
-6	-4	-6	-5.8604576358286115898e-10	4.5822862516895180008e-10	-4.4098382291377614242e-10	5.1525927578847591521e-10	8.8003497885871188614e-10	-8.0173480902793570909e-10
-6	-4	-5	-3.9545555103867671101e-10	1.3354067183856338486e-10	-2.9615577678758874282e-11	4.7611380294380478959e-10	4.9823912338941912679e-10	-5.4113984856131992453e-10
-6	-4	-4	3.5956598714267633163e-08	-1.4533208093708395108e-08	-2.9104058066445631773e-09	1.4378084782592606384e-08	-5.1024492264756882018e-08	7.4217273579699862784e-09
