# exact-gradient local quartic closure adversary; cutoff=6; objective=projective-cross-power-ratio; selection=double-triple-remainder; backend=direct; objective_value=1.24991e-06; constant_ratio=0.00797016; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-6	-6	-6	-1.4008668396013708319e-06	-2.7557341259586424041e-06	1.0882651425085338024e-06	-5.9068233643717911119e-07	3.1260169709283713536e-07	3.3464164623958215152e-06
-6	-6	-5	-3.2045131521293327643e-07	4.0109293411680679882e-08	2.5961011753584525248e-07	-3.1693456675164280928e-07	7.3009437212505636676e-08	3.3219032800795457645e-07
-6	-6	-4	-9.6947523840127834537e-08	9.7773403542206220407e-07	-6.40942353589527076e-07	-3.9249736227698126956e-07	1.1068348161444824518e-06	-8.7785500971762150765e-07
-6	-6	-3	-7.0668715777667481138e-08	-2.4985550171200787564e-07	5.1620835739872539137e-08	2.4258209659676761207e-07	3.8095760075589897237e-08	1.4546810230480487433e-08
-6	-6	-2	-2.1767947435288385079e-08	-5.948613520550810224e-09	3.4295508798384695373e-08	-8.9262342465162277354e-10	-3.75826840892889375e-08	2.05237108356072992e-08
-6	-6	-1	6.7921316360886855524e-08	1.48028608459892425e-07	-6.5262419872893104895e-08	-1.5236133684050827711e-07	-1.5953378927962526935e-08	2.5996370283695086164e-08
-6	-6	0	-2.6766278214841217243e-07	-1.8834596706703703356e-09	2.6766278214841217243e-07	1.8834596706703703356e-09	-1.8178822121463137981e-08	-2.3194829036102068205e-08
-6	-6	1	1.80052588182323159e-08	-5.5631516523361609925e-08	-1.9261341315799038025e-08	5.4704511015109921763e-08	-7.5364949854003294365e-09	-5.5620330495101372445e-09
-6	-6	2	3.0771375857922047285e-08	2.1018261650054873374e-08	-5.4171174468699446102e-08	-3.0818729262943857987e-08	-7.0199395832332196451e-08	-2.9401402838666943913e-08
-6	-6	3	-2.0044185237404324615e-07	-1.4831869460086182107e-07	1.1350480857994203297e-07	2.501379755188745444e-07	-1.7387408758820242637e-07	2.0363856183602542018e-07
-6	-6	4	-8.1669959513363941966e-07	1.1607102449061758123e-06	9.299848969609399717e-07	-2.1493118557758731e-06	1.6992795274095085453e-07	-1.482902416304546355e-06
-6	-6	5	-7.1259603584121907698e-08	7.954906554855009999e-07	4.0988475975189999676e-07	-7.4340373622296993488e-07	4.0635018740133371217e-07	6.2504303115037293914e-08
-6	-6	6	-7.0964275751911328946e-07	1.911189012660690747e-06	1.9967580826947553476e-06	1.732173928902365785e-06	1.2871153251756419522e-06	3.643362941563056532e-06
-6	-5	-6	-2.0252188937528910388e-07	-2.3242055114970886436e-07	2.4593069363716181889e-08	9.174486425092121703e-08	1.8202766490552562063e-07	1.5596649760727451243e-07
-6	-5	-5	-2.2804968812670267471e-06	-2.9264717784169329798e-07	1.2256664118964952181e-06	8.445546308407836331e-07	1.510929845623936709e-06	-4.93378017430751612e-07
-6	-5	-4	-8.1626435934224572176e-09	3.1833640159828223522e-09	7.5107248906586942197e-09	2.4350833439844301431e-08	2.855559276810316811e-09	-3.5213587823779607421e-08
-6	-5	-3	1.8169904020518320064e-07	3.7464980028931944123e-08	-1.2700855162365066399e-08	-4.5309289710005173327e-08	-3.4222998847309127131e-07	5.8552279214472886487e-10
