# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-height-commutator-envelope-ratio; selection=double-triple-remainder; optimized_objective=3.17810484247163228e-06; refined_objective=0; accepted_steps=4; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	1.8305553362209575147e-06	-2.711919782256573695e-06	1.1007334073401121647e-06	-1.1801131065742765208e-06	-2.9312887435610696794e-06	3.8920328888308504276e-06
-8	-8	-7	-4.5427034926792779676e-07	5.7201224910589759801e-07	-4.672158355190545406e-07	5.8370281323330575474e-07	1.0531270683279799049e-06	-1.3208172141019466586e-06
-8	-8	-6	1.1188968176316108577e-06	-3.8138482276910026449e-06	8.1779742549219454738e-07	-2.3145120542415106168e-06	-2.5822589908317405401e-06	8.1711470425766843489e-06
-8	-8	-5	8.1002137078130275699e-07	1.5834459762387859684e-07	5.9165008011308562808e-07	2.2087250245978801723e-06	-2.2426743214310212467e-06	-3.7873113955548142848e-06
-8	-8	-4	-1.7340142131717247435e-06	3.7914676192266240831e-06	-3.237008607708267856e-06	-2.3456715723847927193e-06	9.9420456417599847756e-06	-2.8915920936836627276e-06
-8	-8	-3	-2.2419398015055096231e-06	-6.2165665965493748424e-06	5.4852934802510392668e-06	2.3251736109538001541e-06	-8.6489431433214123833e-06	1.0377047961588198039e-05
-8	-8	-2	7.820820194189436302e-06	6.5181976224870072749e-06	-9.2318348836682216185e-06	-2.3450766356015893237e-06	5.6440587579151421131e-06	-1.6692483947541670111e-05
-8	-8	-1	-1.0202242682518118991e-05	-2.3997710759300062663e-06	1.0189823995064575408e-05	5.2651335205653352412e-07	9.9349499628345367513e-08	1.4986061790987782784e-05
-8	-8	0	1.1541692651455561942e-05	-4.4409925112579698804e-07	-1.1541692651455561942e-05	4.4409925112579698804e-07	-7.2181855101119116235e-06	-1.278511197984379065e-05
-8	-8	1	-1.1602270845331632754e-05	3.6108869529720517452e-06	1.3384893555281740919e-05	-2.451593226091613549e-06	1.4260981679600863629e-05	9.2743498150435089576e-06
-8	-8	2	1.0085262262043341334e-05	-6.4241837321396995646e-06	-1.4245757186350710137e-05	6.0128705441011919987e-06	-1.6641979697229475213e-05	-1.6452527521540279344e-06
-8	-8	3	-5.4671403902551075931e-06	4.6520557450117413373e-06	9.8262683472657530952e-06	-5.0087036776880623345e-06	1.1624341218695055802e-05	-9.5106115380352287103e-07
-8	-8	4	3.9827857130726563266e-06	-3.3775264370564055473e-06	-8.0547598632357480462e-06	4.9744962884679218152e-06	-8.1439483003261834392e-06	3.1939397028230329593e-06
-8	-8	5	-1.9657414743575376612e-06	1.9613553017415514405e-06	5.3469056755779364502e-06	-3.2738149124819119726e-06	5.4098627219526370459e-06	-2.0999353771845768513e-06
-8	-8	6	1.6076712537275164806e-07	-1.6466338269724418169e-06	-4.9561928232083802583e-06	2.2895509335780875528e-06	-6.3939009304475049548e-06	8.572228088075278244e-07
-8	-8	7	-6.7043815243306611493e-07	4.4141868508202289779e-07	1.3511788198071014952e-06	-2.1620722542251404647e-06	7.7798933414175462955e-07	-1.9664612218778488295e-06
-8	-8	8	2.4237407809050143581e-06	-1.0251417548841613558e-06	1.3461205227678987093e-06	8.1340525309616662971e-07	3.7698613036729130674e-06	-2.1173650178799462025e-07
-8	-7	-8	1.5735485845892629315e-06	-7.7700453097193288283e-07	5.6062396027762708406e-07	1.3942213705922098018e-07	-2.064094549832186458e-06	6.5501016104511444576e-07
-8	-7	-7	-4.6076563015955731474e-06	2.3883852979066731732e-06	-2.1792842389087103241e-06	3.7766856888628171419e-07	7.4451771550179373228e-06	-3.1072517664939079105e-06
-8	-7	-6	-1.204694391184797565e-06	-4.0251672324173591282e-06	3.1705588180130078687e-07	-1.4475531286671461578e-06	1.2363606594782126166e-06	7.0557016266681495668e-06
-8	-7	-5	6.9673521182821040483e-06	2.0041613984527181032e-06	1.5943032537354181158e-06	1.8777940350487981049e-06	-1.3379787944480951755e-05	-5.835569886592666312e-06
-8	-7	-4	-7.2260348414471846969e-06	1.2071670142005054541e-06	-2.1642885844196758788e-06	-2.6408541817393959304e-06	1.8239574705628802394e-05	2.2071607896429316524e-06
-8	-7	-3	4.2518889042628837558e-06	-3.2621727471268938005e-06	1.8211711680978126615e-06	3.0330208787598865373e-06	-1.5587769803595920618e-05	1.622078608565315728e-06
-8	-7	-2	-4.689833426121267902e-07	6.4953846138192168923e-06	-4.8264338372325434683e-06	-4.0879609834241848867e-06	1.8768451800762411417e-05	-1.1673675013292220042e-05
-8	-7	-1	-4.261019212042559351e-06	-6.6133369727353251096e-06	6.636969460759437788e-06	4.6703222535166317924e-06	-1.2370632528975593096e-05	2.021444000726618426e-05
-8	-7	0	1.0232808580656751958e-05	5.2265098720433410669e-06	-1.1694638377893431294e-05	-5.9731541394781039554e-06	3.0406294815332413933e-06	-2.6622501257327702083e-05
-8	-7	1	-1.0836925463491009006e-05	-2.1738334661601450293e-06	1.2966079235720585748e-05	5.3587950769230589991e-06	4.0671509421160290308e-06	2.0120897809180251912e-05
-8	-7	2	8.8520851702772310377e-06	-1.2513215193319426982e-06	-1.2139920692871665201e-05	-3.561587714792128302e-06	-7.0813817439419015129e-06	-1.7470843079100219003e-05
-8	-7	3	-7.5050255794076734314e-06	9.4213589713783813156e-07	1.0059000924146945102e-05	2.9277660004077032815e-06	3.4576006112557437421e-06	9.343816393318875584e-06
-8	-7	4	5.5358482836022289124e-06	-3.0773137432904291125e-06	-1.2075354881486216136e-05	-5.8519258410269605218e-08	-1.0060174475396422954e-05	-6.2570361887988299563e-06
-8	-7	5	-3.0876512744732010504e-06	2.2238676829721535605e-06	8.8336545445378228072e-06	-8.5359115140559638182e-07	7.4268743231958307577e-06	2.3631606807876108047e-06
-8	-7	6	1.5021538117717154607e-06	-1.4768322392377625112e-06	-6.0641645114193829647e-06	8.7890789123097360217e-07	-5.0719868476269934092e-06	-9.4371711254754739088e-07
-8	-7	7	5.2820473583910895623e-07	2.0107753342674934001e-06	4.2752576924232477666e-06	1.1694437295859226493e-06	4.8789202476679442006e-06	3.4674726830344864746e-06
-8	-7	8	2.5964015925336169795e-07	-1.7461902375773660397e-07	-1.5582571680393110397e-06	5.7191835383672620709e-07	-1.1038348627810354882e-06	3.258095358493988537e-07
-8	-6	-8	6.2404119516025557829e-06	1.9134222033235228987e-06	1.7769812814942763974e-06	1.580126296662111691e-06	-7.5731479127232633456e-06	-3.0985169258201065611e-06
-8	-6	-7	-3.582077379762326026e-06	5.400399194418203286e-06	1.8305330321789743107e-07	5.1697244439166462137e-07	3.9368998883987458082e-06	-6.6150040316708019116e-06
-8	-6	-6	-4.8359886951351315257e-06	-1.151161269877034781e-05	-2.826476020425171368e-06	-2.4673677678370146094e-07	9.2744609472720134023e-06	1.559555370847749833e-05
-8	-6	-5	8.8350346102306895118e-06	1.1089792989903098886e-05	7.1903465036769227133e-07	-2.5343682066486458726e-06	-1.4998896956810331912e-05	-1.4702426935866582492e-05
-8	-6	-4	-1.1447011861130210547e-05	-6.3244307951071716568e-06	-1.8030794263682287856e-06	2.3645107112579109182e-06	2.5598642861812764907e-05	9.1020955233274769363e-06
-8	-6	-3	1.0756871769639835833e-05	2.2357952579688658215e-06	-1.8603485620285667988e-06	-4.0962270747994021804e-06	-2.496429426164909515e-05	2.230333461681828272e-06
