# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-height-commutator-envelope-ratio; selection=double-triple-remainder; optimized_objective=3.30237759319665507e-06; refined_objective=0; accepted_steps=8; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	6.8932483675214492915e-07	3.0047523997073505735e-07	5.9693131755498853229e-07	-5.0205464040113668109e-08	-1.2862561543071335673e-06	-2.5026977593062139586e-07
-8	-8	-7	-4.3875821911415769166e-07	6.2946126172716004521e-07	-4.7489254465613051747e-07	9.2088633195279307191e-07	1.044172301451757923e-06	-1.7718258213485177271e-06
-8	-8	-6	-5.9728973750487432809e-07	-1.1048132960053570034e-06	-7.910237680503626288e-08	-1.9342472161067111281e-06	9.0185615241321419188e-07	4.0520806828160905595e-06
-8	-8	-5	1.1359888230258309201e-06	-6.1796667340607169341e-07	9.9004561313729686327e-07	2.3414828878420407638e-06	-3.4016550978610047922e-06	-2.7576259430975505127e-06
-8	-8	-4	-1.5985334884684178569e-06	3.1459462709843701798e-06	-2.9836972785152310724e-06	-2.3552756919997315379e-06	9.164461533967298282e-06	-1.5813411579692768603e-06
-8	-8	-3	-1.6225444409044388929e-06	-5.1685367894090331465e-06	5.2899898073365237992e-06	2.4650155986052903259e-06	-9.77985431048555975e-06	7.209389842143314753e-06
-8	-8	-2	6.7663667763378965807e-06	6.0130399031272991804e-06	-8.5614063243474050152e-06	-2.4191001519107438751e-06	7.1801581920380379734e-06	-1.4375759004866222915e-05
-8	-8	-1	-1.0129178686496145649e-05	-2.387085403681257664e-06	1.0288224826818868337e-05	5.3173848024233005212e-07	-1.2723691225817783285e-06	1.4842775387511421742e-05
-8	-8	0	1.0737162556364020452e-05	-3.1334380038891649362e-07	-1.0737162556364020452e-05	3.1334380038891649362e-07	-6.2616507997301513441e-06	-1.2707447456089659147e-05
-8	-8	1	-1.197236808436106281e-05	3.6121680559400678338e-06	1.3735628727640008737e-05	-2.3799250034327068163e-06	1.4106085146231570803e-05	9.8579444200588864459e-06
-8	-8	2	9.7531406085500629621e-06	-6.1591185431428115151e-06	-1.3659801222968975673e-05	5.4910251921126176211e-06	-1.5626642457675650846e-05	-2.6723734041207738819e-06
-8	-8	3	-5.6137180820525959635e-06	4.4518996268514076747e-06	9.9695609771816542835e-06	-4.5937962105125298729e-06	1.1615581053677488289e-05	-3.7839088976299344609e-07
-8	-8	4	3.824297039926096609e-06	-3.3614144331388154273e-06	-7.7577946966178028563e-06	4.8267907382707542555e-06	-7.8669953133834124947e-06	2.9307526102638780799e-06
-8	-8	5	-1.8817806879744055899e-06	2.3766679130699145355e-06	5.0529848372052874319e-06	-4.0878992084752498079e-06	5.0739266387694109472e-06	-2.7379700726485364359e-06
-8	-8	6	1.077178604105017401e-06	-1.3315222678528764877e-06	-3.3479362256152641576e-06	4.1313161686810423765e-06	-3.0276768286803292912e-06	3.7330585344375548007e-06
-8	-8	7	-6.4192603326762666482e-07	5.2155137246256131318e-07	1.3267706928969936343e-06	-2.3638660057080307818e-06	7.8267961100499070128e-07	-2.1055024379948222499e-06
-8	-8	8	3.1992972563202117927e-08	-3.9575826944146175231e-08	-8.6537142461593843375e-07	1.4009359841245190184e-06	-8.3337845205273628274e-07	1.3613601571803726976e-06
-8	-7	-8	1.5415694231005283358e-06	-9.3677827326966843366e-07	7.4012625796806588088e-07	-9.8701353709989383912e-08	-2.1891798988225861669e-06	1.0231419577659090486e-06
-8	-7	-7	-1.1505698683044130629e-06	3.0637383248371608762e-06	-8.3889397941484603016e-07	8.7732748278259502812e-07	2.1538309717627466432e-06	-4.3787427111679214564e-06
-8	-7	-6	-1.7013472425837604684e-06	-3.7933022373389725548e-06	1.1691711891638000304e-07	-1.709328539313517137e-06	2.1320596847092373759e-06	7.0519529456510662388e-06
-8	-7	-5	5.3666263802091332595e-06	2.8185382861668332648e-06	1.1233317618651330056e-06	2.3878605852163653552e-06	-1.0159266674945799846e-05	-7.8526660771698452291e-06
-8	-7	-4	-6.9884650672676942829e-06	3.4211026958101585168e-07	-2.1294454703606055153e-06	-3.1226853748085881002e-06	1.7703459707666447688e-05	4.7804788667529974719e-06
-8	-7	-3	4.3150471823826399653e-06	-3.4167437769426399058e-06	1.8413454125343175293e-06	3.1880213689097474996e-06	-1.5803265115600446982e-05	1.6726002110576296929e-06
-8	-7	-2	-4.7782280889468516291e-07	6.771582287241859573e-06	-4.8501117562278453266e-06	-4.1497122605436488854e-06	1.8886682382376199295e-05	-1.2562336237064664228e-05
-8	-7	-1	-4.3687708875385473117e-06	-6.8235637571338590655e-06	6.7373629888737619843e-06	4.6203227080493983718e-06	-1.2211373821807956243e-05	2.2246251100725082227e-05
-8	-7	0	1.0336153445923585909e-05	5.292073519526038681e-06	-1.1812746795341240796e-05	-6.0480840223154727782e-06	2.8052591427677352834e-06	-2.8327196354080068044e-05
-8	-7	1	-1.0887797435920985997e-05	-2.1065267863751488194e-06	1.3204216970049150012e-05	5.5316121933584196425e-06	5.3271393029761655001e-06	2.1869071062507749483e-05
-8	-7	2	9.0878071487659860131e-06	-1.3556770861322975379e-06	-1.2633199378537938434e-05	-3.6018951539767770864e-06	-7.8649692298188362318e-06	-1.8029341383447911225e-05
-8	-7	3	-7.4637913255549126604e-06	1.1396689303149184027e-06	1.0506048122668619588e-05	2.7104918417165649667e-06	4.6106687514136794579e-06	9.3635981115117663414e-06
-8	-7	4	5.9112628917602161058e-06	-3.231525388636390337e-06	-1.3135351967005432433e-05	-4.8791046892573223399e-09	-1.1164340158739073698e-05	-6.4715892104789806566e-06
-8	-7	5	-3.0885617604319691696e-06	2.2842579076253730796e-06	8.6019555457193706491e-06	-7.1489421770037492513e-07	7.1010389473159672209e-06	2.6539607474200719475e-06
-8	-7	6	1.5095057659894852133e-06	-1.5466569218912453755e-06	-6.1618689969907049919e-06	1.513772495476156269e-06	-5.1761728085031749749e-06	-2.9614131779947825752e-07
-8	-7	7	-4.0888689769651611645e-07	9.2739324288343699648e-07	3.7818953764833325757e-06	-1.2217378199347846702e-06	3.3145960648301711788e-06	-1.618598280679994671e-07
-8	-7	8	2.5468431884522839139e-07	-2.6058087162282968326e-07	-1.6527659241939145681e-06	8.0401647137322376581e-07	-1.1914858648244467233e-06	4.4293354082874115153e-07
-8	-6	-8	4.1367468373824397123e-06	-2.2210885110605189594e-06	7.1411407781831418864e-07	-1.1921737996493612164e-07	-4.6723323957461750626e-06	2.3105015460342210241e-06
-8	-6	-7	-2.8878085236768625573e-06	5.7441559933228939587e-06	2.4333468306024690219e-07	8.6528643537789212883e-07	3.0917800130076313526e-06	-7.3064237941215006951e-06
-8	-6	-6	-2.5046550449508164047e-06	-1.0472129104586117772e-05	-1.5142979416768694241e-06	-6.8062111679934905642e-07	4.8538380016112910853e-06	1.4643459922914172752e-05
-8	-6	-5	8.1962369351709738353e-06	1.0881291167494728381e-05	3.843929778742229851e-07	-1.9901505297432693233e-06	-1.3575250669722624088e-05	-1.5021885232299641205e-05
-8	-6	-4	-1.2057854459312995052e-05	-5.9200903361580122647e-06	-1.8977603741672205046e-06	2.2099909297180540097e-06	2.6962349479876821179e-05	8.5251942777389435148e-06
-8	-6	-3	1.1220256812952317021e-05	1.9907543677826912868e-06	-1.7164630992995077507e-06	-4.251364616879679333e-06	-2.6487758635940494438e-05	3.1940509196721820425e-06
-8	-6	-2	-1.0915525102225639132e-05	1.9885358187526004347e-06	3.2048606062581193615e-06	4.8700491928568319508e-06	3.4047518590128198022e-05	-2.2564290853580897591e-05
-8	-6	-1	7.9216634345397887122e-06	-3.3284545437040693948e-06	-6.1844464893267980194e-06	-3.5377863623522503061e-07	-2.6266628540357526663e-05	2.8750308167043902907e-05
-8	-6	0	-2.1268042847297730827e-06	2.7649476850279356357e-06	2.8357390463063639691e-06	-3.6865969133705808476e-06	1.858839726901797396e-05	-2.3084413029114109043e-05
-8	-6	1	-1.8885857069527939444e-06	-3.817244376876915098e-06	3.3535179496055790585e-07	9.3402588367933398795e-06	-1.3096574885859004438e-05	2.5503598005744718494e-05
-8	-6	2	6.1651058936854746987e-06	2.2314986965610221861e-06	-3.8470450394627868051e-06	-8.8017041446985384812e-06	1.3119288456353539227e-05	-1.7479117647851526699e-05
-8	-6	3	-6.9169127203839746293e-06	-6.5607567834958016003e-07	7.7382782570498185557e-06	8.6331333705988481741e-06	-2.9685440735909614765e-06	1.5516731598932146714e-05
-8	-6	4	5.5935018309868670428e-06	-1.2547164562982134175e-06	-8.428765464832069858e-06	-7.4683238163141036666e-06	-1.4561445352743713368e-06	-1.3711918637067581911e-05
-8	-6	5	-3.4383177358150382192e-06	1.7021536339328056495e-06	6.0149036817664427516e-06	6.3387222135625035478e-06	1.7165760408156695582e-06	1.0329912470567493974e-05
-8	-6	6	2.0646322974292702098e-06	-1.5801322040794962155e-06	-5.3371794387862198634e-06	-3.4101446154234325385e-06	-2.584336375547192917e-06	-5.5169875541960943004e-06
-8	-6	7	-1.279332565570135384e-06	1.5222829317458451617e-06	3.507512220020966341e-06	1.4846247900087979993e-06	1.5443446850806735072e-06	3.0122874562885072229e-06
