# energy-sphere spectral state blend; left=proof/l4/states/local-projective-height-commutator-envelope/K8-twenty-step/K8.tsv; right=proof/l4/states/projective-coherent-fan/perturbed-K12/fan-open-0p03.tsv; right_weight=0.0299999999999999989; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-2.7951017020899613405e-05	8.2312296940548912048e-05	-1.3145351623470658006e-05	3.5702455187975126478e-05	4.1096368644370273105e-05	-0.00011801475212852403853
-8	-8	-7	-5.7500286361541889154e-07	5.8081694686418660341e-07	-4.9596638155003907004e-07	8.1471114842097389536e-07	1.2239648516176663023e-06	-1.5948892517544692322e-06
-8	-8	-6	-1.5723487300384287398e-05	2.361938333916872916e-05	-7.5467699155589719993e-06	3.6299587360313289974e-06	3.1027009621257674679e-05	-3.6332456100266743645e-05
-8	-8	-5	4.2048872908638300583e-06	-7.1852509578723790576e-06	3.2491153248592493311e-06	1.7771069748419481995e-06	-1.1926404185156927362e-05	8.6530303728486893729e-06
-8	-8	-4	-1.1712406352378189244e-06	-3.0190871444209190275e-06	-3.1396435582368925739e-07	-2.4231367888007008537e-06	2.9704099821230166813e-06	1.0884447866443239762e-05
-8	-8	-3	4.5976194936252603643e-06	3.889990447925376501e-06	3.1119057560893902799e-06	4.6683195985527338844e-06	-2.0558733999239069514e-05	-2.2822160123941628824e-05
-8	-8	-2	-4.6231520126920285006e-06	-2.5916988480663774755e-07	-1.7535613484329888496e-06	-3.229571441347878145e-06	2.5506853444500067707e-05	1.3954965304618062723e-05
-8	-8	-1	-8.966741777062932307e-06	-2.1916585432799488174e-06	1.121436508794995828e-05	1.2647978698250081274e-06	-1.7980986487096211175e-05	7.4148853876395255197e-06
-8	-8	0	2.6217882416248157049e-07	2.8939523383029543111e-06	-2.6217882416248157049e-07	-2.8939523383029543111e-06	1.2008384708141466458e-05	-3.1114364359790300146e-06
-8	-8	1	-1.6303648861554787268e-05	1.3062340926967185715e-06	1.7079938407397236247e-05	5.0022285866459931501e-07	6.210316366739582516e-06	1.4451655610890542245e-05
-8	-8	2	6.1421669139192517972e-06	8.5974525151144191884e-07	-6.2553774364987289338e-06	-3.1150937757621115539e-06	-4.5284209031790748755e-07	-9.0213940970026772697e-06
-8	-8	3	-7.1804428309926553176e-06	4.6937851883060173467e-07	1.0753441328776468564e-05	2.4875506265860154612e-06	9.5279959940901663988e-06	7.8851443877776468438e-06
-8	-8	4	3.4631604430599109729e-06	-6.6468059860672439839e-07	-6.3324350864447542756e-06	-6.4204312563012973054e-07	-5.7385492867696874525e-06	-2.6134474484737082579e-06
-8	-8	5	-2.0665093127146318898e-06	4.0672685600156602509e-06	4.2516333303520011355e-06	-8.0859978004045952643e-06	3.4961984282197901156e-06	-6.4299667846222956826e-06
-8	-8	6	1.0091780475650149554e-05	2.4897113018954784464e-06	1.023502701275168964e-05	1.9020889213932413883e-05	2.7102409984535784463e-05	2.8680800687770524235e-05
-8	-8	7	-8.0960244771468164642e-07	3.5232930796558320856e-07	1.4381464088051198943e-06	-2.5776496085936668215e-06	7.1833595553192933543e-07	-2.5432232007178099644e-06
-8	-8	8	-6.2513438101851172626e-05	2.773055671128940011e-05	-5.914486938269590137e-05	1.2989012723873055656e-05	-0.00012165830748454708077	4.0719569435162455767e-05
-8	-7	-8	1.6178689642908413305e-06	-7.1554159844987009073e-07	8.4070145351829155321e-07	8.1409972718653143146e-08	-2.3534827361193465719e-06	6.4430787232104855573e-07
-8	-7	-7	2.8775879323883494029e-05	9.0669897235195410622e-06	1.1930432733419526307e-05	2.233757243429475473e-06	-4.4817151960714947812e-05	-1.2596031213166092801e-05
-8	-7	-6	-5.1607811125412234379e-06	-2.552574331925964646e-06	-1.1184623763395658346e-06	-8.4912937039384551672e-07	8.1859142557844571047e-06	4.3940833746941062641e-06
