# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-height-dynamic-envelope-ratio; selection=double-triple-remainder; optimized_objective=3.52978978939348088e-06; refined_objective=0; accepted_steps=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	-3.4101652711151869557e-09	-8.7730266609704477357e-09	-2.2060456739199214407e-09	-3.6110973436619068683e-09	5.6162109450351079828e-09	1.2384124004632355431e-08
-12	-12	-11	7.2946475890882654501e-09	5.7652961503991303085e-09	3.6762328211924904344e-09	1.118433567831315876e-09	-1.1968233174851733993e-08	-7.5095233289786690161e-09
-12	-12	-10	-2.3424750368100110048e-08	-5.4947990065352216797e-09	-3.6282099179766093923e-09	1.1676694546564649777e-09	3.2463552343292065644e-08	5.1925554622545073807e-09
-12	-12	-9	3.9343179363345732413e-08	-7.4743180771445316024e-09	3.183066791027995478e-09	-6.755743738321245004e-09	-5.6701661539164967213e-08	1.8973415753954369911e-08
-12	-12	-8	-5.7845089788993863983e-08	4.2293541147083390821e-08	5.5402318265920722177e-09	6.291288962359616258e-09	7.8457286943602688062e-08	-7.2877245164164514341e-08
-12	-12	-7	3.3286390689334539857e-08	-4.1541668171430021196e-08	-1.6571076389104927368e-08	6.1175556028031324548e-10	-2.8654824514679341841e-08	7.0165564476256650296e-08
-12	-12	-6	-4.8192833450133977617e-08	1.1721996796650228531e-07	3.1266939546090063903e-08	-7.8237366383479954504e-09	3.3851787808087827428e-08	-2.187924626563085764e-07
-12	-12	-5	6.2585046958349744898e-09	-7.994235769559571187e-08	-2.0880137566120117979e-08	2.0757085091166241294e-08	3.5091918888684344374e-08	1.4204465425063071085e-07
-12	-12	-4	1.5241547095209712357e-08	1.2821905591042963694e-07	2.0842165707752674684e-08	-5.491451125161885162e-08	-1.0825113840888714789e-07	-2.199136339764323295e-07
-12	-12	-3	-5.0735942482644733344e-08	-1.3620437392341128092e-07	5.3425194511936308301e-09	8.3765921096195045403e-08	1.8157369212580440675e-07	2.0975381130886486267e-07
-12	-12	-2	6.849081784507183989e-08	1.2314202127357970596e-07	-2.7714180561308514889e-08	-9.7326565431970476769e-08	-2.4465982370257996324e-07	-1.5489273504965537516e-07
-12	-12	-1	-6.2346029638342035656e-08	-7.4436679214760260891e-08	4.8465850423828536292e-08	7.0731641961844182662e-08	1.6656215057416209824e-07	4.4460447034992879188e-08
-12	-12	0	8.5020524950665520459e-08	1.1409959648896725166e-07	-8.5020524950665520459e-08	-1.1409959648896725166e-07	-2.6946440297120338398e-07	-5.5281929961115201405e-08
-12	-12	1	-6.9182247480862575842e-08	-6.7224200384860236985e-08	7.8339058979164405482e-08	6.7188130962119777935e-08	1.0988173797962196891e-07	-4.3283307288551164042e-10
-12	-12	2	8.8532509716256905105e-08	6.3014118441992699626e-08	-1.1308094996669065023e-07	-6.270620297668668967e-08	-1.4729064150260244427e-07	1.8474927918360725573e-09
-12	-12	3	-7.2351330542328001533e-08	-4.163223666289484776e-08	9.8731817559425449293e-08	4.1824861222559777313e-08	1.0552194806838981751e-07	7.704982386597274158e-10
-12	-12	4	5.4130153971387682091e-08	3.460464986280264448e-08	-7.7837394672032959825e-08	-3.6319340458417432268e-08	-7.1121722101935826586e-08	-5.1440717868443600533e-09
-12	-12	5	-2.7809233139798684361e-08	-8.3375786464345013029e-09	3.895602652662262114e-08	1.2544657798694388982e-08	2.6752304128377456212e-08	1.009698996542373076e-08
-12	-12	6	3.6847835499473051851e-08	1.3548751138716690994e-08	-5.2966993882618331492e-08	-1.8081636140277731054e-08	-3.2238316766290552665e-08	-9.0657700031220817734e-09
-12	-12	7	-1.5725403460038131793e-08	-3.4077866235058570786e-09	1.824553980803075141e-08	1.1294861145762405804e-08	4.3202337394159221793e-09	1.3520699181011226149e-08
-12	-12	8	1.9514036490765344351e-08	3.0184880350568091309e-09	-2.2768300964270997978e-08	-1.2338801473992439095e-08	-4.8813967102584796136e-09	-1.3980470158403443913e-08
-12	-12	9	-7.9175817111880570128e-09	-1.2630796415986649776e-10	1.2086243927233339922e-08	6.4873105245124843233e-09	5.558216288060376937e-09	8.481336747136824112e-09
-12	-12	10	5.940647825887874043e-09	-1.4704503579272927747e-09	-7.4071209987726164475e-09	-4.6546845042049466764e-09	-1.7597678074616910095e-09	-7.3501618345586877549e-09
-12	-12	11	-1.7483242892985269553e-09	6.8016234274072082715e-10	3.0664375822216879955e-09	2.2107027182748184095e-09	1.4379417740979937116e-09	3.1536709756533157565e-09
-12	-12	12	1.8086434320714094038e-09	-1.6159392724699745027e-09	-2.5070821721297861152e-09	-1.2122340654115482803e-09	-6.9843874005837691817e-10	-2.828173337881522783e-09
-12	-11	-12	-2.5149972456425366646e-09	-1.2473840079317027116e-08	-1.3547542868888984252e-09	-5.0834491197296728947e-09	3.7568553419573604968e-09	1.7133668439069229199e-08
-12	-11	-11	1.9018497818705123032e-08	2.5427152975300548157e-08	8.1650764436775221226e-09	7.7668464566631176998e-09	-2.8912528609537654686e-08	-3.5505558793354621622e-08
-12	-11	-10	-3.857738601789056593e-08	-1.7463661168496847488e-08	-8.0809353258209827263e-09	4.9068914413611164988e-11	5.5181892079871755318e-08	2.0902417596341242773e-08
-12	-11	-9	1.0710385317045024011e-07	3.7496536202973008801e-09	6.2770032744743403133e-09	-9.1891019640129514378e-09	-1.5047703045162452847e-07	6.2315864622860951203e-09
-12	-11	-8	-9.1432184541002259688e-08	3.1609777192008143166e-08	5.9583391073874864044e-09	1.8242908200361111147e-08	1.2895556053884559335e-07	-7.2498664563508750434e-08
-12	-11	-7	1.4634755076163084052e-07	-9.9868326772751237548e-08	-2.8274992177146188399e-08	-1.7568106189091849805e-08	-2.0644938502728030235e-07	1.98809869907575017e-07
-12	-11	-6	-8.5261175356108782185e-08	1.2433667855315468771e-07	4.0787804929857494522e-08	-1.9854205545754256102e-09	9.5744708340812164365e-08	-2.4503341942292109459e-07
-12	-11	-5	9.5881647817053223125e-08	-2.4466466382550088923e-07	-7.6529926900074660569e-08	3.2608506537731394533e-08	-6.1750115580763495483e-08	5.1545647879819310058e-07
-12	-11	-4	-1.8199143305100356675e-08	1.7198015716625395519e-07	4.949952608325928982e-08	-5.8009645867566214363e-08	-8.1526266813661976981e-08	-3.5641394536295479922e-07
-12	-11	-3	-1.1256111227776732301e-08	-2.6468163665404497751e-07	-4.9558566988262338429e-08	1.4099181157756566634e-07	2.2673919053473550344e-07	5.4175657083177232563e-07
-12	-11	-2	3.4593116755919990156e-08	1.7875492904075538277e-07	7.7203927051021262068e-09	-1.338580534642430224e-07	-2.5002086041358163176e-07	-3.363102801911957528e-07
-12	-11	-1	-9.561459060501976018e-08	-2.504165394749793701e-07	6.9417610689207198769e-08	2.3366316333778546487e-07	3.8378136967895800188e-07	4.3470367698411214243e-07
-12	-11	0	5.9630712033183164794e-08	1.726087749696070666e-07	-6.5051685854381634321e-08	-1.8830048178502588361e-07	-3.039338668601492961e-07	-2.2142534306490859729e-07
-12	-11	1	-8.9530936771538504317e-08	-2.4250893183111016291e-07	1.328535509239328866e-07	2.8770248842850802658e-07	3.8701781890479980672e-07	2.5462019074026617865e-07
-12	-11	2	6.1488666600214542687e-08	1.1625856693961844895e-07	-1.0965658787847879183e-07	-1.4248187513545260024e-07	-2.3417923373034605264e-07	-8.6098911607278713447e-08
-12	-11	3	-6.863181502958304191e-08	-1.1408217357059615567e-07	1.5250808889261190242e-07	1.4661504148090939735e-07	2.8466906582124483439e-07	8.1259791147616545056e-08
-12	-11	4	4.879850581992706919e-08	5.4629363323404827956e-08	-9.5034328013395390478e-08	-7.0626498166030031426e-08	-1.1494888457705611955e-07	-3.0334779986368099242e-08
-12	-11	5	-4.7614179133774248869e-08	-5.5104384451272126948e-08	1.2166449902048541936e-07	7.2062154465007048934e-08	1.5338786792400970413e-07	2.6286217139962411584e-08
-12	-11	6	2.3457603840568550477e-08	2.9047821846288573006e-08	-4.4147154537843800357e-08	-4.0944751017532917356e-08	-3.4021242304909872985e-08	-1.6969733172899862522e-08
-12	-11	7	-1.6742541854625461777e-08	-1.9345234465490851185e-08	4.6167356393862657541e-08	3.3664179943139817137e-08	4.3847202582426240715e-08	1.9737595112663965865e-08
-12	-11	8	1.1335064850806916587e-08	8.5421964944003589177e-09	-1.5730108401918159757e-08	-1.9660144627500729665e-08	-4.6263017764270968533e-09	-1.4219404121212962017e-08
-12	-11	9	-1.0015495009444393848e-08	-9.0715789992045333978e-09	1.7668617575350498955e-08	1.9511654962023058268e-08	8.2409836906136397071e-09	1.1752139621311027789e-08
-12	-11	10	3.8886368086102091659e-09	1.7231021069305323721e-09	-6.4623708001073160706e-09	-9.6164796921967509267e-09	-2.4422437097857960168e-09	-8.5104051330997875864e-09
-12	-11	11	-3.1002300337340836237e-09	-6.2756419224644149853e-10	6.0574347666012498891e-09	6.8171182931317328492e-09	2.6753656388913402182e-09	6.1325028106810694715e-09
-12	-11	12	1.4132237431469200486e-09	3.8498482347396423878e-11	-2.3934411588946995066e-09	-3.4661031241575575096e-09	-7.8076398583988772908e-10	-3.1387627147970312006e-09
-12	-10	-12	1.0439966527660776173e-08	-4.5321890092925779506e-08	7.7195554145481752478e-10	-1.5181022392733396271e-08	-1.1083262812206457909e-08	5.7972742086870279156e-08
-12	-10	-11	1.5472771342659670104e-08	4.9691218422572648712e-08	7.1857895887972188932e-09	1.2790236649683382603e-08	-2.3411922909080747447e-08	-6.583608977888233064e-08
-12	-10	-10	-8.8118549603238840729e-08	-1.0231168524251199679e-07	-2.2189853490805047205e-08	-6.0760125385553416061e-09	1.2793211301469165079e-07	1.288500348295697318e-07
-12	-10	-9	1.1665385651398611782e-07	5.068267012686532447e-08	2.5462391062183049956e-08	-3.8443581218254685487e-09	-1.8383002097662932445e-07	-6.3305384478236588794e-08
-12	-10	-8	-2.7822858183867491407e-07	-2.9976812033314623715e-08	-2.5832794167732247797e-08	3.4477237059705636281e-08	4.4963386546767767589e-07	1.868671725339893944e-09
-12	-10	-7	2.3304317203261560543e-07	-7.6996376880242208164e-08	-1.2369344118671478413e-08	-4.584136874966063849e-08	-3.818320890292389216e-07	1.9748145857993041184e-07
-12	-10	-6	-3.655263421533990267e-07	2.1834535440265513845e-07	1.0798487462893873526e-07	2.5873861419029650081e-08	5.5107789325856682797e-07	-4.7981381117035967385e-07
-12	-10	-5	1.8415968326373108412e-07	-2.1942997238227994961e-07	-7.296069545978249966e-08	-2.3921252226200430323e-08	-2.9606184891338956021e-07	5.7447443816987276221e-07
-12	-10	-4	-2.6494162516183978662e-07	4.5265165977435106457e-07	1.932481899499476175e-07	-5.2871879993539626797e-08	3.1170440061065028962e-07	-1.2257752793392040671e-06
-12	-10	-3	2.6091088587282584751e-07	-5.6976651189073920757e-07	-2.6841114140614056128e-07	1.8508082918237387294e-07	-1.4893973880416819459e-07	1.6621299502883771832e-06
-12	-10	-2	-1.1994990769857784237e-07	6.2945812990020958524e-07	2.0907466252319488986e-07	-3.7100483149019541174e-07	-3.2567386642450747448e-07	-1.9217246219502807704e-06
-12	-10	-1	6.3817586044560884474e-08	-5.2960273847558958117e-07	-1.3747941346685282231e-07	4.5757458891919926151e-07	6.0898310213379776822e-07	1.7794869725150822531e-06
-12	-10	0	-6.1785637341386903337e-08	4.9407339662512250472e-07	7.4142764809664284004e-08	-5.9288807595014704801e-07	-9.3052100150313076968e-07	-1.6590666252966060354e-06
-12	-10	1	7.20602518103665804e-08	-3.6212401240714937292e-07	8.2089759574639326006e-09	5.6760350898113996167e-07	9.46812781299038175e-07	1.3305469409256071416e-06
-12	-10	2	-6.4802914363768324999e-08	2.8014886328675573382e-07	-1.1824451922810758725e-07	-5.4500411896425646291e-07	-9.8004008232314800535e-07	-1.0441274151007476999e-06
-12	-10	3	5.3697239050234567187e-08	-1.664527880280867525e-07	1.6373508665649489517e-07	4.207626239138311858e-07	7.6057257838925454188e-07	7.3673092760042357404e-07
-12	-10	4	-3.8311158331215745482e-08	1.2445405184507019684e-07	-1.647754093884876307e-07	-2.9231759044602971511e-07	-5.2687199846486634628e-07	-3.5743182057986375019e-07
-12	-10	5	7.8995039718860983257e-09	-7.2610600390244429553e-08	8.942748199640171019e-08	1.4317457237744126196e-07	1.978137735253300696e-07	1.1208370381829587976e-07
-12	-10	6	-1.9123689206312433539e-08	6.2048837477841162915e-08	-9.0031746906919712086e-08	-1.402735869510780107e-07	-1.8830028992415770732e-07	-1.0969163662944766995e-07
-12	-10	7	9.9015468261476041368e-10	-2.5603705452148864767e-08	3.580963758947191449e-08	5.324135779950983758e-08	5.285403315515660868e-08	3.216701608133028835e-08
-12	-10	8	-1.5815730044244270455e-08	1.4431067356983322879e-08	-3.3561473970000082323e-08	-5.5635031028686022954e-08	-6.5675437528866508585e-08	-4.7897187750382549338e-08
-12	-10	9	2.159904335546102348e-10	-5.6959403912207411116e-09	7.6646525478529273847e-09	2.3988445026740097964e-08	8.8042678534649561615e-09	1.9059240619194675887e-08
-12	-10	10	-3.6931005450266627649e-09	6.0481225852794003458e-09	-4.4740376849021965591e-09	-2.2059052399770287997e-08	-8.9057583389341915461e-09	-1.4801305297435008244e-08
-12	-10	11	-9.3180776684209687748e-10	-1.3221397913454370199e-09	2.3378807456612549084e-09	1.1117296755624942998e-08	1.1088285685915806899e-09	8.6642990963731075686e-09
-12	-10	12	-9.0871296711347079682e-10	8.2693247688443026312e-10	-3.42260866514781364e-09	-8.5012556002344659052e-09	-3.7608868547366488302e-09	-6.2574471899776237618e-09
-12	-9	-12	4.8386702340086526909e-08	-6.784844872098549494e-08	1.5638488107340525714e-08	-1.7983157045325202891e-08	-6.0115568420591922022e-08	8.1335816504979392973e-08
-12	-9	-11	-2.1081864841040105879e-08	1.3432161482160997402e-07	6.8340671035190046481e-10	3.2244090545333625006e-08	2.2439247063574014128e-08	-1.7291419934248383884e-07
-12	-9	-10	-4.2106236533310362354e-08	-1.3684539390404041034e-07	-1.5725179310700685778e-08	-3.1454457008811903824e-08	6.4680145219603049709e-08	1.925234839927791946e-07
-12	-9	-9	1.9839849970437225467e-07	2.6682461163770691306e-07	5.5572664836417417002e-08	1.1773902805440842219e-08	-3.2010399777558043206e-07	-3.6754005165571673292e-07
-12	-9	-8	-2.5855635351809999669e-07	-1.2978560302624744416e-07	-4.1321729847982299802e-08	2.5067186588779296966e-08	4.3432147635613007404e-07	1.6647781962699445591e-07
-12	-9	-7	4.8691440690728494726e-07	8.1707986307170047966e-08	-1.5534923007886471149e-10	-7.2780784315805930026e-08	-8.3451067711667285289e-07	-4.649553954911247776e-08
-12	-9	-6	-5.9435886662148157192e-07	4.9072394183923315531e-08	-2.481055307281363162e-08	1.2962335434374151678e-07	1.2259335628521835135e-06	-2.9257981988345887976e-07
-12	-9	-5	7.5149228884265241316e-07	-2.1915709094559702679e-07	-1.0564287745218953705e-07	-1.5331662882693012528e-07	-1.6134243138084246355e-06	8.0194695015790711627e-07
-12	-9	-4	-7.2845040095249083538e-07	6.0081618084326869573e-07	2.3679442316781000697e-07	-4.1421578996625731828e-08	1.6525637507299000103e-06	-1.7092499897873982766e-06
-12	-9	-3	5.6032244966181020839e-07	-6.2755936222215811169e-07	-2.9538696391926489424e-07	8.3177885694421987328e-08	-1.3551289068894462038e-06	2.2607037918053662333e-06
-12	-9	-2	-4.306068632390801499e-07	5.9115238685534617434e-07	3.6134557797858022058e-07	-2.0918716466058139968e-07	9.5758607853086990678e-07	-2.6055720801594607607e-06
-12	-9	-1	3.2118682217474140699e-07	-4.867238206489747737e-07	-3.6670697971973525672e-07	3.3059131408907139029e-07	-5.5387904861927936164e-07	2.8653640209860552482e-06
-12	-9	0	-2.9193532643270153141e-07	3.3260739953338892874e-07	3.8924710191026870855e-07	-4.4347653271118523832e-07	1.7173018854555693788e-07	-2.8046483068146872011e-06
-12	-9	1	2.7501067745880518272e-07	-2.2490945111422185093e-07	-3.4668148525927897386e-07	5.9383046559283709948e-07	1.7999476217215137488e-07	2.6455607769648714724e-06
-12	-9	2	-2.2706589560064770524e-07	8.4273375701380351314e-08	2.1567333488261573821e-07	-6.0763753901537049799e-07	-3.9186536663211538301e-07	-2.2287286713608850272e-06
-12	-9	3	2.3584340335888868929e-07	-1.7691768364542369833e-08	-1.4993473970158333981e-07	6.4371909694937400845e-07	4.9356939433080476421e-07	1.8603902173899525725e-06
-12	-9	4	-2.551748889321298188e-07	-2.6313045686054967485e-08	1.1495674177345304979e-07	-5.9385413940740370307e-07	-5.0687199780612012085e-07	-1.4151109507248231682e-06
-12	-9	5	1.3304971939557206593e-07	8.7281637911997654939e-08	1.7533442779052006114e-08	4.4010052545746023582e-07	3.5087952355166656923e-07	1.0016568768122227857e-06
-12	-9	6	-8.2708269854908353444e-08	-9.4910680823177679668e-08	-6.8320886713500602128e-08	-2.4375262068330091965e-07	-2.6789786978006764317e-07	-5.5545029267130665941e-07
-12	-9	7	6.9197459443896911768e-08	2.0729669345333487694e-08	1.6868725340135091668e-08	1.589841517161404773e-07	1.4031257734113981429e-07	2.3994477108418089909e-07
-12	-9	8	-2.071153678756730171e-08	-9.018925716632534862e-09	-6.0593710785994502403e-09	-5.6844513147235499482e-08	-3.7884097644775334499e-08	-7.7478465865588745828e-08
-12	-9	9	3.2209149741013828804e-08	3.1733930287268023529e-08	4.0316110521575577552e-09	5.5234047318164165275e-08	4.6977144040176000847e-08	9.7545954367854865519e-08
-12	-9	10	-6.1746156426402826983e-09	-9.7208849482401636976e-09	3.0163211019426118737e-09	-1.9980857180102408121e-08	-4.6948497794199888411e-09	-2.9647833399980364408e-08
-12	-9	11	1.0505271590369987451e-08	8.9450363271231497328e-09	-2.6591754837542899454e-09	1.9050698111290920442e-08	9.2846072482410217343e-09	2.534515626609964521e-08
-12	-9	12	-6.2081684707001088016e-09	-5.7517148041512390569e-09	1.4662593004321617986e-09	-1.1806108166597496981e-08	-5.1084739953759874527e-09	-1.4606295929099360552e-08
-12	-8	-12	1.1569776481814082448e-07	-6.0143327883418061087e-08	3.6008572395067248428e-08	-1.9239676500187296861e-08	-1.3970347974818563912e-07	7.2969778883542925661e-08
-12	-8	-11	-7.7139378448392370291e-08	1.1238960683391717412e-07	-1.7139373372146289721e-08	2.8412151780473622757e-08	9.6617048032534442467e-08	-1.4327022693189046586e-07
-12	-8	-10	4.6195244751001906465e-08	-2.6190445694199179956e-07	3.1901585277123566809e-09	-7.2028469002624315315e-08	-5.7986420523372170786e-08	3.7190812353248961173e-07
-12	-8	-9	7.4724108104319382648e-08	2.6346484659886971838e-07	3.7739341397310323921e-08	4.0788901571934625949e-08	-1.3317822538114613734e-07	-3.8754326352910153189e-07
-12	-8	-8	-2.8719497618921484281e-07	-3.7376989105171720411e-07	-1.0080481790100782517e-07	-5.1614910950461308561e-08	5.3159728218483011585e-07	6.1226974752803716105e-07
-12	-8	-7	3.7374897520604903205e-07	1.8050438699794145896e-07	9.179688364902751834e-08	2.0604649575816526784e-08	-7.4562325309497258682e-07	-3.3298426294026142664e-07
-12	-8	-6	-9.1381526344094421132e-07	-2.4978231904208985993e-07	-4.0753118552951061075e-08	4.6474985273690271112e-08	1.8819680182858231884e-06	4.3759799105259266525e-07
-12	-8	-5	9.094767259925859177e-07	2.3075350289284378743e-08	1.973148777912100821e-08	-6.9809030786224229876e-08	-2.2143145228287997945e-06	5.6313608563676250878e-08
-12	-8	-4	-8.5897621847652482617e-07	1.3351491929709165666e-07	-4.1541717448531338289e-09	1.9740534564234753541e-07	2.5852369989192806188e-06	-7.9535544917597004078e-07
-12	-8	-3	7.0776261953497420777e-07	-1.9306703606578464428e-07	-1.0568214026302868907e-07	-1.4292850207115702997e-07	-2.5492314374384870288e-06	1.1534108164528906217e-06
-12	-8	-2	-5.5148649709732956032e-07	3.4401303252275819724e-07	1.191795618610633282e-07	6.961445826406543061e-08	2.8322007351397239962e-06	-2.3425360281928108e-06
