# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-height-dynamic-envelope-ratio; selection=double-triple-remainder; backend=direct; objective_value=3.15019e-06; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-2.7469116201108381188e-05	8.225259975185185814e-05	-1.2904980774022288014e-05	3.5856388839634803902e-05	4.0374096975130667508e-05	-0.00011810898859148665527
-8	-8	-7	-5.6364885444460671393e-07	6.0333091698480331027e-07	-4.9448485758134974209e-07	8.3363738676853304344e-07	1.2092956708868072573e-06	-1.6422494900038130059e-06
-8	-8	-6	-1.575748055056745307e-05	2.3577111922092604219e-05	-7.548477260322957476e-06	3.6125330396950564187e-06	3.1074610414520546266e-05	-3.6252859949050213054e-05
-8	-8	-5	4.2509129005506366675e-06	-7.1227912793419353801e-06	3.2418731820091794612e-06	1.7989535135072339113e-06	-1.1988457732095705467e-05	8.5181404253355226888e-06
-8	-8	-4	-1.2334206981881741201e-06	-3.0722192184750728673e-06	-2.9596694673280998045e-07	-2.4459723104530534586e-06	3.0587752898419679893e-06	1.1036383057856251805e-05
-8	-8	-3	4.714142516402592179e-06	3.9326972969853771334e-06	3.0832213842895472424e-06	4.7064358529345640453e-06	-2.0792970401845705124e-05	-2.303768839978650868e-05
-8	-8	-2	-4.7209883286458569049e-06	-2.464575190353346126e-07	-1.7122980893705837467e-06	-3.2761972059652889051e-06	2.573314567206576176e-05	1.4090618900002494282e-05
-8	-8	-1	-8.8885049043601225215e-06	-2.2548162250652684228e-06	1.1175745884734829456e-05	1.3327935887293792279e-06	-1.8297927842997652089e-05	7.3761810906871144058e-06
-8	-8	0	2.4198755186133369091e-07	2.9595016271411380001e-06	-2.4198755186133369091e-07	-2.9595016271411380001e-06	1.2195699067160225681e-05	-3.0991566190047617909e-06
-8	-8	1	-1.6323101530900612741e-05	1.2160462168457459054e-06	1.7065120913147519515e-05	6.096019024322610003e-07	5.9361550579752524946e-06	1.4605184954224055245e-05
-8	-8	2	6.1862260528650690441e-06	9.3198311975030368697e-07	-6.251047749003916093e-06	-3.2300603458006136764e-06	-2.5928678455538745475e-07	-9.1923089042012391106e-06
-8	-8	3	-7.2455369760274182482e-06	4.4574903358709761112e-07	1.0778401824836007813e-05	2.6231682800275025882e-06	9.4209729301562394036e-06	8.1837795029722674805e-06
-8	-8	4	3.514245347345829174e-06	-6.7148876374026619024e-07	-6.3729535693056402291e-06	-7.3218123280600452884e-07	-5.7174164439196229571e-06	-2.8073399930925416499e-06
-8	-8	5	-2.0947621451695226831e-06	4.1051262367977675767e-06	4.309765957080655195e-06	-8.0189783771688166568e-06	3.5440060990578121884e-06	-6.2621634245936780199e-06
-8	-8	6	1.0104157679446123012e-05	2.4479014742007319286e-06	1.0186549089510471487e-05	1.8990984953865951319e-05	2.705427569194212374e-05	2.8585181904088910433e-05
-8	-8	7	-7.7399032871123173773e-07	3.7710145186033944227e-07	1.4818287305300213117e-06	-2.5669315056496562484e-06	8.089581735071880845e-07	-2.5026629186163618826e-06
-8	-8	8	-6.1993704555133569058e-05	2.7543392544274765269e-05	-5.9020643355018457036e-05	1.2791587875076037106e-05	-0.00012101434791015202609	4.0334980419350804069e-05
-8	-7	-8	1.6377105728337398527e-06	-7.2588335454631865122e-07	8.5597608581978771421e-07	6.1454945183480586876e-08	-2.3866896479260541158e-06	6.7211027751077314928e-07
-8	-7	-7	2.8750313346031600858e-05	9.1140220838915708527e-06	1.1923480625963340501e-05	2.2610216019259225688e-06	-4.4780981592856599835e-05	-1.2677046840659146219e-05
-8	-7	-6	-5.096731240332610016e-06	-2.6309543934429816462e-06	-1.1015965001587004903e-06	-8.8469190905072356807e-07	8.0808375706286309111e-06	4.5400797518164862695e-06
-8	-7	-5	-1.0187909865478588019e-05	1.2850453340591410872e-05	-4.5415673132052709931e-06	4.6030575190603322303e-06	2.2658850023253121914e-05	-2.7005005871630723195e-05
-8	-7	-4	-4.3000168032448632326e-06	-1.3322153370790604617e-05	-1.048201651838961712e-06	-6.9138126481513740174e-06	1.0434386497207909355e-05	3.8743478875846113765e-05
-8	-7	-3	4.1193404158519680353e-06	9.0229094902364790561e-07	9.9247205801133382367e-07	2.4895817796627777948e-06	-1.3300675910965026804e-05	-8.2151333499428756538e-06
-8	-7	-2	-8.1389246545458705739e-07	5.894438822436134996e-06	-4.5651305693164184309e-06	-3.6611904648527164512e-06	1.9233526854425812738e-05	-1.0763588662760031981e-05
-8	-7	-1	-4.1780558901210898635e-06	-6.524242367409258571e-06	6.4860519235155701304e-06	4.4958088706074450183e-06	-1.1977916343640272005e-05	2.0723276845021955134e-05
-8	-7	0	1.0104871313692771341e-05	5.1298587706973985915e-06	-1.1548424358506024148e-05	-5.8626957379398837416e-06	2.0501256942837165433e-06	-2.7188026817653130761e-05
-8	-7	1	-1.0745114003859164913e-05	-1.9845313421988725306e-06	1.2974518586678787123e-05	5.1487459116012914648e-06	4.8607180758781871665e-06	2.0164970643618061703e-05
-8	-7	2	8.2905417936196646947e-06	-1.3361890279861387529e-06	-1.1595271992415842157e-05	-3.3914074533899295833e-06	-7.4212847989767836903e-06	-1.7214682198809309188e-05
-8	-7	3	-6.1136116857858535976e-06	2.3189224444851417072e-07	7.2336787889931719755e-06	3.5132779969705114059e-06	5.7561934555512434522e-07	8.8160279781272307161e-06
-8	-7	4	9.0967556931156538628e-06	-3.3368654254616719419e-06	-1.8259408382205137144e-05	-3.6440075693719749425e-06	-1.3760453282627682276e-05	-1.3050744097324299715e-05
-8	-7	5	-2.3982166552007782873e-06	1.0145345614767699587e-06	2.6207756960733275338e-06	7.3441370177531177882e-06	-1.6806067381858663302e-07	1.1905047123217197346e-05
-8	-7	6	1.5438349957036822974e-06	-1.1732191971171418162e-06	-6.2724239283246633361e-06	2.379620462830637729e-06	-5.2593812554405311113e-06	1.2119316104795547877e-06
-8	-7	7	-8.8003173223534645106e-06	-9.7686270799804919112e-06	-1.4857941562045643927e-06	-1.9193208001130954691e-05	-1.1543299667465666358e-05	-3.0357353235394375954e-05
-8	-7	8	2.9641732585835263035e-07	9.1573314633164112447e-08	-2.0629386009845703711e-06	8.4626194614266827439e-07	-1.5086539500031463914e-06	8.3205251750799886577e-07
-8	-6	-8	-1.3898433993075497481e-05	-3.7806201046085104373e-05	-1.0914225451569811492e-05	-1.3611636556850208776e-05	2.2084103081752857794e-05	4.8014928463722759261e-05
-8	-6	-7	6.752117097764315083e-07	8.6165799344678341509e-06	2.4177326867452233329e-06	9.6555326102019144985e-07	-2.8440128283832558881e-06	-1.0675137005980547318e-05
-8	-6	-6	2.3581849580679726115e-05	-1.287984773261536377e-06	1.0084304978338966713e-05	-1.1310755269620405504e-06	-4.1526771085911933737e-05	2.8483885579774222453e-06
-8	-6	-5	-6.0389643897697018092e-06	1.0122854563683484144e-05	-3.3393545252572255404e-06	6.1761314345778155256e-07	1.3669568453940194051e-05	-1.6937703074042911096e-05
-8	-6	-4	-1.1111766782960894563e-05	-6.2217076976757463102e-06	-1.8179934937389024225e-06	1.7998585413400995832e-06	2.4950523806530143078e-05	9.7436275833413432456e-06
-8	-6	-3	1.0827469506135733022e-05	1.6998803935000466895e-06	-1.6967202023579567658e-06	-3.5756107176471288645e-06	-2.5479811611646041618e-05	2.6182070526274666982e-06
-8	-6	-2	-1.0203532877159096029e-05	2.1514375691893360799e-06	2.6127702230831018508e-06	4.8453351963527191234e-06	3.2975820839387077294e-05	-2.3141755865815502537e-05
-8	-6	-1	6.7623889694722318249e-06	-3.797430833595716778e-06	-5.1879902001767437485e-06	-2.6603455186781410526e-07	-2.2971170554717393802e-05	3.1975653979972617797e-05
-8	-6	0	-1.6480136351496545774e-06	2.518784682396666002e-06	2.1973515135328727698e-06	-3.3583795765288881439e-06	1.4937888859729447921e-05	-2.4845660867859897271e-05
-8	-6	1	-1.9254979452037970669e-06	-3.3936592877737612325e-06	1.0353565667043522179e-06	8.9972485444731110276e-06	-9.1918441614042636516e-06	2.6834216964648576305e-05
-8	-6	2	5.9336082278752684923e-06	1.8151020010993473828e-06	-3.708568717938552183e-06	-8.0304101118476421293e-06	1.2608726757685417844e-05	-1.6830822331145536857e-05
-8	-6	3	-6.2221241672348443326e-06	-2.3237467739707989462e-07	7.068215463519772681e-06	7.7326125548549093955e-06	-2.4559001855867060506e-06	1.4845559303317606092e-05
-8	-6	4	5.4101442127607659866e-06	-1.3343417068228172981e-06	-7.6326156160191508749e-06	-6.7331571254782521415e-06	-6.2863499850719465664e-07	-1.2768419101863013232e-05
-8	-6	5	-4.7665483861316102764e-06	1.8678928811570772317e-06	2.5909090244472561178e-07	6.5279342495495531142e-06	-7.315568334876905687e-06	1.0822149709310787308e-05
-8	-6	6	4.3923944275988758827e-06	-2.9081051096841679452e-06	1.7537790777281462204e-06	-7.363115549222321836e-06	7.610304981193314064e-06	-1.1240589028801212712e-05
-8	-6	7	-9.6463842283795220547e-07	9.8896385953639129549e-07	3.739384022260247904e-06	8.987612125365958866e-07	2.1027423929796955014e-06	1.9006111645015293834e-06
-8	-6	8	4.5548529210077088545e-06	2.0676976046338726056e-05	-1.2833829958973514755e-06	2.0345079622554598439e-05	3.5923156740846950362e-06	3.5935785763254674886e-05
-8	-5	-8	7.4201594135525887974e-06	-1.9502837176756633391e-05	-4.5059801954443034881e-06	-6.326200394285365442e-06	-4.6039217913998986938e-06	2.3456712423184987004e-05
-8	-5	-7	-1.529693621253050149e-05	-1.8234957713494746997e-05	-9.0717304046817527521e-06	-4.7482317980730227755e-06	2.3962020246236109843e-05	2.4231545814046153515e-05
-8	-5	-6	9.6792336792812067817e-06	-4.0670421900245962794e-06	2.1563264624933895617e-06	3.2270190915288472295e-06	-1.4702583624452767434e-05	2.7335403437587556813e-06
-8	-5	-5	1.0749113797034011016e-05	1.5801825657332671613e-05	8.975136716651305275e-06	-6.4755076562184657994e-06	-2.6173718791905721206e-05	-1.8807413395513809459e-05
-8	-5	-4	-1.285231718523104575e-05	-1.2710061913608563405e-05	-1.3068765156215315297e-05	1.995649668383828415e-05	4.2040590815731235621e-05	4.7450297241927119903e-07
-8	-5	-3	2.6665589587635969005e-05	1.0071191308247858406e-06	-4.7028927964266784725e-06	-2.5891265647820340588e-05	-6.3270084239651450684e-05	4.0466458397501138739e-05
-8	-5	-2	-1.95563510659306871e-05	-2.2698893475259668746e-06	1.6070654789378818902e-05	3.0077500118873855327e-05	3.8048767290275707924e-05	-6.6114192907080769125e-05
-8	-5	-1	7.9609148787994138738e-06	4.3047501765252150146e-06	-1.3886932135022764194e-05	-1.6861028538821256023e-05	5.7473416447185108255e-06	4.9867141281904559999e-05
-8	-5	0	-1.0775294020597007348e-05	-1.1184737531022209754e-05	1.7240470432955212434e-05	1.7895580049635534929e-05	-1.8896272601456493858e-05	-3.6931073906852855801e-05
-8	-5	1	8.8542245018521775204e-06	1.0882949658828639577e-05	-1.0175930264497436129e-05	-1.7007485181839801546e-05	1.995414469233023613e-05	2.0261713614301050711e-06
-8	-5	2	-1.1862024574388811509e-05	-9.3318313487410055551e-06	1.5279014514305566799e-05	1.0250014042592052335e-05	-9.2505620117913256488e-06	-1.1702290288483894771e-05
-8	-5	3	7.2305463660290967567e-06	4.9325822136193155131e-06	-1.2704957615392975428e-05	-7.7769836811112990965e-06	-1.8934723829107005349e-06	1.9191310113267641034e-07
-8	-5	4	3.276487518718373436e-06	1.219649949435044982e-06	1.0264741888383282055e-06	-2.6557738319903929469e-06	7.8360677734846571289e-06	-8.8041739111790121963e-07
-8	-5	5	-3.6852975665126577548e-06	2.2026577721500306805e-07	-2.5608786994509411089e-06	1.782732795301756497e-06	-8.4573548058711936861e-06	2.1351580388457614906e-06
-8	-5	6	5.2329439465396382049e-06	-7.2858674523971465124e-07	5.8475939369569673989e-06	-1.8313051294540583814e-06	1.1850253542850322925e-05	-2.4975366015313347823e-06
-8	-5	7	-6.5128470954588267163e-06	1.5798065458388224683e-06	-4.8198595007275651451e-06	1.2940956084355894232e-06	-1.0886010609615491714e-05	2.7298472012697894308e-06
-8	-5	8	-6.6117844709753253498e-07	6.4430962494537886196e-07	-4.7384981164992041363e-07	-1.390497984809004301e-06	-9.5733457937873288614e-07	-2.2475161556024879969e-07
-8	-4	-8	2.1209240030750939487e-06	9.4697045017755360235e-06	1.2066865589603923945e-06	3.4647975805486248934e-06	-2.7242672825552902518e-06	-1.1202103292049849105e-05
-8	-4	-7	-2.516330620247676813e-05	5.1807953853110128207e-06	3.4992835220540333391e-06	5.0704965996972472796e-07	2.6758473647371144768e-05	-6.2106516746238578985e-06
-8	-4	-6	-2.8646931752809390052e-06	-3.1093296263179735089e-05	-1.8040692585429352122e-05	7.2193270456278284648e-07	1.5846719290660820088e-05	4.0976439881197786966e-05
-8	-4	-5	1.5297827868079871149e-05	3.0981737350172984817e-05	3.6965629945750114031e-05	-1.1746759392374718053e-05	-5.4049028545527883708e-05	-4.0173372246376995844e-05
-8	-4	-4	-4.5165035096552067092e-05	-2.9473570936117753452e-05	-3.177825513940658376e-05	4.6901477752995907012e-05	0.00012210832533251071794	1.2045664119239599891e-05
-8	-4	-3	3.934006261801443788e-05	1.7715877915927162801e-05	1.6045782394375289855e-05	-6.8485202005587420622e-05	-0.00012630121017387222534	4.4071261564977460027e-05
-8	-4	-2	-2.6681468973392222254e-05	-1.2675760162049470062e-05	9.762581774899440235e-06	7.4551214624468288149e-05	8.7200712343770008547e-05	-9.8399388600738696051e-05
-8	-4	-1	1.5710791475454261322e-05	2.3979911454642339802e-05	-1.8829410671068056495e-05	-7.7970108707236978935e-05	-5.036868911936187137e-05	0.00012004114319180919732
-8	-4	0	-1.3555641339513393868e-05	-3.1787885647170034567e-05	2.7111282679026787735e-05	6.3575771294340069134e-05	-3.6532977039806782911e-06	-0.00012740955561364310602
-8	-4	1	1.2901776905530923058e-05	3.4581277505477926932e-05	-1.8226258023241012396e-05	-4.8286613513323170684e-05	3.0309183151283338272e-05	8.3503765990530719166e-05
-8	-4	2	-1.5873442266677370701e-05	-2.8867884062897239324e-05	1.0598632714666000331e-05	3.9692193009363231019e-05	-4.2296503637377478755e-05	-3.6087150232862495259e-05
-8	-4	3	1.4985551791827353269e-05	2.2857715247797100839e-05	-8.8811999392820413003e-06	-3.1579048547558419583e-05	2.8119871525830222576e-05	1.8848509264047710589e-05
-8	-4	4	-1.2142100417590776998e-05	-1.342133809368360445e-05	1.1580565194473704319e-05	2.0639292699559915666e-05	-1.2703635640707851371e-05	-6.2033834878072915395e-06
-8	-4	5	1.8806436361665990376e-06	6.9934675383765364503e-07	-3.3837832570886333608e-06	-6.6066516164916276913e-06	3.0200321219565178211e-07	-4.1663664870530561516e-06
-8	-4	6	-1.7178560088357300102e-07	-6.622659699314355478e-07	5.5622556101305368852e-06	4.7727291270723437594e-06	3.4791229389089271849e-06	2.2987981248063151092e-06
-8	-4	7	-7.1023683702431746891e-07	6.6811872249371851077e-07	-3.6875466759653624619e-06	-3.3860229137508661869e-06	-2.9188687714365697007e-06	-1.1713059821505308911e-06
-8	-4	8	3.889501421410507484e-06	1.7841946787977720187e-06	3.4420908459569589522e-06	2.4041654019903563819e-06	5.6105468443889871719e-06	2.9862773797929502096e-06
-8	-3	-8	2.8511475379284129838e-06	2.3004795738620539678e-05	1.7539153368090278433e-06	5.4033244733660899158e-06	-3.5088657892317980544e-06	-2.5031042416132822656e-05
