# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-dynamic-envelope-ratio; selection=double-triple-remainder; optimized_objective=3.48426920640716126e-06; refined_objective=0; accepted_steps=20; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-3.355450849256428851e-06	-8.499928384209933744e-05	1.0089047785180456455e-05	3.3649036899195724072e-05	-6.7335969359240280271e-06	5.1350246942903606591e-05
-8	-8	-7	-1.1706266980057125721e-05	-3.2224534474995970427e-07	-8.5082745547758467587e-06	1.2044743066746770299e-06	2.3102333182666254263e-05	-1.0082616707711055755e-06
-8	-8	-6	-9.9498503439002894971e-07	1.3947902677811779623e-06	-6.1215960471168273673e-07	-5.6464994382728148436e-07	2.1428595188022822486e-06	-1.1068537652718618294e-06
-8	-8	-5	-2.416796164166914139e-06	3.7896407380605639896e-06	-1.08814517343869623e-06	1.6907362550210433474e-06	5.6079061401689770985e-06	-8.7686031889305727556e-06
-8	-8	-4	-1.9797344360868635377e-08	2.546904848161243236e-06	-2.1831918014873924178e-06	-1.2973464927807485298e-06	4.4059782916965219276e-06	-2.4991167107609894123e-06
-8	-8	-3	-2.3445492806197551569e-06	-3.8050044315420981992e-06	3.4650111814600211307e-06	1.2892359708472100977e-06	-2.9878984022407082754e-06	6.7087158951863679884e-06
-8	-8	-2	5.7839152898819532473e-06	3.0494226690273273398e-06	-6.1348960366938664514e-06	-7.6406154225836109871e-07	1.4039229872476547223e-06	-9.1414445070758645407e-06
-8	-8	-1	-7.513292113615144339e-06	-1.0105511794179537385e-06	7.1188507421736205532e-06	-1.2567103881149188785e-07	3.1555309715321949454e-06	9.0897777458355656459e-06
-8	-8	0	8.6626288823618874429e-06	-1.1840429063849792405e-06	-8.6626288823618874429e-06	1.1840429063849792405e-06	-7.4639537004775506089e-06	-8.4050304400403419403e-06
-8	-8	1	-7.6881745665256311605e-06	2.8272394356510403414e-06	9.0182846934324306177e-06	-2.2321507196516042887e-06	1.064088101525440074e-05	4.760709727995487575e-06
