# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-dynamic-envelope-ratio; selection=double-triple-remainder; optimized_objective=3.40739748407906286e-06; refined_objective=0; accepted_steps=24; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-8.1974034336091714068e-06	4.8525888160971363938e-05	1.37626293639816384e-05	3.6982734306217921805e-05	-5.5652259303724669937e-06	-8.5508622467189292519e-05
-8	-8	-7	-2.9166807953385287488e-07	4.3732708830601803256e-08	2.4714581911120525847e-09	3.6243357664539654099e-07	3.3051042439170378462e-07	-4.6419004054399808503e-07
-8	-8	-6	-4.3147756141627849287e-06	7.8134017935462977749e-06	-2.2282695360160202965e-06	7.3627995356064503391e-07	8.7240602002384064022e-06	-1.1399575662809257925e-05
-8	-8	-5	1.8861592235209661686e-06	-4.8392528037992293545e-06	1.9230251243724934614e-06	1.0588378207531665597e-06	-6.094694956629534561e-06	6.0486639728737004717e-06
-8	-8	-4	9.5931283090968408414e-08	-7.6868221564655180235e-07	-6.7616490099945930672e-07	-1.4742257800737362608e-06	1.1604672358169819025e-06	4.4858159914405761263e-06
-8	-8	-3	-7.4165090754578846725e-07	-1.4471295763867109987e-06	2.7576912132753255967e-06	1.9240715556880941755e-06	-5.3761074819454314982e-06	-1.271845278137021099e-06
-8	-8	-2	3.9240393499045942875e-06	2.4201560237519860699e-06	-4.9165785439557058506e-06	-1.3259878236166965992e-06	3.9701567762044445584e-06	-4.3766728005411587298e-06
-8	-8	-1	-7.0635790957109483075e-06	-1.3697236419619787973e-06	6.9225879850107153315e-06	4.3653228100346825035e-07	1.1279288856018627491e-06	7.4655308876680835284e-06
-8	-8	0	7.5197072290255389374e-06	-3.6351200384279112917e-07	-7.5197072290255389374e-06	3.6351200384279112917e-07	-5.540635826761225215e-06	-6.8438208216522082242e-06
-8	-8	1	-7.955666862525199583e-06	1.9553906550414326518e-06	9.1537304564615987212e-06	-1.3559657570011989742e-06	9.5845087514911981875e-06	4.7953991843218685736e-06
-8	-8	2	6.0028368325387825502e-06	-2.5194711651469581899e-06	-8.400634892826535201e-06	2.2246730159494245198e-06	-9.5911922411510089093e-06	-1.1791925967901331979e-06
-8	-8	3	-3.9150332332209548508e-06	9.30435004489437919e-07	6.8979227396360684454e-06	-8.234282502465307527e-07	7.9543720171069684564e-06	2.8535134464775246109e-07
-8	-8	4	2.6347366816260877094e-06	-3.1924353681692895372e-08	-5.1198004436546841578e-06	-3.2003731737942664267e-08	-4.9701275240571928969e-06	-1.2785617083927111928e-07
-8	-8	5	-1.5014012793462048301e-06	1.9229843618372009811e-06	3.2649841063277858915e-06	-4.3299294227361817875e-06	2.8217325231705296982e-06	-3.851112097438368782e-06
-8	-8	6	3.918351470247342908e-06	1.0909329928575717738e-06	1.8161484948037218332e-06	6.6433307742517699814e-06	7.6459999534014185256e-06	1.0312351689479122623e-05
-8	-8	7	-8.3093318640429184961e-07	-6.8844224496572510968e-07	1.7124980044394625845e-06	-3.9434035544979046955e-07	1.0075026491830523592e-06	-1.2374658290463035191e-06
-8	-8	8	-1.6825718581117121009e-05	-1.9788817201915128669e-06	9.9760761904591158941e-06	3.6894560483712409609e-05	-6.8496423906580059619e-06	3.4915678763520894201e-05
-8	-7	-8	9.6626004366865497709e-07	-2.6793424207984897534e-07	7.6177484087461451615e-07	-4.363005006155113901e-07	-1.6328130294339428111e-06	6.4969718011842138874e-07
-8	-7	-7	1.3041842347540539787e-05	4.0694973317273932666e-06	5.2886773809640094402e-06	1.0589394744125821013e-06	-2.0193640063867482272e-05	-5.7097935678153175052e-06
-8	-7	-6	-2.0415475135213184364e-06	-1.2347795604572931714e-06	-2.5327118700771197885e-07	-6.8970053383084949904e-07	3.0175464028707552591e-06	2.4510233700790486971e-06
-8	-7	-5	-1.732581770455796458e-07	3.2867949197794082873e-06	-5.1690246896888746e-07	2.0526180803863414578e-06	1.0008765398293699196e-06	-8.1325371841879310464e-06
-8	-7	-4	-3.7590937950869472721e-06	-5.0046235705714766814e-07	-1.2163520710209052012e-06	-2.4583524292903075828e-06	9.6468037144604786991e-06	5.3030414653723335002e-06
-8	-7	-3	2.7279453279260568414e-06	-2.8942392801902816535e-06	1.3511846309416723818e-06	2.7741058607836027996e-06	-1.042728501333338777e-05	1.2450577386790112104e-06
-8	-7	-2	-2.6993292572420650455e-07	5.2306625926564026701e-06	-2.9386158784640896844e-06	-3.0428103664109617761e-06	1.1364887277521140972e-05	-1.0272814088187245523e-05
-8	-7	-1	-3.8378140735095678582e-06	-6.1784913355187371886e-06	5.4335150260275427866e-06	4.2824325471479777948e-06	-7.3320925941162583343e-06	1.945090285411405718e-05
-8	-7	0	7.1576692687782182974e-06	4.0708530277239076314e-06	-8.1801934500322497247e-06	-4.6524034602558945569e-06	-9.8467561318555847016e-07	-2.0714117657101799395e-05
-8	-7	1	-8.943295535348343988e-06	-1.4853096799820106689e-06	1.1381740939644584634e-05	4.5286147365937567803e-06	8.1258222947253456163e-06	1.981782571630021211e-05
-8	-7	2	5.2461076084892311049e-06	-1.6991687814117077883e-07	-8.4860886759806562594e-06	-3.6991268652719884409e-06	-8.7168799319753699473e-06	-1.362661154101664287e-05
-8	-7	3	-4.8923200654563872688e-06	7.2835892881875524961e-07	9.0222728520894019842e-06	3.1191624281397881825e-06	8.0057831469915707835e-06	9.2203361425095196169e-06
-8	-7	4	3.406852584100842548e-06	-1.23705530569102044e-06	-9.4392740615542977445e-06	-1.6575202752759503908e-06	-9.7050244395183372275e-06	-5.3747710931149540639e-06
-8	-7	5	-1.2887691573072790734e-06	3.6607628339883215618e-07	5.0317370432534359081e-06	2.3678214336893549515e-06	4.9824012088631639233e-06	3.9006720606032285514e-06
-8	-7	6	4.9084565946987199999e-07	-1.4681361617353816831e-07	-4.2228165673924711258e-06	2.7145255902832205925e-07	-4.2721584493313871213e-06	1.2094316396832484471e-07
-8	-7	7	-3.9797446391397511454e-06	-5.0607772211774645812e-06	6.4348750764758277054e-08	-8.4031324200754870831e-06	-4.4839308368235286423e-06	-1.4186877815706875418e-05
-8	-7	8	3.3825256208149068816e-07	9.4623683575689396585e-07	-1.6763054248991135395e-06	-4.9658585939509310709e-07	-1.1285146847052336854e-06	5.1172420878618744421e-07
-8	-6	-8	-3.0805853922764361299e-06	-1.2488409236153563458e-05	-3.1637135816212443688e-06	-4.407577293228829821e-06	5.4533705784923691947e-06	1.579409220607518773e-05
-8	-6	-7	-4.8265937814245694156e-07	4.5645667733607326482e-06	9.568025959834239739e-07	6.6776974111856175943e-07	-2.6850579296584122509e-07	-5.7890218047996040506e-06
