# exact-gradient local quartic closure adversary; cutoff=12; objective=projective-height-envelope-ratio; selection=double-triple-remainder; backend=direct; objective_value=7.91035e-24; constant_ratio=3.07135e-05; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	0	-0	0	-0	0	-0
-12	-12	-11	0	-0	0	-0	0	-0
-12	-12	-10	0	-0	0	-0	0	-0
-12	-12	-9	0	-0	0	-0	0	-0
-12	-12	-8	0	-0	0	-0	0	-0
-12	-12	-7	0	-0	0	-0	0	-0
-12	-12	-6	0	-0	0	-0	0	-0
-12	-12	-5	0	-0	0	-0	0	-0
-12	-12	-4	0	-0	0	-0	0	-0
-12	-12	-3	0	-0	0	-0	0	-0
-12	-12	-2	0	-0	0	-0	0	-0
-12	-12	-1	0	-0	0	-0	0	-0
-12	-12	0	0	-0	0	-0	0	-0
-12	-12	1	0	0	0	0	0	0
-12	-12	2	0	0	0	0	0	0
-12	-12	3	0	0	0	0	0	0
-12	-12	4	0	0	0	0	0	0
-12	-12	5	0	0	0	0	0	0
-12	-12	6	0	0	0	0	0	0
-12	-12	7	0	0	0	0	0	0
-12	-12	8	0	0	0	0	0	0
-12	-12	9	0	0	0	0	0	0
-12	-12	10	0	0	0	0	0	0
-12	-12	11	0	0	0	0	0	0
-12	-12	12	0	0	0	0	0	0
-12	-11	-12	0	-0	0	-0	0	-0
-12	-11	-11	0	-0	0	-0	0	-0
-12	-11	-10	0	-0	0	-0	0	-0
-12	-11	-9	0	-0	0	-0	0	-0
-12	-11	-8	0	-0	0	-0	0	-0
-12	-11	-7	0	-0	0	-0	0	-0
-12	-11	-6	0	-0	0	-0	0	-0
-12	-11	-5	0	-0	0	-0	0	-0
-12	-11	-4	0	-0	0	-0	0	-0
-12	-11	-3	0	-0	0	-0	0	-0
-12	-11	-2	0	-0	0	-0	0	-0
-12	-11	-1	0	-0	0	-0	0	-0
-12	-11	0	0	-0	0	-0	0	-0
-12	-11	1	0	0	0	0	0	0
-12	-11	2	0	0	0	0	0	0
-12	-11	3	0	0	0	0	0	0
-12	-11	4	0	0	0	0	0	0
-12	-11	5	0	0	0	0	0	0
-12	-11	6	0	0	0	0	0	0
-12	-11	7	0	0	0	0	0	0
-12	-11	8	0	0	0	0	0	0
-12	-11	9	0	0	0	0	0	0
-12	-11	10	0	0	0	0	0	0
-12	-11	11	0	0	0	0	0	0
-12	-11	12	0	0	0	0	0	0
-12	-10	-12	0	-0	0	-0	0	-0
-12	-10	-11	0	-0	0	-0	0	-0
-12	-10	-10	0	-0	0	-0	0	-0
-12	-10	-9	0	-0	0	-0	0	-0
-12	-10	-8	0	-0	0	-0	0	-0
-12	-10	-7	0	-0	0	-0	0	-0
-12	-10	-6	0	-0	0	-0	0	-0
-12	-10	-5	0	-0	0	-0	0	-0
-12	-10	-4	0	-0	0	-0	0	-0
-12	-10	-3	0	-0	0	-0	0	-0
-12	-10	-2	0	-0	0	-0	0	-0
-12	-10	-1	0	-0	0	-0	0	-0
-12	-10	0	0	-0	0	-0	0	-0
-12	-10	1	0	0	0	0	0	0
-12	-10	2	0	0	0	0	0	0
-12	-10	3	0	0	0	0	0	0
-12	-10	4	0	0	0	0	0	0
-12	-10	5	0	0	0	0	0	0
-12	-10	6	0	0	0	0	0	0
-12	-10	7	0	0	0	0	0	0
-12	-10	8	0	0	0	0	0	0
-12	-10	9	0	0	0	0	0	0
-12	-10	10	0	0	0	0	0	0
-12	-10	11	0	0	0	0	0	0
-12	-10	12	0	0	0	0	0	0
