# completed local quartic closure restart checkpoint; cutoff=12; restart=0; seed=10822922891966284999; objective=projective-height-envelope-ratio; selection=double-triple-remainder; optimized_objective=9.03580046313583033e-05; refined_objective=0; accepted_steps=1; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-12	-12	-12	2.6456692002382741094e-09	4.1308860955078964099e-09	3.4099712300061681428e-09	2.7230278218794321715e-09	-6.0556404302444422523e-09	-6.8539139173873285814e-09
-12	-12	-11	1.0427751053441557754e-08	-1.2036648424866596974e-08	3.4599505242839726006e-09	-4.3312021943281838121e-09	-1.5150219902973306292e-08	1.7855837039121578738e-08
-12	-12	-10	5.0812459116424851696e-10	1.07114106840973015e-08	6.7972048700025171523e-09	1.1919113653343938146e-09	-8.7663953534001192995e-09	-1.4283986459318034625e-08
-12	-12	-9	-6.7883146915620161335e-09	-2.4253172298568381164e-08	-5.7347188841618506826e-09	-3.0069248644542856373e-09	1.6697378100965154652e-08	3.6346796217363559044e-08
-12	-12	-8	7.5546408181879763035e-09	5.4344325819059144333e-09	1.4206523260521421896e-08	-1.4852778212203143612e-08	-3.2641746118064098127e-08	1.4127518445445845009e-08
-12	-12	-7	-6.7860500679387790023e-08	-5.2295064752693726289e-08	-6.5732234324809892298e-09	9.1330949727537644511e-09	1.2760066990606076349e-07	7.3991948194182781323e-08
-12	-12	-6	-1.2643567942435899179e-08	2.0923866577334979686e-08	9.6132529299693236888e-09	-4.647849379854071734e-08	6.060630024933152635e-09	5.1109254442411481926e-08
-12	-12	-5	-9.7403691491124109647e-08	-2.753771236536161577e-08	-1.3358660818088942913e-08	4.0873393648197132098e-08	2.6582964554211133144e-07	-3.200563507880524051e-08
-12	-12	-4	5.7134314339061056591e-08	5.8223435684794176587e-08	-3.4364632715809920306e-08	-7.4425807430714819899e-08	-6.8309044869753408854e-08	4.860711523776194979e-08
-12	-12	-3	-1.0806959335870615153e-07	-6.0868339716188298725e-08	7.7944379349331565933e-08	8.123583942701031109e-08	1.2050085603749836887e-07	-8.1469998843288009756e-08
-12	-12	-2	1.28307926908855218e-07	7.4510687383586507475e-08	-1.17775451391501251e-07	-9.0885542274642826665e-08	-6.3194853104123801984e-08	9.8249129346337928377e-08
-12	-12	-1	-1.3708253968280994069e-07	-3.5783253243612751884e-08	1.3549366362715444772e-07	6.6280302077774332516e-08	1.9066512667865928881e-08	-3.6596458600993902053e-07
-12	-12	0	1.7561887039474195449e-07	7.245784796974545607e-09	-1.7561887039474195449e-07	-7.245784796974545607e-09	-1.2655077562135587843e-07	5.4769213287568788071e-08
-12	-12	1	-1.8054613848465965794e-07	-1.3457423722105537035e-08	1.6973685391928994244e-07	-6.5787500158373036677e-09	-1.2971141478443645365e-07	-2.4043408485531410497e-07
-12	-12	2	1.5786065978266471035e-07	-5.7588761570073535673e-08	-1.6303705219666840713e-07	8.6332630637541930504e-08	-3.105835448402230643e-08	1.7246321440481039545e-07
-12	-12	3	-1.1794895669759785161e-07	5.8968574162952568994e-08	1.2305176686895959336e-07	-9.1247677069666332893e-08	2.0411240685446976944e-08	-1.291164116268550556e-07
-12	-12	4	7.8217431854500290403e-08	-5.4546853675689539014e-08	-7.2892840498233770953e-08	1.0045705292401261261e-07	1.597377406879958813e-08	1.3773059774496923403e-07
-12	-12	5	-6.7146893232254761223e-08	5.1258450841870161648e-08	3.9712966988241990615e-08	-6.5034620318711350962e-08	-6.5841422985630654753e-08	-3.3062806744418863617e-08
-12	-12	6	2.4754287266822700597e-08	-2.9868127710337755071e-08	1.2802127934755888585e-09	7.7422943001367636801e-08	5.2069000120596575188e-08	9.5109630582059750226e-08
-12	-12	7	-1.8313147320268822364e-08	4.2390245725721675776e-08	2.3001414163071911194e-10	-4.0673010210084585266e-08	-3.0999656877665320569e-08	2.943832312520726944e-09
-12	-12	8	1.1076661476837018978e-08	-1.5172945023237708949e-08	1.8487284272538425887e-08	3.0560798269372186997e-08	4.4345918624063163163e-08	2.3081779869201722036e-08
-12	-12	9	-3.7187951759640353004e-09	1.1048141222349959653e-08	-1.1101235901163176779e-08	-1.3262757412353856227e-08	-1.9760041436169616657e-08	-2.9528215866718627879e-09
-12	-12	10	3.6259573256046786783e-09	-7.8922332316107107663e-09	9.6306496525146260874e-09	5.2020882509871962554e-09	1.590792837374316605e-08	-3.2281739767482181575e-09
-12	-12	11	-1.8664618271739004402e-10	3.0884879849340844285e-09	-2.334633571033619057e-09	-8.1618177730103170855e-10	-2.750487004092009919e-09	2.4788794992360576255e-09
-12	-12	12	2.5078048882327607077e-10	-2.1618403479034414196e-09	3.2796217400954419491e-09	1.6465494676987343005e-09	3.5304022289187181233e-09	-5.1529088020470722246e-10
-12	-11	-12	-1.5010615867865511736e-08	2.8594656054665819945e-09	-4.8535035913619180411e-09	5.4424456726121250189e-09	1.9459660826613938606e-08	-7.8483741386943629172e-09
-12	-11	-11	8.29853049660245783e-09	-1.3416850978665745541e-08	-1.9167346737126994468e-09	-7.8464193277148345561e-09	-7.136207686217255452e-09	2.2482984031713828489e-08
-12	-11	-10	-3.3904905664469068481e-08	5.2896911889437661767e-08	-2.7278090214877162718e-09	1.2569104065168567586e-08	4.3686476720999372474e-08	-7.7302308739010615652e-08
-12	-11	-9	-2.0472783679935900073e-08	-2.3304886095787812017e-08	-1.7034993139452484657e-08	5.9842013406163925007e-09	4.8117592077023124686e-08	2.3759157600297048973e-08
-12	-11	-8	2.242838731902078006e-08	1.3434251440089133479e-07	1.870035447054234563e-08	1.0119098069019640241e-08	-5.9355568375526895745e-08	-2.1542753144623898726e-07
-12	-11	-7	-2.345158550961557663e-08	-5.5690728505825237487e-08	-1.7629692473984451038e-08	2.7006594550646045123e-08	6.7906520475602269657e-08	5.3030886001828052861e-08
-12	-11	-6	1.2335673734720159395e-07	1.2286060519238103527e-07	4.0753628809190078816e-08	-1.9152850737685617382e-08	-3.2142846084458498142e-07	-2.1060765069900510204e-07
-12	-11	-5	-2.8253621866691679706e-08	-7.3966961031712881124e-08	-1.6345362236371123031e-08	8.9479379901635114783e-08	1.0376848940007649799e-07	-1.9333929307486340472e-08
-12	-11	-4	1.4870425155384598217e-07	6.5991833984165228207e-08	2.5112363630759918998e-08	-9.7882676880286130353e-08	-5.1517175464612772706e-07	7.1201859468291160615e-08
-12	-11	-3	-5.9270871203481888204e-08	-1.396489562764212692e-07	3.182920956005251733e-08	1.52642090740271492e-07	1.203763830937350003e-07	-1.0918409419771275916e-09
-12	-11	-2	1.2078053662240440119e-07	8.3988129659226541163e-08	-5.6942072877813242188e-08	-1.6611996526603355375e-07	-4.115018189064535023e-07	4.0973103100782535157e-07
-12	-11	-1	-1.8306509668239188025e-07	-1.7405479659753857901e-07	1.7529569253493363034e-07	1.8521779179430948152e-07	2.6852854230443273514e-07	5.1261849433058644758e-08
-12	-11	0	1.7000936031287936549e-07	1.3773987236628068403e-07	-1.8546475670495930541e-07	-1.5026167894503346386e-07	-1.7058765730302835808e-07	4.1111582647925096789e-07
-12	-11	1	-2.4155708340106322536e-07	-1.022466560254809995e-07	2.9069323539829098533e-07	1.0333383636867739478e-07	2.9894058856844171078e-07	-9.0287672250320532296e-08
-12	-11	2	2.3809793803076268061e-07	9.4623540330776980038e-08	-2.5506728257870260492e-07	-4.3715470544123644379e-08	2.571757400171181282e-08	3.2730615399198183615e-07
-12	-11	3	-1.8292816547410967043e-07	-1.8102230769508233029e-09	2.5164347532375314621e-07	-5.8954183275556157998e-08	1.9098008095732283674e-07	-2.2340623098484255685e-07
-12	-11	4	1.8407659227161132209e-07	7.1151197288209003278e-11	-1.7557723413277255971e-07	5.8564610814326665967e-08	6.9392382949709393986e-08	1.6126613333126295449e-07
-12	-11	5	-1.0451658992001333259e-07	2.7554997040480723582e-08	1.3231650149508755085e-07	-1.2325855774784548164e-07	4.025648748116061894e-08	-2.0503683414810634948e-07
-12	-11	6	8.6784510075120865787e-08	-2.6316459281000301269e-08	-7.3236276363984354527e-08	7.2368997700664138656e-08	3.9302513482937070578e-08	8.0043577222550309508e-08
-12	-11	7	-4.4128470132628240957e-08	2.1938175350683375875e-09	2.9855759433865017998e-08	-7.1564026926726035282e-08	-2.8732612545574816666e-08	-1.0869692653902375605e-07
-12	-11	8	3.2868508343808896551e-08	-2.0283501047706776201e-08	-7.5198372219088908832e-09	4.3264382769567852305e-08	3.8962986335588628755e-08	2.9063274736595638408e-08
-12	-11	9	-1.9191629760758599895e-08	5.1457845866907311591e-09	-4.1852650988773273659e-09	-3.3730539996903001076e-08	-3.0704163690750422471e-08	-3.4365169436182687956e-08
-12	-11	10	6.9396046709215435396e-09	-9.4434051926095075483e-09	5.8283371063981080996e-09	9.6658316051560380296e-09	1.4738696422143771902e-08	-6.9967146545976677054e-10
-12	-11	11	-7.8048262364910944892e-09	4.4732072429077720971e-09	-6.6434743569947659781e-09	-7.1930485710585129733e-09	-1.5157830251348687013e-08	-2.3131861242500341715e-09
-12	-11	12	1.0194030374323638731e-09	-3.0997250277880152251e-09	2.7926581829650929192e-09	1.2357240276651479541e-10	3.5793397051503657157e-09	-2.9864503252520430299e-09
-12	-10	-12	-1.9277975785768355447e-08	1.1029106591824358512e-08	-6.0366676078999314268e-10	7.0419016554557073259e-09	1.9781031419760015055e-08	-1.6897357971370780042e-08
-12	-10	-11	6.9726279188173919352e-08	-1.5515177344106976471e-08	1.1322517807164805225e-08	-1.4656382294936374294e-08	-8.6358229848157735855e-08	3.0249631916240675227e-08
-12	-10	-10	-1.0141656435633215701e-08	4.0388168481053824973e-08	1.5152805925706400518e-08	4.2388615700367029811e-09	-2.9828182029465419248e-09	-5.2704663747301292452e-08
-12	-10	-9	8.0160815345840537649e-08	-1.3127783716555691436e-07	-1.3295579878682340154e-08	-3.47929816151359494e-08	-9.2108220595918115958e-08	2.1369598468200472878e-07
-12	-10	-8	2.1200732653863969784e-08	9.5131691279047882673e-08	1.9021020937721669752e-08	-3.8542764321803960557e-09	-5.557737515294804352e-08	-1.3787969137834632935e-07
-12	-10	-7	-5.3038485480205133613e-08	-2.8669825179465836035e-07	-6.3612036055404357923e-08	-2.5448072665950535133e-08	1.8179745518807218407e-07	5.2783710688505792812e-07
-12	-10	-6	2.2062972492237806549e-08	5.5615812500624013112e-08	7.7841108023213744033e-10	-7.5989096093143101762e-08	-4.5423296784862506592e-08	1.5416868487323822178e-08
-12	-10	-5	-2.1909148384052799033e-07	-2.1724486300257838496e-07	-8.6616699920244738534e-08	4.770632355776906914e-08	6.9905296105775668562e-07	4.2597502409065000414e-07
