# exact-gradient local quartic closure adversary; cutoff=12; objective=projective-height-envelope-ratio; selection=double-triple-remainder; backend=direct; objective_value=8.41901e-05; constant_ratio=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	1.744818805217789041e-06	-1.0248771557178943417e-05	-5.3003784154788449306e-06	-4.8245105692346974173e-06	3.5555596102610561013e-06	1.5073282126413640834e-05
-8	-8	-7	4.5057311891571114487e-07	-1.4463014779087295415e-06	3.287489141099407012e-07	-3.1181099782210450395e-07	-8.906537520293163955e-07	2.0092714008352388486e-06
-8	-8	-6	-1.7810987021204069881e-07	5.3173758364096599893e-06	-1.1555393186049978326e-06	9.297305679866613456e-07	1.7781989184227180066e-06	-8.3294752058617613563e-06
-8	-8	-5	-2.9334494320556118461e-06	-3.3381606081828421305e-06	1.0163910606844630698e-06	-1.5428235831164042121e-07	3.0672933941938377879e-06	5.5879087463911721674e-06
-8	-8	-4	6.1671655134866786116e-06	2.4255097141864363856e-06	-2.1178289838448574184e-06	3.6333563274332372242e-07	-8.0986730592836415394e-06	-5.5776906938595207454e-06
-8	-8	-3	-8.1500324833983054811e-06	3.0236884413763365813e-07	3.5050594156191213318e-06	-1.3060311679611805372e-06	1.2386594847411155473e-05	2.6764328635294580618e-06
-8	-8	-2	1.0076696232990817114e-05	-4.9218417050845118883e-06	-5.5904659278193949505e-06	4.1665910047712176006e-06	-1.7944921220685688653e-05	3.0210028012531792685e-06
-8	-8	-1	-7.9083967282904555897e-06	7.6628907109795032994e-06	5.8490022464969086216e-06	-6.6439488644873110189e-06	1.6475155854348382521e-05	-8.1515347719375399381e-06
-8	-8	0	4.8271618050764366408e-06	-8.9604018595996322782e-06	-4.8271618050764366408e-06	8.9604018595996322782e-06	-1.2933144728668019669e-05	1.203274062642005528e-05
-8	-8	1	-2.5591693681647828975e-06	8.4671900558693480695e-06	3.7773465461400394243e-06	-1.0171259604408223218e-05	9.7454174238020505207e-06	-1.3632556388311006267e-05
-8	-8	2	3.8462671187646258179e-07	-7.2754376514964902016e-06	-1.5921215023111588644e-06	1.0650015114083658137e-05	-4.8299791617387851305e-06	1.3498309850348671742e-05
-8	-8	3	2.8553260953867010416e-07	4.2945670148256160587e-06	-3.6240934421592007033e-08	-7.4090421729351588974e-06	6.6477780031220831196e-07	-8.3052670882921153658e-06
-8	-8	4	-7.3074308494490512389e-07	-2.9087737145117528939e-06	1.144525300790390679e-06	5.3919787688016195502e-06	8.275644316909712161e-07	4.9664101085797333126e-06
-8	-8	5	8.7745537623067500246e-07	1.3459127998996674175e-06	-1.1007941140699879437e-06	-3.2264541864716855238e-06	-3.5734198054290066363e-07	-3.0088662185152287159e-06
-8	-8	6	1.9223785052634526336e-08	1.3214857687153435281e-07	2.3849589057329388149e-06	3.4204087037652525719e-06	3.2055769210474307643e-06	4.7367430408490490565e-06
-8	-8	7	5.3851262080137601587e-07	8.4799410536838651376e-08	-4.3555002133706223197e-07	-7.8171185637881037832e-07	1.1767154224493006142e-07	-7.9647136667653910138e-07
-8	-8	8	4.0852515788201931672e-05	-2.9321528765928421404e-05	2.1934095308923500656e-05	-1.8280466112425930127e-05	6.2786611097125435716e-05	-4.7601994878354348143e-05
-8	-7	-8	-1.5662957486511817485e-06	1.2333050408694939624e-07	-1.0077875343431194958e-06	7.6618221375779593825e-07	2.448109841201411228e-06	-7.9373994112502085544e-07
-8	-7	-7	4.0249842794902616552e-06	-2.117857748588391566e-06	1.7366577474474273346e-06	-1.7608756956233090762e-06	-6.336639781150583633e-06	4.1812845511528992559e-06
