# energy-sphere spectral state blend; left=proof/l4/states/local-projective-height-envelope/K8-eight-step/K8.tsv; right=proof/l4/states/projective-coherent-fan/perturbed-K16/fan-open-0p03.tsv; right_weight=0.0299999999999999989; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-1.0236874817324349883e-05	4.0635106925536743159e-05	1.8404301085314898618e-05	1.8871309967672588527e-05	-8.1674262679905470407e-06	-5.9506416893209328298e-05
-8	-8	-7	8.6672369050286340969e-07	-1.868552650900076444e-06	5.8757623418770405805e-07	-4.8010389085796813625e-07	-1.6620570567892197816e-06	2.6841789048663366027e-06
-8	-8	-6	7.9413001721673659623e-06	-1.2303360102183683459e-05	3.3818124232563030911e-06	-3.6234911714517095045e-06	-1.5097483460564890942e-05	2.1235801698180523952e-05
-8	-8	-5	-3.0019333122146387162e-06	-2.638607705894231662e-06	9.0414614489812401066e-07	-1.7336519766136178091e-07	3.3564594677064233595e-06	4.4991566456889497204e-06
-8	-8	-4	5.438373063885239751e-06	1.5749416516913791552e-06	-1.9558585331987778978e-06	2.8035733285239875573e-07	-6.9650290613729245534e-06	-3.7105979690875559277e-06
-8	-8	-3	-7.5273283206964187821e-06	1.2851107667102989303e-07	3.299318633896528097e-06	-1.2377899045939520401e-06	1.1274692498133041262e-05	2.9580768744611258666e-06
-8	-8	-2	9.5540275970694359228e-06	-4.4384480202086189809e-06	-5.3434190128668699184e-06	3.9081152938587713447e-06	-1.6842434336810267406e-05	2.1213309053993909682e-06
-8	-8	-1	-7.6817843007601028984e-06	7.1640137615314900758e-06	5.7205042033692536486e-06	-6.3097177383893188849e-06	1.5690240779126804162e-05	-6.8343681851373686798e-06
-8	-8	0	4.5849916544211351941e-06	-8.5911278870072546718e-06	-4.5849916544211351941e-06	8.5911278870072546718e-06	-1.2568332807776716201e-05	1.0810942733736927154e-05
-8	-8	1	-2.5134046996507446482e-06	8.1638353426528813121e-06	3.7643711518625531031e-06	-9.72957319950811798e-06	1.0007731617694465946e-05	-1.2525902854841895038e-05
-8	-8	2	2.8679970362797189201e-07	-6.9852333973803961133e-06	-1.5400064108967199373e-06	1.0159182744198109305e-05	-5.012826829074992393e-06	1.2695797387270856156e-05
-8	-8	3	3.3565333892772718531e-07	4.0758442005244703495e-06	5.472785536228028349e-09	-7.0202715956817631859e-06	9.0966966523721392735e-07	-7.8518063870861147952e-06
-8	-8	4	-7.7593970768075275084e-07	-2.9710068780570241411e-06	1.10927863084806029e-06	4.6288735120810063181e-06	6.6667784633461529e-07	3.315733268047964354e-06
