# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-envelope-ratio; selection=double-triple-remainder; optimized_objective=8.91158061325353075e-05; refined_objective=0; accepted_steps=4; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-9.732471978125145927e-06	4.0522617092435523516e-05	1.8685045825495580699e-05	1.9003945953105666093e-05	-8.9525738473704347716e-06	-5.9526563045541192997e-05
-8	-8	-7	8.7992288526213376474e-07	-1.8491763068425331237e-06	5.9044391569960987936e-07	-4.6283201373993099685e-07	-1.6804192010991355933e-06	2.6422952235228160773e-06
-8	-8	-6	7.9375395779911900318e-06	-1.2391527290891416165e-05	3.3940645431285529811e-06	-3.6501935974546849261e-06	-1.5108805494826324582e-05	2.1388961184461469816e-05
-8	-8	-5	-2.9651191241263338159e-06	-2.5703732722187399234e-06	8.9392211753540264711e-07	-1.5400625713183812586e-07	3.3139152105454897006e-06	4.3590072469609253446e-06
-8	-8	-4	5.3846631399277946749e-06	1.5276783755335909596e-06	-1.9399701782104750717e-06	2.6097021617638765262e-07	-6.8893859234346383594e-06	-3.5772971834199573303e-06
-8	-8	-3	-7.4263229367082581717e-06	1.6642444469453456921e-07	3.270900203944240449e-06	-1.2072124243646290757e-06	1.1081127287370713363e-05	2.7754346124535856329e-06
-8	-8	-2	9.4743420601686973803e-06	-4.4310999362524247115e-06	-5.3067758418482430244e-06	3.8706203276159305838e-06	-1.6670264873281814036e-05	2.2419184345459760876e-06
-8	-8	-1	-7.6019722137553798709e-06	7.1128411125019965722e-06	5.6749285797224887051e-06	-6.2514293470579538112e-06	1.5416349072263129327e-05	-6.8912941235523437821e-06
-8	-8	0	4.5703487688688092946e-06	-8.5402899449755127509e-06	-4.5703487688688092946e-06	8.5402899449755127509e-06	-1.2412450248544830336e-05	1.0841060175998668268e-05
-8	-8	1	-2.5152990178703538935e-06	8.0824560161083446405e-06	3.7326103981144357175e-06	-9.6333142489165097313e-06	9.7384910419526528981e-06	-1.2406865862465319032e-05
-8	-8	2	3.2339746079214107807e-07	-6.9230531884871335851e-06	-1.5296784231964041966e-06	1.0061220783216811656e-05	-4.8251238496170526857e-06	1.2552670378918712283e-05
-8	-8	3	2.8014255007127983892e-07	4.0568456630606670451e-06	1.6732404392816135311e-08	-6.8968309254837557938e-06	7.9166654523758930874e-07	-7.5732940331282372278e-06
-8	-8	4	-7.3026454666278840751e-07	-2.9807797918915804978e-06	1.0782553739777912423e-06	4.5454919852790066985e-06	6.9598165463000566952e-07	3.1294243867748524013e-06
-8	-8	5	1.1472135260719460714e-06	1.4746685542405617028e-06	-1.2079539043612129527e-06	-2.5541473898825326169e-06	-9.7184605262826967775e-08	-1.7271661370271538014e-06
