# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-envelope-ratio; selection=double-triple-remainder; optimized_objective=8.7456554363802636e-05; refined_objective=0; accepted_steps=4; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-3.8716163637170088147e-06	1.4568361762101190079e-05	6.1782023697718003327e-06	6.6990795795438303951e-06	-2.3065860060547915179e-06	-2.1267441341645021321e-05
-8	-8	-7	-6.7736034689941694711e-06	7.8051911520839286002e-06	-4.9395315181532232587e-06	3.7907732302833400053e-06	1.3386439985311307429e-05	-1.3252530722705448867e-05
-8	-8	-6	-1.6906834294108340336e-05	4.1599920375720772015e-05	-1.0508685317912353443e-05	1.0534587126788955285e-05	3.6554026149360925038e-05	-6.9512676670012971993e-05
-8	-8	-5	-1.8143206346624244789e-06	-4.9064893460983028856e-06	1.2602905695913664454e-06	-3.7898373148458141243e-07	8.8644810411369279007e-07	8.4567569241326149616e-06
-8	-8	-4	7.4100154782903220483e-06	1.1065303662029942307e-05	-2.0804623565143536163e-06	1.6905941964904258036e-06	-1.0659106243551936017e-05	-2.5511795717040737069e-05
-8	-8	-3	-5.5595270609025231306e-06	6.430131228835221551e-07	1.7038983888683948866e-06	-1.2892818968487247469e-06	1.0281676458757675317e-05	1.7233833972405403154e-06
-8	-8	-2	4.3916278467704137543e-06	-4.0408603962476373296e-06	-2.4661969581102586733e-06	2.8224611399354515787e-06	-7.701723554640622018e-06	4.8735970252487430037e-06
-8	-8	-1	-3.3246840232956473987e-06	6.204525751612836362e-06	2.0217053592316928551e-06	-4.898220762461652962e-06	1.0423829312511638043e-05	-1.0450439913209470588e-05
-8	-8	0	3.7519374858799845944e-06	-5.2407599727329654915e-06	-3.7519374858799845944e-06	5.2407599727329654915e-06	-6.8454607684828967933e-06	8.0952678762847828119e-06
-8	-8	1	2.7307459893756186261e-08	4.9694941265296917331e-06	-3.8281685722975509631e-08	-6.2673770846567815183e-06	-8.7793806633754586959e-08	-1.0383063665016716587e-05
-8	-8	2	6.65070703146825877e-07	-3.7213704929422963752e-06	-5.6038366551950807012e-07	4.8594790947958615602e-06	4.1874815050927106872e-07	4.5524344074142615869e-06
-8	-8	3	4.6811704080352299064e-08	2.010230308831457362e-06	-1.257502465015135141e-08	-4.3420353027556682081e-06	9.1297811813869202567e-08	-6.2181466504645614091e-06
-8	-8	4	6.5419798019297919829e-08	8.0584397758558462975e-07	-4.400581743537242722e-07	1.1200001472125275924e-05	-7.4927675266885270475e-07	2.4011690899421723436e-05
-8	-8	5	-4.9894258932599324367e-07	5.5980688996289702142e-07	-1.1831998546037593477e-07	-5.8416321297312656511e-06	-9.8762011965819066433e-07	-8.4509203836293892993e-06
-8	-8	6	1.5519521791585157654e-05	1.1700096752762524554e-05	2.3270114392712058131e-05	2.810682500940417825e-05	5.1719514912396287714e-05	5.3075895682888937072e-05
-8	-8	7	1.3073845009588341658e-05	3.2546190746320713233e-06	1.183769163314756225e-05	5.595918546978907067e-08	2.8470327591698173475e-05	3.7835180115449836175e-06
-8	-8	8	-5.3085879127105373035e-05	3.8230562107999101846e-05	-2.7344914930550143103e-05	2.4576100289433431569e-05	-8.043079405765551275e-05	6.2806662397432540192e-05
-8	-7	-8	9.0710162830851775697e-06	3.2047220002588233793e-06	5.5892604912823134775e-06	4.3690776378353340481e-06	-1.3961619212957202392e-05	-7.0276649333647410949e-06
-8	-7	-7	3.4124407488848572671e-05	-1.4690064396877744443e-06	1.6826876005287688687e-05	-1.5560878905090819175e-07	-5.5826198849686056486e-05	1.8344732915512216873e-06
-8	-7	-6	-7.9971777822627389677e-06	5.9119919840963110723e-06	-2.9396083906059816967e-06	2.3415380343020863106e-06	1.4092446832057297976e-05	-1.0614450352147515106e-05
-8	-7	-5	-4.2642259349624679766e-08	-6.6963135427376351978e-06	4.5489187721479304838e-07	-1.6745336737682435138e-06	-5.6862101314131075893e-07	1.3058448811655757151e-05
-8	-7	-4	7.6635796300296688102e-06	4.5067213422751384324e-06	8.1636772749877922608e-07	1.2324747398505828717e-06	-1.6755802783182199519e-05	-1.1170273479288797208e-05
-8	-7	-3	-8.4529394130804805458e-06	-4.6943213216325089805e-06	2.988608020001929054e-06	5.6955365322890147337e-07	1.5567753054876779482e-05	1.1189231666819255185e-05
-8	-7	-2	8.0270277119596474745e-06	1.0985553979979084046e-06	-2.5496871982877377901e-06	9.2043099862482508775e-07	-2.3184205653831509327e-05	-7.6157300871785216904e-06
-8	-7	-1	-9.4413699549341731517e-06	2.1303601983476471003e-06	7.0534314877029116324e-06	-1.4674257525985352396e-06	2.6156939225552995317e-05	-6.770901318591430337e-06
-8	-7	0	7.141462538649482411e-06	-2.7952292827699195568e-06	-8.1616714727422651286e-06	3.1945477517370509826e-06	-2.4886473948481232051e-05	8.0182671516021166672e-06
-8	-7	1	-4.9730764520125830984e-06	4.2967668189807767024e-06	7.9241354910153382495e-06	-7.3921877433715775112e-06	1.5684336821006697877e-05	-1.7371179651754827265e-05
-8	-7	2	2.8591205542032278669e-06	-1.1527296827103977291e-06	-6.2541195157619973335e-06	3.9093082491429009749e-06	-1.04529360883540792e-05	9.0716601411585629194e-06
-8	-7	3	-1.8463135883142534182e-06	1.5531867214438321523e-06	6.4157548674214017698e-06	-6.0306073779983251961e-06	1.0046591788478594732e-05	-9.9295859581458733337e-06
-8	-7	4	9.2006474854515655846e-07	-1.3219645989918682922e-06	9.5984648631350210767e-07	4.6335058834109279081e-06	3.5198608481389415936e-06	5.4647060979853872548e-06
-8	-7	5	-2.6976474871601888679e-07	-4.4455169481283833074e-07	1.8616613157007747768e-06	-4.3222429038740246899e-06	2.1747022440354544686e-06	-6.762422777124176488e-06
