# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-envelope-ratio; selection=double-triple-remainder; optimized_objective=8.06996550914875605e-05; refined_objective=0; accepted_steps=0; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	8.1943459145128690789e-06	-3.2704192751819622818e-05	-1.5037540043273514678e-05	-1.5314996034275432798e-05	6.8431941287606455995e-06	4.8019188786095055616e-05
-8	-8	-7	3.3923914163767260624e-06	-3.5712338774810577167e-06	2.1954165380673148094e-06	-1.1625181540523380437e-06	-6.3860662336503327879e-06	5.4100023217524525397e-06
-8	-8	-6	1.7302144667560413348e-05	-3.6324001866364864148e-05	9.3345402472563555164e-06	-1.0380880528902570873e-05	-3.5515579886422356227e-05	6.2273176527023242177e-05
-8	-8	-5	-2.041683673784256409e-07	-6.2924529377349062805e-06	1.0914476717009780683e-06	-9.1657775790974994894e-07	-1.4196468869160838838e-06	1.1534449113031449289e-05
-8	-8	-4	3.7982203266334609463e-06	8.332710890538166804e-06	-1.6457180760818590682e-06	7.2190757619355208943e-07	-4.3050045011032037561e-06	-1.810923693346343821e-05
-8	-8	-3	-2.6709248285377130133e-06	-1.2328775414722880347e-06	1.6978226014402858243e-06	-8.0253403947680568616e-08	2.5949392722598058373e-06	3.501682521119916452e-06
-8	-8	-2	3.8814547164841518295e-06	-1.2036939955243078227e-06	-2.9532683029795039858e-06	1.231093989125908548e-06	-3.7127456540185905276e-06	-1.0959997440640354971e-07
-8	-8	-1	-4.0905534261379881172e-06	1.7796355544264009237e-06	3.3752825965712623921e-06	-1.8242365185167906337e-06	5.7221666365338083417e-06	3.5680771272311736275e-07
-8	-8	0	3.6718663223210881301e-06	-3.8963065180041203938e-06	-3.6718663223210881301e-06	3.8963065180041203938e-06	-4.9406536485230220643e-06	3.0366698096819849134e-06
-8	-8	1	-2.7536456682394094683e-06	3.3333691258431965752e-06	3.231076671963275983e-06	-3.6478144591509426216e-06	3.8194480297909321181e-06	-2.5155626664619675249e-06
-8	-8	2	1.6027926136829130313e-06	-3.6546417998398079963e-06	-1.9142552243370071223e-06	4.146851135601263307e-06	-1.245850442616376364e-06	1.96883734304582209e-06
-8	-8	3	-9.8856387395676656816e-07	2.0282071848904430982e-06	1.5037305679137883795e-06	-2.959667407664218934e-06	1.3737778505520581635e-06	-2.4838939273967351386e-06
-8	-8	4	2.7438090096439066729e-07	3.8009041366144249645e-07	-5.2819566520401882013e-07	7.5282286714172150878e-06	-5.0762952847925641156e-07	1.5816638170157315698e-05
-8	-8	5	-9.5227263548122982388e-07	-1.0071813754674259814e-06	-1.3981540335669386611e-06	-5.4322823036370140184e-06	-3.760682670477069576e-06	-1.0303141886567104e-05
-8	-8	6	-1.5651232871948364859e-05	-1.2635257257081343354e-05	-2.1479168867762413447e-05	-2.1926579170820521543e-05	-4.9507202319614368815e-05	-4.6082448570535822121e-05
-8	-8	7	-5.3045829691863044208e-06	-9.5189361219540939817e-07	-5.1278468831287610561e-06	-2.0228906053988291176e-06	-1.1922776974074360303e-05	-3.3997533915362727105e-06
-8	-8	8	0.00012711726907351422527	-9.1292475256648508426e-05	6.7230357444892185187e-05	-5.6430836607762958673e-05	0.00019434762651840639691	-0.00014772331186441146032
-8	-7	-8	-4.6838513843110194813e-06	-2.3081087917544719344e-06	-2.8525243619650508611e-06	-1.7269233275809942515e-06	7.1798102010304393024e-06	3.8191667033878417986e-06
-8	-7	-7	-4.1313207169435139812e-05	-1.5260985897176276515e-06	-2.0979287991012754823e-05	-2.432819617380170975e-06	6.8194381898938625022e-05	4.1769322913431738238e-06
-8	-7	-6	-8.2704957031385339646e-06	3.7863027916621715298e-06	-3.238638231014556774e-06	1.3327753739788661059e-06	1.4805738873701695067e-05	-6.6033083251915721437e-06
-8	-7	-5	1.1131137265412845558e-06	-3.1216962611861841916e-06	6.8086702436858854342e-07	-4.6286806599629670627e-07	-2.7341957965820793559e-06	5.6427293102927100318e-06
-8	-7	-4	1.0844995703556484669e-06	3.2588880365570965903e-06	-7.1924673213707241918e-07	5.8307895064350407904e-08	-9.1031735947142017374e-07	-6.6198148894768065283e-06
-8	-7	-3	-4.8838953672445745963e-06	-3.2034197329125023554e-06	2.0358911740864882297e-06	7.3681693669688259862e-07	8.2733082397837273757e-06	6.8232131021406138685e-06
-8	-7	-2	5.1422806127719640793e-06	1.5647206866166019734e-06	-2.1005130524457908597e-06	-1.7628699983741305369e-07	-1.3217326767527589579e-05	-5.6418782470354624176e-06
-8	-7	-1	-7.4848342526867362508e-06	1.8702154674443913839e-06	6.1254583120614010188e-06	-1.455777584392491034e-06	1.7000465837064079487e-05	-4.771280648807693833e-06
-8	-7	0	6.6480945833818063181e-06	-1.866975783182012354e-06	-7.5978223810077784073e-06	2.1336866093508711408e-06	-1.7085790389448480794e-05	5.012506456816098025e-06
-8	-7	1	-5.4044521605962491341e-06	3.3032913322463181297e-06	7.6987432005888205489e-06	-5.4110079412481394202e-06	1.0655585119351752464e-05	-1.145072493076642921e-05
-8	-7	2	3.085449760100640445e-06	-2.0720306223640942924e-06	-5.2808657386555413863e-06	4.2123669802073153071e-06	-6.1412310448918334957e-06	6.4551619412692255582e-06
-8	-7	3	-2.2038239655726764148e-06	1.964295673610035518e-06	4.4541425005725831114e-06	-5.001983004860001338e-06	4.5161352598088893066e-06	-6.4331718817132420228e-06
-8	-7	4	2.0123151807972458277e-06	-1.5239915020205105048e-06	-2.1997896398518850635e-06	2.9136843334087971289e-06	1.7499849185369260889e-07	2.0509645794243739658e-06
-8	-7	5	-8.7008626665060091003e-07	4.6918381343718328177e-07	1.471574711800496617e-06	-2.8342933284577197227e-06	6.6806656987973399839e-07	-3.2173165583413142763e-06
-8	-7	6	8.3601880526941973739e-07	4.4689557282390058351e-06	-6.8210556075079491551e-07	7.9032621101860475922e-06	3.1890191948329884451e-07	1.5179080099535729689e-05
-8	-7	7	1.4752306979127415983e-05	2.5354069350564463654e-05	1.3055616099614990861e-05	3.1548495019905949414e-05	2.9915395504332037457e-05	6.052457427769390594e-05
-8	-7	8	5.6949860362410887219e-06	3.9412544675102339752e-06	5.2992211209466029146e-06	4.3998735508326342186e-06	1.0331804517069366166e-05	7.7911438244887892341e-06
-8	-6	-8	1.8963618114481847678e-05	3.7485946925230905803e-05	1.1435309604188091418e-05	2.0554408204462860086e-05	-2.7540100317622915818e-05	-5.2901753078578054256e-05
-8	-6	-7	7.6234818006336475476e-06	5.9677134450438119482e-06	4.2291653297081813849e-06	1.3629960469200899287e-06	-1.2337549483331181483e-05	-7.9885262631244332915e-06
-8	-6	-6	-3.5092079933171019116e-06	1.139993309950473741e-06	-1.0140165265254877737e-06	1.8166118933320315655e-06	5.6929605176149571303e-06	-3.3366029732659967652e-06
-8	-6	-5	2.8699955572755299978e-06	-5.341292887225433726e-06	6.7063826458208761022e-08	-2.2391211162247485727e-06	-4.672469483390698282e-06	1.1233013959030392588e-05
-8	-6	-4	3.2401543097549037942e-06	7.8157292763902707294e-06	1.7836820097506897554e-06	4.2123001480024034563e-06	-9.1558316341358419039e-06	-2.1949908774784147067e-05
-8	-6	-3	-4.9195384547495377825e-06	-6.5660362879313528825e-06	-1.2524749198451568166e-06	-2.2264151665267068332e-06	1.5623719052355746308e-05	2.196226043420368689e-05
-8	-6	-2	8.2694163185754268359e-06	1.2696061254659347952e-06	3.2081125513385723448e-06	2.6952627220670599521e-06	-4.2702002928317424801e-05	-1.3164212668064919037e-05
-8	-6	-1	-8.9477100555961422684e-06	3.3012739687334602961e-06	4.0241679978329139686e-06	-1.487257417589965163e-06	4.7436672457771661112e-05	-1.7486647244327891814e-05
-8	-6	0	3.7261867479036862115e-06	-2.6841859773468721888e-06	-4.9682489972049149486e-06	3.578914636462496393e-06	-4.5366810368481912011e-05	3.3009807611703473633e-05
-8	-6	1	-3.0167940670105779984e-06	3.2352698161500647567e-07	7.4759175167755733096e-06	-6.8573114901666989859e-06	2.0721152564568814177e-05	-3.8555653088080142957e-05
-8	-6	2	1.4044813905361090696e-06	2.8081055322928040519e-06	-8.9369353145462980564e-06	5.9666575166276230674e-06	-2.1192880381494457891e-05	2.913239467905408541e-05
-8	-6	3	-1.8458746078587813808e-06	-1.7781895079222578654e-06	7.0766359015155718402e-06	-4.2517347847699439085e-06	9.2309395154077272295e-06	-1.3245308257332575458e-05
-8	-6	4	2.4210828214012109601e-06	1.5764390137513157025e-06	-4.8902583071944076765e-06	5.012914131238400404e-06	-2.493221817989189171e-06	1.0672249224360232011e-05
-8	-6	5	-1.5921124724132016251e-06	-8.1233327472980288608e-07	2.8001353556593568272e-06	-2.570435323607364877e-06	8.127824709301056136e-07	-4.3842556278965223008e-06
-8	-6	6	1.3364227606329419866e-06	-2.5797820206456151349e-07	-7.2362487212192378369e-07	9.6647196506450074397e-07	1.0582721420553320573e-06	6.2250102897841876128e-07
-8	-6	7	1.3475928427592730263e-06	-6.0210950167253985557e-06	3.3233134237388542407e-06	-6.8861421857331417946e-06	4.3886604692153298297e-06	-1.2783659035457434899e-05
-8	-6	8	-5.0770032144924063635e-06	-3.7517697719892075447e-05	-1.1530837731488492332e-06	-3.6152982957576704952e-05	-5.9418160443540434472e-06	-6.4632434938074597385e-05
-8	-5	-8	7.3447475714003734598e-07	-7.5155717318179167559e-06	-1.467627976407297047e-06	-2.8386311600695182975e-06	1.8279272811452333485e-07	9.2897162068613654801e-06
-8	-5	-7	3.0231627529596304173e-06	4.1258811321970024141e-06	3.8758860800527285764e-06	-4.5177783127913770234e-07	-6.2235332034200979104e-06	-4.3925942715971905833e-06
-8	-5	-6	-7.4851741275028341069e-06	7.2832647872068479453e-08	-4.247387682693077278e-06	3.7991440598298657313e-06	1.3519721905581342925e-05	-3.263063580354312784e-06
-8	-5	-5	5.8045490829056722227e-06	-8.4881147491599597617e-06	3.4724202943039062319e-06	-1.257846652026480752e-05	-1.275969882695298128e-05	2.6159450118920744832e-05
-8	-5	-4	-5.3435396588231652859e-07	9.8726251666354984893e-06	-1.8020665542881141105e-06	1.5746049449084310916e-05	3.3212911246247755894e-06	-3.9427812144626384777e-05
-8	-5	-3	-1.1544384456265318993e-05	-1.6585175974910114377e-05	-9.4686307328873715742e-06	-1.3622261727289845966e-05	4.6566076438186469939e-05	6.6930905478576718901e-05
-8	-5	-2	1.4585784569088368831e-05	9.9857967669718666355e-06	8.3005008588064574436e-06	7.2937434686198026641e-06	-7.9094390423369617237e-05	-5.817754573943697405e-05
-8	-5	-1	-8.0472802575285924708e-06	1.9900063270527296874e-06	-6.3209268734024815566e-06	-8.6332760127521540453e-06	9.598287642724114162e-05	2.7246329447338932727e-05
-8	-5	0	1.8451994511614012275e-06	-4.5907435409854998738e-06	-2.9523191218582420487e-06	7.3451896655768003064e-06	-8.9331857346616717289e-05	-1.1840107064983470625e-06
-8	-5	1	8.198519396994057533e-06	7.7809808733593385744e-07	3.2333342299273519964e-06	-7.4716790670445085674e-06	8.1754826325589215587e-05	-3.1133610636535071978e-05
-8	-5	2	-8.7146750802683637478e-06	3.6602989899342192779e-06	-6.5060964305909268435e-06	1.6028724670861803798e-05	-5.1123941397550772524e-05	5.4713007636891386606e-05
-8	-5	3	7.8523429578163822675e-06	-9.7071283197102944197e-06	2.816177763906381734e-06	-1.3259838406251323422e-05	2.5633210827354323258e-05	-4.7985406196312990258e-05
-8	-5	4	-1.3520494393920375696e-06	5.3596534002656295902e-06	-4.3905932402481797903e-06	6.1275780285705748612e-06	-8.1923404290942996653e-06	1.8378779336244477122e-05
-8	-5	5	-1.4179196781837632987e-07	-4.8229292108135292952e-06	2.376943022567098357e-06	-3.6720221213099609531e-06	2.1500758740576963986e-06	-1.1388708858611608249e-05
-8	-5	6	1.3594803507497926256e-08	1.7752483253581276775e-06	-9.5206815879784602507e-07	1.4878960464230832487e-06	-7.7526372765487445917e-07	3.6069111391634062067e-06
-8	-5	7	-3.8051064778628070196e-08	-7.7551959014280598994e-07	6.317514007019597337e-07	-5.9630612696188277977e-07	4.0776406932582486486e-07	-1.3122410508502660194e-06
-8	-5	8	-2.9897223432809999929e-06	3.8300218281158662198e-06	-3.3272168482236419094e-06	3.3831281266319107373e-06	-5.0692328734207761333e-06	5.9444769072608105365e-06
-8	-4	-8	5.3234667957143357898e-06	-9.1030616728567230217e-06	-1.4908179782301835084e-06	-5.6153822346156432246e-06	-4.5780578065992435062e-06	1.1910752790164544211e-05
