# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-height-outer-power-ratio; selection=double-triple-remainder; backend=direct; objective_value=5.79888e-06; constant_ratio=0.0194519; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	0.00058404674798975158342	0.0004673139119892746429	0.00049321619377904379802	0.00020706333674772321837	-0.0010772629417687953814	-0.00067437724873699788838
-8	-8	-7	-7.4048560703516202791e-05	8.7818687167978232112e-05	-5.1112108779910570108e-05	3.324917032306790504e-05	0.00014304076512391630414	-0.00013836326570405274366
-8	-8	-6	-4.3429594374999488894e-05	0.00010594398082029210289	-2.6967564554912633009e-05	2.8082854366396728146e-05	9.3862878573216162537e-05	-0.00017870244691558511709
-8	-8	-5	-5.4482343207912928558e-06	-9.8171512858191941936e-05	1.1917995574294963453e-05	-2.1861093291000473617e-05	-1.0351618005605872617e-05	0.00019205216983870785946
-8	-8	-4	4.627270143618130116e-05	0.00011224354558227097331	-1.2066649338763130785e-05	1.3362032332070629951e-05	-6.8412104194836333973e-05	-0.00025121115582868322686
-8	-8	-3	-4.23911566314746441e-05	-2.1302506000050294618e-05	1.1209450715529481186e-05	-5.3255099629474322002e-06	8.3151215775853758736e-05	7.1008042567993938181e-05
-8	-8	-2	4.9370205565925348915e-05	4.9493841896876413855e-06	-2.3318976802155135116e-05	5.8327228157928706306e-06	-0.00010420491505508086875	-4.3128428021922048064e-05
-8	-8	-1	-2.1397423505913083233e-05	1.6995988998806989143e-05	1.5485863723224654366e-05	-1.5168062878405401726e-05	4.7292478261507417381e-05	-1.462340896321270442e-05
-8	-8	0	3.0825276939737137802e-05	-2.8637142291177007018e-05	-3.0825276939737137802e-05	2.8637142291177007018e-05	-0.00013313335183911092011	2.7056574589472755666e-05
-8	-8	1	-5.7752855590423425667e-06	2.2033356800345003956e-05	9.7299740000577580504e-06	-2.6073051496383210091e-05	3.1637507528123317093e-05	-3.2317557568305662632e-05
-8	-8	2	1.0976134895616997314e-06	-2.3476076379423734556e-05	-1.7815419088513527625e-05	4.459063472742698836e-05	-6.6871222395807313268e-05	8.4458233392013015218e-05
