# exact-gradient local quartic closure adversary; cutoff=8; objective=projective-height-power-ratio; selection=double-triple-remainder; backend=direct; objective_value=1.54629e-07; constant_ratio=0.0250139; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-0.00050545729224628691261	0.00016187443255345198906	-0.0002398003725871509389	-0.00011553960890505095283	0.00074525766483343790572	-4.6334823648401022677e-05
-8	-8	-7	-6.4730343910990287737e-05	3.3322225704560656313e-05	-3.5551565721452673785e-05	-1.3557304280092291918e-05	0.00011460789672279196377	-2.258848162796385083e-05
-8	-8	-6	1.4990808548420342421e-05	-9.5019434718086605162e-07	7.6267690621245504574e-06	1.9735543523852742574e-06	-3.0156770147393189375e-05	-1.3644800069392110116e-06
-8	-8	-5	-7.071774629266468066e-06	-2.8459557817946392446e-06	-8.8327099933595424901e-07	-8.2236217557488556435e-07	1.2728073005763875026e-05	5.8693087317912391861e-06
-8	-8	-4	5.4579194904914485708e-06	8.5098918695284455194e-07	-1.1267626632782786304e-06	1.2317228867616173054e-06	-8.6623136544263394573e-06	-4.1654241474289235028e-06
-8	-8	-3	-1.0401682403237774947e-06	1.4486616986537285624e-06	1.1793988701376394822e-06	-9.9627005624145405199e-07	-3.7128167950363179045e-07	-1.2063777130993988357e-06
-8	-8	-2	2.3794423922705508717e-06	-2.9533074114054958992e-06	-8.3640036847127558933e-07	4.3420906884579098229e-06	-6.1721680951971019766e-06	-5.5551331082096548476e-06
-8	-8	-1	-9.8418618129862802081e-07	2.4385215577812868694e-06	1.8328845037776218411e-06	-3.2432399617671320517e-06	-6.7895865798319497152e-06	6.4377472318867623059e-06
-8	-8	0	6.6579011478661109414e-06	-8.3526952875148342885e-06	-6.6579011478661109414e-06	8.3526952875148342885e-06	-1.3920722555872670252e-05	-5.5785864185550428066e-06
-8	-8	1	-8.3836742339737934446e-07	4.2691983235440506228e-06	5.515695354471388088e-07	-3.1287785123952196351e-06	-2.2943831036019247088e-06	9.1233584891906479013e-06
-8	-8	2	-2.2349388791219978744e-07	-5.2472040576516801785e-06	-2.9256992437540618763e-06	5.7854760215682338203e-06	-1.2596772526665046973e-05	2.1530878556662124496e-06
-8	-8	3	7.6538697617754000049e-07	2.3784986906489753452e-06	-3.6331177503394184979e-08	-1.339794436417246742e-06	1.944148796464388912e-06	2.7698780112846093263e-06
-8	-8	4	-1.4176692949959379461e-06	-5.3608669592395111591e-07	3.0047035104965692863e-06	8.013268644050360528e-06	3.1740684310012626803e-06	1.4954363896252819671e-05
-8	-8	5	-2.4433924930556288438e-06	-3.1359702862597614147e-06	-1.1769691322198838247e-05	-1.0091905360286603611e-05	-2.2740934104407145312e-05	-2.1164601034474183364e-05
-8	-8	6	2.4325403562146274191e-05	4.6613958332801074257e-06	4.333020872258040463e-05	1.3237497835146816834e-05	9.0207483046302242946e-05	2.386519155790256568e-05
-8	-8	7	-0.00010137058759831901451	9.1068465862785959132e-06	-8.392322451947831555e-05	8.8259173691178877894e-06	-0.00021176435670605407214	2.0494587377595981374e-05
