# completed local quartic closure restart checkpoint; cutoff=8; restart=0; seed=12916328572993039690; objective=projective-height-power-ratio; selection=double-triple-remainder; optimized_objective=6.01695841225014272e-08; refined_objective=0; accepted_steps=6; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-8	-8	-8	-0.00071393941014993194446	0.00026086993755987700986	-0.00035412942041180076047	-0.000134379101136583275	0.0010680688305617325965	-0.00012649083642329373486
-8	-8	-7	-3.9867469317546986207e-05	-1.7804025622077414688e-05	-1.4076173968336258126e-05	-1.2474113826338048834e-05	6.1649878041009425968e-05	3.4603587941046244994e-05
-8	-8	-6	4.810609014412780193e-05	9.9670153025051927445e-07	1.1015311528934702246e-05	-1.6570185482141010484e-07	-7.8828535564083341159e-05	-1.107999567238812085e-06
-8	-8	-5	-4.3749486384168134235e-05	5.938846223719161237e-05	-5.4341067619057836316e-06	9.5831783180923370876e-06	7.8693749033718269942e-05	-0.00011035462488845431642
-8	-8	-4	2.7954013053302559491e-05	-7.2069471564537707347e-05	-7.0711779859634045042e-06	-8.8266265694085718887e-06	-4.1765670134678309973e-05	0.00016179219626789254831
-8	-8	-3	1.0759595195265957238e-05	9.9037430028375993585e-05	8.606973887882420887e-06	-1.118605825156449219e-05	-5.1644184221729012851e-05	-0.00023427032473816400372
-8	-8	-2	-2.2400833392857239591e-05	-8.2182211828924200134e-05	-1.0063935467518245588e-05	3.4409303912495296579e-05	0.00012985907544150194072	0.00019109163166571564133
-8	-8	-1	5.6899356566329100694e-05	6.8126115025572228797e-05	-2.5506538066934303057e-05	-5.0354912650040182804e-05	-0.00025114254799515835399	-0.00014216961900425639505
-8	-8	0	2.5319193525192139998e-06	-6.7464664865326832359e-05	-2.5319193525192139998e-06	6.7464664865326832359e-05	3.5028204454757844364e-06	1.5410813670895045043e-05
-8	-8	1	3.6024031748198551866e-05	3.5635599010923654079e-05	-6.6441653575640625593e-05	-2.4872145767893742534e-05	-0.00024334097461953661692	8.6107625944239278809e-05
-8	-8	2	-2.2506960218838094356e-05	-4.6464015360910468073e-05	5.3303914021765420937e-05	1.5099391392395721003e-05	0.00012318781521170930632	-0.00012545849587405899506
-8	-8	3	2.4108051504220651123e-05	4.0564452988798110314e-05	-4.5543255499694393655e-05	2.2954383568468285219e-05	-5.7160543987929973307e-05	0.00016938356415271038809
-8	-8	4	-3.1428777277042444134e-05	-3.4316746087193289124e-05	2.2754958369875706603e-05	-2.1671978147612413096e-05	-1.7347637814333481839e-05	-0.00011197744846961139766
-8	-8	5	3.4523420950208116484e-05	2.6496948617133075666e-05	-3.5208002875181572749e-06	2.1808420814646568809e-05	4.9604193060303937446e-05	7.728859109084743387e-05
-8	-8	6	-2.6871174507907772267e-05	2.1846099031198134897e-07	1.6527947641929373969e-05	5.6872141211357601408e-06	-1.3790969154637862704e-05	7.8742334819303222686e-06
-8	-8	7	-9.0349335809355520611e-06	-1.3722795936544727533e-05	-2.5287163217526994878e-05	-6.1820497804787591235e-06	-3.9225253483957197469e-05	-2.2748395105169698068e-05
-8	-8	8	-0.00080457626249457099045	0.00029841760532218212154	-0.00024206278819896944517	0.00029023034658084322568	-0.001046639050693540544	0.00058864795190302534721
-8	-7	-8	-4.2272322787543865346e-06	3.8712146792282401862e-05	2.1321114896048225526e-06	3.3767353501966865486e-05	2.361634725350166854e-06	-6.8258581106503407468e-05
-8	-7	-7	-1.905561037853303221e-05	-4.2073963801065007381e-05	-1.8738138728166787658e-05	-2.6447791327548575646e-05	4.0515979160775966359e-05	7.4532321385908578758e-05
-8	-7	-6	8.882830660541695593e-05	1.567260958114409175e-05	4.6751644061377940406e-05	6.7935323752881814321e-06	-0.00017298132687883021295	-2.8822600546028331604e-05
-8	-7	-5	-8.683203609940354803e-05	7.7252423510641180188e-06	-4.0419578299327384391e-05	6.1598316082080043708e-06	0.00019551866737810400009	-2.0984152013193795288e-05
-8	-7	-4	0.00011429544133909953253	-8.7102656986526264958e-05	2.4724152486796433079e-05	-2.9254165419019954636e-05	-0.00027185814953009282803	0.00022540010345633744037
-8	-7	-3	-4.5338915158817107121e-05	1.5805307660775235411e-05	1.0098017031219623971e-05	1.2480226576179090942e-05	9.7341734017333163623e-05	-7.1268015773151837137e-05
-8	-7	-2	4.728268335483562767e-05	1.0966205391444432154e-05	-2.2505103028346229243e-05	-2.4580995406821150438e-07	-0.0001103628728201307168	-4.300448672653898655e-05
